Address:,TCPIP0::192.168.1.2::inst0::INSTR,,Time (s),Minimum(4) (V),Minimum(1) (V)
Model:,MSO-X 4154A,,2022-12-13 12:39:49.306,-0.005025,-0.006624
Serial Number:,MY60101365,,2022-12-13 12:39:49.806,-0.00536,-0.006624
Firmware Version:,07.31.2020012900,,2022-12-13 12:39:50.307,-0.00536,-0.005955
Start Time:,2022-12-13 12:39:49.306,,2022-12-13 12:39:50.806,-0.014063,-0.002608
Stop Time:,2022-12-13 12:49:49.307,,2022-12-13 12:39:51.306,-0.008707,-0.005955
Sample Period:,0.5,,2022-12-13 12:39:51.805,-0.01105,-0.011311
,,,2022-12-13 12:39:52.306,-0.00536,-0.0247
,,,2022-12-13 12:39:52.806,-0.009042,-0.023361
,,,2022-12-13 12:39:53.305,-0.005025,-0.009972
,,,2022-12-13 12:39:53.805,-0.013393,-0.006624
,,,2022-12-13 12:39:54.305,-0.00536,-0.007963
,,,2022-12-13 12:39:54.806,-0.008038,-0.010641
,,,2022-12-13 12:39:55.306,-0.005695,-0.015327
,,,2022-12-13 12:39:55.807,-0.014397,-0.010641
,,,2022-12-13 12:39:56.306,-0.013728,-0.006624
,,,2022-12-13 12:39:56.807,-0.013059,-0.007963
,,,2022-12-13 12:39:57.306,-0.012054,-0.005955
,,,2022-12-13 12:39:57.807,-0.009377,-0.005955
,,,2022-12-13 12:39:58.306,-0.014397,-0.009972
,,,2022-12-13 12:39:58.807,-0.009377,-0.01265
,,,2022-12-13 12:39:59.306,-0.006364,-0.007294
,,,2022-12-13 12:39:59.808,-0.013728,-0.005955
,,,2022-12-13 12:40:00.307,-0.020423,-0.006624
,,,2022-12-13 12:40:00.806,-0.009377,-0.010641
,,,2022-12-13 12:40:01.305,-0.019084,-0.009972
,,,2022-12-13 12:40:01.805,-0.008707,-0.011311
,,,2022-12-13 12:40:02.306,-0.023435,-0.006624
,,,2022-12-13 12:40:02.806,-0.012054,-0.019344
,,,2022-12-13 12:40:03.306,-0.018414,-0.015327
,,,2022-12-13 12:40:03.806,-0.005025,-0.008633
,,,2022-12-13 12:40:04.307,-0.012724,-0.014658
,,,2022-12-13 12:40:04.806,-0.009711,-0.02403
,,,2022-12-13 12:40:05.307,-0.008707,-0.010641
,,,2022-12-13 12:40:05.807,-0.013059,-0.005955
,,,2022-12-13 12:40:06.306,-0.009711,-0.006624
,,,2022-12-13 12:40:06.806,-0.014397,-0.009972
,,,2022-12-13 12:40:07.307,-0.009377,-0.013988
,,,2022-12-13 12:40:07.807,-0.012054,-0.005955
,,,2022-12-13 12:40:08.306,-0.01741,-0.015327
,,,2022-12-13 12:40:08.807,-0.007368,-0.010641
,,,2022-12-13 12:40:09.306,-0.005695,-0.011311
,,,2022-12-13 12:40:09.807,-0.011385,-0.003277
