Address:,TCPIP0::192.168.1.2::inst0::INSTR,,Time (s),Minimum(4) (V),Minimum(1) (V)
Model:,MSO-X 4154A,,2022-12-13 11:58:11.081,-0.01105,-0.005955
Serial Number:,MY60101365,,2022-12-13 11:58:11.581,-0.009377,-0.020014
Firmware Version:,07.31.2020012900,,2022-12-13 11:58:12.080,-0.014397,-0.006624
Start Time:,2022-12-13 11:58:11.081,,2022-12-13 11:58:12.579,-0.018079,-0.01198
Stop Time:,2022-12-13 12:08:50.580,,2022-12-13 11:58:13.079,-0.00536,-0.02403
Sample Period:,0.5,,2022-12-13 11:58:13.579,-0.010046,-0.002608
,,,2022-12-13 11:58:14.079,-0.016406,-0.020683
,,,2022-12-13 11:58:14.580,-0.00536,-0.019344
,,,2022-12-13 11:58:15.080,-0.014063,-0.002608
,,,2022-12-13 11:58:15.579,-0.013728,-0.032064
,,,2022-12-13 11:58:16.079,-0.017745,-0.020014
,,,2022-12-13 11:58:16.579,-0.013393,-0.018675
,,,2022-12-13 11:58:17.079,-0.009377,-0.039428
,,,2022-12-13 11:58:17.579,-0.010046,-0.015327
,,,2022-12-13 11:58:18.079,-0.014397,-0.020014
,,,2022-12-13 11:58:18.579,-0.006029,-0.025369
,,,2022-12-13 11:58:19.080,-0.009377,-0.02403
,,,2022-12-13 11:58:19.580,-0.008707,-0.011311
,,,2022-12-13 11:58:20.081,-0.009377,-0.009302
,,,2022-12-13 11:58:20.580,-0.010046,-0.009972
,,,2022-12-13 11:58:21.080,-0.009377,-0.005286
,,,2022-12-13 11:58:21.579,-0.009711,-0.028047
,,,2022-12-13 11:58:22.079,-0.009711,-0.019344
,,,2022-12-13 11:58:22.579,-0.016406,-0.015327
,,,2022-12-13 11:58:23.079,-0.006029,-0.009302
,,,2022-12-13 11:58:23.579,-0.00536,-0.0247
,,,2022-12-13 11:58:24.080,-0.009042,-0.010641
,,,2022-12-13 11:58:24.580,-0.009711,-0.002608
,,,2022-12-13 11:58:25.079,-0.009042,-0.015997
,,,2022-12-13 11:58:25.579,-0.00536,-0.011311
,,,2022-12-13 11:58:26.079,-0.009042,-0.028047
,,,2022-12-13 11:58:26.579,-0.009711,-0.034742
,,,2022-12-13 11:58:27.079,-0.014063,-0.020014
,,,2022-12-13 11:58:27.580,-0.014063,-0.015327
,,,2022-12-13 11:58:28.080,-0.013393,-0.014658
,,,2022-12-13 11:58:28.581,-0.013728,-0.032064
,,,2022-12-13 11:58:29.079,-0.009711,-0.022691
,,,2022-12-13 11:58:29.579,-0.013728,-0.010641
,,,2022-12-13 11:58:30.079,-0.014397,-0.014658
,,,2022-12-13 11:58:30.579,-0.005695,-0.022022
,,,2022-12-13 11:58:31.079,-0.014397,-0.014658
,,,2022-12-13 11:58:31.579,-0.01741,-0.006624
,,,2022-12-13 11:58:32.080,-0.009042,-0.005955
,,,2022-12-13 11:58:32.579,-0.009042,-0.025369
,,,2022-12-13 11:58:33.081,-0.013728,-0.020014
,,,2022-12-13 11:58:33.581,-0.00536,-0.008633
,,,2022-12-13 11:58:34.080,-0.010381,-0.009302
,,,2022-12-13 11:58:34.581,-0.009042,-0.022691
,,,2022-12-13 11:58:35.080,-0.014063,-0.01265
,,,2022-12-13 11:58:35.582,-0.005695,-0.010641
,,,2022-12-13 11:58:36.080,-0.012054,-0.023361
,,,2022-12-13 11:58:36.580,-0.014397,-0.006624
,,,2022-12-13 11:58:37.081,-0.014732,-0.016666
,,,2022-12-13 11:58:37.580,-0.015067,-0.020014
