Address:,TCPIP0::192.168.1.2::inst0::INSTR,,Time (s),Minimum(4) (V),Minimum(1) (V)
Model:,MSO-X 4154A,,2022-12-13 12:15:36.139,-0.013393,-0.028047
Serial Number:,MY60101365,,2022-12-13 12:15:36.640,-0.009042,-0.026708
Firmware Version:,07.31.2020012900,,2022-12-13 12:15:37.139,-0.008707,-0.013988
Start Time:,2022-12-13 12:15:36.139,,2022-12-13 12:15:37.639,-0.009711,-0.028047
Stop Time:,2022-12-13 12:25:36.139,,2022-12-13 12:15:38.138,-0.00536,-0.018005
Sample Period:,0.5,,2022-12-13 12:15:38.638,-0.005695,-0.022691
,,,2022-12-13 12:15:39.138,-0.015067,-0.013319
,,,2022-12-13 12:15:39.637,-0.009377,-0.005955
,,,2022-12-13 12:15:40.137,-0.009377,-0.018675
,,,2022-12-13 12:15:40.637,-0.010381,-0.005955
,,,2022-12-13 12:15:41.137,-0.007703,-0.033403
,,,2022-12-13 12:15:41.637,-0.010046,-0.018675
,,,2022-12-13 12:15:42.137,-0.009711,-0.0247
,,,2022-12-13 12:15:42.638,-0.009711,-0.044114
,,,2022-12-13 12:15:43.138,-0.019084,-0.032064
,,,2022-12-13 12:15:43.638,-0.009377,-0.010641
,,,2022-12-13 12:15:44.139,-0.00536,-0.009972
,,,2022-12-13 12:15:44.640,-0.008707,-0.010641
,,,2022-12-13 12:15:45.139,-0.009377,-0.009972
,,,2022-12-13 12:15:45.639,-0.010046,-0.040097
,,,2022-12-13 12:15:46.139,-0.009711,-0.019344
,,,2022-12-13 12:15:46.639,-0.015067,-0.028717
,,,2022-12-13 12:15:47.139,-0.005025,-0.005955
,,,2022-12-13 12:15:47.639,-0.009711,-0.005955
,,,2022-12-13 12:15:48.139,-0.012724,-0.029386
,,,2022-12-13 12:15:48.639,-0.00536,-0.020014
,,,2022-12-13 12:15:49.140,-0.010715,-0.020683
,,,2022-12-13 12:15:49.641,-0.009377,-0.018675
,,,2022-12-13 12:15:50.140,-0.009711,-0.018005
,,,2022-12-13 12:15:50.640,-0.005025,-0.01265
,,,2022-12-13 12:15:51.140,-0.008707,-0.008633
,,,2022-12-13 12:15:51.641,-0.009711,-0.001938
,,,2022-12-13 12:15:52.141,-0.005025,-0.010641
,,,2022-12-13 12:15:52.639,-0.00536,-0.007963
,,,2022-12-13 12:15:53.139,-0.011385,-0.008633
,,,2022-12-13 12:15:53.639,-0.0231,-0.011311
,,,2022-12-13 12:15:54.140,-0.010046,-0.044114
,,,2022-12-13 12:15:54.640,-0.008707,-0.020014
,,,2022-12-13 12:15:55.140,-0.014063,-0.013988
,,,2022-12-13 12:15:55.640,-0.025778,-0.010641
,,,2022-12-13 12:15:56.139,-0.00536,-0.028047
,,,2022-12-13 12:15:56.640,-0.01741,-0.019344
,,,2022-12-13 12:15:57.139,-0.009711,-0.033403
,,,2022-12-13 12:15:57.639,-0.005695,-0.019344
,,,2022-12-13 12:15:58.140,-0.012724,-0.005955
,,,2022-12-13 12:15:58.640,-0.018414,-0.005955
,,,2022-12-13 12:15:59.139,-0.009377,-0.014658
,,,2022-12-13 12:15:59.639,-0.009377,-0.014658
,,,2022-12-13 12:16:00.140,-0.010046,-0.019344
,,,2022-12-13 12:16:00.640,-0.012389,-0.018675
,,,2022-12-13 12:16:01.139,-0.007703,-0.011311
,,,2022-12-13 12:16:01.640,-0.014063,-0.015327
,,,2022-12-13 12:16:02.140,-0.014063,-0.0247
,,,2022-12-13 12:16:02.640,-0.014063,-0.006624
,,,2022-12-13 12:16:03.139,-0.005695,-0.028047
,,,2022-12-13 12:16:03.639,-0.008372,-0.014658
,,,2022-12-13 12:16:04.139,-0.009377,-0.009972
,,,2022-12-13 12:16:04.639,-0.018749,-0.015327
,,,2022-12-13 12:16:05.140,-0.005695,-0.026039
,,,2022-12-13 12:16:05.639,-0.009377,-0.005286
,,,2022-12-13 12:16:06.139,-0.012724,-0.018675
,,,2022-12-13 12:16:06.639,-0.009711,-0.010641
,,,2022-12-13 12:16:07.139,-0.018079,-0.009302
,,,2022-12-13 12:16:07.639,-0.009711,-0.028047
,,,2022-12-13 12:16:08.139,-0.008707,-0.015327
,,,2022-12-13 12:16:08.640,-0.009042,-0.018675
,,,2022-12-13 12:16:09.140,-0.013393,-0.020014
,,,2022-12-13 12:16:09.639,-0.012724,-0.010641
,,,2022-12-13 12:16:10.139,-0.009711,-0.005286
,,,2022-12-13 12:16:10.639,-0.008707,-0.014658
,,,2022-12-13 12:16:11.139,-0.009042,-0.005955
,,,2022-12-13 12:16:11.639,-0.008707,-0.042106
