Address:,TCPIP0::192.168.1.2::inst0::INSTR,,Time (s),X at Max Y(4),X at Max Y(1)
Model:,MSO-X 4154A,,2022-12-13 13:36:59.330,5.58E-08,4.22E-08
Serial Number:,MY60101365,,2022-12-13 13:36:59.831,4.46E-08,3.62E-08
Firmware Version:,07.31.2020012900,,2022-12-13 13:37:00.329,-2.34E-08,3.78E-08
Start Time:,2022-12-13 13:36:59.330,,2022-12-13 13:37:00.891,4.58E-08,3.12E-08
Stop Time:,2022-12-13 13:46:59.330,,2022-12-13 13:37:01.330,5.36E-08,-4.48E-08
Sample Period:,0.5,,2022-12-13 13:37:01.830,6.92E-08,3.32E-08
,,,2022-12-13 13:37:02.330,4.7E-08,2.76E-08
,,,2022-12-13 13:37:02.831,5.32E-08,6.48E-08
,,,2022-12-13 13:37:03.331,4.78E-08,-3.38E-08
,,,2022-12-13 13:37:03.830,4.76E-08,7.54E-08
,,,2022-12-13 13:37:04.330,5.46E-08,3.28E-08
,,,2022-12-13 13:37:04.829,5.66E-08,3.7E-08
,,,2022-12-13 13:37:05.329,3.74E-08,3.54E-08
,,,2022-12-13 13:37:05.830,5.32E-08,-7.42E-08
,,,2022-12-13 13:37:06.330,9.34E-08,-6.22E-08
,,,2022-12-13 13:37:06.831,-1.88E-08,4.4E-08
,,,2022-12-13 13:37:07.331,-9.54E-08,3.54E-08
,,,2022-12-13 13:37:07.831,4.62E-08,4.18E-08
,,,2022-12-13 13:37:08.329,-2.72E-08,3.36E-08
,,,2022-12-13 13:37:08.857,5.96E-08,3.98E-08
,,,2022-12-13 13:37:09.343,5.58E-08,3.46E-08
,,,2022-12-13 13:37:09.840,9.98E-08,3.02E-08
,,,2022-12-13 13:37:10.363,7.8E-08,4.22E-08
,,,2022-12-13 13:37:10.862,4.52E-08,3.58E-08
,,,2022-12-13 13:37:11.338,-3.44E-08,3.5E-08
,,,2022-12-13 13:37:11.830,5.64E-08,-1.1E-08
,,,2022-12-13 13:37:12.329,4.28E-08,3.42E-08
,,,2022-12-13 13:37:12.829,-9.4E-08,3.62E-08
,,,2022-12-13 13:37:13.329,-2.1E-08,3.6E-08
,,,2022-12-13 13:37:13.829,4.68E-08,3.4E-08
,,,2022-12-13 13:37:14.330,5.26E-08,3.78E-08
,,,2022-12-13 13:37:14.829,5E-08,3.72E-08
,,,2022-12-13 13:37:15.330,4.78E-08,3.86E-08
,,,2022-12-13 13:37:15.830,5.32E-08,4.7E-08
,,,2022-12-13 13:37:16.330,4.54E-08,3.76E-08
,,,2022-12-13 13:37:16.830,4.5E-08,2.94E-08
,,,2022-12-13 13:37:17.335,-2.44E-08,1.62E-08
,,,2022-12-13 13:37:17.830,5.32E-08,3.84E-08
,,,2022-12-13 13:37:18.330,4.7E-08,-1.7E-08
,,,2022-12-13 13:37:18.831,5.06E-08,4.1E-08
,,,2022-12-13 13:37:19.332,-6.72E-08,3.22E-08
,,,2022-12-13 13:37:19.830,4.6E-09,4.4E-08
,,,2022-12-13 13:37:20.336,3.52E-08,3.62E-08
,,,2022-12-13 13:37:20.834,4.84E-08,3.26E-08
,,,2022-12-13 13:37:21.337,5.06E-08,3.66E-08
,,,2022-12-13 13:37:21.834,-8.1E-08,-6.66E-08
,,,2022-12-13 13:37:22.330,-6.58E-08,3.24E-08
,,,2022-12-13 13:37:22.830,4.72E-08,4.52E-08
,,,2022-12-13 13:37:23.333,-1.06E-08,3.5E-08
,,,2022-12-13 13:37:23.832,4.64E-08,3.64E-08
,,,2022-12-13 13:37:24.332,4.84E-08,2.86E-08
,,,2022-12-13 13:37:24.831,5.08E-08,-7.2E-08
,,,2022-12-13 13:37:25.331,5.22E-08,3.88E-08
,,,2022-12-13 13:37:25.829,-9.9E-08,3.38E-08
,,,2022-12-13 13:37:26.330,4.48E-08,3.96E-08
,,,2022-12-13 13:37:26.831,9.78E-08,7.38E-08
,,,2022-12-13 13:37:27.331,4.4E-08,4.92E-08
,,,2022-12-13 13:37:27.831,4.74E-08,3.64E-08
,,,2022-12-13 13:37:28.332,5.4E-08,-4.4E-09
,,,2022-12-13 13:37:28.830,5.06E-08,3.12E-08
,,,2022-12-13 13:37:29.332,-7.36E-08,3.06E-08
,,,2022-12-13 13:37:29.832,6.44E-08,3.58E-08
,,,2022-12-13 13:37:30.330,4.7E-08,4.04E-08
,,,2022-12-13 13:37:30.830,1.4E-08,3.34E-08
,,,2022-12-13 13:37:31.331,4.68E-08,3.62E-08
,,,2022-12-13 13:37:31.829,4.62E-08,3.8E-08
,,,2022-12-13 13:37:32.330,4.86E-08,4.08E-08
,,,2022-12-13 13:37:32.831,-2E-08,3.64E-08
,,,2022-12-13 13:37:33.331,-3E-09,3.74E-08
,,,2022-12-13 13:37:33.831,5E-08,3.4E-08
,,,2022-12-13 13:37:34.330,4.6E-08,3.58E-08
,,,2022-12-13 13:37:34.829,5.22E-08,3.56E-08
,,,2022-12-13 13:37:35.330,-9.96E-08,4.06E-08
,,,2022-12-13 13:37:35.831,4.38E-08,3.6E-08
,,,2022-12-13 13:37:36.330,2.04E-08,3.78E-08
,,,2022-12-13 13:37:36.831,4.36E-08,3.06E-08
,,,2022-12-13 13:37:37.331,4.54E-08,3.3E-08
,,,2022-12-13 13:37:37.830,5.1E-08,3.1E-08
,,,2022-12-13 13:37:38.330,5.82E-08,-4.8E-09
,,,2022-12-13 13:37:38.830,4.32E-08,3.36E-08
,,,2022-12-13 13:37:39.331,4.04E-08,3.5E-08
,,,2022-12-13 13:37:39.830,9.58E-08,-4.8E-09
,,,2022-12-13 13:37:40.330,5.64E-08,3.36E-08
,,,2022-12-13 13:37:40.830,4.8E-08,3.86E-08
,,,2022-12-13 13:37:41.331,-6.4E-08,3.52E-08
,,,2022-12-13 13:37:41.830,4.66E-08,3.96E-08
,,,2022-12-13 13:37:42.329,4.82E-08,3.52E-08
,,,2022-12-13 13:37:42.830,-6.3E-08,4.04E-08
,,,2022-12-13 13:37:43.330,2.72E-08,3.44E-08
,,,2022-12-13 13:37:43.830,-4.28E-08,4.24E-08
,,,2022-12-13 13:37:44.330,-2.18E-08,4.4E-08
,,,2022-12-13 13:37:44.830,4.1E-08,2.24E-08
,,,2022-12-13 13:37:45.330,5.64E-08,3.78E-08
,,,2022-12-13 13:37:45.830,5.08E-08,2.88E-08
,,,2022-12-13 13:37:46.330,4.56E-08,3.04E-08
,,,2022-12-13 13:37:46.830,-7.78E-08,3.04E-08
,,,2022-12-13 13:37:47.330,-4.8E-09,3E-08
,,,2022-12-13 13:37:47.830,4.94E-08,3.5E-08
,,,2022-12-13 13:37:48.329,-5.56E-08,3.86E-08
,,,2022-12-13 13:37:48.829,5.1E-08,-6.52E-08
,,,2022-12-13 13:37:49.329,4.84E-08,3.7E-08
,,,2022-12-13 13:37:49.830,4.54E-08,3.9E-08
,,,2022-12-13 13:37:50.330,9.76E-08,3.48E-08
,,,2022-12-13 13:37:50.830,-5.88E-08,3.7E-08
,,,2022-12-13 13:37:51.330,5.06E-08,4.74E-08
,,,2022-12-13 13:37:51.830,-3.82E-08,3.66E-08
,,,2022-12-13 13:37:52.329,-3.38E-08,3.02E-08
,,,2022-12-13 13:37:52.831,7.4E-09,3.44E-08
,,,2022-12-13 13:37:53.330,4.76E-08,8.96E-08
,,,2022-12-13 13:37:53.830,8E-10,5.3E-08
,,,2022-12-13 13:37:54.329,-4.92E-08,9.94E-08
,,,2022-12-13 13:37:54.830,5.2E-08,3.3E-08
,,,2022-12-13 13:37:55.329,5.14E-08,3.14E-08
,,,2022-12-13 13:37:55.830,-3.9E-08,3.22E-08
,,,2022-12-13 13:37:56.330,-3.14E-08,3.36E-08
,,,2022-12-13 13:37:56.830,-5.06E-08,-8.18E-08
,,,2022-12-13 13:37:57.331,-7.04E-08,-8.36E-08
,,,2022-12-13 13:37:57.831,4.5E-08,3.26E-08
,,,2022-12-13 13:37:58.330,4.1E-08,3.24E-08
,,,2022-12-13 13:37:58.829,-4E-10,3.7E-08
,,,2022-12-13 13:37:59.330,4.72E-08,3.02E-08
,,,2022-12-13 13:37:59.829,4.5E-08,3.9E-08
,,,2022-12-13 13:38:00.329,-8.7E-08,3.54E-08
,,,2022-12-13 13:38:00.829,5.08E-08,4.78E-08
,,,2022-12-13 13:38:01.329,7.78E-08,-7.46E-08
,,,2022-12-13 13:38:01.829,5.04E-08,3.48E-08
,,,2022-12-13 13:38:02.329,4.84E-08,3.46E-08
,,,2022-12-13 13:38:02.829,5.46E-08,3.04E-08
,,,2022-12-13 13:38:03.329,2.6E-08,3.16E-08
,,,2022-12-13 13:38:03.829,-5.62E-08,3.7E-08
,,,2022-12-13 13:38:04.328,4.84E-08,3.32E-08
,,,2022-12-13 13:38:04.829,4.7E-08,3.76E-08
,,,2022-12-13 13:38:05.329,-9.94E-08,3.44E-08
,,,2022-12-13 13:38:05.829,-7.68E-08,3.98E-08
,,,2022-12-13 13:38:06.329,4.38E-08,3.66E-08
,,,2022-12-13 13:38:06.829,5.98E-08,4.1E-08
,,,2022-12-13 13:38:07.340,9E-09,3.28E-08
,,,2022-12-13 13:38:07.835,4.86E-08,4.02E-08
,,,2022-12-13 13:38:08.339,4.16E-08,3.6E-08
,,,2022-12-13 13:38:08.834,5.66E-08,3.68E-08
,,,2022-12-13 13:38:09.342,5.68E-08,3.8E-08
,,,2022-12-13 13:38:09.834,-1.6E-09,3.78E-08
,,,2022-12-13 13:38:10.335,2.62E-08,4.28E-08
,,,2022-12-13 13:38:10.830,-2.4E-08,-5.02E-08
,,,2022-12-13 13:38:11.333,1.3E-08,5.38E-08
,,,2022-12-13 13:38:11.834,-5.78E-08,3.82E-08
,,,2022-12-13 13:38:12.332,1.2E-09,3.14E-08
,,,2022-12-13 13:38:12.832,5.22E-08,-1.84E-08
,,,2022-12-13 13:38:13.330,-8.04E-08,-7.52E-08
,,,2022-12-13 13:38:13.830,5.18E-08,3.28E-08
,,,2022-12-13 13:38:14.329,-5.74E-08,-4.36E-08
,,,2022-12-13 13:38:14.829,4.78E-08,1.1E-08
,,,2022-12-13 13:38:15.328,-8.82E-08,4.54E-08
,,,2022-12-13 13:38:15.828,4.48E-08,3.4E-08
,,,2022-12-13 13:38:16.329,-7.48E-08,3.46E-08
,,,2022-12-13 13:38:16.830,4.82E-08,4.32E-08
,,,2022-12-13 13:38:17.333,5.56E-08,3.46E-08
,,,2022-12-13 13:38:17.831,5.12E-08,3.22E-08
,,,2022-12-13 13:38:18.330,-4.82E-08,5.1E-08
,,,2022-12-13 13:38:18.830,-7.5E-08,6.3E-08
,,,2022-12-13 13:38:19.330,-4.56E-08,3.74E-08
,,,2022-12-13 13:38:19.832,-3.46E-08,4.4E-08
,,,2022-12-13 13:38:20.330,4.8E-08,9.82E-08
,,,2022-12-13 13:38:20.830,4.96E-08,3.64E-08
,,,2022-12-13 13:38:21.330,3.34E-08,3.32E-08
,,,2022-12-13 13:38:21.830,5.26E-08,-6.26E-08
,,,2022-12-13 13:38:22.332,5.02E-08,2.92E-08
,,,2022-12-13 13:38:22.831,-1.24E-08,2.36E-08
,,,2022-12-13 13:38:23.330,4.9E-08,4.86E-08
,,,2022-12-13 13:38:23.831,-8.38E-08,3.46E-08
,,,2022-12-13 13:38:24.330,-5.36E-08,3.94E-08
,,,2022-12-13 13:38:24.831,4.7E-08,-8.4E-08
,,,2022-12-13 13:38:25.330,5.36E-08,4.02E-08
,,,2022-12-13 13:38:25.830,-8.8E-08,3.24E-08
,,,2022-12-13 13:38:26.331,4.6E-08,-6.56E-08
,,,2022-12-13 13:38:26.830,4.9E-08,3.16E-08
,,,2022-12-13 13:38:27.331,4.62E-08,3.36E-08
,,,2022-12-13 13:38:27.830,-8.7E-08,3.8E-08
,,,2022-12-13 13:38:28.330,3.6E-09,3.64E-08
,,,2022-12-13 13:38:28.829,4.48E-08,3.34E-08
,,,2022-12-13 13:38:29.329,-8.78E-08,3.94E-08
,,,2022-12-13 13:38:29.830,5.28E-08,3.64E-08
,,,2022-12-13 13:38:30.331,4.78E-08,3.36E-08
,,,2022-12-13 13:38:30.830,4.68E-08,-6.48E-08
,,,2022-12-13 13:38:31.330,5.5E-08,3.48E-08
,,,2022-12-13 13:38:31.831,5.06E-08,3.72E-08
,,,2022-12-13 13:38:32.329,5.26E-08,4.16E-08
,,,2022-12-13 13:38:32.829,-5.4E-08,3.14E-08
,,,2022-12-13 13:38:33.329,4.82E-08,2.08E-08
,,,2022-12-13 13:38:33.829,6.02E-08,3.64E-08
,,,2022-12-13 13:38:34.329,4.26E-08,3.52E-08
,,,2022-12-13 13:38:34.829,4.16E-08,3.26E-08
,,,2022-12-13 13:38:35.329,4.76E-08,3.28E-08
,,,2022-12-13 13:38:35.830,4.4E-08,-7.62E-08
,,,2022-12-13 13:38:36.329,6.36E-08,5.88E-08
,,,2022-12-13 13:38:36.829,2.1E-08,3.7E-08
,,,2022-12-13 13:38:37.329,-4.2E-09,3.22E-08
,,,2022-12-13 13:38:37.829,5.2E-09,3.52E-08
,,,2022-12-13 13:38:38.330,6.7E-08,3.3E-08
,,,2022-12-13 13:38:38.830,5.28E-08,3.94E-08
,,,2022-12-13 13:38:39.330,4.86E-08,4.1E-08
,,,2022-12-13 13:38:39.829,5.16E-08,3.68E-08
,,,2022-12-13 13:38:40.330,4.2E-08,2.96E-08
,,,2022-12-13 13:38:40.830,5.42E-08,-8.2E-08
,,,2022-12-13 13:38:41.330,1E-09,4.22E-08
,,,2022-12-13 13:38:41.829,3.5E-08,3.5E-08
,,,2022-12-13 13:38:42.330,4.5E-08,3.06E-08
,,,2022-12-13 13:38:42.830,5.8E-09,3.6E-08
,,,2022-12-13 13:38:43.330,-7.52E-08,3.34E-08
,,,2022-12-13 13:38:43.830,4.86E-08,1.4E-09
,,,2022-12-13 13:38:44.329,5.14E-08,3.18E-08
,,,2022-12-13 13:38:44.829,4.74E-08,3.22E-08
,,,2022-12-13 13:38:45.331,5.26E-08,-1.02E-08
,,,2022-12-13 13:38:45.829,4.7E-08,3.14E-08
,,,2022-12-13 13:38:46.329,3.3E-08,-5.58E-08
,,,2022-12-13 13:38:46.830,5.14E-08,3.8E-08
,,,2022-12-13 13:38:47.330,-8.82E-08,3.14E-08
,,,2022-12-13 13:38:47.830,2.56E-08,3.34E-08
,,,2022-12-13 13:38:48.330,-8.42E-08,4.64E-08
,,,2022-12-13 13:38:48.830,-9.8E-08,-9.36E-08
,,,2022-12-13 13:38:49.330,4.76E-08,3.64E-08
,,,2022-12-13 13:38:49.830,-1.26E-08,3.16E-08
,,,2022-12-13 13:38:50.330,5.32E-08,3.86E-08
,,,2022-12-13 13:38:50.830,-4.68E-08,3.86E-08
,,,2022-12-13 13:38:51.330,5.14E-08,3.32E-08
,,,2022-12-13 13:38:51.831,4.44E-08,3.16E-08
,,,2022-12-13 13:38:52.329,4.88E-08,3.76E-08
,,,2022-12-13 13:38:52.831,4.72E-08,3.12E-08
,,,2022-12-13 13:38:53.329,5.56E-08,4.02E-08
,,,2022-12-13 13:38:53.829,6.68E-08,3.84E-08
,,,2022-12-13 13:38:54.329,4.62E-08,3.88E-08
,,,2022-12-13 13:38:54.830,3.1E-08,2.9E-08
,,,2022-12-13 13:38:55.330,3.94E-08,3.16E-08
,,,2022-12-13 13:38:55.830,4E-08,9.42E-08
,,,2022-12-13 13:38:56.330,4.74E-08,3.32E-08
,,,2022-12-13 13:38:56.830,9.82E-08,5.92E-08
,,,2022-12-13 13:38:57.330,5.5E-08,3.28E-08
,,,2022-12-13 13:38:57.830,-2.28E-08,3.06E-08
,,,2022-12-13 13:38:58.331,5.16E-08,2.94E-08
,,,2022-12-13 13:38:58.830,5.1E-08,-2.64E-08
,,,2022-12-13 13:38:59.329,5.24E-08,3.82E-08
,,,2022-12-13 13:38:59.829,7.58E-08,3.58E-08
,,,2022-12-13 13:39:00.329,4.58E-08,3.6E-08
,,,2022-12-13 13:39:00.829,-4.4E-09,3.14E-08
,,,2022-12-13 13:39:01.329,4.76E-08,3.46E-08
,,,2022-12-13 13:39:01.829,4.88E-08,4.16E-08
,,,2022-12-13 13:39:02.329,5.62E-08,3.7E-08
,,,2022-12-13 13:39:02.829,4.78E-08,3.3E-08
,,,2022-12-13 13:39:03.329,4.72E-08,-7E-09
,,,2022-12-13 13:39:03.830,4.72E-08,-3.24E-08
,,,2022-12-13 13:39:04.333,5.18E-08,3.6E-08
,,,2022-12-13 13:39:04.832,4.9E-08,3.3E-08
,,,2022-12-13 13:39:05.331,4.36E-08,3.3E-08
,,,2022-12-13 13:39:05.833,5.7E-08,3.34E-08
,,,2022-12-13 13:39:06.332,3.16E-08,3.44E-08
,,,2022-12-13 13:39:06.833,4.84E-08,3.22E-08
,,,2022-12-13 13:39:07.333,5.24E-08,3.46E-08
,,,2022-12-13 13:39:07.852,-9.66E-08,4E-08
,,,2022-12-13 13:39:08.351,4.16E-08,3.14E-08
,,,2022-12-13 13:39:08.834,-5.54E-08,3.52E-08
,,,2022-12-13 13:39:09.333,4.38E-08,3.5E-08
,,,2022-12-13 13:39:09.840,-5.08E-08,4.3E-08
,,,2022-12-13 13:39:10.332,5.7E-08,4.34E-08
,,,2022-12-13 13:39:10.837,6.34E-08,3.46E-08
,,,2022-12-13 13:39:11.331,-1.22E-08,3.28E-08
,,,2022-12-13 13:39:11.834,5.3E-08,3.9E-08
,,,2022-12-13 13:39:12.331,9.24E-08,3.42E-08
,,,2022-12-13 13:39:12.841,4.34E-08,4.58E-08
,,,2022-12-13 13:39:13.330,4.94E-08,4.52E-08
,,,2022-12-13 13:39:13.832,5.58E-08,5.76E-08
,,,2022-12-13 13:39:14.331,9.98E-08,4E-08
,,,2022-12-13 13:39:14.840,5.64E-08,3.42E-08
,,,2022-12-13 13:39:15.331,7.18E-08,3.7E-08
,,,2022-12-13 13:39:15.835,-5.34E-08,3.08E-08
,,,2022-12-13 13:39:16.330,-3.3E-08,3.6E-08
,,,2022-12-13 13:39:16.831,-8.04E-08,6.08E-08
,,,2022-12-13 13:39:17.330,8.4E-09,3.38E-08
,,,2022-12-13 13:39:17.830,-2.22E-08,3.22E-08
,,,2022-12-13 13:39:18.330,5.48E-08,3.62E-08
,,,2022-12-13 13:39:18.830,5.02E-08,3.42E-08
,,,2022-12-13 13:39:19.331,-6.14E-08,-6.66E-08
,,,2022-12-13 13:39:19.830,-2.24E-08,3.92E-08
,,,2022-12-13 13:39:20.330,-8.76E-08,3.66E-08
