Address:,TCPIP0::192.168.1.2::inst0::INSTR,,Time (s),X at Max Y(4),X at Max Y(1)
Model:,MSO-X 4154A,,2022-12-13 13:54:26.822,9.58E-08,3.06E-08
Serial Number:,MY60101365,,2022-12-13 13:54:27.322,-4.1E-08,3.44E-08
Firmware Version:,07.31.2020012900,,2022-12-13 13:54:27.822,2.06E-08,2.78E-08
Start Time:,2022-12-13 13:54:26.822,,2022-12-13 13:54:28.321,5.3E-08,4.26E-08
Stop Time:,2022-12-13 14:04:26.819,,2022-12-13 13:54:28.821,4.48E-08,3.2E-08
Sample Period:,0.5,,2022-12-13 13:54:29.321,5.1E-08,3.86E-08
,,,2022-12-13 13:54:29.822,4.98E-08,3.74E-08
,,,2022-12-13 13:54:30.321,3.46E-08,3.32E-08
,,,2022-12-13 13:54:30.822,4.48E-08,2.98E-08
,,,2022-12-13 13:54:31.320,3.34E-08,3.58E-08
,,,2022-12-13 13:54:31.822,5.06E-08,2.86E-08
,,,2022-12-13 13:54:32.321,-2.36E-08,4.2E-08
,,,2022-12-13 13:54:32.821,-9.8E-08,4.1E-08
,,,2022-12-13 13:54:33.322,5.3E-08,3.3E-08
,,,2022-12-13 13:54:33.822,-9.98E-08,3.54E-08
,,,2022-12-13 13:54:34.322,-2.76E-08,3.38E-08
,,,2022-12-13 13:54:34.820,4.94E-08,2.86E-08
,,,2022-12-13 13:54:35.321,5.48E-08,3.46E-08
,,,2022-12-13 13:54:35.821,-8.02E-08,3.08E-08
,,,2022-12-13 13:54:36.322,5.64E-08,3.42E-08
,,,2022-12-13 13:54:36.822,5.44E-08,-2.1E-08
,,,2022-12-13 13:54:37.321,4.86E-08,3.3E-08
,,,2022-12-13 13:54:37.821,-7.6E-09,3.38E-08
,,,2022-12-13 13:54:38.320,4.56E-08,2.72E-08
,,,2022-12-13 13:54:38.821,4.66E-08,2.72E-08
,,,2022-12-13 13:54:39.321,-6.04E-08,3.2E-08
,,,2022-12-13 13:54:39.820,3.92E-08,2.8E-08
,,,2022-12-13 13:54:40.321,5.36E-08,3.76E-08
,,,2022-12-13 13:54:40.821,-8.16E-08,2.94E-08
,,,2022-12-13 13:54:41.321,-3.16E-08,3.38E-08
,,,2022-12-13 13:54:41.821,-2.16E-08,3.18E-08
,,,2022-12-13 13:54:42.322,2.08E-08,3.46E-08
,,,2022-12-13 13:54:42.823,5.14E-08,-1E-07
,,,2022-12-13 13:54:43.322,4.76E-08,3.34E-08
,,,2022-12-13 13:54:43.821,-5.6E-09,3.5E-08
,,,2022-12-13 13:54:44.322,4.58E-08,4.64E-08
,,,2022-12-13 13:54:44.822,6.82E-08,3.12E-08
,,,2022-12-13 13:54:45.322,-9.44E-08,3.8E-08
,,,2022-12-13 13:54:45.823,-5.38E-08,2.66E-08
,,,2022-12-13 13:54:46.321,9.22E-08,3.78E-08
,,,2022-12-13 13:54:46.823,6.6E-09,3.48E-08
,,,2022-12-13 13:54:47.321,1.4E-09,3.1E-08
,,,2022-12-13 13:54:47.821,-8.74E-08,3.2E-08
,,,2022-12-13 13:54:48.321,4.5E-08,4.08E-08
,,,2022-12-13 13:54:48.822,5.92E-08,3.08E-08
,,,2022-12-13 13:54:49.321,1.22E-08,3.26E-08
,,,2022-12-13 13:54:49.821,7.9E-08,3.3E-08
,,,2022-12-13 13:54:50.323,-4.58E-08,3.32E-08
,,,2022-12-13 13:54:50.821,4.6E-08,3.22E-08
,,,2022-12-13 13:54:51.322,4.78E-08,3.64E-08
,,,2022-12-13 13:54:51.822,-3.04E-08,3.14E-08
,,,2022-12-13 13:54:52.321,-1.3E-08,-8.12E-08
,,,2022-12-13 13:54:52.821,-9.62E-08,3.74E-08
,,,2022-12-13 13:54:53.321,-5.42E-08,3.24E-08
,,,2022-12-13 13:54:53.821,5.2E-09,3.5E-08
,,,2022-12-13 13:54:54.321,4.56E-08,3.36E-08
,,,2022-12-13 13:54:54.822,1.84E-08,7.04E-08
,,,2022-12-13 13:54:55.321,-3.44E-08,6.08E-08
,,,2022-12-13 13:54:55.820,-6.44E-08,3.14E-08
,,,2022-12-13 13:54:56.320,-8.44E-08,3.2E-08
,,,2022-12-13 13:54:56.820,-5.56E-08,-2.24E-08
,,,2022-12-13 13:54:57.321,-6.38E-08,3.16E-08
,,,2022-12-13 13:54:57.821,6.42E-08,4.02E-08
,,,2022-12-13 13:54:58.322,7.16E-08,2.98E-08
,,,2022-12-13 13:54:58.823,-7.2E-08,3.1E-08
,,,2022-12-13 13:54:59.322,-3.34E-08,3.86E-08
,,,2022-12-13 13:54:59.822,-3.42E-08,2.98E-08
,,,2022-12-13 13:55:00.321,-2.46E-08,-1.02E-08
,,,2022-12-13 13:55:00.821,4.68E-08,3.2E-08
,,,2022-12-13 13:55:01.321,4.94E-08,3.5E-08
,,,2022-12-13 13:55:01.821,3.32E-08,3.28E-08
,,,2022-12-13 13:55:02.320,-2.7E-08,3.2E-08
,,,2022-12-13 13:55:02.821,6E-09,3.64E-08
,,,2022-12-13 13:55:03.321,4.9E-08,2.84E-08
,,,2022-12-13 13:55:03.821,4.74E-08,-3.06E-08
,,,2022-12-13 13:55:04.322,9.82E-08,3.14E-08
,,,2022-12-13 13:55:04.822,-2.36E-08,5.68E-08
,,,2022-12-13 13:55:05.322,5.78E-08,4.2E-08
,,,2022-12-13 13:55:05.821,-8.66E-08,3E-08
,,,2022-12-13 13:55:06.322,-1E-07,3.16E-08
,,,2022-12-13 13:55:06.822,-3.14E-08,3.32E-08
,,,2022-12-13 13:55:07.322,7.6E-08,4.22E-08
,,,2022-12-13 13:55:07.821,-2.8E-08,4.32E-08
,,,2022-12-13 13:55:08.322,-1.26E-08,3.56E-08
,,,2022-12-13 13:55:08.822,5.04E-08,3.38E-08
,,,2022-12-13 13:55:09.321,3.58E-08,3.52E-08
,,,2022-12-13 13:55:09.821,5.06E-08,2.94E-08
,,,2022-12-13 13:55:10.322,2.78E-08,-2.58E-08
,,,2022-12-13 13:55:10.821,-9.84E-08,3.32E-08
,,,2022-12-13 13:55:11.321,2.98E-08,3.24E-08
,,,2022-12-13 13:55:11.822,-5.94E-08,3.62E-08
,,,2022-12-13 13:55:12.323,4.32E-08,3.26E-08
,,,2022-12-13 13:55:12.821,-9.24E-08,3.14E-08
,,,2022-12-13 13:55:13.322,4.14E-08,3.26E-08
,,,2022-12-13 13:55:13.822,-5.58E-08,3.52E-08
,,,2022-12-13 13:55:14.321,-9.24E-08,3.44E-08
,,,2022-12-13 13:55:14.821,4.74E-08,3.46E-08
,,,2022-12-13 13:55:15.321,-7.08E-08,3.6E-08
,,,2022-12-13 13:55:15.821,-3.08E-08,3.16E-08
,,,2022-12-13 13:55:16.321,4.1E-08,3.3E-08
,,,2022-12-13 13:55:16.821,6.36E-08,3.1E-08
,,,2022-12-13 13:55:17.322,5.2E-08,3.48E-08
,,,2022-12-13 13:55:17.822,-1.8E-09,4.46E-08
,,,2022-12-13 13:55:18.320,-6.8E-08,3.54E-08
,,,2022-12-13 13:55:18.821,-2.68E-08,3.46E-08
,,,2022-12-13 13:55:19.322,-7.76E-08,3.58E-08
,,,2022-12-13 13:55:19.821,5.12E-08,3.48E-08
,,,2022-12-13 13:55:20.322,9.94E-08,3.06E-08
,,,2022-12-13 13:55:20.821,4.74E-08,3.2E-08
,,,2022-12-13 13:55:21.321,5.02E-08,3.14E-08
,,,2022-12-13 13:55:21.821,3.38E-08,4.72E-08
,,,2022-12-13 13:55:22.322,5.96E-08,3.48E-08
,,,2022-12-13 13:55:22.821,4.8E-08,3.16E-08
,,,2022-12-13 13:55:23.321,9.1E-08,2.74E-08
,,,2022-12-13 13:55:23.821,-1.82E-08,3.16E-08
,,,2022-12-13 13:55:24.320,-9.68E-08,3.18E-08
,,,2022-12-13 13:55:24.821,-2.34E-08,3.9E-08
,,,2022-12-13 13:55:25.321,5.6E-08,3.02E-08
,,,2022-12-13 13:55:25.821,5.54E-08,3.84E-08
,,,2022-12-13 13:55:26.321,4.86E-08,3.3E-08
,,,2022-12-13 13:55:26.821,4.66E-08,3.66E-08
,,,2022-12-13 13:55:27.322,4.68E-08,2.84E-08
,,,2022-12-13 13:55:27.822,5.22E-08,3.52E-08
,,,2022-12-13 13:55:28.321,6.3E-08,3.44E-08
,,,2022-12-13 13:55:28.821,4.96E-08,3.38E-08
,,,2022-12-13 13:55:29.320,-8.02E-08,-5.88E-08
,,,2022-12-13 13:55:29.821,-9.58E-08,3.48E-08
,,,2022-12-13 13:55:30.322,5.62E-08,3.34E-08
,,,2022-12-13 13:55:30.822,-8E-08,3.26E-08
,,,2022-12-13 13:55:31.323,-3.02E-08,3.14E-08
,,,2022-12-13 13:55:31.822,2E-09,3.34E-08
,,,2022-12-13 13:55:32.322,1.26E-08,3.06E-08
,,,2022-12-13 13:55:32.823,4.56E-08,3.96E-08
,,,2022-12-13 13:55:33.320,5.14E-08,3.78E-08
,,,2022-12-13 13:55:33.820,2.6E-08,3.82E-08
,,,2022-12-13 13:55:34.320,-1.94E-08,3.08E-08
,,,2022-12-13 13:55:34.820,4.02E-08,3.08E-08
,,,2022-12-13 13:55:35.320,2.48E-08,4.92E-08
,,,2022-12-13 13:55:35.820,9.92E-08,4.6E-08
,,,2022-12-13 13:55:36.321,-4.88E-08,2.94E-08
,,,2022-12-13 13:55:36.822,7.58E-08,4.44E-08
,,,2022-12-13 13:55:37.322,7.96E-08,3.36E-08
,,,2022-12-13 13:55:37.822,1.14E-08,3.64E-08
,,,2022-12-13 13:55:38.321,5.54E-08,3.5E-08
,,,2022-12-13 13:55:38.822,6.56E-08,3E-08
,,,2022-12-13 13:55:39.322,3.4E-08,3.52E-08
,,,2022-12-13 13:55:39.822,-1E-07,3.56E-08
,,,2022-12-13 13:55:40.321,4.42E-08,3.72E-08
,,,2022-12-13 13:55:40.822,6E-08,3.24E-08
,,,2022-12-13 13:55:41.321,-9.4E-09,-3.36E-08
,,,2022-12-13 13:55:41.821,4E-08,3.28E-08
,,,2022-12-13 13:55:42.322,-6.98E-08,3.34E-08
,,,2022-12-13 13:55:42.821,-1.42E-08,3.48E-08
,,,2022-12-13 13:55:43.321,-6.94E-08,3.64E-08
,,,2022-12-13 13:55:43.821,4.7E-08,3.1E-08
,,,2022-12-13 13:55:44.322,7.5E-08,3.44E-08
,,,2022-12-13 13:55:44.822,-8E-08,3.24E-08
,,,2022-12-13 13:55:45.321,-7.76E-08,3.6E-08
,,,2022-12-13 13:55:45.822,9.14E-08,3.38E-08
,,,2022-12-13 13:55:46.321,9.92E-08,3.14E-08
,,,2022-12-13 13:55:46.821,8.5E-08,3.26E-08
,,,2022-12-13 13:55:47.321,1.1E-08,3.14E-08
,,,2022-12-13 13:55:47.820,5.4E-08,3E-08
,,,2022-12-13 13:55:48.320,5.18E-08,3.54E-08
,,,2022-12-13 13:55:48.820,-6.08E-08,3.36E-08
,,,2022-12-13 13:55:49.321,2.2E-09,2.98E-08
,,,2022-12-13 13:55:49.820,1.2E-08,3.54E-08
,,,2022-12-13 13:55:50.321,5.42E-08,3.04E-08
,,,2022-12-13 13:55:50.821,-7.56E-08,6.04E-08
,,,2022-12-13 13:55:51.321,-3.08E-08,2.9E-08
,,,2022-12-13 13:55:51.821,5.06E-08,-6.92E-08
,,,2022-12-13 13:55:52.322,4.76E-08,3.6E-08
,,,2022-12-13 13:55:52.821,4.84E-08,3.08E-08
,,,2022-12-13 13:55:53.321,-9.98E-08,2.94E-08
,,,2022-12-13 13:55:53.821,5E-09,3.1E-08
,,,2022-12-13 13:55:54.321,4.9E-08,3.54E-08
,,,2022-12-13 13:55:54.822,1.3E-08,3.26E-08
,,,2022-12-13 13:55:55.321,6.42E-08,3.8E-08
,,,2022-12-13 13:55:55.820,4.82E-08,4.2E-08
,,,2022-12-13 13:55:56.321,5.18E-08,3.3E-08
,,,2022-12-13 13:55:56.822,5.14E-08,6.36E-08
,,,2022-12-13 13:55:57.321,-8.6E-09,-9.12E-08
,,,2022-12-13 13:55:57.822,-1E-07,3.22E-08
,,,2022-12-13 13:55:58.322,-5.14E-08,2.92E-08
,,,2022-12-13 13:55:58.821,4.34E-08,3.44E-08
,,,2022-12-13 13:55:59.321,5.04E-08,3.44E-08
,,,2022-12-13 13:55:59.821,7.86E-08,-5.7E-08
,,,2022-12-13 13:56:00.320,5.06E-08,3.24E-08
,,,2022-12-13 13:56:00.821,8.14E-08,3.16E-08
,,,2022-12-13 13:56:01.321,-1.16E-08,3.18E-08
,,,2022-12-13 13:56:01.821,4.58E-08,3.44E-08
,,,2022-12-13 13:56:02.322,-8.44E-08,9.42E-08
,,,2022-12-13 13:56:02.822,1.42E-08,3.4E-08
,,,2022-12-13 13:56:03.320,4.56E-08,3.44E-08
,,,2022-12-13 13:56:03.821,5.02E-08,3.46E-08
,,,2022-12-13 13:56:04.322,6.46E-08,3.42E-08
,,,2022-12-13 13:56:04.821,9.7E-08,2.98E-08
,,,2022-12-13 13:56:05.322,4.54E-08,4.78E-08
,,,2022-12-13 13:56:05.821,-2.84E-08,3.26E-08
,,,2022-12-13 13:56:06.321,-9.96E-08,3.42E-08
,,,2022-12-13 13:56:06.820,4.38E-08,3.68E-08
,,,2022-12-13 13:56:07.321,-5.5E-08,2.78E-08
,,,2022-12-13 13:56:07.821,9.6E-08,9.3E-08
,,,2022-12-13 13:56:08.320,-6.94E-08,3.42E-08
,,,2022-12-13 13:56:08.820,-3.46E-08,3.34E-08
,,,2022-12-13 13:56:09.321,9.96E-08,3.14E-08
,,,2022-12-13 13:56:09.821,8.08E-08,3.24E-08
,,,2022-12-13 13:56:10.321,4.26E-08,3.78E-08
,,,2022-12-13 13:56:10.820,-3.44E-08,3.48E-08
,,,2022-12-13 13:56:11.321,7.64E-08,3.44E-08
,,,2022-12-13 13:56:11.821,-1.78E-08,3.62E-08
,,,2022-12-13 13:56:12.320,-9.22E-08,4.36E-08
,,,2022-12-13 13:56:12.821,4.7E-08,3.36E-08
,,,2022-12-13 13:56:13.320,-3.54E-08,3.24E-08
,,,2022-12-13 13:56:13.821,5.36E-08,3.12E-08
,,,2022-12-13 13:56:14.321,-6.6E-09,3.26E-08
,,,2022-12-13 13:56:14.822,-9.82E-08,3.2E-08
,,,2022-12-13 13:56:15.321,1.68E-08,-5.1E-08
,,,2022-12-13 13:56:15.821,-7.54E-08,3.58E-08
,,,2022-12-13 13:56:16.321,-4E-10,3.12E-08
,,,2022-12-13 13:56:16.822,5.34E-08,3.04E-08
,,,2022-12-13 13:56:17.321,6.3E-08,4.72E-08
,,,2022-12-13 13:56:17.821,5.18E-08,2.96E-08
,,,2022-12-13 13:56:18.320,5.06E-08,-6.72E-08
,,,2022-12-13 13:56:18.820,5.5E-08,4.8E-08
,,,2022-12-13 13:56:19.320,-8.56E-08,3.54E-08
,,,2022-12-13 13:56:19.821,4.38E-08,3.5E-08
,,,2022-12-13 13:56:20.321,4.54E-08,3.16E-08
,,,2022-12-13 13:56:20.822,4.04E-08,3.88E-08
,,,2022-12-13 13:56:21.322,-5.42E-08,3.14E-08
,,,2022-12-13 13:56:21.822,-6.72E-08,3.18E-08
,,,2022-12-13 13:56:22.323,6.32E-08,3.36E-08
,,,2022-12-13 13:56:22.823,8.66E-08,3.04E-08
