Address:,TCPIP0::192.168.1.2::inst0::INSTR,,Time (s),Minimum(4) (V),Minimum(1) (V)
Model:,MSO-X 4154A,,2022-12-14 14:44:11.359,-0.030311,-0.060498
Serial Number:,MY60101365,,2022-12-14 14:44:11.858,-0.030311,-0.050456
Firmware Version:,<Unknown Revision>,,2022-12-14 14:44:12.359,-0.033658,-0.067193
Start Time:,2022-12-14 14:44:11.359,,2022-12-14 14:44:12.858,-0.020269,-0.048783
Stop Time:,2022-12-14 14:54:11.358,,2022-12-14 14:44:13.358,-0.02529,-0.063846
Sample Period:,0.5,,2022-12-14 14:44:13.858,-0.037005,-0.080582
,,,2022-12-14 14:44:14.358,-0.016922,-0.047109
,,,2022-12-14 14:44:14.858,-0.015248,-0.087277
,,,2022-12-14 14:44:15.358,-0.028637,-0.102339
,,,2022-12-14 14:44:15.858,-0.018595,-0.047109
,,,2022-12-14 14:44:16.358,-0.011901,-0.063846
,,,2022-12-14 14:44:16.858,-0.026963,-0.050456
,,,2022-12-14 14:44:17.358,-0.048721,-0.053804
,,,2022-12-14 14:44:17.857,-0.02529,-0.047109
,,,2022-12-14 14:44:18.357,-0.028637,-0.080582
,,,2022-12-14 14:44:18.858,-0.031984,-0.048783
,,,2022-12-14 14:44:19.357,-0.030311,-0.053804
,,,2022-12-14 14:44:19.857,-0.020269,-0.040415
,,,2022-12-14 14:44:20.357,-0.020269,-0.097318
,,,2022-12-14 14:44:20.856,-0.031984,-0.048783
,,,2022-12-14 14:44:21.357,-0.023616,-0.05213
,,,2022-12-14 14:44:21.857,-0.038679,-0.048783
,,,2022-12-14 14:44:22.358,-0.033658,-0.07054
,,,2022-12-14 14:44:22.857,-0.023616,-0.07054
,,,2022-12-14 14:44:23.357,-0.020269,-0.073887
,,,2022-12-14 14:44:23.857,-0.026963,-0.050456
,,,2022-12-14 14:44:24.358,-0.015248,-0.05213
,,,2022-12-14 14:44:24.858,-0.033658,-0.08895
,,,2022-12-14 14:44:25.357,-0.02529,-0.067193
,,,2022-12-14 14:44:25.856,-0.015248,-0.050456
,,,2022-12-14 14:44:26.357,-0.042026,-0.068867
,,,2022-12-14 14:44:26.857,-0.0437,-0.05213
,,,2022-12-14 14:44:27.356,-0.02529,-0.058825
,,,2022-12-14 14:44:27.857,-0.020269,-0.047109
,,,2022-12-14 14:44:28.357,-0.031984,-0.055477
,,,2022-12-14 14:44:28.857,-0.020269,-0.075561
,,,2022-12-14 14:44:29.357,-0.026963,-0.062172
,,,2022-12-14 14:44:29.857,-0.030311,-0.068867
,,,2022-12-14 14:44:30.357,-0.033658,-0.055477
,,,2022-12-14 14:44:30.857,-0.015248,-0.047109
,,,2022-12-14 14:44:31.357,-0.031984,-0.047109
,,,2022-12-14 14:44:31.858,-0.023616,-0.068867
,,,2022-12-14 14:44:32.358,-0.018595,-0.078908
,,,2022-12-14 14:44:32.858,-0.047047,-0.055477
,,,2022-12-14 14:44:33.359,-0.026963,-0.048783
,,,2022-12-14 14:44:33.858,-0.010227,-0.060498
,,,2022-12-14 14:44:34.357,-0.023616,-0.082256
,,,2022-12-14 14:44:34.858,-0.02529,-0.087277
,,,2022-12-14 14:44:35.358,-0.045373,-0.068867
,,,2022-12-14 14:44:35.858,-0.02529,-0.063846
,,,2022-12-14 14:44:36.358,-0.033658,-0.055477
,,,2022-12-14 14:44:36.857,-0.023616,-0.072214
,,,2022-12-14 14:44:37.358,-0.02529,-0.063846
,,,2022-12-14 14:44:37.858,-0.030311,-0.060498
,,,2022-12-14 14:44:38.358,-0.028637,-0.093971
,,,2022-12-14 14:44:38.859,-0.023616,-0.082256
,,,2022-12-14 14:44:39.359,-0.038679,-0.062172
,,,2022-12-14 14:44:39.858,-0.018595,-0.057151
,,,2022-12-14 14:44:40.357,-0.015248,-0.063846
,,,2022-12-14 14:44:40.858,-0.013574,-0.055477
,,,2022-12-14 14:44:41.358,-0.023616,-0.075561
,,,2022-12-14 14:44:41.858,-0.011901,-0.080582
,,,2022-12-14 14:44:42.358,-0.011901,-0.078908
,,,2022-12-14 14:44:42.858,-0.040353,-0.07054
,,,2022-12-14 14:44:43.359,-0.011901,-0.055477
,,,2022-12-14 14:44:43.859,-0.033658,-0.048783
,,,2022-12-14 14:44:44.359,-0.030311,-0.037067
,,,2022-12-14 14:44:44.859,-0.023616,-0.042088
,,,2022-12-14 14:44:45.359,-0.033658,-0.097318
,,,2022-12-14 14:44:45.859,-0.033658,-0.053804
,,,2022-12-14 14:44:46.358,-0.042026,-0.047109
,,,2022-12-14 14:44:46.859,-0.033658,-0.097318
,,,2022-12-14 14:44:47.358,-0.023616,-0.077235
,,,2022-12-14 14:44:47.859,-0.047047,-0.098992
,,,2022-12-14 14:44:48.359,-0.021942,-0.083929
,,,2022-12-14 14:44:48.858,-0.018595,-0.057151
,,,2022-12-14 14:44:49.358,-0.040353,-0.078908
,,,2022-12-14 14:44:49.858,-0.015248,-0.062172
,,,2022-12-14 14:44:50.359,-0.016922,-0.038741
,,,2022-12-14 14:44:50.858,-0.026963,-0.037067
,,,2022-12-14 14:44:51.357,-0.038679,-0.068867
,,,2022-12-14 14:44:51.858,-0.02529,-0.062172
,,,2022-12-14 14:44:52.358,-0.035332,-0.072214
,,,2022-12-14 14:44:52.858,-0.021942,-0.063846
,,,2022-12-14 14:44:53.359,-0.020269,-0.080582
,,,2022-12-14 14:44:53.859,-0.028637,-0.083929
,,,2022-12-14 14:44:54.359,-0.033658,-0.087277
,,,2022-12-14 14:44:54.858,-0.015248,-0.055477
,,,2022-12-14 14:44:55.358,-0.040353,-0.048783
,,,2022-12-14 14:44:55.857,-0.037005,-0.065519
,,,2022-12-14 14:44:56.358,-0.030311,-0.040415
,,,2022-12-14 14:44:56.859,-0.038679,-0.082256
,,,2022-12-14 14:44:57.359,-0.023616,-0.082256
,,,2022-12-14 14:44:57.858,-0.028637,-0.058825
,,,2022-12-14 14:44:58.359,-0.026963,-0.065519
,,,2022-12-14 14:44:58.858,-0.033658,-0.048783
,,,2022-12-14 14:44:59.357,-0.02529,-0.047109
,,,2022-12-14 14:44:59.858,-0.047047,-0.075561
,,,2022-12-14 14:45:00.358,-0.045373,-0.043762
,,,2022-12-14 14:45:00.858,-0.0437,-0.045436
,,,2022-12-14 14:45:01.357,-0.021942,-0.042088
,,,2022-12-14 14:45:01.857,-0.015248,-0.08895
,,,2022-12-14 14:45:02.359,-0.037005,-0.058825
,,,2022-12-14 14:45:02.859,-0.023616,-0.077235
,,,2022-12-14 14:45:03.358,-0.016922,-0.068867
,,,2022-12-14 14:45:03.858,-0.016922,-0.045436
,,,2022-12-14 14:45:04.359,-0.02529,-0.040415
,,,2022-12-14 14:45:04.858,-0.018595,-0.060498
,,,2022-12-14 14:45:05.358,-0.035332,-0.05213
,,,2022-12-14 14:45:05.859,-0.037005,-0.073887
,,,2022-12-14 14:45:06.358,-0.026963,-0.058825
,,,2022-12-14 14:45:06.857,-0.02529,-0.083929
,,,2022-12-14 14:45:07.358,-0.035332,-0.043762
,,,2022-12-14 14:45:07.858,-0.033658,-0.048783
,,,2022-12-14 14:45:08.358,-0.035332,-0.043762
,,,2022-12-14 14:45:08.857,-0.038679,-0.060498
,,,2022-12-14 14:45:09.357,-0.037005,-0.075561
,,,2022-12-14 14:45:09.857,-0.030311,-0.07054
,,,2022-12-14 14:45:10.359,-0.038679,-0.053804
,,,2022-12-14 14:45:10.858,-0.013574,-0.075561
,,,2022-12-14 14:45:11.358,-0.023616,-0.050456
,,,2022-12-14 14:45:11.858,-0.013574,-0.082256
,,,2022-12-14 14:45:12.358,-0.028637,-0.078908
,,,2022-12-14 14:45:12.857,-0.023616,-0.072214
,,,2022-12-14 14:45:13.358,-0.023616,-0.063846
,,,2022-12-14 14:45:13.859,-0.035332,-0.050456
,,,2022-12-14 14:45:14.357,-0.028637,-0.045436
,,,2022-12-14 14:45:14.858,-0.023616,-0.045436
,,,2022-12-14 14:45:15.358,-0.015248,-0.050456
,,,2022-12-14 14:45:15.858,-0.016922,-0.065519
,,,2022-12-14 14:45:16.358,-0.037005,-0.045436
,,,2022-12-14 14:45:16.858,-0.030311,-0.057151
,,,2022-12-14 14:45:17.358,-0.048721,-0.087277
,,,2022-12-14 14:45:17.858,-0.026963,-0.08895
,,,2022-12-14 14:45:18.357,-0.026963,-0.078908
,,,2022-12-14 14:45:18.858,-0.018595,-0.05213
,,,2022-12-14 14:45:19.358,-0.023616,-0.073887
,,,2022-12-14 14:45:19.858,-0.008553,-0.08895
,,,2022-12-14 14:45:20.358,-0.02529,-0.063846
,,,2022-12-14 14:45:20.858,-0.023616,-0.067193
,,,2022-12-14 14:45:21.358,-0.015248,-0.075561
,,,2022-12-14 14:45:21.859,-0.015248,-0.048783
,,,2022-12-14 14:45:22.358,-0.023616,-0.062172
,,,2022-12-14 14:45:22.858,-0.010227,-0.077235
,,,2022-12-14 14:45:23.357,-0.031984,-0.055477
