Address:,TCPIP0::192.168.1.2::inst0::INSTR,,Time (s),Minimum(4) (V),Minimum(1) (V)
Model:,MSO-X 4154A,,2022-12-14 15:29:02.819,-0.018595,-0.062172
Serial Number:,MY60101365,,2022-12-14 15:29:03.320,-0.010227,-0.080582
Firmware Version:,<Unknown Revision>,,2022-12-14 15:29:03.821,-0.028637,-0.109034
Start Time:,2022-12-14 15:29:02.819,,2022-12-14 15:29:04.318,-0.015248,-0.093971
Stop Time:,2022-12-14 15:39:02.818,,2022-12-14 15:29:04.818,-0.011901,-0.092297
Sample Period:,0.5,,2022-12-14 15:29:05.320,-0.015248,-0.095645
,,,2022-12-14 15:29:05.820,-0.040353,-0.073887
,,,2022-12-14 15:29:06.318,-0.011901,-0.080582
,,,2022-12-14 15:29:06.819,-0.015248,-0.082256
,,,2022-12-14 15:29:07.320,-0.020269,-0.07054
,,,2022-12-14 15:29:07.817,-0.030311,-0.07054
,,,2022-12-14 15:29:08.318,-0.031984,-0.057151
,,,2022-12-14 15:29:08.819,-0.015248,-0.110708
,,,2022-12-14 15:29:09.319,-0.020269,-0.095645
,,,2022-12-14 15:29:09.819,-0.018595,-0.097318
,,,2022-12-14 15:29:10.319,-0.010227,-0.058825
,,,2022-12-14 15:29:10.819,-0.020269,-0.043762
,,,2022-12-14 15:29:11.320,-0.026963,-0.055477
,,,2022-12-14 15:29:11.819,-0.016922,-0.16259
,,,2022-12-14 15:29:12.320,-0.015248,-0.053804
,,,2022-12-14 15:29:12.819,-0.021942,-0.095645
,,,2022-12-14 15:29:13.318,-0.010227,-0.122423
,,,2022-12-14 15:29:13.819,-0.018595,-0.068867
,,,2022-12-14 15:29:14.318,-0.023616,-0.082256
,,,2022-12-14 15:29:14.818,-0.02529,-0.090624
,,,2022-12-14 15:29:15.318,-0.010227,-0.083929
,,,2022-12-14 15:29:15.819,-0.020269,-0.067193
,,,2022-12-14 15:29:16.320,-0.011901,-0.07054
,,,2022-12-14 15:29:16.819,-0.015248,-0.109034
,,,2022-12-14 15:29:17.318,-0.02529,-0.109034
,,,2022-12-14 15:29:17.818,-0.018595,-0.060498
,,,2022-12-14 15:29:18.318,-0.021942,-0.095645
,,,2022-12-14 15:29:18.818,-0.023616,-0.112381
,,,2022-12-14 15:29:19.318,-0.013574,-0.068867
,,,2022-12-14 15:29:19.819,-0.018595,-0.07054
,,,2022-12-14 15:29:20.319,-0.047047,-0.065519
,,,2022-12-14 15:29:20.819,-0.026963,-0.087277
,,,2022-12-14 15:29:21.319,-0.011901,-0.073887
,,,2022-12-14 15:29:21.819,-0.023616,-0.08895
,,,2022-12-14 15:29:22.318,-0.018595,-0.058825
,,,2022-12-14 15:29:22.819,-0.015248,-0.082256
,,,2022-12-14 15:29:23.318,-0.026963,-0.10736
,,,2022-12-14 15:29:23.818,-0.015248,-0.112381
,,,2022-12-14 15:29:24.318,-0.016922,-0.097318
,,,2022-12-14 15:29:24.817,-0.015248,-0.095645
,,,2022-12-14 15:29:25.318,-0.011901,-0.095645
,,,2022-12-14 15:29:25.818,-0.033658,-0.057151
,,,2022-12-14 15:29:26.319,-0.015248,-0.063846
,,,2022-12-14 15:29:26.819,-0.015248,-0.048783
,,,2022-12-14 15:29:27.318,-0.015248,-0.068867
,,,2022-12-14 15:29:27.818,-0.023616,-0.085603
,,,2022-12-14 15:29:28.318,-0.015248,-0.055477
,,,2022-12-14 15:29:28.818,-0.020269,-0.073887
,,,2022-12-14 15:29:29.318,-0.026963,-0.073887
,,,2022-12-14 15:29:29.818,-0.031984,-0.16259
,,,2022-12-14 15:29:30.318,-0.013574,-0.087277
,,,2022-12-14 15:29:30.818,-0.013574,-0.083929
,,,2022-12-14 15:29:31.318,-0.020269,-0.073887
,,,2022-12-14 15:29:31.818,-0.015248,-0.065519
,,,2022-12-14 15:29:32.318,-0.037005,-0.048783
,,,2022-12-14 15:29:32.819,-0.033658,-0.102339
,,,2022-12-14 15:29:33.318,-0.008553,-0.082256
,,,2022-12-14 15:29:33.818,-0.037005,-0.078908
