Address:,TCPIP0::192.168.1.2::inst0::INSTR,,Time (s),Minimum(4) (V),Minimum(1) (V)
Model:,MSO-X 4154A,,2022-12-14 15:41:24.175,-0.013574,-0.072214
Serial Number:,MY60101365,,2022-12-14 15:41:24.676,-0.008553,-0.078908
Firmware Version:,<Unknown Revision>,,2022-12-14 15:41:25.177,-0.013574,-0.100666
Start Time:,2022-12-14 15:41:24.175,,2022-12-14 15:41:25.675,-0.015248,-0.082256
Stop Time:,2022-12-14 15:51:24.177,,2022-12-14 15:41:26.174,-0.011901,-0.104013
Sample Period:,0.5,,2022-12-14 15:41:26.675,-0.015248,-0.083929
,,,2022-12-14 15:41:27.175,-0.015248,-0.097318
,,,2022-12-14 15:41:27.675,-0.016922,-0.075561
,,,2022-12-14 15:41:28.174,-0.011901,-0.08895
,,,2022-12-14 15:41:28.674,-0.020269,-0.067193
,,,2022-12-14 15:41:29.174,-0.021942,-0.067193
,,,2022-12-14 15:41:29.675,-0.020269,-0.083929
,,,2022-12-14 15:41:30.175,-0.013574,-0.097318
,,,2022-12-14 15:41:30.674,-0.011901,-0.060498
,,,2022-12-14 15:41:31.175,-0.028637,-0.062172
,,,2022-12-14 15:41:31.676,-0.011901,-0.062172
,,,2022-12-14 15:41:32.175,-0.010227,-0.115728
,,,2022-12-14 15:41:32.676,-0.018595,-0.097318
,,,2022-12-14 15:41:33.175,-0.018595,-0.10736
,,,2022-12-14 15:41:33.676,-0.010227,-0.097318
,,,2022-12-14 15:41:34.176,-0.011901,-0.075561
,,,2022-12-14 15:41:34.675,-0.013574,-0.082256
,,,2022-12-14 15:41:35.174,-0.010227,-0.055477
,,,2022-12-14 15:41:35.674,-0.008553,-0.050456
,,,2022-12-14 15:41:36.174,-0.011901,-0.055477
,,,2022-12-14 15:41:36.675,-0.010227,-0.109034
,,,2022-12-14 15:41:37.175,-0.020269,-0.098992
,,,2022-12-14 15:41:37.676,-0.011901,-0.114055
,,,2022-12-14 15:41:38.175,-0.015248,-0.048783
,,,2022-12-14 15:41:38.675,-0.023616,-0.047109
,,,2022-12-14 15:41:39.175,-0.020269,-0.08895
,,,2022-12-14 15:41:39.675,-0.010227,-0.072214
,,,2022-12-14 15:41:40.175,-0.011901,-0.065519
,,,2022-12-14 15:41:40.675,-0.010227,-0.073887
,,,2022-12-14 15:41:41.175,-0.013574,-0.085603
,,,2022-12-14 15:41:41.675,-0.010227,-0.092297
,,,2022-12-14 15:41:42.175,-0.011901,-0.122423
,,,2022-12-14 15:41:42.675,-0.015248,-0.067193
,,,2022-12-14 15:41:43.175,-0.011901,-0.117402
,,,2022-12-14 15:41:43.674,-0.018595,-0.110708
,,,2022-12-14 15:41:44.175,-0.018595,-0.077235
,,,2022-12-14 15:41:44.675,-0.011901,-0.104013
,,,2022-12-14 15:41:45.175,-0.016922,-0.048783
,,,2022-12-14 15:41:45.675,-0.011901,-0.087277
,,,2022-12-14 15:41:46.175,-0.008553,-0.090624
,,,2022-12-14 15:41:46.674,-0.015248,-0.065519
,,,2022-12-14 15:41:47.174,-0.015248,-0.130791
,,,2022-12-14 15:41:47.675,-0.016922,-0.093971
,,,2022-12-14 15:41:48.175,-0.008553,-0.083929
,,,2022-12-14 15:41:48.675,-0.015248,-0.092297
,,,2022-12-14 15:41:49.176,-0.02529,-0.072214
,,,2022-12-14 15:41:49.675,-0.018595,-0.073887
,,,2022-12-14 15:41:50.175,-0.011901,-0.083929
,,,2022-12-14 15:41:50.675,-0.016922,-0.073887
,,,2022-12-14 15:41:51.174,-0.011901,-0.080582
,,,2022-12-14 15:41:51.674,-0.016922,-0.077235
,,,2022-12-14 15:41:52.175,-0.011901,-0.08895
,,,2022-12-14 15:41:52.675,-0.011901,-0.087277
,,,2022-12-14 15:41:53.176,-0.016922,-0.090624
,,,2022-12-14 15:41:53.675,-0.018595,-0.063846
,,,2022-12-14 15:41:54.175,-0.008553,-0.08895
,,,2022-12-14 15:41:54.675,-0.011901,-0.082256
,,,2022-12-14 15:41:55.175,-0.015248,-0.067193
,,,2022-12-14 15:41:55.675,-0.008553,-0.043762
,,,2022-12-14 15:41:56.176,-0.011901,-0.045436
,,,2022-12-14 15:41:56.675,-0.010227,-0.062172
,,,2022-12-14 15:41:57.175,-0.018595,-0.073887
,,,2022-12-14 15:41:57.674,-0.011901,-0.083929
,,,2022-12-14 15:41:58.175,-0.011901,-0.080582
,,,2022-12-14 15:41:58.676,-0.008553,-0.07054
,,,2022-12-14 15:41:59.176,-0.011901,-0.090624
,,,2022-12-14 15:41:59.674,-0.011901,-0.100666
,,,2022-12-14 15:42:00.175,-0.008553,-0.083929
,,,2022-12-14 15:42:00.676,-0.023616,-0.085603
,,,2022-12-14 15:42:01.175,-0.011901,-0.08895
,,,2022-12-14 15:42:01.675,-0.011901,-0.062172
,,,2022-12-14 15:42:02.175,-0.011901,-0.093971
,,,2022-12-14 15:42:02.676,-0.020269,-0.063846
,,,2022-12-14 15:42:03.175,-0.011901,-0.072214
,,,2022-12-14 15:42:03.675,-0.010227,-0.085603
,,,2022-12-14 15:42:04.174,-0.015248,-0.082256
,,,2022-12-14 15:42:04.674,-0.011901,-0.082256
,,,2022-12-14 15:42:05.175,-0.015248,-0.048783
,,,2022-12-14 15:42:05.675,-0.018595,-0.07054
,,,2022-12-14 15:42:06.177,-0.015248,-0.042088
