Address:,TCPIP0::192.168.1.2::inst0::INSTR,,Time (s),Minimum(4) (V),Minimum(1) (V)
Model:,MSO-X 4154A,,2022-12-14 14:25:20.481,-0.060436,-0.062172
Serial Number:,MY60101365,,2022-12-14 14:25:20.980,-0.045373,-0.073887
Firmware Version:,<Unknown Revision>,,2022-12-14 14:25:21.480,-0.035332,-0.075561
Start Time:,2022-12-14 14:25:20.481,,2022-12-14 14:25:21.980,-0.038679,-0.098992
Stop Time:,2022-12-14 14:35:20.480,,2022-12-14 14:25:22.480,-0.050394,-0.062172
Sample Period:,0.5,,2022-12-14 14:25:22.980,-0.038679,-0.080582
,,,2022-12-14 14:25:23.481,-0.052068,-0.10736
,,,2022-12-14 14:25:23.981,-0.077173,-0.075561
,,,2022-12-14 14:25:24.480,-0.072152,-0.07054
,,,2022-12-14 14:25:24.980,-0.030311,-0.07054
,,,2022-12-14 14:25:25.481,-0.035332,-0.055477
,,,2022-12-14 14:25:25.981,-0.035332,-0.117402
,,,2022-12-14 14:25:26.481,-0.048721,-0.104013
,,,2022-12-14 14:25:26.980,-0.048721,-0.109034
,,,2022-12-14 14:25:27.481,-0.0437,-0.075561
,,,2022-12-14 14:25:27.980,-0.055415,-0.114055
,,,2022-12-14 14:25:28.481,-0.0437,-0.087277
,,,2022-12-14 14:25:28.981,-0.073825,-0.092297
,,,2022-12-14 14:25:29.481,-0.072152,-0.112381
,,,2022-12-14 14:25:29.981,-0.050394,-0.100666
,,,2022-12-14 14:25:30.480,-0.055415,-0.065519
,,,2022-12-14 14:25:30.980,-0.045373,-0.093971
,,,2022-12-14 14:25:31.481,-0.047047,-0.102339
,,,2022-12-14 14:25:31.981,-0.063783,-0.090624
,,,2022-12-14 14:25:32.481,-0.052068,-0.068867
,,,2022-12-14 14:25:32.981,-0.077173,-0.065519
,,,2022-12-14 14:25:33.480,-0.031984,-0.077235
,,,2022-12-14 14:25:33.980,-0.037005,-0.057151
,,,2022-12-14 14:25:34.481,-0.047047,-0.080582
,,,2022-12-14 14:25:34.981,-0.050394,-0.12577
,,,2022-12-14 14:25:35.481,-0.038679,-0.095645
,,,2022-12-14 14:25:35.982,-0.023616,-0.090624
,,,2022-12-14 14:25:36.480,-0.0437,-0.102339
,,,2022-12-14 14:25:36.981,-0.035332,-0.042088
,,,2022-12-14 14:25:37.481,-0.031984,-0.097318
,,,2022-12-14 14:25:37.980,-0.035332,-0.109034
,,,2022-12-14 14:25:38.482,-0.060436,-0.082256
,,,2022-12-14 14:25:38.980,-0.050394,-0.098992
,,,2022-12-14 14:25:39.482,-0.040353,-0.098992
,,,2022-12-14 14:25:39.981,-0.055415,-0.122423
,,,2022-12-14 14:25:40.482,-0.047047,-0.068867
,,,2022-12-14 14:25:40.980,-0.058763,-0.098992
,,,2022-12-14 14:25:41.481,-0.038679,-0.112381
,,,2022-12-14 14:25:41.980,-0.058763,-0.08895
,,,2022-12-14 14:25:42.480,-0.045373,-0.095645
,,,2022-12-14 14:25:42.980,-0.053742,-0.05213
,,,2022-12-14 14:25:43.480,-0.050394,-0.067193
,,,2022-12-14 14:25:43.981,-0.042026,-0.098992
,,,2022-12-14 14:25:44.481,-0.047047,-0.058825
,,,2022-12-14 14:25:44.981,-0.047047,-0.119076
,,,2022-12-14 14:25:45.480,-0.0437,-0.072214
,,,2022-12-14 14:25:45.979,-0.037005,-0.098992
,,,2022-12-14 14:25:46.480,-0.035332,-0.087277
,,,2022-12-14 14:25:46.980,-0.063783,-0.092297
,,,2022-12-14 14:25:47.480,-0.058763,-0.098992
,,,2022-12-14 14:25:47.979,-0.048721,-0.10736
,,,2022-12-14 14:25:48.480,-0.016922,-0.058825
,,,2022-12-14 14:25:48.980,-0.047047,-0.105687
,,,2022-12-14 14:25:49.480,-0.033658,-0.080582
,,,2022-12-14 14:25:49.982,-0.058763,-0.083929
,,,2022-12-14 14:25:50.481,-0.047047,-0.078908
,,,2022-12-14 14:25:50.982,-0.050394,-0.087277
,,,2022-12-14 14:25:51.481,-0.047047,-0.087277
,,,2022-12-14 14:25:51.981,-0.06211,-0.053804
,,,2022-12-14 14:25:52.481,-0.035332,-0.080582
,,,2022-12-14 14:25:52.981,-0.040353,-0.050456
,,,2022-12-14 14:25:53.481,-0.0437,-0.092297
,,,2022-12-14 14:25:53.982,-0.06211,-0.097318
,,,2022-12-14 14:25:54.482,-0.057089,-0.082256
,,,2022-12-14 14:25:54.981,-0.042026,-0.053804
,,,2022-12-14 14:25:55.481,-0.070478,-0.087277
,,,2022-12-14 14:25:55.980,-0.031984,-0.105687
,,,2022-12-14 14:25:56.481,-0.035332,-0.082256
,,,2022-12-14 14:25:56.981,-0.038679,-0.058825
,,,2022-12-14 14:25:57.480,-0.048721,-0.073887
,,,2022-12-14 14:25:57.981,-0.037005,-0.08895
,,,2022-12-14 14:25:58.481,-0.035332,-0.08895
,,,2022-12-14 14:25:58.981,-0.042026,-0.067193
,,,2022-12-14 14:25:59.481,-0.08052,-0.055477
,,,2022-12-14 14:25:59.981,-0.037005,-0.097318
,,,2022-12-14 14:26:00.479,-0.037005,-0.058825
,,,2022-12-14 14:26:00.980,-0.038679,-0.075561
,,,2022-12-14 14:26:01.481,-0.02529,-0.053804
,,,2022-12-14 14:26:01.981,-0.020269,-0.077235
,,,2022-12-14 14:26:02.481,-0.042026,-0.105687
,,,2022-12-14 14:26:02.981,-0.050394,-0.085603
,,,2022-12-14 14:26:03.480,-0.052068,-0.067193
,,,2022-12-14 14:26:03.980,-0.042026,-0.134138
,,,2022-12-14 14:26:04.480,-0.065457,-0.090624
,,,2022-12-14 14:26:04.981,-0.033658,-0.072214
,,,2022-12-14 14:26:05.481,-0.033658,-0.117402
,,,2022-12-14 14:26:05.980,-0.057089,-0.078908
,,,2022-12-14 14:26:06.480,-0.055415,-0.102339
,,,2022-12-14 14:26:06.979,-0.053742,-0.087277
,,,2022-12-14 14:26:07.480,-0.048721,-0.102339
,,,2022-12-14 14:26:07.979,-0.073825,-0.048783
,,,2022-12-14 14:26:08.480,-0.038679,-0.067193
,,,2022-12-14 14:26:08.981,-0.042026,-0.057151
,,,2022-12-14 14:26:09.480,-0.050394,-0.060498
,,,2022-12-14 14:26:09.980,-0.033658,-0.115728
,,,2022-12-14 14:26:10.480,-0.033658,-0.102339
,,,2022-12-14 14:26:10.980,-0.040353,-0.109034
,,,2022-12-14 14:26:11.481,-0.033658,-0.065519
,,,2022-12-14 14:26:11.980,-0.0437,-0.115728
,,,2022-12-14 14:26:12.480,-0.052068,-0.077235
,,,2022-12-14 14:26:12.980,-0.038679,-0.10736
,,,2022-12-14 14:26:13.480,-0.055415,-0.085603
,,,2022-12-14 14:26:13.980,-0.063783,-0.114055
,,,2022-12-14 14:26:14.481,-0.042026,-0.08895
,,,2022-12-14 14:26:14.980,-0.052068,-0.12577
,,,2022-12-14 14:26:15.481,-0.048721,-0.08895
,,,2022-12-14 14:26:15.980,-0.055415,-0.098992
,,,2022-12-14 14:26:16.481,-0.040353,-0.095645
,,,2022-12-14 14:26:16.980,-0.038679,-0.109034
,,,2022-12-14 14:26:17.481,-0.038679,-0.05213
,,,2022-12-14 14:26:17.980,-0.030311,-0.100666
,,,2022-12-14 14:26:18.480,-0.057089,-0.10736
,,,2022-12-14 14:26:18.981,-0.045373,-0.068867
,,,2022-12-14 14:26:19.480,-0.047047,-0.095645
,,,2022-12-14 14:26:19.979,-0.063783,-0.095645
,,,2022-12-14 14:26:20.479,-0.0437,-0.07054
,,,2022-12-14 14:26:20.979,-0.055415,-0.080582
