Address:,TCPIP0::192.168.1.2::inst0::INSTR,,Time (s),Minimum(4) (V),Minimum(1) (V)
Model:,MSO-X 4154A,,2022-12-14 14:14:07.471,-0.008553,-0.005268
Serial Number:,MY60101365,,2022-12-14 14:14:07.971,-0.035332,-0.105687
Firmware Version:,<Unknown Revision>,,2022-12-14 14:14:08.469,-0.055415,-0.120749
Start Time:,2022-12-14 14:14:07.471,,2022-12-14 14:14:08.970,-0.042026,-0.142507
Stop Time:,2022-12-14 14:24:07.470,,2022-12-14 14:14:09.470,-0.060436,-0.105687
Sample Period:,0.5,,2022-12-14 14:14:09.969,-0.013574,-0.042088
,,,2022-12-14 14:14:10.470,-0.065457,-0.120749
,,,2022-12-14 14:14:10.970,-0.08052,-0.134138
,,,2022-12-14 14:14:11.469,-0.031984,-0.182674
,,,2022-12-14 14:14:11.969,-0.035332,-0.100666
,,,2022-12-14 14:14:12.469,-0.050394,-0.135812
,,,2022-12-14 14:14:12.970,-0.058763,-0.122423
,,,2022-12-14 14:14:13.470,-0.040353,-0.12577
,,,2022-12-14 14:14:13.970,-0.058763,-0.157569
,,,2022-12-14 14:14:14.471,-0.06211,-0.127444
,,,2022-12-14 14:14:14.970,-0.073825,-0.157569
,,,2022-12-14 14:14:15.470,-0.06211,-0.139159
,,,2022-12-14 14:14:15.969,-0.082194,-0.112381
,,,2022-12-14 14:14:16.470,-0.052068,-0.124097
,,,2022-12-14 14:14:16.970,-0.053742,-0.167611
,,,2022-12-14 14:14:17.470,-0.037005,-0.132465
,,,2022-12-14 14:14:17.970,-0.053742,-0.119076
,,,2022-12-14 14:14:18.470,-0.010227,-0.050456
,,,2022-12-14 14:14:18.969,-0.088888,-0.104013
,,,2022-12-14 14:14:19.469,-0.057089,-0.104013
,,,2022-12-14 14:14:19.971,-0.035332,-0.085603
,,,2022-12-14 14:14:20.471,-0.033658,-0.124097
,,,2022-12-14 14:14:20.971,-0.047047,-0.140833
,,,2022-12-14 14:14:21.470,-0.055415,-0.087277
,,,2022-12-14 14:14:21.970,-0.047047,-0.140833
,,,2022-12-14 14:14:22.469,-0.075499,-0.14418
,,,2022-12-14 14:14:22.970,-0.033658,-0.112381
,,,2022-12-14 14:14:23.471,-0.055415,-0.078908
,,,2022-12-14 14:14:23.970,-0.070478,-0.137486
,,,2022-12-14 14:14:24.469,-0.033658,-0.12577
,,,2022-12-14 14:14:24.969,-0.031984,-0.119076
,,,2022-12-14 14:14:25.470,-0.070478,-0.078908
,,,2022-12-14 14:14:25.970,-0.057089,-0.142507
,,,2022-12-14 14:14:26.471,-0.058763,-0.140833
,,,2022-12-14 14:14:26.971,-0.092235,-0.112381
,,,2022-12-14 14:14:27.469,-0.058763,-0.095645
,,,2022-12-14 14:14:27.970,-0.063783,-0.093971
,,,2022-12-14 14:14:28.470,-0.048721,-0.12577
,,,2022-12-14 14:14:28.970,-0.047047,-0.154222
,,,2022-12-14 14:14:29.469,-0.08052,-0.105687
,,,2022-12-14 14:14:29.970,-0.073825,-0.154222
,,,2022-12-14 14:14:30.470,-0.078846,-0.129118
,,,2022-12-14 14:14:30.970,-0.033658,-0.134138
,,,2022-12-14 14:14:31.470,-0.026963,-0.095645
,,,2022-12-14 14:14:31.972,-0.040353,-0.090624
,,,2022-12-14 14:14:32.471,-0.031984,-0.083929
,,,2022-12-14 14:14:32.971,-0.070478,-0.127444
,,,2022-12-14 14:14:33.471,-0.055415,-0.115728
,,,2022-12-14 14:14:33.971,-0.048721,-0.149201
,,,2022-12-14 14:14:34.469,-0.042026,-0.12577
,,,2022-12-14 14:14:34.970,-0.047047,-0.124097
,,,2022-12-14 14:14:35.471,-0.050394,-0.139159
,,,2022-12-14 14:14:35.971,-0.057089,-0.112381
,,,2022-12-14 14:14:36.470,-0.087214,-0.134138
,,,2022-12-14 14:14:36.970,-0.031984,-0.134138
,,,2022-12-14 14:14:37.471,-0.072152,-0.092297
,,,2022-12-14 14:14:37.970,-0.048721,-0.155896
,,,2022-12-14 14:14:38.471,-0.065457,-0.129118
,,,2022-12-14 14:14:38.970,-0.047047,-0.157569
,,,2022-12-14 14:14:39.470,-0.031984,-0.097318
,,,2022-12-14 14:14:39.971,-0.058763,-0.139159
,,,2022-12-14 14:14:40.470,-0.031984,-0.134138
,,,2022-12-14 14:14:40.970,-0.08052,-0.117402
,,,2022-12-14 14:14:41.470,-0.072152,9.9E+37
,,,2022-12-14 14:14:41.970,-0.042026,-0.140833
,,,2022-12-14 14:14:42.470,-0.026963,-0.100666
,,,2022-12-14 14:14:42.970,-0.033658,-0.098992
,,,2022-12-14 14:14:43.471,-0.0437,-0.145854
,,,2022-12-14 14:14:43.969,-0.050394,-0.139159
,,,2022-12-14 14:14:44.470,-0.068804,-0.127444
,,,2022-12-14 14:14:44.969,-0.068804,-0.114055
,,,2022-12-14 14:14:45.470,-0.058763,-0.140833
,,,2022-12-14 14:14:45.970,-0.058763,-0.080582
,,,2022-12-14 14:14:46.470,-0.048721,-0.135812
,,,2022-12-14 14:14:46.970,-0.055415,-0.182674
,,,2022-12-14 14:14:47.471,-0.050394,-0.10736
,,,2022-12-14 14:14:47.969,-0.038679,-0.114055
,,,2022-12-14 14:14:48.470,-0.040353,-0.127444
,,,2022-12-14 14:14:48.970,-0.047047,-0.050456
,,,2022-12-14 14:14:49.471,-0.073825,-0.130791
,,,2022-12-14 14:14:49.970,-0.058763,-0.104013
,,,2022-12-14 14:14:50.471,-0.048721,-0.119076
,,,2022-12-14 14:14:50.970,-0.06211,-0.154222
,,,2022-12-14 14:14:51.471,-0.070478,-0.149201
,,,2022-12-14 14:14:51.969,-0.060436,-0.112381
,,,2022-12-14 14:14:52.468,-0.058763,-0.182674
,,,2022-12-14 14:14:52.969,-0.038679,-0.085603
,,,2022-12-14 14:14:53.470,-0.047047,-0.142507
,,,2022-12-14 14:14:53.970,-0.037005,-0.16259
,,,2022-12-14 14:14:54.470,-0.031984,-0.124097
