Address:,TCPIP0::192.168.1.2::inst0::INSTR,,Time (s),Minimum(4) (V),Minimum(1) (V)
Model:,MSO-X 4154A,,2022-12-14 11:48:36.610,-0.020269,-0.090624
Serial Number:,MY60101365,,2022-12-14 11:48:37.110,-0.021942,-0.058825
Firmware Version:,<Unknown Revision>,,2022-12-14 11:48:37.610,-0.037005,-0.048783
Start Time:,2022-12-14 11:48:36.610,,2022-12-14 11:48:38.110,-0.0437,-0.078908
Stop Time:,2022-12-14 11:58:36.608,,2022-12-14 11:48:38.611,-0.035332,-0.057151
Sample Period:,0.5,,2022-12-14 11:48:39.109,-0.028637,-0.063846
,,,2022-12-14 11:48:39.610,-0.040353,-0.063846
,,,2022-12-14 11:48:40.110,-0.011901,-0.067193
,,,2022-12-14 11:48:40.610,-0.042026,-0.08895
,,,2022-12-14 11:48:41.110,-0.040353,-0.104013
,,,2022-12-14 11:48:41.609,-0.040353,-0.075561
,,,2022-12-14 11:48:42.109,-0.0437,-0.063846
,,,2022-12-14 11:48:42.609,-0.011901,-0.093971
,,,2022-12-14 11:48:43.110,-0.037005,-0.063846
,,,2022-12-14 11:48:43.610,-0.033658,-0.062172
,,,2022-12-14 11:48:44.110,-0.02529,-0.057151
,,,2022-12-14 11:48:44.609,-0.023616,-0.057151
,,,2022-12-14 11:48:45.108,-0.02529,-0.072214
,,,2022-12-14 11:48:45.609,-0.016922,-0.05213
,,,2022-12-14 11:48:46.108,-0.037005,-0.093971
,,,2022-12-14 11:48:46.608,-0.018595,-0.043762
,,,2022-12-14 11:48:47.108,-0.037005,-0.08895
,,,2022-12-14 11:48:47.608,-0.021942,-0.053804
,,,2022-12-14 11:48:48.110,-0.038679,-0.062172
,,,2022-12-14 11:48:48.610,-0.065457,-0.05213
,,,2022-12-14 11:48:49.109,-0.030311,-0.104013
,,,2022-12-14 11:48:49.610,-0.015248,-0.110708
,,,2022-12-14 11:48:50.110,-0.042026,-0.095645
,,,2022-12-14 11:48:50.610,-0.021942,-0.075561
,,,2022-12-14 11:48:51.109,-0.042026,-0.067193
,,,2022-12-14 11:48:51.610,-0.052068,-0.085603
,,,2022-12-14 11:48:52.110,-0.053742,-0.067193
,,,2022-12-14 11:48:52.610,-0.013574,-0.114055
,,,2022-12-14 11:48:53.110,-0.048721,-0.090624
,,,2022-12-14 11:48:53.610,-0.055415,-0.050456
,,,2022-12-14 11:48:54.112,-0.020269,-0.092297
,,,2022-12-14 11:48:54.609,-0.028637,-0.087277
,,,2022-12-14 11:48:55.109,-0.031984,-0.114055
,,,2022-12-14 11:48:55.609,-0.048721,-0.078908
,,,2022-12-14 11:48:56.108,-0.02529,-0.055477
,,,2022-12-14 11:48:56.608,-0.06211,-0.063846
,,,2022-12-14 11:48:57.108,-0.033658,-0.060498
,,,2022-12-14 11:48:57.608,-0.035332,-0.098992
,,,2022-12-14 11:48:58.111,-0.063783,-0.085603
