Address:,TCPIP0::192.168.1.2::inst0::INSTR,,Time (s),Minimum(4) (V),Minimum(1) (V)
Model:,MSO-X 4154A,,2022-12-14 12:08:50.361,-0.037005,-0.179327
Serial Number:,MY60101365,,2022-12-14 12:08:50.861,-0.031984,-0.109034
Firmware Version:,<Unknown Revision>,,2022-12-14 12:08:51.362,-0.030311,-0.124097
Start Time:,2022-12-14 12:08:50.361,,2022-12-14 12:08:51.861,-0.033658,-0.157569
Stop Time:,2022-12-14 12:18:50.359,,2022-12-14 12:08:52.361,-0.030311,-0.114055
Sample Period:,0.5,,2022-12-14 12:08:52.859,-0.037005,-0.095645
,,,2022-12-14 12:08:53.359,-0.037005,-0.152549
,,,2022-12-14 12:08:53.860,-0.033658,-0.130791
,,,2022-12-14 12:08:54.360,-0.0437,-0.137486
,,,2022-12-14 12:08:54.861,-0.037005,-0.119076
,,,2022-12-14 12:08:55.360,-0.040353,-0.114055
,,,2022-12-14 12:08:55.861,-0.050394,-0.110708
,,,2022-12-14 12:08:56.361,-0.028637,-0.097318
,,,2022-12-14 12:08:56.860,-0.018595,-0.090624
,,,2022-12-14 12:08:57.360,-0.020269,-0.050456
,,,2022-12-14 12:08:57.860,-0.037005,-0.172632
,,,2022-12-14 12:08:58.359,-0.031984,-0.149201
,,,2022-12-14 12:08:58.860,-0.037005,-0.110708
,,,2022-12-14 12:08:59.361,-0.037005,-0.134138
,,,2022-12-14 12:08:59.861,-0.028637,-0.093971
,,,2022-12-14 12:09:00.360,-0.045373,-0.154222
,,,2022-12-14 12:09:00.860,-0.048721,-0.092297
,,,2022-12-14 12:09:01.361,-0.033658,-0.117402
,,,2022-12-14 12:09:01.861,-0.057089,-0.068867
,,,2022-12-14 12:09:02.361,-0.031984,-0.124097
,,,2022-12-14 12:09:02.861,-0.040353,-0.10736
,,,2022-12-14 12:09:03.360,-0.02529,-0.063846
,,,2022-12-14 12:09:03.861,-0.037005,-0.165938
,,,2022-12-14 12:09:04.361,-0.02529,-0.137486
,,,2022-12-14 12:09:04.860,-0.0437,-0.132465
,,,2022-12-14 12:09:05.359,-0.018595,-0.109034
,,,2022-12-14 12:09:05.859,-0.045373,-0.082256
,,,2022-12-14 12:09:06.359,-0.048721,-0.10736
,,,2022-12-14 12:09:06.859,-0.050394,-0.164264
,,,2022-12-14 12:09:07.359,-0.031984,-0.110708
,,,2022-12-14 12:09:07.859,-0.037005,-0.10736
,,,2022-12-14 12:09:08.359,-0.015248,-0.114055
,,,2022-12-14 12:09:08.859,-0.018595,-0.132465
,,,2022-12-14 12:09:09.359,-0.033658,-0.114055
,,,2022-12-14 12:09:09.862,-0.052068,-0.117402
,,,2022-12-14 12:09:10.362,-0.033658,-0.068867
,,,2022-12-14 12:09:10.859,-0.037005,-0.072214
,,,2022-12-14 12:09:11.360,-0.023616,-0.093971
,,,2022-12-14 12:09:11.860,-0.065457,-0.110708
,,,2022-12-14 12:09:12.361,-0.030311,-0.149201
,,,2022-12-14 12:09:12.861,-0.040353,-0.120749
,,,2022-12-14 12:09:13.362,-0.063783,-0.112381
,,,2022-12-14 12:09:13.861,-0.050394,-0.073887
,,,2022-12-14 12:09:14.362,-0.021942,-0.114055
,,,2022-12-14 12:09:14.861,-0.048721,-0.114055
,,,2022-12-14 12:09:15.361,-0.023616,-0.098992
,,,2022-12-14 12:09:15.861,-0.030311,-0.093971
,,,2022-12-14 12:09:16.361,-0.023616,-0.080582
,,,2022-12-14 12:09:16.860,-0.055415,-0.098992
,,,2022-12-14 12:09:17.361,-0.020269,-0.130791
,,,2022-12-14 12:09:17.861,-0.031984,-0.117402
,,,2022-12-14 12:09:18.361,-0.042026,-0.124097
,,,2022-12-14 12:09:18.860,-0.037005,-0.115728
,,,2022-12-14 12:09:19.361,-0.035332,-0.10736
,,,2022-12-14 12:09:19.860,-0.033658,-0.139159
,,,2022-12-14 12:09:20.361,-0.040353,-0.152549
,,,2022-12-14 12:09:20.861,-0.042026,-0.139159
,,,2022-12-14 12:09:21.360,-0.023616,-0.083929
,,,2022-12-14 12:09:21.861,-0.0437,-0.085603
,,,2022-12-14 12:09:22.361,-0.045373,-0.152549
,,,2022-12-14 12:09:22.860,-0.026963,-0.119076
,,,2022-12-14 12:09:23.360,-0.018595,-0.104013
,,,2022-12-14 12:09:23.860,-0.037005,-0.093971
,,,2022-12-14 12:09:24.360,-0.063783,-0.078908
,,,2022-12-14 12:09:24.861,-0.047047,-0.087277
,,,2022-12-14 12:09:25.360,-0.045373,-0.092297
,,,2022-12-14 12:09:25.859,-0.060436,-0.095645
,,,2022-12-14 12:09:26.360,-0.047047,-0.110708
,,,2022-12-14 12:09:26.860,-0.042026,-0.104013
,,,2022-12-14 12:09:27.361,-0.018595,-0.132465
,,,2022-12-14 12:09:27.861,-0.0437,-0.122423
,,,2022-12-14 12:09:28.361,-0.040353,-0.110708
,,,2022-12-14 12:09:28.861,-0.028637,-0.08895
,,,2022-12-14 12:09:29.360,-0.035332,-0.122423
,,,2022-12-14 12:09:29.860,-0.031984,-0.087277
,,,2022-12-14 12:09:30.361,-0.040353,-0.105687
,,,2022-12-14 12:09:30.860,-0.010227,-0.043762
,,,2022-12-14 12:09:31.361,-0.037005,-0.098992
,,,2022-12-14 12:09:31.861,-0.048721,-0.137486
,,,2022-12-14 12:09:32.361,-0.020269,-0.109034
,,,2022-12-14 12:09:32.861,-0.028637,-0.124097
,,,2022-12-14 12:09:33.360,-0.038679,-0.090624
,,,2022-12-14 12:09:33.860,-0.028637,-0.112381
,,,2022-12-14 12:09:34.361,-0.042026,-0.087277
,,,2022-12-14 12:09:34.860,-0.035332,-0.124097
,,,2022-12-14 12:09:35.361,-0.042026,-0.120749
,,,2022-12-14 12:09:35.860,-0.023616,-0.102339
,,,2022-12-14 12:09:36.359,-0.0437,-0.150875
,,,2022-12-14 12:09:36.859,-0.050394,-0.119076
,,,2022-12-14 12:09:37.359,-0.048721,-0.080582
,,,2022-12-14 12:09:37.859,-0.013574,-0.102339
,,,2022-12-14 12:09:38.360,-0.02529,-0.085603
,,,2022-12-14 12:09:38.861,-0.028637,-0.114055
,,,2022-12-14 12:09:39.362,-0.028637,-0.130791
,,,2022-12-14 12:09:39.860,-0.033658,-0.134138
,,,2022-12-14 12:09:40.360,-0.063783,-0.075561
,,,2022-12-14 12:09:40.860,-0.037005,-0.130791
,,,2022-12-14 12:09:41.362,-0.023616,-0.090624
,,,2022-12-14 12:09:41.861,-0.031984,-0.134138
,,,2022-12-14 12:09:42.360,-0.028637,-0.102339
,,,2022-12-14 12:09:42.860,-0.033658,-0.120749
,,,2022-12-14 12:09:43.360,-0.050394,-0.077235
,,,2022-12-14 12:09:43.862,-0.040353,-0.090624
,,,2022-12-14 12:09:44.362,-0.037005,-0.097318
,,,2022-12-14 12:09:44.860,-0.035332,-0.114055
,,,2022-12-14 12:09:45.360,-0.042026,-0.164264
,,,2022-12-14 12:09:45.861,-0.050394,-0.090624
,,,2022-12-14 12:09:46.361,-0.045373,-0.078908
,,,2022-12-14 12:09:46.860,-0.021942,-0.120749
,,,2022-12-14 12:09:47.361,-0.023616,-0.08895
,,,2022-12-14 12:09:47.861,-0.030311,-0.115728
,,,2022-12-14 12:09:48.360,-0.021942,-0.164264
,,,2022-12-14 12:09:48.860,-0.023616,-0.092297
,,,2022-12-14 12:09:49.360,-0.035332,-0.140833
,,,2022-12-14 12:09:49.859,-0.021942,-0.152549
,,,2022-12-14 12:09:50.360,-0.02529,-0.115728
,,,2022-12-14 12:09:50.861,-0.040353,-0.077235
,,,2022-12-14 12:09:51.360,-0.047047,-0.117402
,,,2022-12-14 12:09:51.861,-0.057089,-0.082256
,,,2022-12-14 12:09:52.360,-0.023616,-0.060498
,,,2022-12-14 12:09:52.861,-0.038679,-0.122423
,,,2022-12-14 12:09:53.360,-0.052068,-0.120749
,,,2022-12-14 12:09:53.860,-0.037005,-0.117402
,,,2022-12-14 12:09:54.360,-0.065457,-0.115728
,,,2022-12-14 12:09:54.860,-0.040353,-0.075561
,,,2022-12-14 12:09:55.360,-0.065457,-0.100666
,,,2022-12-14 12:09:55.860,-0.045373,-0.155896
,,,2022-12-14 12:09:56.360,-0.037005,-0.119076
,,,2022-12-14 12:09:56.860,-0.015248,-0.104013
,,,2022-12-14 12:09:57.360,-0.011901,-0.045436
,,,2022-12-14 12:09:57.860,-0.030311,-0.090624
,,,2022-12-14 12:09:58.360,-0.0437,-0.147528
,,,2022-12-14 12:09:58.860,-0.023616,-0.154222
,,,2022-12-14 12:09:59.360,-0.053742,-0.127444
,,,2022-12-14 12:09:59.860,-0.028637,-0.080582
,,,2022-12-14 12:10:00.362,-0.031984,-0.097318
,,,2022-12-14 12:10:00.861,-0.047047,-0.109034
,,,2022-12-14 12:10:01.362,-0.060436,-0.047109
,,,2022-12-14 12:10:01.862,-0.042026,-0.120749
,,,2022-12-14 12:10:02.361,-0.031984,-0.093971
,,,2022-12-14 12:10:02.861,-0.021942,-0.12577
,,,2022-12-14 12:10:03.361,-0.031984,-0.105687
,,,2022-12-14 12:10:03.861,-0.015248,-0.122423
,,,2022-12-14 12:10:04.362,-0.070478,-0.124097
,,,2022-12-14 12:10:04.861,-0.037005,-0.122423
,,,2022-12-14 12:10:05.361,-0.042026,-0.08895
,,,2022-12-14 12:10:05.860,-0.048721,-0.17598
,,,2022-12-14 12:10:06.361,-0.035332,-0.119076
,,,2022-12-14 12:10:06.861,-0.030311,-0.073887
,,,2022-12-14 12:10:07.360,-0.038679,-0.137486
,,,2022-12-14 12:10:07.860,-0.047047,-0.085603
,,,2022-12-14 12:10:08.360,-0.048721,-0.100666
,,,2022-12-14 12:10:08.860,-0.042026,-0.095645
,,,2022-12-14 12:10:09.361,-0.023616,-0.10736
,,,2022-12-14 12:10:09.860,-0.045373,-0.10736
,,,2022-12-14 12:10:10.361,-0.037005,-0.137486
,,,2022-12-14 12:10:10.861,-0.018595,-0.124097
,,,2022-12-14 12:10:11.361,-0.016922,-0.140833
,,,2022-12-14 12:10:11.859,-0.047047,-0.100666
,,,2022-12-14 12:10:12.359,-0.055415,-0.098992
,,,2022-12-14 12:10:12.859,-0.047047,-0.145854
,,,2022-12-14 12:10:13.360,-0.057089,-0.109034
,,,2022-12-14 12:10:13.861,-0.040353,-0.095645
,,,2022-12-14 12:10:14.362,-0.040353,-0.097318
,,,2022-12-14 12:10:14.861,-0.035332,-0.095645
,,,2022-12-14 12:10:15.360,-0.045373,-0.095645
,,,2022-12-14 12:10:15.861,-0.042026,-0.155896
,,,2022-12-14 12:10:16.361,-0.018595,-0.085603
,,,2022-12-14 12:10:16.860,-0.048721,-0.105687
,,,2022-12-14 12:10:17.361,-0.040353,-0.119076
,,,2022-12-14 12:10:17.859,-0.057089,-0.122423
,,,2022-12-14 12:10:18.360,-0.057089,-0.068867
,,,2022-12-14 12:10:18.860,-0.052068,-0.067193
,,,2022-12-14 12:10:19.361,-0.031984,-0.127444
,,,2022-12-14 12:10:19.861,-0.040353,-0.077235
,,,2022-12-14 12:10:20.360,-0.047047,-0.077235
,,,2022-12-14 12:10:20.860,-0.065457,-0.12577
,,,2022-12-14 12:10:21.360,-0.038679,-0.129118
,,,2022-12-14 12:10:21.860,-0.038679,-0.127444
,,,2022-12-14 12:10:22.359,-0.045373,-0.08895
,,,2022-12-14 12:10:22.860,-0.037005,-0.135812
,,,2022-12-14 12:10:23.360,-0.030311,-0.077235
,,,2022-12-14 12:10:23.860,-0.037005,-0.102339
,,,2022-12-14 12:10:24.360,-0.023616,-0.165938
,,,2022-12-14 12:10:24.862,-0.060436,-0.090624
,,,2022-12-14 12:10:25.360,-0.02529,-0.078908
,,,2022-12-14 12:10:25.860,-0.042026,-0.120749
,,,2022-12-14 12:10:26.361,-0.040353,-0.115728
,,,2022-12-14 12:10:26.860,-0.011901,-0.043762
,,,2022-12-14 12:10:27.361,-0.028637,-0.122423
,,,2022-12-14 12:10:27.861,-0.042026,-0.057151
,,,2022-12-14 12:10:28.360,-0.031984,-0.14418
,,,2022-12-14 12:10:28.861,-0.023616,-0.120749
,,,2022-12-14 12:10:29.360,-0.028637,-0.155896
,,,2022-12-14 12:10:29.861,-0.023616,-0.08895
,,,2022-12-14 12:10:30.362,-0.0437,-0.10736
,,,2022-12-14 12:10:30.860,-0.031984,-0.140833
,,,2022-12-14 12:10:31.362,-0.033658,-0.119076
,,,2022-12-14 12:10:31.860,-0.008553,-0.105687
,,,2022-12-14 12:10:32.360,-0.031984,-0.08895
,,,2022-12-14 12:10:32.860,-0.026963,-0.078908
,,,2022-12-14 12:10:33.360,-0.0437,-0.150875
,,,2022-12-14 12:10:33.861,-0.042026,-0.08895
,,,2022-12-14 12:10:34.361,-0.040353,-0.120749
,,,2022-12-14 12:10:34.861,-0.0437,-0.100666
,,,2022-12-14 12:10:35.360,-0.030311,-0.08895
,,,2022-12-14 12:10:35.860,-0.0437,-0.102339
,,,2022-12-14 12:10:36.360,-0.013574,-0.090624
,,,2022-12-14 12:10:36.860,-0.038679,-0.104013
,,,2022-12-14 12:10:37.360,-0.013574,-0.129118
,,,2022-12-14 12:10:37.860,-0.031984,-0.082256
,,,2022-12-14 12:10:38.361,-0.033658,-0.135812
,,,2022-12-14 12:10:38.860,-0.047047,-0.063846
,,,2022-12-14 12:10:39.361,-0.030311,-0.075561
,,,2022-12-14 12:10:39.862,-0.028637,-0.097318
,,,2022-12-14 12:10:40.361,-0.038679,-0.120749
,,,2022-12-14 12:10:40.861,-0.021942,-0.082256
,,,2022-12-14 12:10:41.361,-0.02529,-0.072214
,,,2022-12-14 12:10:41.861,-0.040353,-0.097318
,,,2022-12-14 12:10:42.361,-0.031984,-0.092297
,,,2022-12-14 12:10:42.860,-0.020269,-0.130791
,,,2022-12-14 12:10:43.360,-0.06211,-0.075561
,,,2022-12-14 12:10:43.860,-0.053742,-0.117402
,,,2022-12-14 12:10:44.359,-0.033658,-0.139159
,,,2022-12-14 12:10:44.859,-0.042026,-0.095645
,,,2022-12-14 12:10:45.360,-0.031984,-0.082256
,,,2022-12-14 12:10:45.860,-0.018595,-0.098992
,,,2022-12-14 12:10:46.360,-0.037005,-0.104013
,,,2022-12-14 12:10:46.860,-0.053742,-0.109034
,,,2022-12-14 12:10:47.360,-0.037005,-0.078908
,,,2022-12-14 12:10:47.860,-0.050394,-0.120749
,,,2022-12-14 12:10:48.359,-0.030311,-0.119076
,,,2022-12-14 12:10:48.860,-0.011901,-0.038741
,,,2022-12-14 12:10:49.360,-0.030311,-0.112381
,,,2022-12-14 12:10:49.860,-0.026963,-0.087277
,,,2022-12-14 12:10:50.362,-0.030311,-0.087277
,,,2022-12-14 12:10:50.861,-0.021942,-0.072214
,,,2022-12-14 12:10:51.362,-0.042026,-0.112381
,,,2022-12-14 12:10:51.862,-0.058763,-0.130791
,,,2022-12-14 12:10:52.362,-0.020269,-0.087277
,,,2022-12-14 12:10:52.860,-0.055415,-0.075561
,,,2022-12-14 12:10:53.361,-0.023616,-0.105687
,,,2022-12-14 12:10:53.861,-0.047047,-0.140833
,,,2022-12-14 12:10:54.361,-0.030311,-0.092297
,,,2022-12-14 12:10:54.861,-0.052068,-0.067193
,,,2022-12-14 12:10:55.362,-0.068804,-0.062172
,,,2022-12-14 12:10:55.861,-0.015248,-0.08895
,,,2022-12-14 12:10:56.361,-0.047047,-0.080582
,,,2022-12-14 12:10:56.860,-0.045373,-0.112381
,,,2022-12-14 12:10:57.360,-0.023616,-0.082256
,,,2022-12-14 12:10:57.861,-0.028637,-0.080582
,,,2022-12-14 12:10:58.360,-0.026963,-0.122423
