Address:,TCPIP0::192.168.1.2::inst0::INSTR,,Time (s),Minimum(4) (V),Minimum(1) (V)
Model:,MSO-X 4154A,,2022-12-14 12:21:18.099,-0.026963,-0.065519
Serial Number:,MY60101365,,2022-12-14 12:21:18.599,-0.015248,-0.140833
Firmware Version:,<Unknown Revision>,,2022-12-14 12:21:19.100,-0.015248,-0.134138
Start Time:,2022-12-14 12:21:18.099,,2022-12-14 12:21:19.599,-0.031984,-0.196063
Stop Time:,2022-12-14 12:31:18.100,,2022-12-14 12:21:20.099,-0.033658,-0.085603
Sample Period:,0.5,,2022-12-14 12:21:20.599,-0.038679,-0.105687
,,,2022-12-14 12:21:21.099,-0.02529,-0.135812
,,,2022-12-14 12:21:21.599,-0.033658,-0.145854
,,,2022-12-14 12:21:22.098,-0.020269,-0.104013
,,,2022-12-14 12:21:22.598,-0.030311,-0.154222
,,,2022-12-14 12:21:23.098,-0.033658,-0.14418
,,,2022-12-14 12:21:23.598,-0.018595,-0.097318
,,,2022-12-14 12:21:24.098,-0.02529,-0.10736
,,,2022-12-14 12:21:24.598,-0.045373,-0.078908
,,,2022-12-14 12:21:25.099,-0.038679,-0.134138
,,,2022-12-14 12:21:25.599,-0.026963,-0.114055
,,,2022-12-14 12:21:26.099,-0.047047,-0.085603
,,,2022-12-14 12:21:26.599,-0.052068,-0.124097
,,,2022-12-14 12:21:27.100,-0.058763,-0.114055
,,,2022-12-14 12:21:27.600,-0.02529,-0.145854
,,,2022-12-14 12:21:28.100,-0.028637,-0.110708
,,,2022-12-14 12:21:28.601,-0.035332,-0.105687
,,,2022-12-14 12:21:29.099,-0.030311,-0.122423
,,,2022-12-14 12:21:29.599,-0.026963,-0.115728
,,,2022-12-14 12:21:30.099,-0.031984,-0.112381
,,,2022-12-14 12:21:30.600,-0.028637,-0.093971
,,,2022-12-14 12:21:31.100,-0.035332,-0.124097
,,,2022-12-14 12:21:31.601,-0.020269,-0.082256
,,,2022-12-14 12:21:32.101,-0.058763,-0.117402
,,,2022-12-14 12:21:32.601,-0.015248,-0.112381
,,,2022-12-14 12:21:33.101,-0.047047,-0.110708
,,,2022-12-14 12:21:33.600,-0.011901,-0.132465
,,,2022-12-14 12:21:34.101,-0.030311,-0.082256
