Address:,TCPIP0::192.168.1.2::inst0::INSTR,,Time (s),Minimum(4) (V),Minimum(1) (V)
Model:,MSO-X 4154A,,2022-12-14 11:06:17.770,-0.02715,-0.1779
Serial Number:,MY60101365,,2022-12-14 11:06:18.271,-0.07401,-0.2348
Firmware Version:,<Unknown Revision>,,2022-12-14 11:06:18.772,-0.05393,-0.17455
Start Time:,2022-12-14 11:06:17.770,,2022-12-14 11:06:19.272,-0.05058,-0.17455
Stop Time:,2022-12-14 11:16:17.770,,2022-12-14 11:06:19.770,-0.06732,-0.20803
Sample Period:,0.5,,2022-12-14 11:06:20.271,-0.06062,-0.24819
,,,2022-12-14 11:06:20.771,-0.07066,-0.20133
,,,2022-12-14 11:06:21.271,-0.06732,-0.15782
,,,2022-12-14 11:06:21.770,-0.05393,-0.23146
,,,2022-12-14 11:06:22.271,-0.07066,-0.17121
,,,2022-12-14 11:06:22.770,-0.07736,-0.16451
,,,2022-12-14 11:06:23.269,-0.06732,-0.13773
,,,2022-12-14 11:06:23.770,-0.05727,-0.17455
,,,2022-12-14 11:06:24.270,-0.06732,-0.21807
,,,2022-12-14 11:06:24.771,-0.08071,-0.17121
,,,2022-12-14 11:06:25.271,-0.05058,-0.18459
,,,2022-12-14 11:06:25.771,-0.06732,-0.15782
,,,2022-12-14 11:06:26.272,-0.06732,-0.16451
,,,2022-12-14 11:06:26.769,-0.05393,-0.18125
,,,2022-12-14 11:06:27.271,-0.03719,-0.18459
,,,2022-12-14 11:06:27.771,-0.05058,-0.14777
,,,2022-12-14 11:06:28.270,-0.03384,-0.1779
,,,2022-12-14 11:06:28.771,-0.03384,-0.18459
,,,2022-12-14 11:06:29.271,-0.06732,-0.18459
,,,2022-12-14 11:06:29.770,-0.05393,-0.14108
,,,2022-12-14 11:06:30.271,-0.07736,-0.24819
,,,2022-12-14 11:06:30.771,-0.04723,-0.18459
,,,2022-12-14 11:06:31.271,-0.05393,-0.16786
,,,2022-12-14 11:06:31.770,-0.05393,-0.1779
,,,2022-12-14 11:06:32.270,-0.05058,-0.1779
,,,2022-12-14 11:06:32.771,-0.06732,-0.21472
,,,2022-12-14 11:06:33.271,-0.06397,-0.13439
,,,2022-12-14 11:06:33.770,-0.07066,-0.11765
,,,2022-12-14 11:06:34.271,-0.04723,-0.15112
,,,2022-12-14 11:06:34.771,-0.04723,-0.14108
,,,2022-12-14 11:06:35.269,-0.02715,-0.16451
,,,2022-12-14 11:06:35.770,-0.06062,-0.20468
,,,2022-12-14 11:06:36.271,-0.04388,-0.13104
,,,2022-12-14 11:06:36.770,-0.04723,-0.1779
,,,2022-12-14 11:06:37.269,-0.09075,-0.16116
,,,2022-12-14 11:06:37.769,-0.06732,-0.20133
,,,2022-12-14 11:06:38.269,-0.06732,-0.10426
,,,2022-12-14 11:06:38.770,-0.06062,-0.13773
,,,2022-12-14 11:06:39.271,-0.07066,-0.15447
,,,2022-12-14 11:06:39.771,-0.05727,-0.2415
,,,2022-12-14 11:06:40.270,-0.02715,-0.14108
,,,2022-12-14 11:06:40.770,-0.05058,-0.20133
,,,2022-12-14 11:06:41.270,-0.06397,-0.18794
,,,2022-12-14 11:06:41.769,-0.06397,-0.18459
,,,2022-12-14 11:06:42.269,-0.07066,-0.17455
,,,2022-12-14 11:06:42.770,-0.05058,-0.15782
,,,2022-12-14 11:06:43.270,-0.05058,-0.23146
,,,2022-12-14 11:06:43.770,-0.06732,-0.17121
,,,2022-12-14 11:06:44.270,-0.0874,-0.19798
,,,2022-12-14 11:06:44.771,-0.06062,-0.13104
,,,2022-12-14 11:06:45.693,-0.06397,-0.20803
,,,2022-12-14 11:06:45.770,-0.04388,-0.20133
,,,2022-12-14 11:06:46.270,-0.05058,-0.22811
,,,2022-12-14 11:06:46.918,-0.07066,-0.21137
,,,2022-12-14 11:06:47.270,-0.07066,-0.14777
,,,2022-12-14 11:06:47.771,-0.05058,-0.14443
,,,2022-12-14 11:06:48.269,-0.06732,-0.17121
,,,2022-12-14 11:06:48.769,-0.04388,-0.13773
,,,2022-12-14 11:06:49.269,-0.08071,-0.17455
,,,2022-12-14 11:06:49.770,-0.03719,-0.19129
,,,2022-12-14 11:06:50.270,-0.05727,-0.121
,,,2022-12-14 11:06:50.770,-0.06397,-0.21807
,,,2022-12-14 11:06:51.271,-0.07066,-0.20468
,,,2022-12-14 11:06:51.771,-0.04388,-0.14443
,,,2022-12-14 11:06:52.271,-0.08071,-0.25489
,,,2022-12-14 11:06:52.771,-0.06062,-0.1779
,,,2022-12-14 11:06:53.270,-0.05393,-0.21472
,,,2022-12-14 11:06:53.770,-0.04054,-0.15447
,,,2022-12-14 11:06:54.271,-0.08071,-0.19129
,,,2022-12-14 11:06:54.771,-0.02715,-0.18459
,,,2022-12-14 11:06:55.270,-0.07401,-0.2415
,,,2022-12-14 11:06:55.772,-0.05058,-0.16116
,,,2022-12-14 11:06:56.271,-0.0874,-0.1143
,,,2022-12-14 11:06:56.771,-0.04054,-0.21807
,,,2022-12-14 11:06:57.270,-0.02715,-0.13773
,,,2022-12-14 11:06:57.770,-0.04388,-0.15112
,,,2022-12-14 11:06:58.270,-0.05393,-0.16786
,,,2022-12-14 11:06:58.769,-0.05393,-0.15782
,,,2022-12-14 11:06:59.269,-0.08071,-0.17455
,,,2022-12-14 11:06:59.770,-0.06397,-0.18125
,,,2022-12-14 11:07:00.272,-0.07401,-0.16451
,,,2022-12-14 11:07:00.771,-0.03384,-0.16116
,,,2022-12-14 11:07:01.272,-0.04723,-0.13104
,,,2022-12-14 11:07:01.772,-0.05393,-0.15447
,,,2022-12-14 11:07:02.271,-0.05058,-0.1779
,,,2022-12-14 11:07:02.771,-0.05058,-0.12769
,,,2022-12-14 11:07:03.271,-0.05727,-0.18125
,,,2022-12-14 11:07:03.771,-0.09744,-0.13773
,,,2022-12-14 11:07:04.272,-0.11083,-0.19464
,,,2022-12-14 11:07:04.770,-0.04723,-0.18459
,,,2022-12-14 11:07:05.271,-0.04054,-0.15447
,,,2022-12-14 11:07:05.771,-0.0305,-0.18459
,,,2022-12-14 11:07:06.271,-0.07736,-0.1779
,,,2022-12-14 11:07:06.771,-0.04388,-0.14108
,,,2022-12-14 11:07:07.270,-0.03719,-0.15112
,,,2022-12-14 11:07:07.770,-0.0238,-0.16786
,,,2022-12-14 11:07:08.271,-0.05058,-0.14443
,,,2022-12-14 11:07:08.770,-0.04723,-0.20133
,,,2022-12-14 11:07:09.270,-0.04388,-0.14777
,,,2022-12-14 11:07:09.770,-0.08071,-0.21137
,,,2022-12-14 11:07:10.280,-0.05727,-0.19129
,,,2022-12-14 11:07:11.204,-0.03384,-0.16116
,,,2022-12-14 11:07:11.272,-0.03384,-0.16116
,,,2022-12-14 11:07:11.771,-0.04388,-0.19464
,,,2022-12-14 11:07:12.272,-0.04723,-0.1779
,,,2022-12-14 11:07:12.771,-0.04723,-0.2415
,,,2022-12-14 11:07:13.271,-0.04388,-0.16786
,,,2022-12-14 11:07:13.770,-0.06732,-0.16116
,,,2022-12-14 11:07:14.270,-0.04723,-0.15112
,,,2022-12-14 11:07:14.771,-0.0238,-0.21137
,,,2022-12-14 11:07:15.271,-0.05393,-0.14777
,,,2022-12-14 11:07:15.770,-0.05727,-0.1779
,,,2022-12-14 11:07:16.270,-0.05393,-0.15447
,,,2022-12-14 11:07:16.771,-0.03384,-0.24819
,,,2022-12-14 11:07:17.271,-0.04054,-0.18125
,,,2022-12-14 11:07:17.769,-0.06732,-0.20133
,,,2022-12-14 11:07:18.270,-0.05727,-0.16451
,,,2022-12-14 11:07:18.771,-0.05727,-0.16116
,,,2022-12-14 11:07:19.271,-0.07066,-0.16451
,,,2022-12-14 11:07:19.771,-0.08071,-0.18459
,,,2022-12-14 11:07:20.269,-0.04388,-0.18459
,,,2022-12-14 11:07:20.770,-0.06397,-0.20468
,,,2022-12-14 11:07:21.270,-0.04723,-0.16786
,,,2022-12-14 11:07:21.770,-0.05393,-0.16451
,,,2022-12-14 11:07:22.271,-0.05393,-0.12769
,,,2022-12-14 11:07:22.771,-0.06732,-0.21472
,,,2022-12-14 11:07:23.271,-0.05393,-0.21137
,,,2022-12-14 11:07:23.771,-0.05727,-0.22476
,,,2022-12-14 11:07:24.270,-0.05727,-0.12434
,,,2022-12-14 11:07:24.770,-0.05727,-0.19464
,,,2022-12-14 11:07:25.271,-0.05058,-0.18794
,,,2022-12-14 11:07:25.771,-0.06062,-0.15447
,,,2022-12-14 11:07:26.270,-0.04723,-0.14777
,,,2022-12-14 11:07:26.771,-0.04054,-0.14443
,,,2022-12-14 11:07:27.271,-0.06397,-0.12769
,,,2022-12-14 11:07:27.771,-0.06397,-0.16116
,,,2022-12-14 11:07:28.270,-0.0305,-0.1779
,,,2022-12-14 11:07:28.771,-0.06397,-0.1779
,,,2022-12-14 11:07:29.271,-0.05058,-0.21137
,,,2022-12-14 11:07:29.770,-0.06732,-0.16116
,,,2022-12-14 11:07:30.270,-0.06062,-0.23146
,,,2022-12-14 11:07:30.771,-0.05727,-0.12434
,,,2022-12-14 11:07:31.272,-0.04388,-0.18459
,,,2022-12-14 11:07:31.770,-0.07066,-0.16451
,,,2022-12-14 11:07:32.269,-0.08071,-0.21137
,,,2022-12-14 11:07:32.769,-0.07401,-0.16451
,,,2022-12-14 11:07:33.269,-0.0305,-0.19798
,,,2022-12-14 11:07:33.769,-0.05393,-0.18125
,,,2022-12-14 11:07:34.269,-0.04054,-0.17121
,,,2022-12-14 11:07:34.769,-0.05058,-0.12769
,,,2022-12-14 11:07:35.270,-0.06732,-0.16786
,,,2022-12-14 11:07:35.770,-0.0305,-0.13439
,,,2022-12-14 11:07:36.271,-0.0305,-0.15782
,,,2022-12-14 11:07:36.771,-0.08071,-0.2348
,,,2022-12-14 11:07:37.271,-0.03384,-0.21137
,,,2022-12-14 11:07:37.771,-0.08071,-0.20468
,,,2022-12-14 11:07:38.270,-0.03384,-0.15447
,,,2022-12-14 11:07:38.770,-0.04388,-0.17455
,,,2022-12-14 11:07:39.271,-0.05393,-0.20803
,,,2022-12-14 11:07:39.772,-0.0305,-0.18125
,,,2022-12-14 11:07:40.271,-0.06397,-0.1779
,,,2022-12-14 11:07:40.771,-0.07066,-0.2415
,,,2022-12-14 11:07:41.270,-0.03719,-0.16116
,,,2022-12-14 11:07:41.771,-0.05058,-0.16116
,,,2022-12-14 11:07:42.271,-0.05058,-0.16786
,,,2022-12-14 11:07:42.770,-0.03384,-0.1779
,,,2022-12-14 11:07:43.270,-0.05058,-0.21472
,,,2022-12-14 11:07:43.771,-0.05393,-0.19129
,,,2022-12-14 11:07:44.271,-0.07401,-0.18125
