Address:,TCPIP0::192.168.1.2::inst0::INSTR,,Time (s),Minimum(4) (V),Minimum(1) (V)
Model:,MSO-X 4154A,,2022-12-16 11:03:00.073,-0.01711,-0.01388
Serial Number:,MY60101365,,2022-12-16 11:03:00.573,-0.03384,-0.08418
Firmware Version:,<Unknown Revision>,,2022-12-16 11:03:01.073,-0.04054,-0.08083
Start Time:,2022-12-16 11:03:00.073,,2022-12-16 11:03:01.574,-0.05058,-0.09087
Stop Time:,2022-12-16 11:13:00.073,,2022-12-16 11:03:02.074,-0.05058,-0.12434
Sample Period:,0.5,,2022-12-16 11:03:02.574,-0.06732,-0.08418
,,,2022-12-16 11:03:03.073,-0.0305,-0.10761
,,,2022-12-16 11:03:03.573,-0.04388,-0.09757
,,,2022-12-16 11:03:04.073,-0.04054,-0.1143
,,,2022-12-16 11:03:04.574,-0.05058,-0.09757
,,,2022-12-16 11:03:05.074,-0.0305,-0.10426
,,,2022-12-16 11:03:05.573,-0.04054,-0.11765
,,,2022-12-16 11:03:06.073,-0.05393,-0.10761
,,,2022-12-16 11:03:06.573,-0.06397,-0.13439
,,,2022-12-16 11:03:07.073,-0.04054,-0.08752
,,,2022-12-16 11:03:07.573,-0.04054,-0.09087
,,,2022-12-16 11:03:08.073,-0.0238,-0.13104
,,,2022-12-16 11:03:08.573,-0.03719,-0.1143
,,,2022-12-16 11:03:09.073,-0.04054,-0.09757
,,,2022-12-16 11:03:09.573,-0.04054,-0.15447
,,,2022-12-16 11:03:10.073,-0.04388,-0.1143
,,,2022-12-16 11:03:10.574,-0.05058,-0.11765
,,,2022-12-16 11:03:11.074,-0.05727,-0.1143
,,,2022-12-16 11:03:11.576,-0.0305,-0.08752
,,,2022-12-16 11:03:12.073,-0.03384,-0.10426
,,,2022-12-16 11:03:12.574,-0.0238,-0.10426
,,,2022-12-16 11:03:13.075,-0.03719,-0.121
,,,2022-12-16 11:03:13.575,-0.05058,-0.07748
,,,2022-12-16 11:03:14.073,-0.05058,-0.08752
,,,2022-12-16 11:03:14.575,-0.04054,-0.07413
,,,2022-12-16 11:03:15.074,-0.04388,-0.16116
,,,2022-12-16 11:03:15.574,-0.04723,-0.14443
,,,2022-12-16 11:03:16.074,-0.03719,-0.08752
,,,2022-12-16 11:03:16.574,-0.0238,-0.10091
,,,2022-12-16 11:03:17.074,-0.06397,-0.09422
,,,2022-12-16 11:03:17.575,-0.03719,-0.09087
,,,2022-12-16 11:03:18.075,-0.04054,-0.09087
,,,2022-12-16 11:03:18.573,-0.04054,-0.08752
,,,2022-12-16 11:03:19.073,-0.04388,-0.08418
,,,2022-12-16 11:03:19.573,-0.06732,-0.07413
,,,2022-12-16 11:03:20.074,-0.05727,-0.1143
,,,2022-12-16 11:03:20.574,-0.04388,-0.10761
,,,2022-12-16 11:03:21.075,-0.06732,-0.08418
,,,2022-12-16 11:03:21.574,-0.04054,-0.10091
,,,2022-12-16 11:03:22.074,-0.03719,-0.09087
,,,2022-12-16 11:03:22.574,-0.05058,-0.11765
,,,2022-12-16 11:03:23.073,-0.06062,-0.08752
,,,2022-12-16 11:03:23.573,-0.06732,-0.1143
,,,2022-12-16 11:03:24.073,-0.0305,-0.08083
,,,2022-12-16 11:03:24.573,-0.03719,-0.10426
,,,2022-12-16 11:03:25.074,-0.06397,-0.07079
,,,2022-12-16 11:03:25.573,-0.03719,-0.07748
,,,2022-12-16 11:03:26.075,-0.03719,-0.15782
,,,2022-12-16 11:03:26.573,-0.08071,-0.12769
,,,2022-12-16 11:03:27.073,-0.07401,-0.10761
,,,2022-12-16 11:03:27.573,-0.04054,-0.09757
,,,2022-12-16 11:03:28.074,-0.06732,-0.13439
,,,2022-12-16 11:03:28.574,-0.02715,-0.11095
,,,2022-12-16 11:03:29.073,-0.05393,-0.121
,,,2022-12-16 11:03:29.574,-0.05058,-0.09757
,,,2022-12-16 11:03:30.074,-0.03384,-0.11095
,,,2022-12-16 11:03:30.573,-0.06062,-0.08752
,,,2022-12-16 11:03:31.073,-0.05727,-0.10091
,,,2022-12-16 11:03:31.574,-0.05058,-0.13439
,,,2022-12-16 11:03:32.074,-0.0305,-0.10426
,,,2022-12-16 11:03:32.573,-0.0305,-0.09757
,,,2022-12-16 11:03:33.073,-0.04723,-0.09757
,,,2022-12-16 11:03:33.573,-0.03384,-0.10091
,,,2022-12-16 11:03:34.074,-0.0238,-0.08752
,,,2022-12-16 11:03:34.573,-0.0305,-0.07079
,,,2022-12-16 11:03:35.073,-0.05393,-0.09087
,,,2022-12-16 11:03:35.573,-0.03719,-0.08752
,,,2022-12-16 11:03:36.073,-0.06062,-0.12434
,,,2022-12-16 11:03:36.573,-0.05393,-0.09422
,,,2022-12-16 11:03:37.073,-0.02715,-0.10091
,,,2022-12-16 11:03:37.574,-0.0305,-0.09757
,,,2022-12-16 11:03:38.073,-0.04388,-0.13439
,,,2022-12-16 11:03:38.573,-0.05058,-0.09757
,,,2022-12-16 11:03:39.073,-0.03384,-0.14108
,,,2022-12-16 11:03:39.574,-0.04723,-0.09757
,,,2022-12-16 11:03:40.073,-0.04723,-0.12434
,,,2022-12-16 11:03:40.573,-0.04388,-0.09757
,,,2022-12-16 11:03:41.074,-0.02045,-0.09087
,,,2022-12-16 11:03:41.574,-0.0305,-0.09087
,,,2022-12-16 11:03:42.074,-0.03384,-0.09757
,,,2022-12-16 11:03:42.573,-0.03384,-0.13773
,,,2022-12-16 11:03:43.074,-0.03719,-0.1143
,,,2022-12-16 11:03:43.574,-0.0305,-0.07413
,,,2022-12-16 11:03:44.073,-0.01711,-0.121
,,,2022-12-16 11:03:44.574,-0.03719,-0.09757
,,,2022-12-16 11:03:45.074,-0.06397,-0.10091
,,,2022-12-16 11:03:45.573,-0.03384,-0.14777
,,,2022-12-16 11:03:46.074,-0.04054,-0.07748
,,,2022-12-16 11:03:46.573,-0.04723,-0.10091
,,,2022-12-16 11:03:47.075,-0.04054,-0.10761
,,,2022-12-16 11:03:47.574,-0.02715,-0.14443
,,,2022-12-16 11:03:48.074,-0.05393,-0.11095
,,,2022-12-16 11:03:48.574,-0.03719,-0.09422
,,,2022-12-16 11:03:49.073,-0.07066,-0.09757
,,,2022-12-16 11:03:49.573,-0.05393,-0.11765
,,,2022-12-16 11:03:50.074,-0.04054,-0.11095
,,,2022-12-16 11:03:50.573,-0.0238,-0.13104
,,,2022-12-16 11:03:51.074,-0.03384,-0.10426
,,,2022-12-16 11:03:51.574,-0.06732,-0.07748
,,,2022-12-16 11:03:52.073,-0.03719,-0.12769
,,,2022-12-16 11:03:52.573,-0.05727,-0.08418
,,,2022-12-16 11:03:53.073,-0.03719,-0.11765
,,,2022-12-16 11:03:53.573,-0.06062,-0.09757
,,,2022-12-16 11:03:54.073,-0.05058,-0.08752
,,,2022-12-16 11:03:54.573,-0.0238,-0.09087
,,,2022-12-16 11:03:55.073,-0.02045,-0.07748
,,,2022-12-16 11:03:55.572,-0.02715,-0.10426
,,,2022-12-16 11:03:56.073,-0.02045,-0.09422
,,,2022-12-16 11:03:56.574,-0.03719,-0.13773
,,,2022-12-16 11:03:57.074,-0.05393,-0.1143
,,,2022-12-16 11:03:57.574,-0.02715,-0.121
,,,2022-12-16 11:03:58.073,-0.04054,-0.14777
,,,2022-12-16 11:03:58.573,-0.0238,-0.11095
,,,2022-12-16 11:03:59.073,-0.04388,-0.08083
,,,2022-12-16 11:03:59.573,-0.0305,-0.11095
,,,2022-12-16 11:04:00.073,-0.06732,-0.08418
,,,2022-12-16 11:04:00.573,-0.02715,-0.11765
,,,2022-12-16 11:04:01.073,-0.03384,-0.07079
,,,2022-12-16 11:04:01.574,-0.02715,-0.10761
,,,2022-12-16 11:04:02.074,-0.05727,-0.121
,,,2022-12-16 11:04:02.572,-0.0238,-0.12434
,,,2022-12-16 11:04:03.073,-0.05058,-0.08083
,,,2022-12-16 11:04:03.572,-0.05058,-0.09757
,,,2022-12-16 11:04:04.072,-0.03719,-0.11765
,,,2022-12-16 11:04:04.572,-0.03719,-0.121
,,,2022-12-16 11:04:05.072,-0.04723,-0.13439
,,,2022-12-16 11:04:05.573,-0.0305,-0.07079
,,,2022-12-16 11:04:06.072,-0.03384,-0.11765
,,,2022-12-16 11:04:06.572,-0.07401,-0.15112
,,,2022-12-16 11:04:07.073,-0.06732,-0.11765
,,,2022-12-16 11:04:07.575,-0.03384,-0.14443
,,,2022-12-16 11:04:08.075,-0.02715,-0.1143
,,,2022-12-16 11:04:08.574,-0.06732,-0.08418
,,,2022-12-16 11:04:09.074,-0.03719,-0.09087
,,,2022-12-16 11:04:09.574,-0.03719,-0.08083
,,,2022-12-16 11:04:10.074,-0.04054,-0.09422
,,,2022-12-16 11:04:10.575,-0.04388,-0.12434
,,,2022-12-16 11:04:11.074,-0.04054,-0.07748
,,,2022-12-16 11:04:11.574,-0.03384,-0.1143
,,,2022-12-16 11:04:12.074,-0.05727,-0.09087
,,,2022-12-16 11:04:12.574,-0.06397,-0.13773
,,,2022-12-16 11:04:13.074,-0.05393,-0.09757
,,,2022-12-16 11:04:13.574,-0.03719,-0.11765
,,,2022-12-16 11:04:14.075,-0.03384,-0.14777
,,,2022-12-16 11:04:14.574,-0.06732,-0.10761
,,,2022-12-16 11:04:15.074,-0.04723,-0.12434
,,,2022-12-16 11:04:15.574,-0.05058,-0.09422
,,,2022-12-16 11:04:16.073,-0.05058,-0.10761
,,,2022-12-16 11:04:16.574,-0.04388,-0.07079
,,,2022-12-16 11:04:17.073,-0.05393,-0.1143
,,,2022-12-16 11:04:17.572,-0.05058,-0.09087
,,,2022-12-16 11:04:18.073,-0.04388,-0.10426
,,,2022-12-16 11:04:18.573,-0.05727,-0.09422
,,,2022-12-16 11:04:19.073,-0.04723,-0.09757
,,,2022-12-16 11:04:19.574,-0.05727,-0.08752
,,,2022-12-16 11:04:20.074,-0.03719,-0.14443
,,,2022-12-16 11:04:20.573,-0.01711,-0.09422
,,,2022-12-16 11:04:21.074,-0.03719,-0.12769
,,,2022-12-16 11:04:21.574,-0.04054,-0.10091
,,,2022-12-16 11:04:22.073,-0.02715,-0.08418
,,,2022-12-16 11:04:22.573,-0.04054,-0.1143
,,,2022-12-16 11:04:23.072,-0.03719,-0.09757
,,,2022-12-16 11:04:23.572,-0.03719,-0.09422
,,,2022-12-16 11:04:24.072,-0.04388,-0.1143
,,,2022-12-16 11:04:24.572,-0.05058,-0.07748
,,,2022-12-16 11:04:25.073,-0.03384,-0.08752
,,,2022-12-16 11:04:25.573,-0.05727,-0.13773
,,,2022-12-16 11:04:26.072,-0.04723,-0.15112
,,,2022-12-16 11:04:26.572,-0.04723,-0.07413
,,,2022-12-16 11:04:27.072,-0.04388,-0.06744
,,,2022-12-16 11:04:27.572,-0.06062,-0.08418
,,,2022-12-16 11:04:28.072,-0.05058,-0.09757
,,,2022-12-16 11:04:28.572,-0.05393,-0.10426
,,,2022-12-16 11:04:29.072,-0.02045,-0.10091
,,,2022-12-16 11:04:29.572,-0.03719,-0.13104
,,,2022-12-16 11:04:30.071,-0.06732,-0.06744
,,,2022-12-16 11:04:30.571,-0.02715,-0.09757
,,,2022-12-16 11:04:31.072,-0.03719,-0.1143
,,,2022-12-16 11:04:31.572,-0.04388,-0.121
,,,2022-12-16 11:04:32.072,-0.04388,-0.09422
,,,2022-12-16 11:04:32.572,-0.06397,-0.09757
,,,2022-12-16 11:04:33.072,-0.04388,-0.10426
,,,2022-12-16 11:04:33.572,-0.03384,-0.1143
,,,2022-12-16 11:04:34.072,-0.07401,-0.07413
,,,2022-12-16 11:04:34.572,-0.04388,-0.10091
,,,2022-12-16 11:04:35.073,-0.03384,-0.1143
,,,2022-12-16 11:04:35.573,-0.06062,-0.121
,,,2022-12-16 11:04:36.074,-0.05058,-0.09422
,,,2022-12-16 11:04:36.574,-0.0238,-0.07413
,,,2022-12-16 11:04:37.075,-0.04388,-0.13439
,,,2022-12-16 11:04:37.573,-0.05058,-0.07413
,,,2022-12-16 11:04:38.073,-0.06062,-0.09422
,,,2022-12-16 11:04:38.573,-0.01711,-0.08752
,,,2022-12-16 11:04:39.074,-0.04388,-0.10091
,,,2022-12-16 11:04:39.574,-0.06062,-0.07413
,,,2022-12-16 11:04:40.074,-0.05058,-0.09757
,,,2022-12-16 11:04:40.573,-0.04054,-0.08083
,,,2022-12-16 11:04:41.073,-0.06062,-0.12434
,,,2022-12-16 11:04:41.574,-0.03719,-0.10761
,,,2022-12-16 11:04:42.074,-0.05058,-0.10761
,,,2022-12-16 11:04:42.573,-0.04388,-0.10761
,,,2022-12-16 11:04:43.073,-0.0305,-0.07413
,,,2022-12-16 11:04:43.573,-0.0305,-0.09422
,,,2022-12-16 11:04:44.073,-0.04723,-0.08083
,,,2022-12-16 11:04:44.573,-0.05393,-0.14108
,,,2022-12-16 11:04:45.073,-0.0305,-0.17455
,,,2022-12-16 11:04:45.573,-0.05058,-0.14777
,,,2022-12-16 11:04:46.073,-0.04723,-0.14108
,,,2022-12-16 11:04:46.574,-0.03384,-0.07413
,,,2022-12-16 11:04:47.074,-0.04388,-0.09757
,,,2022-12-16 11:04:47.574,-0.0238,-0.13104
,,,2022-12-16 11:04:48.074,-0.04723,-0.1143
,,,2022-12-16 11:04:48.575,-0.05058,-0.13439
,,,2022-12-16 11:04:49.074,-0.0238,-0.11095
,,,2022-12-16 11:04:49.574,-0.04054,-0.08418
,,,2022-12-16 11:04:50.073,-0.0305,-0.1143
,,,2022-12-16 11:04:50.573,-0.0305,-0.12769
,,,2022-12-16 11:04:51.075,-0.03719,-0.13439
,,,2022-12-16 11:04:51.575,-0.05058,-0.09087
,,,2022-12-16 11:04:52.075,-0.03719,-0.08083
,,,2022-12-16 11:04:52.574,-0.03384,-0.08418
,,,2022-12-16 11:04:53.074,-0.05058,-0.15112
,,,2022-12-16 11:04:53.573,-0.04054,-0.16451
,,,2022-12-16 11:04:54.073,-0.06062,-0.10091
,,,2022-12-16 11:04:54.575,-0.04723,-0.08752
,,,2022-12-16 11:04:55.075,-0.05727,-0.08083
,,,2022-12-16 11:04:55.573,-0.0238,-0.06409
,,,2022-12-16 11:04:56.075,-0.03719,-0.08418
,,,2022-12-16 11:04:56.574,-0.03719,-0.06744
,,,2022-12-16 11:04:57.075,-0.04723,-0.09422
,,,2022-12-16 11:04:57.574,-0.05058,-0.10761
,,,2022-12-16 11:04:58.074,-0.03719,-0.10761
,,,2022-12-16 11:04:58.574,-0.03719,-0.13439
,,,2022-12-16 11:04:59.074,-0.04388,-0.10426
,,,2022-12-16 11:04:59.575,-0.04388,-0.09087
,,,2022-12-16 11:05:00.073,-0.04054,-0.13104
,,,2022-12-16 11:05:00.574,-0.04388,-0.08418
,,,2022-12-16 11:05:01.073,-0.0238,-0.10761
,,,2022-12-16 11:05:01.574,-0.04054,-0.08418
,,,2022-12-16 11:05:02.073,-0.0305,-0.14443
,,,2022-12-16 11:05:02.574,-0.03384,-0.07748
,,,2022-12-16 11:05:03.074,-0.0305,-0.11095
,,,2022-12-16 11:05:03.574,-0.04054,-0.14108
,,,2022-12-16 11:05:04.073,-0.02715,-0.11095
,,,2022-12-16 11:05:04.573,-0.04723,-0.12434
,,,2022-12-16 11:05:05.073,-0.05393,-0.07079
,,,2022-12-16 11:05:05.573,-0.06732,-0.13104
,,,2022-12-16 11:05:06.073,-0.03384,-0.1143
,,,2022-12-16 11:05:06.574,-0.05727,-0.16451
,,,2022-12-16 11:05:07.074,-0.0305,-0.09087
,,,2022-12-16 11:05:07.574,-0.05058,-0.13773
,,,2022-12-16 11:05:08.073,-0.04388,-0.14108
,,,2022-12-16 11:05:08.573,-0.04388,-0.08418
,,,2022-12-16 11:05:09.073,-0.06397,-0.11095
,,,2022-12-16 11:05:09.573,-0.07401,-0.10426
,,,2022-12-16 11:05:10.074,-0.04054,-0.06744
,,,2022-12-16 11:05:10.575,-0.02715,-0.08418
,,,2022-12-16 11:05:11.074,-0.04388,-0.09757
,,,2022-12-16 11:05:11.573,-0.0238,-0.13439
,,,2022-12-16 11:05:12.074,-0.04388,-0.07413
,,,2022-12-16 11:05:12.573,-0.04723,-0.1143
,,,2022-12-16 11:05:13.073,-0.0305,-0.11765
,,,2022-12-16 11:05:13.573,-0.05393,-0.08083
,,,2022-12-16 11:05:14.073,-0.05393,-0.09422
,,,2022-12-16 11:05:14.573,-0.04723,-0.11765
,,,2022-12-16 11:05:15.073,-0.05393,-0.1143
,,,2022-12-16 11:05:15.573,-0.03719,-0.16786
,,,2022-12-16 11:05:16.073,-0.05058,-0.1143
,,,2022-12-16 11:05:16.573,-0.0305,-0.15782
,,,2022-12-16 11:05:17.072,-0.04723,-0.07413
,,,2022-12-16 11:05:17.573,-0.04054,-0.07079
,,,2022-12-16 11:05:18.073,-0.0305,-0.08083
,,,2022-12-16 11:05:18.573,-0.01711,-0.09422
,,,2022-12-16 11:05:19.073,-0.03384,-0.10426
,,,2022-12-16 11:05:19.572,-0.07066,-0.10761
,,,2022-12-16 11:05:20.073,-0.04054,-0.10091
,,,2022-12-16 11:05:20.572,-0.0305,-0.10091
,,,2022-12-16 11:05:21.072,-0.04054,-0.11095
,,,2022-12-16 11:05:21.572,-0.03384,-0.09757
,,,2022-12-16 11:05:22.072,-0.0305,-0.08083
,,,2022-12-16 11:05:22.573,-0.03719,-0.12434
,,,2022-12-16 11:05:23.073,-0.03719,-0.09422
,,,2022-12-16 11:05:23.574,-0.04388,-0.08083
,,,2022-12-16 11:05:24.073,-0.06732,-0.09757
,,,2022-12-16 11:05:24.573,-0.03719,-0.11095
,,,2022-12-16 11:05:25.074,-0.0238,-0.10091
,,,2022-12-16 11:05:25.575,-0.06062,-0.09422
,,,2022-12-16 11:05:26.073,-0.03719,-0.11765
,,,2022-12-16 11:05:26.574,-0.0305,-0.09757
,,,2022-12-16 11:05:27.074,-0.04723,-0.08752
,,,2022-12-16 11:05:27.573,-0.03719,-0.12434
,,,2022-12-16 11:05:28.073,-0.03384,-0.09757
,,,2022-12-16 11:05:28.573,-0.02045,-0.10761
,,,2022-12-16 11:05:29.073,-0.04388,-0.07079
,,,2022-12-16 11:05:29.573,-0.04054,-0.15447
,,,2022-12-16 11:05:30.072,-0.03719,-0.13773
,,,2022-12-16 11:05:30.573,-0.04723,-0.08752
