Address:,TCPIP0::192.168.1.2::inst0::INSTR,,Time (s),Minimum(4) (V),Minimum(1) (V)
Model:,MSO-X 4154A,,2022-12-16 11:14:49.273,-0.04054,-0.18459
Serial Number:,MY60101365,,2022-12-16 11:14:49.773,-0.04054,-0.17121
Firmware Version:,<Unknown Revision>,,2022-12-16 11:14:50.272,-0.05058,-0.14443
Start Time:,2022-12-16 11:14:49.273,,2022-12-16 11:14:50.772,-0.06732,-0.15112
Stop Time:,2022-12-16 11:24:49.272,,2022-12-16 11:14:51.271,-0.06397,-0.12769
Sample Period:,0.5,,2022-12-16 11:14:51.772,-0.05058,-0.15782
,,,2022-12-16 11:14:52.272,-0.03384,-0.14443
,,,2022-12-16 11:14:52.771,-0.04388,-0.15112
,,,2022-12-16 11:14:53.271,-0.07401,-0.18125
,,,2022-12-16 11:14:53.771,-0.03719,-0.14108
,,,2022-12-16 11:14:54.270,-0.06062,-0.15112
,,,2022-12-16 11:14:54.771,-0.05058,-0.18459
,,,2022-12-16 11:14:55.271,-0.05058,-0.11095
,,,2022-12-16 11:14:55.771,-0.07401,-0.11765
,,,2022-12-16 11:14:56.271,-0.04388,-0.16786
,,,2022-12-16 11:14:56.771,-0.05393,-0.12434
,,,2022-12-16 11:14:57.271,-0.04388,-0.1779
,,,2022-12-16 11:14:57.771,-0.06732,-0.15112
,,,2022-12-16 11:14:58.271,-0.06397,-0.12769
,,,2022-12-16 11:14:58.771,-0.03384,-0.14443
,,,2022-12-16 11:14:59.272,-0.04388,-0.08752
,,,2022-12-16 11:14:59.771,-0.08071,-0.15112
,,,2022-12-16 11:15:00.272,-0.05058,-0.15447
,,,2022-12-16 11:15:00.771,-0.05393,-0.15447
,,,2022-12-16 11:15:01.271,-0.05727,-0.12434
,,,2022-12-16 11:15:01.771,-0.05393,-0.16116
,,,2022-12-16 11:15:02.272,-0.05058,-0.14777
,,,2022-12-16 11:15:02.771,-0.05058,-0.16451
,,,2022-12-16 11:15:03.271,-0.05058,-0.13104
,,,2022-12-16 11:15:03.772,-0.06062,-0.17121
,,,2022-12-16 11:15:04.272,-0.03384,-0.13773
,,,2022-12-16 11:15:04.771,-0.07736,-0.17121
,,,2022-12-16 11:15:05.271,-0.05058,-0.121
,,,2022-12-16 11:15:05.771,-0.05058,-0.16451
,,,2022-12-16 11:15:06.272,-0.05393,-0.13439
,,,2022-12-16 11:15:06.773,-0.0305,-0.121
,,,2022-12-16 11:15:07.273,-0.07066,-0.09422
,,,2022-12-16 11:15:07.773,-0.06397,-0.1779
,,,2022-12-16 11:15:08.273,-0.04054,-0.09757
,,,2022-12-16 11:15:08.772,-0.06062,-0.16451
,,,2022-12-16 11:15:09.272,-0.02715,-0.16116
,,,2022-12-16 11:15:09.773,-0.05058,-0.1143
,,,2022-12-16 11:15:10.273,-0.05393,-0.1143
,,,2022-12-16 11:15:10.773,-0.04388,-0.17121
,,,2022-12-16 11:15:11.272,-0.04388,-0.1779
,,,2022-12-16 11:15:11.772,-0.06397,-0.12769
,,,2022-12-16 11:15:12.272,-0.04388,-0.13439
,,,2022-12-16 11:15:12.773,-0.0305,-0.15112
,,,2022-12-16 11:15:13.271,-0.07736,-0.10761
,,,2022-12-16 11:15:13.772,-0.05058,-0.11765
,,,2022-12-16 11:15:14.272,-0.04388,-0.13439
,,,2022-12-16 11:15:14.773,-0.05393,-0.19129
,,,2022-12-16 11:15:15.272,-0.05393,-0.21807
,,,2022-12-16 11:15:15.772,-0.06062,-0.121
,,,2022-12-16 11:15:16.272,-0.06397,-0.12434
,,,2022-12-16 11:15:16.772,-0.03719,-0.14777
,,,2022-12-16 11:15:17.272,-0.03719,-0.18459
,,,2022-12-16 11:15:17.772,-0.05393,-0.09757
,,,2022-12-16 11:15:18.272,-0.04054,-0.18794
,,,2022-12-16 11:15:18.772,-0.0874,-0.13104
,,,2022-12-16 11:15:19.271,-0.0305,-0.1779
,,,2022-12-16 11:15:19.772,-0.03719,-0.121
,,,2022-12-16 11:15:20.273,-0.04723,-0.16451
,,,2022-12-16 11:15:20.771,-0.10079,-0.16451
,,,2022-12-16 11:15:21.271,-0.05058,-0.121
,,,2022-12-16 11:15:21.772,-0.05393,-0.16116
,,,2022-12-16 11:15:22.273,-0.06397,-0.10426
,,,2022-12-16 11:15:22.772,-0.05393,-0.14777
,,,2022-12-16 11:15:23.271,-0.0238,-0.20133
,,,2022-12-16 11:15:23.771,-0.05393,-0.15447
,,,2022-12-16 11:15:24.272,-0.05058,-0.12434
,,,2022-12-16 11:15:24.773,-0.05058,-0.16786
,,,2022-12-16 11:15:25.271,-0.05058,-0.13439
,,,2022-12-16 11:15:25.772,-0.0305,-0.13439
,,,2022-12-16 11:15:26.273,-0.07736,-0.13773
,,,2022-12-16 11:15:26.771,-0.06732,-0.16786
,,,2022-12-16 11:15:27.271,-0.07066,-0.11765
,,,2022-12-16 11:15:27.772,-0.05393,-0.08418
,,,2022-12-16 11:15:28.271,-0.03719,-0.1143
,,,2022-12-16 11:15:28.771,-0.04388,-0.15112
,,,2022-12-16 11:15:29.270,-0.07736,-0.13439
,,,2022-12-16 11:15:29.770,-0.04723,-0.15447
,,,2022-12-16 11:15:30.270,-0.06732,-0.13439
,,,2022-12-16 11:15:30.771,-0.04388,-0.16116
,,,2022-12-16 11:15:31.271,-0.06397,-0.13773
,,,2022-12-16 11:15:31.770,-0.03384,-0.16451
,,,2022-12-16 11:15:32.270,-0.03719,-0.19798
,,,2022-12-16 11:15:32.770,-0.04054,-0.16451
,,,2022-12-16 11:15:33.270,-0.05058,-0.12769
,,,2022-12-16 11:15:33.770,-0.04388,-0.121
,,,2022-12-16 11:15:34.270,-0.03719,-0.11095
,,,2022-12-16 11:15:34.770,-0.04388,-0.14108
,,,2022-12-16 11:15:35.270,-0.05393,-0.15447
,,,2022-12-16 11:15:35.770,-0.03719,-0.13773
,,,2022-12-16 11:15:36.270,-0.07066,-0.13773
,,,2022-12-16 11:15:36.770,-0.04054,-0.18794
,,,2022-12-16 11:15:37.271,-0.05058,-0.16786
,,,2022-12-16 11:15:37.771,-0.03384,-0.11095
,,,2022-12-16 11:15:38.270,-0.06062,-0.17121
,,,2022-12-16 11:15:38.770,-0.03384,-0.1779
,,,2022-12-16 11:15:39.270,-0.06732,-0.13439
,,,2022-12-16 11:15:39.770,-0.04723,-0.15112
,,,2022-12-16 11:15:40.271,-0.03719,-0.11765
,,,2022-12-16 11:15:40.771,-0.05727,-0.12769
,,,2022-12-16 11:15:41.271,-0.05058,-0.17121
,,,2022-12-16 11:15:41.772,-0.04388,-0.11095
,,,2022-12-16 11:15:42.271,-0.06397,-0.12769
,,,2022-12-16 11:15:42.772,-0.06732,-0.13773
,,,2022-12-16 11:15:43.272,-0.04054,-0.15782
,,,2022-12-16 11:15:43.771,-0.04054,-0.14108
,,,2022-12-16 11:15:44.271,-0.07736,-0.12434
,,,2022-12-16 11:15:44.772,-0.07066,-0.16451
,,,2022-12-16 11:15:45.271,-0.08071,-0.19129
,,,2022-12-16 11:15:45.771,-0.02715,-0.13773
,,,2022-12-16 11:15:46.270,-0.03719,-0.121
,,,2022-12-16 11:15:46.771,-0.04723,-0.20133
,,,2022-12-16 11:15:47.272,-0.0305,-0.17121
,,,2022-12-16 11:15:47.772,-0.06732,-0.1143
,,,2022-12-16 11:15:48.273,-0.06397,-0.09087
,,,2022-12-16 11:15:48.772,-0.04388,-0.20133
,,,2022-12-16 11:15:49.273,-0.05727,-0.11095
,,,2022-12-16 11:15:49.772,-0.03384,-0.11765
,,,2022-12-16 11:15:50.273,-0.04388,-0.15782
,,,2022-12-16 11:15:50.771,-0.07736,-0.18794
,,,2022-12-16 11:15:51.272,-0.03719,-0.09087
,,,2022-12-16 11:15:51.772,-0.03384,-0.15782
,,,2022-12-16 11:15:52.272,-0.06397,-0.18125
,,,2022-12-16 11:15:52.771,-0.06732,-0.19464
,,,2022-12-16 11:15:53.271,-0.05393,-0.13104
,,,2022-12-16 11:15:53.772,-0.04723,-0.16451
,,,2022-12-16 11:15:54.272,-0.06397,-0.121
,,,2022-12-16 11:15:54.773,-0.03719,-0.13104
,,,2022-12-16 11:15:55.270,-0.04388,-0.1143
,,,2022-12-16 11:15:55.770,-0.09075,-0.14108
,,,2022-12-16 11:15:56.270,-0.06062,-0.121
,,,2022-12-16 11:15:56.770,-0.04723,-0.12769
,,,2022-12-16 11:15:57.270,-0.05058,-0.10426
,,,2022-12-16 11:15:57.770,-0.04723,-0.15782
,,,2022-12-16 11:15:58.270,-0.03384,-0.12434
,,,2022-12-16 11:15:58.770,-0.04723,-0.14443
,,,2022-12-16 11:15:59.270,-0.05393,-0.16786
,,,2022-12-16 11:15:59.770,-0.04054,-0.15112
,,,2022-12-16 11:16:00.271,-0.05058,-0.15447
,,,2022-12-16 11:16:00.772,-0.03384,-0.14108
,,,2022-12-16 11:16:01.274,-0.0305,-0.14777
,,,2022-12-16 11:16:01.772,-0.05058,-0.13104
