Address:,TCPIP0::192.168.1.2::inst0::INSTR,,Time (s),Minimum(4) (V),Minimum(1) (V)
Model:,MSO-X 4154A,,2022-12-16 11:26:42.160,-0.01711,-0.01054
Serial Number:,MY60101365,,2022-12-16 11:26:42.657,-0.04388,-0.11095
Firmware Version:,<Unknown Revision>,,2022-12-16 11:26:43.157,-0.03384,-0.14777
Start Time:,2022-12-16 11:26:42.160,,2022-12-16 11:26:43.656,-0.0305,-0.11095
Stop Time:,2022-12-16 11:36:42.157,,2022-12-16 11:26:44.157,-0.02715,-0.15782
Sample Period:,0.5,,2022-12-16 11:26:44.657,-0.0305,-0.14443
,,,2022-12-16 11:26:45.156,-0.03719,-0.11765
,,,2022-12-16 11:26:45.656,-0.03384,-0.09087
,,,2022-12-16 11:26:46.157,-0.03719,-0.10091
,,,2022-12-16 11:26:49.740,-0.03719,-0.10091
,,,2022-12-16 11:26:49.740,-0.03719,-0.10091
,,,2022-12-16 11:26:49.740,-0.03719,-0.10091
,,,2022-12-16 11:26:49.740,-0.03719,-0.10091
,,,2022-12-16 11:26:49.740,-0.03719,-0.10091
,,,2022-12-16 11:26:49.740,-0.03719,-0.10091
,,,2022-12-16 11:26:49.740,-0.05058,-0.13439
,,,2022-12-16 11:26:50.157,-0.0305,-0.15112
,,,2022-12-16 11:26:50.657,-0.0238,-0.15112
,,,2022-12-16 11:26:51.157,-0.03719,-0.13439
,,,2022-12-16 11:26:51.656,-0.05393,-0.14777
,,,2022-12-16 11:26:52.156,-0.03384,-0.11765
,,,2022-12-16 11:26:52.657,-0.07401,-0.15112
,,,2022-12-16 11:26:53.158,-0.02045,-0.18125
,,,2022-12-16 11:26:53.656,-0.04054,-0.17121
,,,2022-12-16 11:26:54.156,-0.04388,-0.13439
,,,2022-12-16 11:26:54.656,-0.0238,-0.13439
,,,2022-12-16 11:26:55.157,-0.05058,-0.14443
,,,2022-12-16 11:26:55.657,-0.04723,-0.15782
,,,2022-12-16 11:26:56.157,-0.0238,-0.11095
,,,2022-12-16 11:26:56.658,-0.04054,-0.15782
,,,2022-12-16 11:26:57.156,-0.02045,-0.13773
,,,2022-12-16 11:26:57.658,-0.03384,-0.13773
,,,2022-12-16 11:26:58.156,-0.03719,-0.10426
,,,2022-12-16 11:26:58.657,-0.0238,-0.10761
,,,2022-12-16 11:26:59.157,-0.05727,-0.14777
,,,2022-12-16 11:26:59.657,-0.04054,-0.10091
,,,2022-12-16 11:27:00.158,-0.0305,-0.13439
,,,2022-12-16 11:27:00.657,-0.03719,-0.11095
,,,2022-12-16 11:27:01.157,-0.04054,-0.12434
,,,2022-12-16 11:27:01.655,-0.0305,-0.1143
,,,2022-12-16 11:27:02.156,-0.05058,-0.13773
,,,2022-12-16 11:27:02.657,-0.03384,-0.20468
,,,2022-12-16 11:27:03.157,-0.05058,-0.09757
,,,2022-12-16 11:27:03.657,-0.04723,-0.11095
,,,2022-12-16 11:27:04.158,-0.05058,-0.1143
,,,2022-12-16 11:27:04.655,-0.02715,-0.121
,,,2022-12-16 11:27:05.156,-0.04723,-0.11765
,,,2022-12-16 11:27:05.656,-0.05058,-0.16451
,,,2022-12-16 11:27:06.157,-0.0238,-0.07079
,,,2022-12-16 11:27:06.657,-0.04723,-0.11095
,,,2022-12-16 11:27:07.156,-0.04388,-0.14443
,,,2022-12-16 11:27:07.656,-0.04054,-0.12769
,,,2022-12-16 11:27:08.156,-0.04388,-0.14108
,,,2022-12-16 11:27:08.656,-0.04054,-0.15447
,,,2022-12-16 11:27:09.156,-0.04723,-0.17455
,,,2022-12-16 11:27:09.656,-0.04723,-0.18459
,,,2022-12-16 11:27:10.156,-0.03719,-0.14777
,,,2022-12-16 11:27:10.655,-0.0305,-0.14777
,,,2022-12-16 11:27:11.155,-0.0305,-0.15112
,,,2022-12-16 11:27:11.656,-0.05058,-0.10091
,,,2022-12-16 11:27:12.156,-0.02715,-0.07079
,,,2022-12-16 11:27:12.656,-0.0305,-0.10761
,,,2022-12-16 11:27:13.156,-0.0238,-0.17455
,,,2022-12-16 11:27:13.657,-0.02715,-0.14777
,,,2022-12-16 11:27:14.157,-0.03719,-0.10426
,,,2022-12-16 11:27:14.657,-0.03719,-0.13104
,,,2022-12-16 11:27:15.157,-0.03384,-0.11095
,,,2022-12-16 11:27:15.657,-0.04054,-0.15112
,,,2022-12-16 11:27:16.157,-0.04723,-0.12434
,,,2022-12-16 11:27:16.656,-0.03719,-0.1143
,,,2022-12-16 11:27:17.156,-0.04054,-0.121
,,,2022-12-16 11:27:17.656,-0.04054,-0.13439
,,,2022-12-16 11:27:18.157,-0.02715,-0.13439
,,,2022-12-16 11:27:18.657,-0.04388,-0.13439
,,,2022-12-16 11:27:19.156,-0.03384,-0.17121
,,,2022-12-16 11:27:19.657,-0.04723,-0.12434
,,,2022-12-16 11:27:20.156,-0.03384,-0.121
,,,2022-12-16 11:27:20.656,-0.02715,-0.15112
,,,2022-12-16 11:27:21.156,-0.04723,-0.10761
,,,2022-12-16 11:27:21.656,-0.02715,-0.13104
,,,2022-12-16 11:27:22.155,-0.04054,-0.13773
,,,2022-12-16 11:27:22.655,-0.05058,-0.09757
,,,2022-12-16 11:27:23.157,-0.02715,-0.13104
,,,2022-12-16 11:27:23.657,-0.05393,-0.12434
,,,2022-12-16 11:27:24.157,-0.02715,-0.13773
,,,2022-12-16 11:27:24.656,-0.0238,-0.08083
,,,2022-12-16 11:27:25.157,-0.05058,-0.09422
,,,2022-12-16 11:27:25.657,-0.0238,-0.09087
,,,2022-12-16 11:27:26.156,-0.04054,-0.11095
,,,2022-12-16 11:27:26.657,-0.03719,-0.13439
,,,2022-12-16 11:27:27.157,-0.02715,-0.15447
,,,2022-12-16 11:27:27.657,-0.02045,-0.17121
,,,2022-12-16 11:27:28.157,-0.0238,-0.12434
,,,2022-12-16 11:27:28.657,-0.02715,-0.11095
,,,2022-12-16 11:27:29.157,-0.0238,-0.15112
,,,2022-12-16 11:27:29.657,-0.04723,-0.13439
,,,2022-12-16 11:27:30.156,-0.04054,-0.13439
,,,2022-12-16 11:27:30.656,-0.03719,-0.10426
,,,2022-12-16 11:27:31.156,-0.0238,-0.14108
,,,2022-12-16 11:27:31.656,-0.05393,-0.15447
,,,2022-12-16 11:27:32.157,-0.02715,-0.18125
,,,2022-12-16 11:27:32.656,-0.02045,-0.14108
,,,2022-12-16 11:27:33.156,-0.04388,-0.13773
,,,2022-12-16 11:27:33.656,-0.03719,-0.121
,,,2022-12-16 11:27:34.157,-0.07401,-0.13439
,,,2022-12-16 11:27:34.658,-0.0305,-0.11095
,,,2022-12-16 11:27:35.156,-0.05058,-0.12769
,,,2022-12-16 11:27:35.656,-0.02715,-0.12769
,,,2022-12-16 11:27:36.157,-0.03384,-0.15112
,,,2022-12-16 11:27:36.656,-0.0238,-0.15782
,,,2022-12-16 11:27:37.156,-0.04723,-0.15782
,,,2022-12-16 11:27:37.656,-0.0238,-0.13439
,,,2022-12-16 11:27:38.157,-0.03384,-0.10426
,,,2022-12-16 11:27:38.657,-0.03384,-0.13439
,,,2022-12-16 11:27:39.156,-0.06062,-0.17121
,,,2022-12-16 11:27:39.656,-0.03384,-0.13773
,,,2022-12-16 11:27:40.156,-0.05727,-0.18794
,,,2022-12-16 11:27:40.656,-0.0238,-0.13439
,,,2022-12-16 11:27:41.157,-0.0305,-0.15112
,,,2022-12-16 11:27:41.659,-0.02715,-0.13104
,,,2022-12-16 11:27:42.156,-0.04723,-0.13104
,,,2022-12-16 11:27:42.656,-0.06062,-0.13439
,,,2022-12-16 11:27:43.156,-0.0305,-0.12769
,,,2022-12-16 11:27:43.656,-0.03384,-0.14443
,,,2022-12-16 11:27:44.158,-0.05393,-0.15112
,,,2022-12-16 11:27:44.657,-0.0305,-0.10761
,,,2022-12-16 11:27:45.158,-0.06732,-0.13104
,,,2022-12-16 11:27:45.658,-0.05058,-0.18794
,,,2022-12-16 11:27:46.157,-0.03719,-0.15112
,,,2022-12-16 11:27:46.656,-0.04054,-0.16116
,,,2022-12-16 11:27:47.156,-0.03384,-0.121
,,,2022-12-16 11:27:47.657,-0.03719,-0.10091
,,,2022-12-16 11:27:48.156,-0.03384,-0.11765
,,,2022-12-16 11:27:48.657,-0.02715,-0.12434
,,,2022-12-16 11:27:49.158,-0.03719,-0.15447
,,,2022-12-16 11:27:49.656,-0.04723,-0.12434
,,,2022-12-16 11:27:50.157,-0.04723,-0.12434
,,,2022-12-16 11:27:50.657,-0.0238,-0.15782
,,,2022-12-16 11:27:51.157,-0.04388,-0.121
,,,2022-12-16 11:27:51.657,-0.04723,-0.19464
,,,2022-12-16 11:27:52.158,-0.01711,-0.1143
,,,2022-12-16 11:27:52.657,-0.0238,-0.18794
,,,2022-12-16 11:27:53.155,-0.03719,-0.14108
,,,2022-12-16 11:27:53.656,-0.0238,-0.14108
,,,2022-12-16 11:27:54.156,-0.03719,-0.10091
,,,2022-12-16 11:27:54.657,-0.02715,-0.10091
,,,2022-12-16 11:27:55.158,-0.03384,-0.13104
,,,2022-12-16 11:27:55.657,-0.04054,-0.13439
,,,2022-12-16 11:27:56.156,-0.04723,-0.12434
,,,2022-12-16 11:27:56.657,-0.04388,-0.11765
,,,2022-12-16 11:27:57.158,-0.03719,-0.13104
,,,2022-12-16 11:27:57.656,-0.04388,-0.14777
,,,2022-12-16 11:27:58.155,-0.04054,-0.10091
,,,2022-12-16 11:27:58.655,-0.03719,-0.12769
,,,2022-12-16 11:27:59.155,-0.02045,-0.10761
,,,2022-12-16 11:27:59.656,-0.01711,-0.15112
,,,2022-12-16 11:28:00.156,-0.05058,-0.13439
,,,2022-12-16 11:28:00.656,-0.04723,-0.10761
,,,2022-12-16 11:28:01.156,-0.0305,-0.11765
,,,2022-12-16 11:28:01.656,-0.02715,-0.13439
,,,2022-12-16 11:28:02.156,-0.03719,-0.15112
,,,2022-12-16 11:28:02.657,-0.02715,-0.08418
,,,2022-12-16 11:28:03.158,-0.0305,-0.121
,,,2022-12-16 11:28:03.656,-0.04054,-0.14108
,,,2022-12-16 11:28:04.156,-0.04388,-0.12769
,,,2022-12-16 11:28:04.656,-0.01711,-0.13439
,,,2022-12-16 11:28:05.156,-0.01711,-0.22142
,,,2022-12-16 11:28:05.655,-0.03384,-0.11765
,,,2022-12-16 11:28:06.156,-0.04388,-0.13104
,,,2022-12-16 11:28:06.657,-0.0238,-0.13439
,,,2022-12-16 11:28:07.156,-0.0305,-0.15782
,,,2022-12-16 11:28:07.655,-0.04388,-0.13439
,,,2022-12-16 11:28:08.156,-0.03719,-0.16786
,,,2022-12-16 11:28:08.657,-0.04388,-0.11765
,,,2022-12-16 11:28:09.157,-0.04054,-0.10426
,,,2022-12-16 11:28:09.656,-0.03719,-0.16116
,,,2022-12-16 11:28:10.157,-0.0238,-0.09087
,,,2022-12-16 11:28:10.656,-0.0305,-0.14108
,,,2022-12-16 11:28:11.158,-0.02715,-0.15112
,,,2022-12-16 11:28:11.657,-0.02045,-0.14443
,,,2022-12-16 11:28:12.156,-0.04388,-0.12434
,,,2022-12-16 11:28:12.657,-0.04388,-0.15782
,,,2022-12-16 11:28:13.156,-0.05058,-0.11095
,,,2022-12-16 11:28:13.656,-0.03719,-0.11095
,,,2022-12-16 11:28:14.155,-0.04723,-0.1143
,,,2022-12-16 11:28:14.656,-0.0305,-0.12769
,,,2022-12-16 11:28:15.155,-0.03384,-0.10426
,,,2022-12-16 11:28:15.656,-0.05393,-0.15112
,,,2022-12-16 11:28:16.157,-0.01711,-0.121
,,,2022-12-16 11:28:16.657,-0.03719,-0.12769
,,,2022-12-16 11:28:17.156,-0.02715,-0.14108
,,,2022-12-16 11:28:17.657,-0.05058,-0.13773
,,,2022-12-16 11:28:18.156,-0.03719,-0.14777
,,,2022-12-16 11:28:18.656,-0.02715,-0.11765
,,,2022-12-16 11:28:19.156,-0.06397,-0.08083
,,,2022-12-16 11:28:19.656,-0.05058,-0.09757
,,,2022-12-16 11:28:20.156,-0.02045,-0.09422
,,,2022-12-16 11:28:20.657,-0.05393,-0.10091
,,,2022-12-16 11:28:21.156,-0.03719,-0.14443
,,,2022-12-16 11:28:21.656,-0.0305,-0.13773
,,,2022-12-16 11:28:22.156,-0.0238,-0.15447
,,,2022-12-16 11:28:22.656,-0.04723,-0.12769
,,,2022-12-16 11:28:23.155,-0.0305,-0.11765
,,,2022-12-16 11:28:23.655,-0.05727,-0.16451
,,,2022-12-16 11:28:24.155,-0.0238,-0.14108
,,,2022-12-16 11:28:24.655,-0.0238,-0.14443
,,,2022-12-16 11:28:25.155,-0.03384,-0.13773
,,,2022-12-16 11:28:25.655,-0.03719,-0.1143
,,,2022-12-16 11:28:26.156,-0.0238,-0.12769
,,,2022-12-16 11:28:26.656,-0.04388,-0.08083
,,,2022-12-16 11:28:27.157,-0.03384,-0.16116
,,,2022-12-16 11:28:27.657,-0.03719,-0.10761
,,,2022-12-16 11:28:28.156,-0.04054,-0.16786
,,,2022-12-16 11:28:28.657,-0.03384,-0.11095
