Address:,TCPIP0::192.168.1.2::inst0::INSTR,,Time (s),Minimum(4) (V),Minimum(1) (V)
Model:,MSO-X 4154A,,2022-12-16 10:41:43.659,-0.06732,-0.15447
Serial Number:,MY60101365,,2022-12-16 10:41:44.159,-0.06732,-0.15782
Firmware Version:,<Unknown Revision>,,2022-12-16 10:41:44.658,-0.06062,-0.17121
Start Time:,2022-12-16 10:41:43.659,,2022-12-16 10:41:45.158,-0.05727,-0.18459
Stop Time:,2022-12-16 10:51:43.659,,2022-12-16 10:41:45.658,-0.07401,-0.11765
Sample Period:,0.5,,2022-12-16 10:41:46.157,-0.06732,-0.18125
,,,2022-12-16 10:41:46.657,-0.07401,-0.08752
,,,2022-12-16 10:41:47.157,-0.06732,-0.15782
,,,2022-12-16 10:41:47.658,-0.06062,-0.08418
,,,2022-12-16 10:41:48.158,-0.0874,-0.10761
,,,2022-12-16 10:41:48.659,-0.10079,-0.14108
,,,2022-12-16 10:41:49.159,-0.08071,-0.1779
,,,2022-12-16 10:41:49.660,-0.05058,-0.15782
,,,2022-12-16 10:41:50.159,-0.11083,-0.09087
,,,2022-12-16 10:41:50.659,-0.07066,-0.16451
,,,2022-12-16 10:41:51.160,-0.09744,-0.16451
,,,2022-12-16 10:41:51.660,-0.07401,-0.16116
,,,2022-12-16 10:41:52.159,-0.08405,-0.15447
,,,2022-12-16 10:41:52.659,-0.07401,-0.10761
,,,2022-12-16 10:41:53.159,-0.07401,-0.12434
,,,2022-12-16 10:41:53.660,-0.05058,-0.12769
,,,2022-12-16 10:41:54.158,-0.0874,-0.16786
,,,2022-12-16 10:41:54.659,-0.05727,-0.11765
,,,2022-12-16 10:41:55.159,-0.05058,-0.121
,,,2022-12-16 10:41:55.659,-0.07736,-0.14777
,,,2022-12-16 10:41:56.159,-0.06062,-0.12769
,,,2022-12-16 10:41:56.659,-0.04388,-0.15447
,,,2022-12-16 10:41:57.159,-0.08405,-0.17121
,,,2022-12-16 10:41:57.659,-0.05727,-0.15112
,,,2022-12-16 10:41:58.159,-0.06062,-0.13439
,,,2022-12-16 10:41:58.658,-0.04388,-0.08083
,,,2022-12-16 10:41:59.158,-0.09075,-0.17455
,,,2022-12-16 10:41:59.659,-0.07736,-0.15112
,,,2022-12-16 10:42:00.161,-0.06062,-0.14443
,,,2022-12-16 10:42:00.659,-0.09075,-0.16116
,,,2022-12-16 10:42:01.161,-0.0874,-0.14777
,,,2022-12-16 10:42:01.660,-0.04388,-0.16116
,,,2022-12-16 10:42:02.158,-0.07401,-0.19129
,,,2022-12-16 10:42:02.660,-0.0874,-0.13773
,,,2022-12-16 10:42:03.161,-0.0874,-0.15447
,,,2022-12-16 10:42:03.659,-0.08071,-0.13773
,,,2022-12-16 10:42:04.160,-0.08405,-0.14108
,,,2022-12-16 10:42:04.660,-0.08071,-0.11095
,,,2022-12-16 10:42:05.158,-0.06062,-0.17455
,,,2022-12-16 10:42:05.660,-0.05058,-0.15447
,,,2022-12-16 10:42:06.160,-0.08071,-0.13439
,,,2022-12-16 10:42:06.660,-0.07401,-0.09757
,,,2022-12-16 10:42:07.158,-0.04723,-0.15782
,,,2022-12-16 10:42:07.658,-0.07066,-0.14108
,,,2022-12-16 10:42:08.159,-0.07066,-0.14777
