Address:,TCPIP0::192.168.1.2::inst0::INSTR,,Time (s),Minimum(4) (V),Minimum(1) (V)
Model:,MSO-X 4154A,,2022-12-16 10:14:16.687,-0.09075,-0.26158
Serial Number:,MY60101365,,2022-12-16 10:14:17.196,-0.09409,-0.19464
Firmware Version:,<Unknown Revision>,,2022-12-16 10:14:17.687,-0.07736,-0.17455
Start Time:,2022-12-16 10:14:16.687,,2022-12-16 10:14:18.189,-0.06062,-0.22476
Stop Time:,2022-12-16 10:24:16.687,,2022-12-16 10:14:18.692,-0.04723,-0.15447
Sample Period:,0.5,,2022-12-16 10:14:19.195,-0.06732,-0.1779
,,,2022-12-16 10:14:19.695,-0.10414,-0.21137
,,,2022-12-16 10:14:20.191,-0.09075,-0.23146
,,,2022-12-16 10:14:20.686,-0.08071,-0.23815
,,,2022-12-16 10:14:21.185,-0.07401,-0.14777
,,,2022-12-16 10:14:21.685,-0.09075,-0.14108
,,,2022-12-16 10:14:22.185,-0.08405,-0.25489
,,,2022-12-16 10:14:22.686,-0.07736,-0.16451
,,,2022-12-16 10:14:23.194,-0.06732,-0.30844
,,,2022-12-16 10:14:23.686,-0.07736,-0.18125
,,,2022-12-16 10:14:24.186,-0.08405,-0.20133
,,,2022-12-16 10:14:24.686,-0.07066,-0.14777
,,,2022-12-16 10:14:25.186,-0.10079,-0.17455
,,,2022-12-16 10:14:25.685,-0.11418,-0.25824
,,,2022-12-16 10:14:26.187,-0.08405,-0.18459
,,,2022-12-16 10:14:26.687,-0.09409,-0.23146
,,,2022-12-16 10:14:27.188,-0.09744,-0.20133
,,,2022-12-16 10:14:27.685,-0.05727,-0.23815
,,,2022-12-16 10:14:28.185,-0.10079,-0.20803
,,,2022-12-16 10:14:28.686,-0.09075,-0.22476
,,,2022-12-16 10:14:29.188,-0.05393,-0.20468
,,,2022-12-16 10:14:29.688,-0.0874,-0.21472
,,,2022-12-16 10:14:30.188,-0.09409,-0.19129
,,,2022-12-16 10:14:30.687,-0.05727,-0.22142
,,,2022-12-16 10:14:31.187,-0.11753,-0.22811
,,,2022-12-16 10:14:31.687,-0.08071,-0.18794
,,,2022-12-16 10:14:32.187,-0.08071,-0.17121
,,,2022-12-16 10:14:32.690,-0.09075,-0.19129
,,,2022-12-16 10:14:33.187,-0.0874,-0.2348
,,,2022-12-16 10:14:33.690,-0.12087,-0.23815
,,,2022-12-16 10:14:34.187,-0.06062,-0.25154
,,,2022-12-16 10:14:34.687,-0.12087,-0.21137
,,,2022-12-16 10:14:35.188,-0.07736,-0.18125
,,,2022-12-16 10:14:35.688,-0.09409,-0.20468
,,,2022-12-16 10:14:36.187,-0.0874,-0.21137
,,,2022-12-16 10:14:36.689,-0.07736,-0.18125
,,,2022-12-16 10:14:37.187,-0.09409,-0.18794
,,,2022-12-16 10:14:37.687,-0.09075,-0.25489
,,,2022-12-16 10:14:38.187,-0.07736,-0.20133
,,,2022-12-16 10:14:38.689,-0.02715,-0.08083
,,,2022-12-16 10:14:39.188,-0.09075,-0.29506
,,,2022-12-16 10:14:39.690,-0.08071,-0.22476
,,,2022-12-16 10:14:40.188,-0.06732,-0.22142
,,,2022-12-16 10:14:40.688,-0.09409,-0.21137
,,,2022-12-16 10:14:41.186,-0.09409,-0.20133
,,,2022-12-16 10:14:41.686,-0.06397,-0.18125
,,,2022-12-16 10:14:42.186,-0.04388,-0.18125
,,,2022-12-16 10:14:42.686,-0.06732,-0.17121
,,,2022-12-16 10:14:43.187,-0.10414,-0.13439
,,,2022-12-16 10:14:43.688,-0.06397,-0.15447
,,,2022-12-16 10:14:44.187,-0.07401,-0.16786
