Address:,TCPIP0::192.168.1.2::inst0::INSTR,,Time (s),Minimum(4) (V),Minimum(1) (V)
Model:,MSO-X 4154A,,2022-12-16 10:27:52.828,-0.04723,-0.21472
Serial Number:,MY60101365,,2022-12-16 10:27:53.329,-0.05727,-0.16451
Firmware Version:,<Unknown Revision>,,2022-12-16 10:27:53.828,-0.04723,-0.11765
Start Time:,2022-12-16 10:27:52.828,,2022-12-16 10:27:54.328,-0.03719,-0.19464
Stop Time:,2022-12-16 10:37:52.827,,2022-12-16 10:27:54.827,-0.05393,-0.14777
Sample Period:,0.5,,2022-12-16 10:27:55.328,-0.04388,-0.16116
,,,2022-12-16 10:27:55.828,-0.05393,-0.14443
,,,2022-12-16 10:27:56.327,-0.05393,-0.13773
,,,2022-12-16 10:27:56.827,-0.07401,-0.20468
,,,2022-12-16 10:27:57.327,-0.04388,-0.1779
,,,2022-12-16 10:27:57.828,-0.05058,-0.16786
,,,2022-12-16 10:27:58.328,-0.09075,-0.22811
,,,2022-12-16 10:27:58.828,-0.05058,-0.20468
,,,2022-12-16 10:27:59.328,-0.03719,-0.2348
,,,2022-12-16 10:27:59.827,-0.05393,-0.15782
,,,2022-12-16 10:28:00.327,-0.08071,-0.20133
,,,2022-12-16 10:28:00.827,-0.07066,-0.12769
,,,2022-12-16 10:28:01.327,-0.05058,-0.18459
,,,2022-12-16 10:28:01.828,-0.05727,-0.18125
,,,2022-12-16 10:28:02.328,-0.06732,-0.21137
,,,2022-12-16 10:28:02.828,-0.07736,-0.19129
,,,2022-12-16 10:28:03.327,-0.05058,-0.16116
,,,2022-12-16 10:28:03.827,-0.03719,-0.14777
,,,2022-12-16 10:28:04.327,-0.04388,-0.14777
,,,2022-12-16 10:28:04.827,-0.0238,-0.20133
,,,2022-12-16 10:28:05.327,-0.06732,-0.19798
,,,2022-12-16 10:28:05.827,-0.03719,-0.21137
,,,2022-12-16 10:28:06.327,-0.08071,-0.16451
,,,2022-12-16 10:28:06.828,-0.05727,-0.18794
,,,2022-12-16 10:28:07.329,-0.04723,-0.18125
,,,2022-12-16 10:28:07.829,-0.05393,-0.1143
,,,2022-12-16 10:28:08.328,-0.08071,-0.16116
,,,2022-12-16 10:28:08.828,-0.0305,-0.17455
,,,2022-12-16 10:28:09.328,-0.0238,-0.17121
,,,2022-12-16 10:28:09.828,-0.0305,-0.15447
,,,2022-12-16 10:28:10.328,-0.06397,-0.17455
,,,2022-12-16 10:28:10.828,-0.04723,-0.11095
,,,2022-12-16 10:28:11.328,-0.06732,-0.18459
,,,2022-12-16 10:28:11.828,-0.07736,-0.14443
,,,2022-12-16 10:28:12.328,-0.03719,-0.16116
,,,2022-12-16 10:28:12.829,-0.03384,-0.16116
,,,2022-12-16 10:28:13.327,-0.05727,-0.18459
,,,2022-12-16 10:28:13.827,-0.07066,-0.19798
,,,2022-12-16 10:28:14.327,-0.04723,-0.19798
,,,2022-12-16 10:28:14.827,-0.07401,-0.19464
,,,2022-12-16 10:28:15.327,-0.03384,-0.12434
,,,2022-12-16 10:28:15.827,-0.05058,-0.16786
,,,2022-12-16 10:28:16.327,-0.06062,-0.20468
,,,2022-12-16 10:28:16.826,-0.05058,-0.20468
,,,2022-12-16 10:28:17.326,-0.06062,-0.13439
,,,2022-12-16 10:28:17.827,-0.04388,-0.10426
,,,2022-12-16 10:28:18.327,-0.04723,-0.18794
,,,2022-12-16 10:28:18.828,-0.03384,-0.18125
,,,2022-12-16 10:28:19.328,-0.04388,-0.15447
,,,2022-12-16 10:28:19.828,-0.03384,-0.19464
