Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V),Maximum(4) (V)
Model:,MSO-X 4154A,,2022-10-18 14:02:26.324,0.0103766,0.0065897
Serial Number:,MY60101365,,2022-10-18 14:02:26.951,0.0102092,0.0039119
Firmware Version:,07.31.2020012900,,2022-10-18 14:02:27.587,0.0065272,0.004414
Start Time:,2022-10-18 14:02:26.324,,2022-10-18 14:02:28.255,0.007364,0.0047487
Stop Time:,2022-10-18 14:12:25.666,,2022-10-18 14:02:28.926,0.0107113,0.0047487
Sample Period:,0.5,,2022-10-18 14:02:29.594,0.007364,0.0059202
,,,2022-10-18 14:02:30.245,0.0076987,0.004414
,,,2022-10-18 14:02:30.898,0.0078661,0.0047487
,,,2022-10-18 14:02:31.552,0.0087029,0.0049161
,,,2022-10-18 14:02:32.203,0.0083682,0.0059202
,,,2022-10-18 14:02:32.861,0.0082008,0.0040792
,,,2022-10-18 14:02:33.514,0.0078661,0.0052508
,,,2022-10-18 14:02:34.169,0.0080335,0.0055855
,,,2022-10-18 14:02:34.819,0.0097071,0.0045813
,,,2022-10-18 14:02:35.463,0.0083682,0.0057529
,,,2022-10-18 14:02:36.113,0.0097071,0.0047487
,,,2022-10-18 14:02:36.772,0.0088703,0.0035771
,,,2022-10-18 14:02:37.418,0.0078661,0.0037445
,,,2022-10-18 14:02:38.080,0.0071967,0.0050834
,,,2022-10-18 14:02:38.764,0.0095397,0.004414
,,,2022-10-18 14:02:39.424,0.0078661,0.0030751
,,,2022-10-18 14:02:40.075,0.0075314,0.0037445
,,,2022-10-18 14:02:40.844,0.0098745,0.0064223
,,,2022-10-18 14:02:41.508,0.0076987,0.0057529
,,,2022-10-18 14:02:42.162,0.0075314,0.0042466
,,,2022-10-18 14:02:42.819,0.0070293,0.0035771
,,,2022-10-18 14:02:43.463,0.0083682,0.0065897
,,,2022-10-18 14:02:44.115,0.0083682,0.0060876
,,,2022-10-18 14:02:44.768,0.0075314,0.004414
,,,2022-10-18 14:02:45.424,0.0075314,0.0052508
