Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V),Maximum(4) (V)
Model:,MSO-X 4154A,,2022-10-18 11:19:21.106,0.0095397,0.0031799
Serial Number:,MY60101365,,2022-10-18 11:19:21.732,0.0082008,0.0033473
Firmware Version:,07.31.2020012900,,2022-10-18 11:19:22.365,0.0075314,0.0038494
Start Time:,2022-10-18 11:19:21.106,,2022-10-18 11:19:23.042,0.0068619,0.0033473
Stop Time:,2022-10-18 11:29:20.793,,2022-10-18 11:19:23.714,0.0068619,0.0020084
Sample Period:,0.5,,2022-10-18 11:19:24.371,0.0060251,0.0041841
,,,2022-10-18 11:19:25.027,0.0058577,0.0031799
,,,2022-10-18 11:19:25.701,0.0071967,0.0061925
,,,2022-10-18 11:19:26.368,0.0063598,0.0041841
,,,2022-10-18 11:19:27.031,0.0056904,0.0030126
,,,2022-10-18 11:19:27.661,0.005523,0.0038494
,,,2022-10-18 11:19:28.313,0.0060251,0.0038494
,,,2022-10-18 11:19:28.971,0.007364,0.0050209
,,,2022-10-18 11:19:29.620,0.0060251,0.0041841
,,,2022-10-18 11:19:30.271,0.0060251,0.0038494
,,,2022-10-18 11:19:30.913,0.0070293,0.0030126
,,,2022-10-18 11:19:31.564,0.0080335,0.0043515
,,,2022-10-18 11:19:32.216,0.0071967,0.0040167
,,,2022-10-18 11:19:32.861,0.0078661,0.0058577
,,,2022-10-18 11:19:33.499,0.0075314,0.0038494
,,,2022-10-18 11:19:34.133,0.0087029,0.0046862
,,,2022-10-18 11:19:34.793,0.007364,0.0051883
,,,2022-10-18 11:19:35.443,0.0071967,0.0046862
,,,2022-10-18 11:19:36.112,0.0068619,0.0040167
,,,2022-10-18 11:19:36.762,0.0071967,0.0043515
,,,2022-10-18 11:19:37.413,0.0058577,0.0056904
,,,2022-10-18 11:19:38.060,0.007364,0.0040167
,,,2022-10-18 11:19:38.705,0.0080335,0.0051883
,,,2022-10-18 11:19:39.349,0.0075314,0.0031799
,,,2022-10-18 11:19:40.110,0.0088703,0.0048536
,,,2022-10-18 11:19:40.760,0.0071967,0.0041841
,,,2022-10-18 11:19:41.408,0.0070293,0.0045188
,,,2022-10-18 11:19:42.051,0.0080335,0.0041841
,,,2022-10-18 11:19:42.693,0.0085356,0.0053556
,,,2022-10-18 11:19:43.339,0.0053556,0.0058577
,,,2022-10-18 11:19:43.991,0.0075314,0.0051883
,,,2022-10-18 11:19:44.639,0.0063598,0.0050209
,,,2022-10-18 11:19:45.297,0.0083682,0.0023431
,,,2022-10-18 11:19:45.934,0.0080335,0.0030126
,,,2022-10-18 11:19:46.580,0.0065272,0.0040167
,,,2022-10-18 11:19:47.225,0.0083682,0.0045188
,,,2022-10-18 11:19:47.864,0.0090377,0.005523
,,,2022-10-18 11:19:48.513,0.0071967,0.0045188
,,,2022-10-18 11:19:49.162,0.0087029,0.0035146
,,,2022-10-18 11:19:49.812,0.005523,0.0058577
,,,2022-10-18 11:19:50.457,0.0075314,0.0035146
,,,2022-10-18 11:19:51.106,0.0066946,0.0060251
,,,2022-10-18 11:19:51.745,0.0058577,0.0040167
,,,2022-10-18 11:19:52.394,0.0076987,0.0043515
,,,2022-10-18 11:19:53.045,0.0082008,0.0048536
,,,2022-10-18 11:19:53.696,0.0068619,0.0030126
,,,2022-10-18 11:19:54.344,0.0061925,0.0033473
,,,2022-10-18 11:19:54.990,0.0082008,0.0040167
,,,2022-10-18 11:19:55.641,0.0090377,0.0031799
,,,2022-10-18 11:19:56.288,0.0082008,0.0030126
,,,2022-10-18 11:19:56.941,0.0083682,0.0046862
,,,2022-10-18 11:19:57.595,0.0076987,0.0041841
,,,2022-10-18 11:19:58.250,0.0070293,0.0041841
,,,2022-10-18 11:19:58.904,0.0071967,0.0040167
,,,2022-10-18 11:19:59.552,0.0061925,0.0060251
,,,2022-10-18 11:20:00.204,0.0075314,0.0050209
,,,2022-10-18 11:20:00.854,0.0088703,0.0041841
,,,2022-10-18 11:20:01.501,0.0080335,0.0061925
,,,2022-10-18 11:20:02.152,0.0076987,0.0045188
,,,2022-10-18 11:20:02.805,0.0071967,0.0041841
,,,2022-10-18 11:20:03.469,0.0087029,0.0028452
,,,2022-10-18 11:20:04.124,0.0085356,0.0033473
,,,2022-10-18 11:20:04.791,0.0066946,0.0035146
,,,2022-10-18 11:20:05.442,0.0058577,0.0043515
,,,2022-10-18 11:20:06.084,0.0080335,0.0041841
,,,2022-10-18 11:20:06.735,0.0082008,0.0043515
,,,2022-10-18 11:20:07.391,0.0080335,0.0061925
,,,2022-10-18 11:20:08.041,0.0087029,0.0040167
,,,2022-10-18 11:20:08.691,0.0061925,0.0041841
,,,2022-10-18 11:20:09.343,0.0082008,0.0056904
,,,2022-10-18 11:20:09.996,0.0063598,0.0041841
,,,2022-10-18 11:20:10.660,0.0085356,0.0045188
,,,2022-10-18 11:20:11.317,0.0058577,0.0056904
,,,2022-10-18 11:20:11.969,0.007364,0.0046862
,,,2022-10-18 11:20:12.617,0.0078661,0.0035146
,,,2022-10-18 11:20:13.269,0.0070293,0.003682
,,,2022-10-18 11:20:13.913,0.0080335,0.0046862
,,,2022-10-18 11:20:14.563,0.0071967,0.0031799
,,,2022-10-18 11:20:15.216,0.007364,0.0061925
,,,2022-10-18 11:20:15.873,0.0060251,0.0040167
,,,2022-10-18 11:20:16.528,0.0082008,0.0048536
,,,2022-10-18 11:20:17.176,0.0087029,0.0031799
,,,2022-10-18 11:20:17.828,0.0068619,0.0033473
,,,2022-10-18 11:20:18.482,0.0087029,0.0046862
,,,2022-10-18 11:20:19.130,0.0083682,0.0045188
,,,2022-10-18 11:20:19.783,0.0078661,0.0028452
,,,2022-10-18 11:20:20.430,0.0076987,0.005523
,,,2022-10-18 11:20:21.083,0.0075314,0.0030126
,,,2022-10-18 11:20:21.737,0.0088703,0.0035146
,,,2022-10-18 11:20:22.375,0.0080335,0.0038494
,,,2022-10-18 11:20:23.025,0.0061925,0.0045188
,,,2022-10-18 11:20:23.678,0.0071967,0.0040167
,,,2022-10-18 11:20:24.327,0.0060251,0.0050209
,,,2022-10-18 11:20:24.970,0.0060251,0.0046862
,,,2022-10-18 11:20:25.626,0.0071967,0.0038494
,,,2022-10-18 11:20:26.287,0.007364,0.0043515
,,,2022-10-18 11:20:26.944,0.0082008,0.0053556
,,,2022-10-18 11:20:27.595,0.0078661,0.0030126
,,,2022-10-18 11:20:28.245,0.0065272,0.0056904
,,,2022-10-18 11:20:28.904,0.0098745,0.0051883
,,,2022-10-18 11:20:29.567,0.0068619,0.0040167
,,,2022-10-18 11:20:30.213,0.009205,0.0045188
,,,2022-10-18 11:20:30.860,0.0085356,0.0030126
,,,2022-10-18 11:20:31.509,0.0070293,0.0040167
,,,2022-10-18 11:20:32.158,0.007364,0.0031799
,,,2022-10-18 11:20:32.813,0.0065272,0.0045188
,,,2022-10-18 11:20:33.460,0.0065272,0.003682
,,,2022-10-18 11:20:34.110,0.0076987,0.0031799
,,,2022-10-18 11:20:34.764,0.0071967,0.0048536
,,,2022-10-18 11:20:35.416,0.0061925,0.005523
,,,2022-10-18 11:20:36.060,0.007364,0.0048536
,,,2022-10-18 11:20:36.708,0.0076987,0.0053556
,,,2022-10-18 11:20:37.358,0.0082008,0.005523
,,,2022-10-18 11:20:38.008,0.0058577,0.0040167
,,,2022-10-18 11:20:38.663,0.0085356,0.0043515
,,,2022-10-18 11:20:39.314,0.0071967,0.0038494
,,,2022-10-18 11:20:39.964,0.0066946,0.0051883
,,,2022-10-18 11:20:40.620,0.0085356,0.0051883
,,,2022-10-18 11:20:41.268,0.0076987,0.0046862
,,,2022-10-18 11:20:41.919,0.0075314,0.0026778
,,,2022-10-18 11:20:42.571,0.0070293,0.0045188
,,,2022-10-18 11:20:43.221,0.0063598,0.0048536
,,,2022-10-18 11:20:43.878,0.0068619,0.0050209
,,,2022-10-18 11:20:44.517,0.0082008,0.0050209
