Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V),Maximum(4) (V)
Model:,MSO-X 4154A,,2022-10-18 16:01:08.235,0.011448,0.003705
Serial Number:,MY60101365,,2022-10-18 16:01:08.862,0.013556,0.00491
Firmware Version:,07.31.2020012900,,2022-10-18 16:01:09.511,0.010845,0.00491
Start Time:,2022-10-18 16:01:08.235,,2022-10-18 16:01:10.189,0.012653,0.005211
Stop Time:,2022-10-18 16:11:07.952,,2022-10-18 16:01:10.865,0.01446,0.004609
Sample Period:,0.5,,2022-10-18 16:01:11.525,0.013255,0.003705
,,,2022-10-18 16:01:12.177,0.011448,0.005211
,,,2022-10-18 16:01:12.835,0.014159,0.006115
,,,2022-10-18 16:01:13.484,0.013858,0.006416
,,,2022-10-18 16:01:14.136,0.012653,0.005211
,,,2022-10-18 16:01:14.794,0.012351,0.004609
,,,2022-10-18 16:01:15.447,0.011448,0.004308
,,,2022-10-18 16:01:16.100,0.013556,0.004609
,,,2022-10-18 16:01:16.754,0.012351,0.004609
,,,2022-10-18 16:01:17.408,0.015063,0.004609
,,,2022-10-18 16:01:18.063,0.012351,0.004609
,,,2022-10-18 16:01:18.710,0.013556,0.00491
,,,2022-10-18 16:01:19.370,0.014159,0.004308
,,,2022-10-18 16:01:20.025,0.013858,0.00491
,,,2022-10-18 16:01:20.675,0.011146,0.005513
,,,2022-10-18 16:01:21.331,0.013858,0.00491
,,,2022-10-18 16:01:21.986,0.014159,0.006115
,,,2022-10-18 16:01:22.643,0.012653,0.004609
,,,2022-10-18 16:01:23.299,0.012954,0.004609
,,,2022-10-18 16:01:23.951,0.014159,0.00491
,,,2022-10-18 16:01:24.594,0.014762,0.003404
,,,2022-10-18 16:01:25.245,0.015364,0.00491
,,,2022-10-18 16:01:25.907,0.01205,0.00491
,,,2022-10-18 16:01:26.566,0.013858,0.005513
,,,2022-10-18 16:01:27.225,0.012954,0.005211
,,,2022-10-18 16:01:27.880,0.012653,0.006416
,,,2022-10-18 16:01:28.529,0.011448,0.004609
,,,2022-10-18 16:01:29.187,0.008435,0.004006
,,,2022-10-18 16:01:29.846,0.013556,0.004006
,,,2022-10-18 16:01:30.500,0.013556,0.00491
,,,2022-10-18 16:01:31.171,0.013255,0.004308
,,,2022-10-18 16:01:31.827,0.014159,0.004609
,,,2022-10-18 16:01:32.473,0.012351,0.004609
,,,2022-10-18 16:01:33.126,0.013556,0.004308
,,,2022-10-18 16:01:33.770,0.013255,0.005211
,,,2022-10-18 16:01:34.430,0.011749,0.005513
,,,2022-10-18 16:01:35.098,0.013556,0.00491
,,,2022-10-18 16:01:35.750,0.013255,0.006115
,,,2022-10-18 16:01:36.396,0.010544,0.003705
,,,2022-10-18 16:01:37.046,0.014762,0.005513
,,,2022-10-18 16:01:37.702,0.01446,0.003404
,,,2022-10-18 16:01:38.356,0.014762,0.003705
,,,2022-10-18 16:01:39.013,0.012954,0.00491
,,,2022-10-18 16:01:39.672,0.016268,0.004006
,,,2022-10-18 16:01:40.329,0.012954,0.004308
,,,2022-10-18 16:01:40.983,0.014762,0.002801
,,,2022-10-18 16:01:41.650,0.014762,0.005211
,,,2022-10-18 16:01:42.302,0.012954,0.005211
,,,2022-10-18 16:01:42.978,0.014762,0.003705
,,,2022-10-18 16:01:43.645,0.009038,0.006718
,,,2022-10-18 16:01:44.308,0.01205,0.005211
,,,2022-10-18 16:01:44.962,0.015665,0.003705
,,,2022-10-18 16:01:45.622,0.011749,0.005513
,,,2022-10-18 16:01:46.267,0.01205,0.004609
,,,2022-10-18 16:01:46.920,0.012351,0.004006
,,,2022-10-18 16:01:47.586,0.011448,0.006416
,,,2022-10-18 16:01:48.243,0.01205,0.003404
,,,2022-10-18 16:01:48.897,0.011749,0.005211
,,,2022-10-18 16:01:49.558,0.010845,0.004006
,,,2022-10-18 16:01:50.206,0.016268,0.00491
,,,2022-10-18 16:01:50.858,0.010243,0.004006
,,,2022-10-18 16:01:51.514,0.012954,0.005814
,,,2022-10-18 16:01:52.176,0.013858,0.004006
,,,2022-10-18 16:01:52.836,0.011146,0.00491
,,,2022-10-18 16:01:53.492,0.013858,0.005513
,,,2022-10-18 16:01:54.154,0.012351,0.004609
,,,2022-10-18 16:01:54.803,0.012954,0.004609
,,,2022-10-18 16:01:55.458,0.01205,0.005814
,,,2022-10-18 16:01:56.110,0.010845,0.00491
,,,2022-10-18 16:01:56.770,0.01205,0.006115
,,,2022-10-18 16:01:57.424,0.013858,0.004006
,,,2022-10-18 16:01:58.083,0.013556,0.003705
,,,2022-10-18 16:01:58.728,0.011146,0.005513
,,,2022-10-18 16:01:59.380,0.01205,0.004609
,,,2022-10-18 16:02:00.036,0.01205,0.00491
,,,2022-10-18 16:02:00.689,0.009941,0.00491
,,,2022-10-18 16:02:01.338,0.009339,0.00491
,,,2022-10-18 16:02:01.992,0.009941,0.001898
,,,2022-10-18 16:02:02.652,0.01446,0.005211
,,,2022-10-18 16:02:03.310,0.012653,0.004308
,,,2022-10-18 16:02:03.970,0.012653,0.004006
,,,2022-10-18 16:02:04.632,0.01205,0.004006
,,,2022-10-18 16:02:05.294,0.013556,0.005211
,,,2022-10-18 16:02:05.951,0.012954,0.004006
,,,2022-10-18 16:02:06.603,0.015063,0.004308
,,,2022-10-18 16:02:07.268,0.01446,0.004006
,,,2022-10-18 16:02:07.920,0.012351,0.005211
,,,2022-10-18 16:02:08.577,0.013556,0.004308
,,,2022-10-18 16:02:09.231,0.012954,0.005814
,,,2022-10-18 16:02:09.871,0.01446,0.003404
,,,2022-10-18 16:02:10.533,0.014762,0.005211
,,,2022-10-18 16:02:11.190,0.012954,0.004308
,,,2022-10-18 16:02:11.853,0.012954,0.005513
,,,2022-10-18 16:02:12.510,0.011749,0.003705
,,,2022-10-18 16:02:13.167,0.01205,0.004308
,,,2022-10-18 16:02:13.817,0.012351,0.004609
,,,2022-10-18 16:02:14.476,0.013556,0.004006
,,,2022-10-18 16:02:15.135,0.015364,0.005513
,,,2022-10-18 16:02:15.801,0.013556,0.005211
,,,2022-10-18 16:02:16.467,0.008435,0.003103
,,,2022-10-18 16:02:17.125,0.00964,0.00491
,,,2022-10-18 16:02:17.791,0.00964,0.005513
,,,2022-10-18 16:02:18.450,0.01205,0.004308
,,,2022-10-18 16:02:19.114,0.012653,0.005211
,,,2022-10-18 16:02:19.769,0.010845,0.002801
,,,2022-10-18 16:02:20.437,0.012954,0.00491
,,,2022-10-18 16:02:21.082,0.013858,0.005211
,,,2022-10-18 16:02:21.733,0.012954,0.004609
,,,2022-10-18 16:02:22.410,0.012653,0.004609
,,,2022-10-18 16:02:23.064,0.011749,0.005211
,,,2022-10-18 16:02:23.735,0.013858,0.003705
,,,2022-10-18 16:02:24.397,0.013255,0.006115
,,,2022-10-18 16:02:25.050,0.012653,0.004006
,,,2022-10-18 16:02:25.698,0.010845,0.004308
,,,2022-10-18 16:02:26.360,0.014159,0.004609
,,,2022-10-18 16:02:27.017,0.011749,0.00491
,,,2022-10-18 16:02:27.681,0.012653,0.005211
,,,2022-10-18 16:02:28.343,0.011749,0.004609
,,,2022-10-18 16:02:29.004,0.012351,0.00491
,,,2022-10-18 16:02:29.662,0.013556,0.004006
,,,2022-10-18 16:02:30.312,0.012653,0.005814
,,,2022-10-18 16:02:30.974,0.015364,0.004006
,,,2022-10-18 16:02:31.631,0.012351,0.004609
,,,2022-10-18 16:02:32.295,0.011448,0.003404
,,,2022-10-18 16:02:32.960,0.011448,0.005513
,,,2022-10-18 16:02:33.618,0.011749,0.004006
,,,2022-10-18 16:02:34.273,0.014762,0.005513
,,,2022-10-18 16:02:34.936,0.012653,0.00491
,,,2022-10-18 16:02:35.601,0.012653,0.004006
,,,2022-10-18 16:02:36.263,0.01446,0.005513
,,,2022-10-18 16:02:36.925,0.012954,0.006416
,,,2022-10-18 16:02:37.583,0.013858,0.00491
,,,2022-10-18 16:02:38.240,0.011448,0.004308
,,,2022-10-18 16:02:38.894,0.014762,0.005211
,,,2022-10-18 16:02:39.546,0.010544,0.004609
,,,2022-10-18 16:02:40.205,0.015665,0.003705
,,,2022-10-18 16:02:40.862,0.013858,0.004308
,,,2022-10-18 16:02:41.525,0.014762,0.005513
,,,2022-10-18 16:02:42.188,0.013255,0.003404
,,,2022-10-18 16:02:42.846,0.014159,0.00491
,,,2022-10-18 16:02:43.502,0.014159,0.004609
,,,2022-10-18 16:02:44.158,0.013556,0.005211
,,,2022-10-18 16:02:44.815,0.014159,0.005513
