Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V),Maximum(4) (V)
Model:,MSO-X 4154A,,2022-10-18 16:51:01.393,0.022293,0.005211
Serial Number:,MY60101365,,2022-10-18 16:51:02.021,0.01928,0.003705
Firmware Version:,07.31.2020012900,,2022-10-18 16:51:02.663,0.015364,0.005814
Start Time:,2022-10-18 16:51:01.393,,2022-10-18 16:51:03.333,0.015967,0.007019
Stop Time:,2022-10-18 17:01:01.159,,2022-10-18 16:51:04.012,0.018979,0.006416
Sample Period:,0.5,,2022-10-18 16:51:04.693,0.021389,0.005814
,,,2022-10-18 16:51:05.343,0.017473,0.005513
,,,2022-10-18 16:51:05.992,0.020184,0.004609
,,,2022-10-18 16:51:06.641,0.021992,0.004308
,,,2022-10-18 16:51:07.294,0.01687,0.005513
,,,2022-10-18 16:51:07.967,0.017473,0.003404
,,,2022-10-18 16:51:08.627,0.022895,0.005211
,,,2022-10-18 16:51:09.282,0.018678,0.005513
,,,2022-10-18 16:51:09.943,0.017172,0.002801
,,,2022-10-18 16:51:10.602,0.017473,0.005814
,,,2022-10-18 16:51:11.253,0.019883,0.005814
,,,2022-10-18 16:51:11.909,0.021389,0.005211
,,,2022-10-18 16:51:12.556,0.015665,0.004308
,,,2022-10-18 16:51:13.212,0.020787,0.005814
,,,2022-10-18 16:51:13.867,0.020184,0.00491
,,,2022-10-18 16:51:14.521,0.022293,0.00491
,,,2022-10-18 16:51:15.173,0.020485,0.006718
,,,2022-10-18 16:51:15.817,0.020184,0.00732
,,,2022-10-18 16:51:16.459,0.016268,0.006115
,,,2022-10-18 16:51:17.111,0.015665,0.00491
,,,2022-10-18 16:51:17.763,0.018377,0.006115
,,,2022-10-18 16:51:18.425,0.017473,0.004609
,,,2022-10-18 16:51:19.071,0.017473,0.005814
,,,2022-10-18 16:51:19.721,0.023197,0.006416
,,,2022-10-18 16:51:20.365,0.018377,0.005814
,,,2022-10-18 16:51:21.010,0.019582,0.005814
,,,2022-10-18 16:51:21.675,0.017172,0.006718
,,,2022-10-18 16:51:22.325,0.019883,0.005513
,,,2022-10-18 16:51:22.979,0.017473,0.005211
,,,2022-10-18 16:51:23.636,0.022594,0.004308
,,,2022-10-18 16:51:24.286,0.021088,0.004308
,,,2022-10-18 16:51:24.940,0.022293,0.00491
,,,2022-10-18 16:51:25.597,0.017172,0.00491
,,,2022-10-18 16:51:26.252,0.022594,0.006115
,,,2022-10-18 16:51:26.903,0.021992,0.00491
,,,2022-10-18 16:51:27.552,0.021992,0.004308
,,,2022-10-18 16:51:28.213,0.019883,0.004609
,,,2022-10-18 16:51:28.860,0.015364,0.004609
