Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V),Maximum(4) (V)
Model:,MSO-X 4154A,,2022-09-27 16:44:38.299,0.0063264,0.0023431
Serial Number:,MY60101365,,2022-09-27 16:44:38.930,0.0045188,0.0023431
Firmware Version:,07.31.2020012900,,2022-09-27 16:44:39.564,0.004318,0.0023431
Start Time:,2022-09-27 16:44:38.299,,2022-09-27 16:44:40.236,0.0054226,0.0025105
Stop Time:,2022-09-27 17:04:37.930,,2022-09-27 16:44:40.902,0.0042176,0.0023431
Sample Period:,0.5,,2022-09-27 16:44:41.559,0.004318,0.0030126
,,,2022-09-27 16:44:42.219,0.0035146,0.0021757
,,,2022-09-27 16:44:42.876,0.003113,0.0015063
,,,2022-09-27 16:44:43.538,0.0059247,0.001841
,,,2022-09-27 16:44:44.210,0.0041172,0.0026778
,,,2022-09-27 16:44:44.886,0.0045188,0.003682
,,,2022-09-27 16:44:45.539,0.004318,0.0028452
,,,2022-09-27 16:44:46.187,0.0047197,0.0040167
,,,2022-09-27 16:44:46.852,0.004318,0.0030126
,,,2022-09-27 16:44:47.499,0.0029121,0.0026778
,,,2022-09-27 16:44:48.143,0.0039163,0.0031799
,,,2022-09-27 16:44:48.789,0.0050209,0.0035146
,,,2022-09-27 16:44:49.452,0.0046192,0.0038494
,,,2022-09-27 16:44:50.102,0.0051213,0.0021757
,,,2022-09-27 16:44:50.755,0.0050209,0.0033473
,,,2022-09-27 16:44:51.401,0.0048201,0.0023431
,,,2022-09-27 16:44:52.055,0.0052218,0.0026778
,,,2022-09-27 16:44:52.715,0.0028117,0.0028452
,,,2022-09-27 16:44:53.367,0.005523,0.0020084
,,,2022-09-27 16:44:54.008,0.0045188,0.003682
,,,2022-09-27 16:44:54.659,0.006728,0.0031799
,,,2022-09-27 16:44:55.308,0.0041172,0.0031799
,,,2022-09-27 16:44:55.957,0.0044184,0.0031799
,,,2022-09-27 16:44:56.625,0.0021088,0.001841
,,,2022-09-27 16:44:57.274,0.005523,0.0030126
,,,2022-09-27 16:44:57.931,0.0020084,0.0016736
,,,2022-09-27 16:44:58.593,0.0039163,0.0035146
,,,2022-09-27 16:44:59.243,0.0039163,0.001841
,,,2022-09-27 16:44:59.900,0.0049205,0.0028452
,,,2022-09-27 16:45:00.554,0.0020084,0.0021757
,,,2022-09-27 16:45:01.205,0.0040167,0.0030126
,,,2022-09-27 16:45:01.859,0.0054226,0.0021757
,,,2022-09-27 16:45:02.515,0.0042176,0.0020084
,,,2022-09-27 16:45:03.165,0.0032134,0.0031799
,,,2022-09-27 16:45:03.812,0.0053222,0.0028452
,,,2022-09-27 16:45:04.467,0.0062259,0.0028452
,,,2022-09-27 16:45:05.120,0.0036151,0.0031799
,,,2022-09-27 16:45:05.783,0.0044184,0.0030126
,,,2022-09-27 16:45:06.441,0.0052218,0.0021757
,,,2022-09-27 16:45:07.093,0.0057238,0.0028452
,,,2022-09-27 16:45:07.746,0.0018075,0.0016736
,,,2022-09-27 16:45:08.401,0.00241,0.0011715
,,,2022-09-27 16:45:09.045,0.0019079,0.0015063
,,,2022-09-27 16:45:09.716,0.0050209,0.0026778
,,,2022-09-27 16:45:10.371,0.004318,0.0030126
,,,2022-09-27 16:45:11.016,0.004318,0.0028452
,,,2022-09-27 16:45:11.668,0.0047197,0.0025105
,,,2022-09-27 16:45:12.322,0.0063264,0.0033473
,,,2022-09-27 16:45:12.968,0.0051213,0.0026778
,,,2022-09-27 16:45:13.618,0.004318,0.0025105
,,,2022-09-27 16:45:14.272,0.0053222,0.0030126
,,,2022-09-27 16:45:14.934,0.0037155,0.0021757
,,,2022-09-27 16:45:15.592,0.0048201,0.0030126
,,,2022-09-27 16:45:16.248,0.0040167,0.0028452
,,,2022-09-27 16:45:16.899,0.0040167,0.0030126
,,,2022-09-27 16:45:17.556,0.0054226,0.0021757
,,,2022-09-27 16:45:18.210,0.0051213,0.001841
,,,2022-09-27 16:45:18.870,0.0044184,0.0023431
,,,2022-09-27 16:45:19.524,0.0046192,0.0035146
,,,2022-09-27 16:45:20.176,0.0051213,0.0033473
,,,2022-09-27 16:45:20.832,0.0041172,0.0035146
,,,2022-09-27 16:45:21.478,0.0042176,0.0023431
,,,2022-09-27 16:45:22.127,0.0046192,0.0030126
,,,2022-09-27 16:45:22.777,0.0049205,0.0040167
,,,2022-09-27 16:45:23.429,0.0035146,0.0023431
,,,2022-09-27 16:45:24.080,0.0041172,0.0033473
,,,2022-09-27 16:45:24.732,0.0051213,0.0033473
,,,2022-09-27 16:45:25.384,0.0029121,0.0026778
,,,2022-09-27 16:45:26.036,0.0042176,0.0025105
,,,2022-09-27 16:45:26.687,0.0040167,0.0021757
,,,2022-09-27 16:45:27.349,0.0037155,0.0026778
,,,2022-09-27 16:45:28.015,0.0056234,0.0033473
,,,2022-09-27 16:45:28.676,0.0042176,0.0026778
,,,2022-09-27 16:45:29.324,0.0051213,0.0031799
,,,2022-09-27 16:45:29.965,0.0033138,0.0033473
,,,2022-09-27 16:45:30.627,0.0040167,0.0025105
,,,2022-09-27 16:45:31.291,0.0042176,0.0020084
,,,2022-09-27 16:45:31.946,0.0045188,0.0038494
,,,2022-09-27 16:45:32.601,0.0042176,0.0040167
,,,2022-09-27 16:45:33.261,0.0042176,0.0030126
,,,2022-09-27 16:45:33.919,0.0050209,0.0028452
,,,2022-09-27 16:45:34.580,0.0018075,0.0015063
,,,2022-09-27 16:45:35.233,0.0040167,0.0021757
,,,2022-09-27 16:45:35.887,0.0042176,0.001841
,,,2022-09-27 16:45:36.538,0.0022092,0.0013389
,,,2022-09-27 16:45:37.204,0.0022092,0.0016736
,,,2022-09-27 16:45:37.861,0.0018075,0.0015063
,,,2022-09-27 16:45:38.524,0.004318,0.0030126
,,,2022-09-27 16:45:39.190,0.0023096,0.0020084
,,,2022-09-27 16:45:39.842,0.0058243,0.0040167
,,,2022-09-27 16:45:40.490,0.0047197,0.0035146
,,,2022-09-27 16:45:41.152,0.0044184,0.0030126
,,,2022-09-27 16:45:41.816,0.0019079,0.001841
,,,2022-09-27 16:45:42.466,0.0046192,0.0030126
,,,2022-09-27 16:45:43.122,0.0020084,0.001841
,,,2022-09-27 16:45:43.776,0.0021088,0.0016736
,,,2022-09-27 16:45:44.428,0.0020084,0.001841
,,,2022-09-27 16:45:45.088,0.0044184,0.0026778
,,,2022-09-27 16:45:45.738,0.0018075,0.0015063
,,,2022-09-27 16:45:46.397,0.0062259,0.0023431
,,,2022-09-27 16:45:47.053,0.004318,0.0023431
,,,2022-09-27 16:45:47.716,0.0048201,0.0033473
,,,2022-09-27 16:45:48.383,0.004318,0.001841
,,,2022-09-27 16:45:49.042,0.0044184,0.0038494
,,,2022-09-27 16:45:49.697,0.0060251,0.0023431
,,,2022-09-27 16:45:50.356,0.0050209,0.0038494
,,,2022-09-27 16:45:51.005,0.0039163,0.0038494
,,,2022-09-27 16:45:51.656,0.0042176,0.0020084
,,,2022-09-27 16:45:52.315,0.0051213,0.0021757
,,,2022-09-27 16:45:52.972,0.0061255,0.0028452
,,,2022-09-27 16:45:53.638,0.0040167,0.0038494
,,,2022-09-27 16:45:54.290,0.0040167,0.0025105
,,,2022-09-27 16:45:54.952,0.0051213,0.0023431
,,,2022-09-27 16:45:55.606,0.0052218,0.0030126
,,,2022-09-27 16:45:56.256,0.0066276,0.0040167
,,,2022-09-27 16:45:56.910,0.0053222,0.0026778
,,,2022-09-27 16:45:57.556,0.0040167,0.0030126
,,,2022-09-27 16:45:58.222,0.0059247,0.0031799
,,,2022-09-27 16:45:58.892,0.0050209,0.0021757
,,,2022-09-27 16:45:59.549,0.0042176,0.0016736
,,,2022-09-27 16:46:00.203,0.0056234,0.0028452
,,,2022-09-27 16:46:00.858,0.0032134,0.0026778
,,,2022-09-27 16:46:01.524,0.004318,0.0031799
,,,2022-09-27 16:46:02.173,0.004318,0.0026778
,,,2022-09-27 16:46:02.831,0.0046192,0.0025105
,,,2022-09-27 16:46:03.499,0.0047197,0.0030126
,,,2022-09-27 16:46:04.153,0.0033138,0.0028452
,,,2022-09-27 16:46:04.814,0.0038159,0.0028452
,,,2022-09-27 16:46:05.464,0.0060251,0.0028452
,,,2022-09-27 16:46:06.119,0.0021088,0.0015063
,,,2022-09-27 16:46:06.779,0.0045188,0.0023431
,,,2022-09-27 16:46:07.442,0.0052218,0.0023431
,,,2022-09-27 16:46:08.100,0.0038159,0.0028452
,,,2022-09-27 16:46:08.759,0.0040167,0.0021757
,,,2022-09-27 16:46:09.413,0.0049205,0.0028452
,,,2022-09-27 16:46:10.067,0.0033138,0.0026778
,,,2022-09-27 16:46:10.717,0.0041172,0.0028452
,,,2022-09-27 16:46:11.379,0.0021088,0.0016736
,,,2022-09-27 16:46:12.015,0.0045188,0.0030126
,,,2022-09-27 16:46:12.666,0.0046192,0.0031799
,,,2022-09-27 16:46:13.323,0.0033138,0.0033473
,,,2022-09-27 16:46:13.982,0.0041172,0.0031799
,,,2022-09-27 16:46:14.644,0.0046192,0.0033473
,,,2022-09-27 16:46:15.296,0.0054226,0.0026778
,,,2022-09-27 16:46:15.964,0.0021088,0.0015063
,,,2022-09-27 16:46:16.622,0.0040167,0.0031799
,,,2022-09-27 16:46:17.280,0.0036151,0.003682
,,,2022-09-27 16:46:17.939,0.0041172,0.003682
,,,2022-09-27 16:46:18.594,0.0044184,0.0030126
,,,2022-09-27 16:46:19.251,0.0047197,0.0025105
,,,2022-09-27 16:46:19.910,0.0056234,0.0026778
,,,2022-09-27 16:46:20.562,0.0049205,0.0026778
,,,2022-09-27 16:46:21.226,0.0046192,0.0033473
,,,2022-09-27 16:46:21.880,0.0049205,0.0023431
,,,2022-09-27 16:46:22.509,0.0061255,0.0028452
,,,2022-09-27 16:46:23.159,0.0042176,0.0030126
,,,2022-09-27 16:46:23.816,0.0058243,0.0033473
,,,2022-09-27 16:46:24.470,0.0045188,0.001841
,,,2022-09-27 16:46:25.128,0.0057238,0.0033473
,,,2022-09-27 16:46:25.785,0.0050209,0.0028452
,,,2022-09-27 16:46:26.456,0.005523,0.0023431
,,,2022-09-27 16:46:27.109,0.0059247,0.0033473
,,,2022-09-27 16:46:27.770,0.0049205,0.003682
,,,2022-09-27 16:46:28.428,0.0040167,0.0030126
,,,2022-09-27 16:46:29.084,0.0050209,0.0028452
,,,2022-09-27 16:46:29.742,0.0018075,0.0013389
,,,2022-09-27 16:46:30.401,0.0035146,0.0031799
,,,2022-09-27 16:46:31.062,0.0056234,0.0035146
,,,2022-09-27 16:46:31.723,0.0044184,0.0026778
,,,2022-09-27 16:46:32.373,0.0051213,0.0025105
,,,2022-09-27 16:46:33.022,0.0044184,0.0031799
,,,2022-09-27 16:46:33.678,0.0051213,0.0033473
,,,2022-09-27 16:46:34.325,0.005523,0.0028452
,,,2022-09-27 16:46:35.001,0.0051213,0.0028452
,,,2022-09-27 16:46:35.653,0.0020084,0.0020084
,,,2022-09-27 16:46:36.307,0.0040167,0.0025105
,,,2022-09-27 16:46:36.964,0.0044184,0.0021757
,,,2022-09-27 16:46:37.623,0.0019079,0.001841
,,,2022-09-27 16:46:38.278,0.004318,0.0026778
,,,2022-09-27 16:46:38.939,0.0032134,0.0021757
,,,2022-09-27 16:46:39.593,0.0028117,0.0016736
,,,2022-09-27 16:46:40.228,0.0032134,0.0031799
,,,2022-09-27 16:46:40.883,0.0051213,0.0028452
,,,2022-09-27 16:46:41.528,0.0056234,0.0025105
,,,2022-09-27 16:46:42.190,0.0058243,0.0033473
,,,2022-09-27 16:46:42.848,0.0049205,0.0021757
,,,2022-09-27 16:46:43.509,0.0039163,0.0026778
,,,2022-09-27 16:46:44.165,0.0045188,0.0025105
,,,2022-09-27 16:46:44.822,0.0049205,0.0026778
,,,2022-09-27 16:46:45.468,0.0045188,0.0038494
,,,2022-09-27 16:46:46.160,0.0040167,0.003682
,,,2022-09-27 16:46:46.820,0.0054226,0.0045188
,,,2022-09-27 16:46:47.478,0.0035146,0.0021757
,,,2022-09-27 16:46:48.145,0.00241,0.001841
,,,2022-09-27 16:46:48.815,0.0048201,0.0020084
,,,2022-09-27 16:46:49.464,0.0032134,0.0025105
,,,2022-09-27 16:46:50.130,0.0049205,0.0016736
,,,2022-09-27 16:46:50.787,0.0027113,0.0015063
,,,2022-09-27 16:46:51.442,0.0056234,0.0026778
,,,2022-09-27 16:46:52.101,0.0047197,0.0025105
,,,2022-09-27 16:46:52.765,0.0021088,0.0021757
,,,2022-09-27 16:46:53.423,0.0042176,0.0030126
,,,2022-09-27 16:46:54.082,0.0048201,0.0043515
,,,2022-09-27 16:46:54.735,0.0042176,0.0035146
,,,2022-09-27 16:46:55.401,0.003113,0.001841
,,,2022-09-27 16:46:56.051,0.0048201,0.0023431
,,,2022-09-27 16:46:56.715,0.0041172,0.0025105
,,,2022-09-27 16:46:57.380,0.0041172,0.0031799
,,,2022-09-27 16:46:58.032,0.0040167,0.0030126
,,,2022-09-27 16:46:58.683,0.0047197,0.0021757
,,,2022-09-27 16:46:59.338,0.0057238,0.0026778
,,,2022-09-27 16:47:00.000,0.0041172,0.0030126
,,,2022-09-27 16:47:00.651,0.0042176,0.0021757
,,,2022-09-27 16:47:01.310,0.0048201,0.0031799
,,,2022-09-27 16:47:01.968,0.0047197,0.0038494
,,,2022-09-27 16:47:02.623,0.004318,0.0028452
,,,2022-09-27 16:47:03.280,0.0050209,0.0025105
,,,2022-09-27 16:47:03.937,0.0041172,0.0028452
,,,2022-09-27 16:47:04.590,0.0053222,0.0031799
,,,2022-09-27 16:47:05.248,0.0059247,0.0028452
,,,2022-09-27 16:47:05.912,0.0049205,0.0035146
,,,2022-09-27 16:47:06.568,0.0056234,0.0028452
,,,2022-09-27 16:47:07.224,0.0041172,0.0031799
,,,2022-09-27 16:47:07.879,0.0035146,0.0035146
,,,2022-09-27 16:47:08.539,0.0037155,0.0030126
,,,2022-09-27 16:47:09.190,0.0040167,0.003682
,,,2022-09-27 16:47:09.848,0.0040167,0.0026778
,,,2022-09-27 16:47:10.514,0.0046192,0.001841
,,,2022-09-27 16:47:11.177,0.004318,0.0026778
,,,2022-09-27 16:47:11.837,0.0035146,0.0016736
,,,2022-09-27 16:47:12.489,0.0039163,0.0025105
,,,2022-09-27 16:47:13.148,0.0042176,0.0040167
,,,2022-09-27 16:47:13.796,0.0029121,0.0021757
,,,2022-09-27 16:47:14.453,0.0052218,0.0031799
,,,2022-09-27 16:47:15.105,0.0049205,0.0026778
,,,2022-09-27 16:47:15.806,0.0044184,0.0028452
,,,2022-09-27 16:47:16.453,0.0039163,0.0026778
,,,2022-09-27 16:47:17.112,0.0053222,0.0038494
,,,2022-09-27 16:47:17.776,0.0045188,0.0026778
,,,2022-09-27 16:47:18.428,0.0053222,0.0028452
,,,2022-09-27 16:47:19.082,0.0046192,0.003682
,,,2022-09-27 16:47:19.744,0.0044184,0.0028452
,,,2022-09-27 16:47:20.401,0.0062259,0.0026778
,,,2022-09-27 16:47:21.058,0.0036151,0.0028452
,,,2022-09-27 16:47:21.710,0.0038159,0.0025105
,,,2022-09-27 16:47:22.367,0.0057238,0.0030126
,,,2022-09-27 16:47:23.017,0.0051213,0.0026778
,,,2022-09-27 16:47:23.688,0.0058243,0.0026778
,,,2022-09-27 16:47:24.344,0.0045188,0.0026778
,,,2022-09-27 16:47:25.008,0.0040167,0.001841
,,,2022-09-27 16:47:25.665,0.0047197,0.0023431
,,,2022-09-27 16:47:26.315,0.0050209,0.0028452
