Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V),Maximum(4) (V)
Model:,MSO-X 4154A,,2022-09-27 16:14:26.548,0.0068619,0.0025105
Serial Number:,MY60101365,,2022-09-27 16:14:27.062,0.0061925,0.0026778
Firmware Version:,07.31.2020012900,,2022-09-27 16:14:27.549,0.0061925,0.0030126
Start Time:,2022-09-27 16:14:26.548,,2022-09-27 16:14:28.049,0.0063598,0.0033473
Stop Time:,2022-09-27 16:34:26.547,,2022-09-27 16:14:28.548,0.0068619,0.0033473
Sample Period:,0.5,,2022-09-27 16:14:29.049,0.005523,0.0030126
,,,2022-09-27 16:14:29.548,0.0051883,0.0033473
,,,2022-09-27 16:14:30.049,0.007364,0.0030126
,,,2022-09-27 16:14:30.549,0.0080335,0.0031799
,,,2022-09-27 16:14:31.048,0.0048536,0.0015063
,,,2022-09-27 16:14:31.548,0.0071967,0.0033473
,,,2022-09-27 16:14:32.049,0.0050209,0.0033473
,,,2022-09-27 16:14:32.547,0.0061925,0.0028452
,,,2022-09-27 16:14:33.048,0.005523,0.0025105
,,,2022-09-27 16:14:33.550,0.0063598,0.0026778
,,,2022-09-27 16:14:34.049,0.0065272,0.0020084
,,,2022-09-27 16:14:34.549,0.0065272,0.0026778
,,,2022-09-27 16:14:35.047,0.0071967,0.0030126
,,,2022-09-27 16:14:35.547,0.0080335,0.0038494
,,,2022-09-27 16:14:36.047,0.0078661,0.0035146
,,,2022-09-27 16:14:36.547,0.0058577,0.0021757
,,,2022-09-27 16:14:37.047,0.0045188,0.0028452
,,,2022-09-27 16:14:37.548,0.005523,0.0026778
,,,2022-09-27 16:14:38.048,0.0061925,0.0030126
,,,2022-09-27 16:14:38.548,0.0082008,0.0021757
,,,2022-09-27 16:14:39.048,0.0061925,0.001841
,,,2022-09-27 16:14:39.550,0.0070293,0.0045188
,,,2022-09-27 16:14:40.050,0.0071967,0.0030126
,,,2022-09-27 16:14:40.550,0.0065272,0.0035146
,,,2022-09-27 16:14:41.050,0.0063598,0.0028452
,,,2022-09-27 16:14:41.547,0.0068619,0.0026778
,,,2022-09-27 16:14:42.051,0.0056904,0.0038494
,,,2022-09-27 16:14:42.548,0.007364,0.0043515
,,,2022-09-27 16:14:43.048,0.0078661,0.0028452
,,,2022-09-27 16:14:43.550,0.0065272,0.003682
,,,2022-09-27 16:14:44.049,0.0075314,0.0031799
,,,2022-09-27 16:14:44.548,0.0060251,0.0026778
,,,2022-09-27 16:14:45.050,0.0065272,0.0030126
,,,2022-09-27 16:14:45.549,0.0063598,0.0041841
,,,2022-09-27 16:14:46.049,0.0075314,0.0020084
,,,2022-09-27 16:14:46.549,0.0071967,0.0025105
,,,2022-09-27 16:14:47.049,0.0065272,0.0028452
,,,2022-09-27 16:14:47.549,0.0056904,0.0028452
,,,2022-09-27 16:14:48.049,0.0060251,0.003682
,,,2022-09-27 16:14:48.548,0.0085356,0.0031799
,,,2022-09-27 16:14:49.048,0.0051883,0.0026778
,,,2022-09-27 16:14:49.549,0.0068619,0.0028452
,,,2022-09-27 16:14:50.051,0.0046862,0.0023431
,,,2022-09-27 16:14:50.549,0.0071967,0.003682
,,,2022-09-27 16:14:51.047,0.0060251,0.0025105
,,,2022-09-27 16:14:51.548,0.0058577,0.0020084
,,,2022-09-27 16:14:52.049,0.0066946,0.003682
,,,2022-09-27 16:14:52.549,0.005523,0.0028452
,,,2022-09-27 16:14:53.050,0.0068619,0.0026778
,,,2022-09-27 16:14:53.548,0.0078661,0.0021757
,,,2022-09-27 16:14:54.048,0.0058577,0.003682
,,,2022-09-27 16:14:54.549,0.0051883,0.0035146
,,,2022-09-27 16:14:55.049,0.0063598,0.0025105
,,,2022-09-27 16:14:55.549,0.0061925,0.003682
,,,2022-09-27 16:14:56.050,0.005523,0.0021757
,,,2022-09-27 16:14:56.547,0.0065272,0.0025105
,,,2022-09-27 16:14:57.047,0.0048536,0.0043515
,,,2022-09-27 16:14:57.548,0.0053556,0.0031799
,,,2022-09-27 16:14:58.048,0.0041841,0.0020084
,,,2022-09-27 16:14:58.549,0.0071967,0.0030126
,,,2022-09-27 16:14:59.048,0.007364,0.0021757
,,,2022-09-27 16:14:59.548,0.0058577,0.0035146
,,,2022-09-27 16:15:00.047,0.0048536,0.0031799
,,,2022-09-27 16:15:00.547,0.0065272,0.0028452
,,,2022-09-27 16:15:01.047,0.0061925,0.0025105
,,,2022-09-27 16:15:01.547,0.0058577,0.0025105
,,,2022-09-27 16:15:02.047,0.0080335,0.0041841
,,,2022-09-27 16:15:02.546,0.0053556,0.0025105
,,,2022-09-27 16:15:03.047,0.0061925,0.0026778
,,,2022-09-27 16:15:03.547,0.0065272,0.0035146
,,,2022-09-27 16:15:04.047,0.0051883,0.0028452
,,,2022-09-27 16:15:04.547,0.0061925,0.0028452
,,,2022-09-27 16:15:05.047,0.0050209,0.0020084
,,,2022-09-27 16:15:05.546,0.0053556,0.0028452
,,,2022-09-27 16:15:06.046,0.005523,0.0030126
,,,2022-09-27 16:15:06.546,0.0063598,0.0030126
,,,2022-09-27 16:15:07.046,0.0061925,0.0023431
,,,2022-09-27 16:15:07.546,0.0066946,0.0031799
,,,2022-09-27 16:15:08.047,0.007364,0.0030126
,,,2022-09-27 16:15:08.546,0.0068619,0.0026778
,,,2022-09-27 16:15:09.047,0.0071967,0.0026778
,,,2022-09-27 16:15:09.548,0.0053556,0.0033473
,,,2022-09-27 16:15:10.048,0.0075314,0.0030126
,,,2022-09-27 16:15:10.549,0.0066946,0.0030126
,,,2022-09-27 16:15:11.048,0.0078661,0.0026778
,,,2022-09-27 16:15:11.548,0.0058577,0.0021757
,,,2022-09-27 16:15:12.048,0.0068619,0.0033473
,,,2022-09-27 16:15:12.548,0.0065272,0.0038494
,,,2022-09-27 16:15:13.047,0.0076987,0.0033473
,,,2022-09-27 16:15:13.547,0.0053556,0.0033473
,,,2022-09-27 16:15:14.046,0.0058577,0.0028452
,,,2022-09-27 16:15:14.547,0.0060251,0.0035146
,,,2022-09-27 16:15:15.046,0.0063598,0.0026778
,,,2022-09-27 16:15:15.546,0.0053556,0.0031799
,,,2022-09-27 16:15:16.046,0.005523,0.0030126
,,,2022-09-27 16:15:16.546,0.0060251,0.0031799
,,,2022-09-27 16:15:17.046,0.0085356,0.0028452
,,,2022-09-27 16:15:17.547,0.0058577,0.0021757
