Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V)
Model:,MSO-X 4154A,,2022-09-29 11:01:02.039,0.0056234
Serial Number:,MY60101365,,2022-09-29 11:01:02.724,0.0080335
Firmware Version:,07.31.2020012900,,2022-09-29 11:01:03.355,0.0064268
Start Time:,2022-09-29 11:01:02.039,,2022-09-29 11:01:04.011,0.006728
Stop Time:,2022-09-29 11:21:01.695,,2022-09-29 11:01:04.671,0.0082343
Sample Period:,0.5,,2022-09-29 11:01:05.322,0.0057238
,,,2022-09-29 11:01:05.956,0.0060251
,,,2022-09-29 11:01:06.603,0.0066276
,,,2022-09-29 11:01:07.265,0.0089372
,,,2022-09-29 11:01:07.930,0.0064268
,,,2022-09-29 11:01:08.578,0.0066276
,,,2022-09-29 11:01:09.237,0.0080335
,,,2022-09-29 11:01:09.885,0.0057238
,,,2022-09-29 11:01:10.533,0.0083347
,,,2022-09-29 11:01:11.179,0.0075314
,,,2022-09-29 11:01:11.826,0.0063264
,,,2022-09-29 11:01:12.469,0.0082343
,,,2022-09-29 11:01:13.128,0.0072301
,,,2022-09-29 11:01:13.779,0.0063264
,,,2022-09-29 11:01:14.425,0.008636
,,,2022-09-29 11:01:15.071,0.006728
,,,2022-09-29 11:01:15.720,0.0066276
,,,2022-09-29 11:01:16.377,0.005523
,,,2022-09-29 11:01:17.018,0.0072301
,,,2022-09-29 11:01:17.663,0.0065272
,,,2022-09-29 11:01:18.328,0.007431
,,,2022-09-29 11:01:18.968,0.0069289
,,,2022-09-29 11:01:19.618,0.0076318
,,,2022-09-29 11:01:20.260,0.0072301
,,,2022-09-29 11:01:20.916,0.0068285
,,,2022-09-29 11:01:21.565,0.0073305
,,,2022-09-29 11:01:22.223,0.0083347
,,,2022-09-29 11:01:22.874,0.0071297
,,,2022-09-29 11:01:23.535,0.0078326
,,,2022-09-29 11:01:24.185,0.0077322
,,,2022-09-29 11:01:24.830,0.006728
,,,2022-09-29 11:01:25.474,0.0073305
,,,2022-09-29 11:01:26.124,0.0072301
,,,2022-09-29 11:01:26.773,0.007431
,,,2022-09-29 11:01:27.424,0.0066276
,,,2022-09-29 11:01:28.069,0.0087364
,,,2022-09-29 11:01:28.713,0.0054226
,,,2022-09-29 11:01:29.360,0.0070293
,,,2022-09-29 11:01:30.019,0.0056234
,,,2022-09-29 11:01:30.684,0.0068285
,,,2022-09-29 11:01:31.332,0.0054226
,,,2022-09-29 11:01:31.983,0.007431
,,,2022-09-29 11:01:32.631,0.0076318
,,,2022-09-29 11:01:33.272,0.0069289
,,,2022-09-29 11:01:33.920,0.0066276
,,,2022-09-29 11:01:34.565,0.007431
,,,2022-09-29 11:01:35.221,0.0081339
,,,2022-09-29 11:01:35.871,0.007431
,,,2022-09-29 11:01:36.527,0.0068285
,,,2022-09-29 11:01:37.178,0.007431
,,,2022-09-29 11:01:37.827,0.0079331
,,,2022-09-29 11:01:38.486,0.0071297
,,,2022-09-29 11:01:39.168,0.0073305
,,,2022-09-29 11:01:39.817,0.0060251
,,,2022-09-29 11:01:40.467,0.0071297
,,,2022-09-29 11:01:41.114,0.0071297
,,,2022-09-29 11:01:41.773,0.0066276
,,,2022-09-29 11:01:42.457,0.0082343
,,,2022-09-29 11:01:43.102,0.0077322
,,,2022-09-29 11:01:43.752,0.0054226
,,,2022-09-29 11:01:44.404,0.0054226
,,,2022-09-29 11:01:45.051,0.0062259
,,,2022-09-29 11:01:45.694,0.0071297
,,,2022-09-29 11:01:46.346,0.0073305
,,,2022-09-29 11:01:46.993,0.0066276
,,,2022-09-29 11:01:47.639,0.0085356
,,,2022-09-29 11:01:48.292,0.0073305
,,,2022-09-29 11:01:48.947,0.0060251
,,,2022-09-29 11:01:49.605,0.0072301
,,,2022-09-29 11:01:50.258,0.0059247
,,,2022-09-29 11:01:50.910,0.0062259
,,,2022-09-29 11:01:51.564,0.0062259
,,,2022-09-29 11:01:52.222,0.0066276
,,,2022-09-29 11:01:52.876,0.0065272
,,,2022-09-29 11:01:53.529,0.0078326
,,,2022-09-29 11:01:54.181,0.0063264
,,,2022-09-29 11:01:54.836,0.0079331
,,,2022-09-29 11:01:55.483,0.0083347
,,,2022-09-29 11:01:56.130,0.007431
,,,2022-09-29 11:01:56.780,0.0063264
,,,2022-09-29 11:01:57.438,0.0070293
