Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V)
Model:,MSO-X 4154A,,2022-09-29 10:30:31.416,0.0087364
Serial Number:,MY60101365,,2022-09-29 10:30:32.066,0.0090377
Firmware Version:,07.31.2020012900,,2022-09-29 10:30:32.750,0.0087364
Start Time:,2022-09-29 10:30:31.416,,2022-09-29 10:30:33.383,0.0089372
Stop Time:,2022-09-29 10:50:31.092,,2022-09-29 10:30:34.048,0.0081339
Sample Period:,0.5,,2022-09-29 10:30:34.690,0.0108452
,,,2022-09-29 10:30:35.330,0.0082343
,,,2022-09-29 10:30:35.982,0.0087364
,,,2022-09-29 10:30:36.637,0.0093389
,,,2022-09-29 10:30:37.286,0.0095397
,,,2022-09-29 10:30:37.938,0.008636
,,,2022-09-29 10:30:38.590,0.0082343
,,,2022-09-29 10:30:39.231,0.0094393
,,,2022-09-29 10:30:39.881,0.0095397
,,,2022-09-29 10:30:40.524,0.0091381
,,,2022-09-29 10:30:41.166,0.0090377
,,,2022-09-29 10:30:41.811,0.0088368
,,,2022-09-29 10:30:42.477,0.0087364
,,,2022-09-29 10:30:43.125,0.0100418
,,,2022-09-29 10:30:43.763,0.0111464
,,,2022-09-29 10:30:44.405,0.0096402
,,,2022-09-29 10:30:45.050,0.0091381
,,,2022-09-29 10:30:45.696,0.0096402
,,,2022-09-29 10:30:46.337,0.0096402
,,,2022-09-29 10:30:46.977,0.0083347
,,,2022-09-29 10:30:47.620,0.0089372
,,,2022-09-29 10:30:48.289,0.0101423
,,,2022-09-29 10:30:48.938,0.0082343
,,,2022-09-29 10:30:49.561,0.0105439
,,,2022-09-29 10:30:50.211,0.0093389
,,,2022-09-29 10:30:50.853,0.0088368
,,,2022-09-29 10:30:51.491,0.0094393
,,,2022-09-29 10:30:52.142,0.0090377
,,,2022-09-29 10:30:52.785,0.0096402
,,,2022-09-29 10:30:53.435,0.0091381
,,,2022-09-29 10:30:54.079,0.0085356
,,,2022-09-29 10:30:54.717,0.0088368
,,,2022-09-29 10:30:55.368,0.0090377
,,,2022-09-29 10:30:56.003,0.0107448
,,,2022-09-29 10:30:56.654,0.0096402
,,,2022-09-29 10:30:57.300,0.0105439
,,,2022-09-29 10:30:57.943,0.0108452
,,,2022-09-29 10:30:58.591,0.0099414
,,,2022-09-29 10:30:59.235,0.0084351
,,,2022-09-29 10:30:59.879,0.0087364
,,,2022-09-29 10:31:00.530,0.0092385
,,,2022-09-29 10:31:01.199,0.0082343
,,,2022-09-29 10:31:01.840,0.0091381
,,,2022-09-29 10:31:02.507,0.0094393
,,,2022-09-29 10:31:03.156,0.0084351
,,,2022-09-29 10:31:03.800,0.0089372
,,,2022-09-29 10:31:04.453,0.0092385
,,,2022-09-29 10:31:05.098,0.0084351
,,,2022-09-29 10:31:05.740,0.0091381
,,,2022-09-29 10:31:06.384,0.0081339
,,,2022-09-29 10:31:07.030,0.008636
,,,2022-09-29 10:31:07.677,0.0083347
,,,2022-09-29 10:31:08.322,0.0103431
,,,2022-09-29 10:31:08.962,0.0085356
,,,2022-09-29 10:31:09.612,0.0099414
,,,2022-09-29 10:31:10.252,0.0092385
,,,2022-09-29 10:31:10.905,0.0087364
,,,2022-09-29 10:31:11.554,0.0104435
,,,2022-09-29 10:31:12.202,0.0084351
,,,2022-09-29 10:31:12.841,0.0084351
,,,2022-09-29 10:31:13.477,0.0100418
,,,2022-09-29 10:31:14.123,0.0088368
,,,2022-09-29 10:31:14.770,0.0084351
,,,2022-09-29 10:31:15.414,0.0088368
,,,2022-09-29 10:31:16.056,0.0091381
,,,2022-09-29 10:31:16.701,0.0094393
,,,2022-09-29 10:31:17.352,0.0092385
,,,2022-09-29 10:31:17.974,0.0090377
,,,2022-09-29 10:31:18.624,0.0096402
,,,2022-09-29 10:31:19.279,0.0091381
,,,2022-09-29 10:31:19.935,0.0081339
,,,2022-09-29 10:31:20.584,0.0085356
,,,2022-09-29 10:31:21.227,0.0103431
,,,2022-09-29 10:31:21.870,0.0088368
,,,2022-09-29 10:31:22.529,0.0092385
,,,2022-09-29 10:31:23.174,0.0092385
,,,2022-09-29 10:31:23.831,0.009841
,,,2022-09-29 10:31:24.487,0.0105439
,,,2022-09-29 10:31:25.141,0.0097406
,,,2022-09-29 10:31:25.798,0.0104435
,,,2022-09-29 10:31:26.452,0.0085356
,,,2022-09-29 10:31:27.102,0.0082343
,,,2022-09-29 10:31:27.752,0.0101423
,,,2022-09-29 10:31:28.399,0.0081339
,,,2022-09-29 10:31:29.055,0.0083347
,,,2022-09-29 10:31:29.707,0.0088368
,,,2022-09-29 10:31:30.356,0.0089372
,,,2022-09-29 10:31:31.014,0.0084351
,,,2022-09-29 10:31:31.664,0.0093389
,,,2022-09-29 10:31:32.306,0.0083347
,,,2022-09-29 10:31:32.932,0.0102427
,,,2022-09-29 10:31:33.583,0.0088368
,,,2022-09-29 10:31:34.235,0.0094393
,,,2022-09-29 10:31:34.894,0.0090377
,,,2022-09-29 10:31:35.544,0.009841
,,,2022-09-29 10:31:36.200,0.0082343
,,,2022-09-29 10:31:36.852,0.0105439
,,,2022-09-29 10:31:37.493,0.008636
,,,2022-09-29 10:31:38.148,0.0093389
,,,2022-09-29 10:31:38.800,0.009841
,,,2022-09-29 10:31:39.446,0.0103431
,,,2022-09-29 10:31:40.105,0.0084351
,,,2022-09-29 10:31:40.761,0.0083347
,,,2022-09-29 10:31:41.416,0.0089372
,,,2022-09-29 10:31:42.069,0.0089372
,,,2022-09-29 10:31:42.721,0.008636
,,,2022-09-29 10:31:43.378,0.0087364
,,,2022-09-29 10:31:44.027,0.0096402
,,,2022-09-29 10:31:44.679,0.0103431
,,,2022-09-29 10:31:45.333,0.0088368
,,,2022-09-29 10:31:45.977,0.0088368
,,,2022-09-29 10:31:46.629,0.0090377
,,,2022-09-29 10:31:47.288,0.0085356
,,,2022-09-29 10:31:47.944,0.0096402
,,,2022-09-29 10:31:48.597,0.0081339
,,,2022-09-29 10:31:49.246,0.0097406
,,,2022-09-29 10:31:49.870,0.0088368
,,,2022-09-29 10:31:50.531,0.0100418
,,,2022-09-29 10:31:51.190,0.0100418
,,,2022-09-29 10:31:51.840,0.009841
,,,2022-09-29 10:31:52.492,0.0089372
,,,2022-09-29 10:31:53.149,0.0106444
,,,2022-09-29 10:31:53.812,0.0085356
,,,2022-09-29 10:31:54.462,0.0101423
,,,2022-09-29 10:31:55.112,0.0080335
,,,2022-09-29 10:31:55.764,0.0084351
,,,2022-09-29 10:31:56.418,0.0093389
,,,2022-09-29 10:31:57.081,0.0115481
,,,2022-09-29 10:31:57.731,0.0090377
,,,2022-09-29 10:31:58.379,0.008636
,,,2022-09-29 10:31:59.030,0.0089372
,,,2022-09-29 10:31:59.680,0.0090377
,,,2022-09-29 10:32:00.333,0.0095397
,,,2022-09-29 10:32:00.971,0.0091381
,,,2022-09-29 10:32:01.724,0.0081339
,,,2022-09-29 10:32:02.380,0.0091381
,,,2022-09-29 10:32:03.035,0.0096402
,,,2022-09-29 10:32:03.688,0.0081339
,,,2022-09-29 10:32:04.342,0.0107448
,,,2022-09-29 10:32:04.991,0.0092385
,,,2022-09-29 10:32:05.638,0.0089372
,,,2022-09-29 10:32:06.294,0.0091381
,,,2022-09-29 10:32:06.950,0.0085356
,,,2022-09-29 10:32:07.601,0.0102427
,,,2022-09-29 10:32:08.255,0.0097406
,,,2022-09-29 10:32:08.908,0.0087364
,,,2022-09-29 10:32:09.560,0.0116485
,,,2022-09-29 10:32:10.209,0.008636
,,,2022-09-29 10:32:10.866,0.0095397
,,,2022-09-29 10:32:11.524,0.0095397
,,,2022-09-29 10:32:12.181,0.0094393
,,,2022-09-29 10:32:12.833,0.0082343
,,,2022-09-29 10:32:13.474,0.0088368
,,,2022-09-29 10:32:14.132,0.0085356
,,,2022-09-29 10:32:14.791,0.0084351
,,,2022-09-29 10:32:15.434,0.0080335
,,,2022-09-29 10:32:16.093,0.0095397
,,,2022-09-29 10:32:16.752,0.0080335
,,,2022-09-29 10:32:17.398,0.0097406
,,,2022-09-29 10:32:18.051,0.0090377
,,,2022-09-29 10:32:18.704,0.0088368
,,,2022-09-29 10:32:19.364,0.0095397
,,,2022-09-29 10:32:20.019,0.0090377
,,,2022-09-29 10:32:20.669,0.0091381
,,,2022-09-29 10:32:21.329,0.0094393
,,,2022-09-29 10:32:21.969,0.0092385
,,,2022-09-29 10:32:22.621,0.0096402
,,,2022-09-29 10:32:23.280,0.0087364
,,,2022-09-29 10:32:23.939,0.0102427
,,,2022-09-29 10:32:24.587,0.0085356
,,,2022-09-29 10:32:25.246,0.0088368
,,,2022-09-29 10:32:25.911,0.0100418
,,,2022-09-29 10:32:26.560,0.0094393
,,,2022-09-29 10:32:27.215,0.0096402
,,,2022-09-29 10:32:27.869,0.009841
,,,2022-09-29 10:32:28.527,0.0096402
,,,2022-09-29 10:32:29.184,0.0091381
,,,2022-09-29 10:32:29.831,0.0088368
,,,2022-09-29 10:32:30.481,0.008636
,,,2022-09-29 10:32:31.133,0.008636
,,,2022-09-29 10:32:31.789,0.0092385
,,,2022-09-29 10:32:32.436,0.0099414
,,,2022-09-29 10:32:33.064,0.0084351
,,,2022-09-29 10:32:33.718,0.0088368
,,,2022-09-29 10:32:34.365,0.0088368
,,,2022-09-29 10:32:35.021,0.0087364
,,,2022-09-29 10:32:35.673,0.0083347
,,,2022-09-29 10:32:36.326,0.0085356
,,,2022-09-29 10:32:36.967,0.0087364
,,,2022-09-29 10:32:37.624,0.0089372
,,,2022-09-29 10:32:38.278,0.0087364
,,,2022-09-29 10:32:38.935,0.0092385
,,,2022-09-29 10:32:39.580,0.0087364
,,,2022-09-29 10:32:40.227,0.0088368
,,,2022-09-29 10:32:40.881,0.0093389
,,,2022-09-29 10:32:41.534,0.0101423
,,,2022-09-29 10:32:42.190,0.0102427
,,,2022-09-29 10:32:42.844,0.0094393
,,,2022-09-29 10:32:43.481,0.0081339
,,,2022-09-29 10:32:44.138,0.0087364
,,,2022-09-29 10:32:44.788,0.0091381
,,,2022-09-29 10:32:45.431,0.0088368
,,,2022-09-29 10:32:46.089,0.008636
,,,2022-09-29 10:32:46.742,0.0101423
,,,2022-09-29 10:32:47.396,0.0090377
,,,2022-09-29 10:32:48.046,0.0096402
,,,2022-09-29 10:32:48.691,0.0083347
,,,2022-09-29 10:32:49.335,0.0087364
,,,2022-09-29 10:32:49.982,0.0101423
,,,2022-09-29 10:32:50.630,0.0089372
,,,2022-09-29 10:32:51.280,0.0104435
,,,2022-09-29 10:32:51.929,0.008636
,,,2022-09-29 10:32:52.579,0.0107448
,,,2022-09-29 10:32:53.234,0.0084351
,,,2022-09-29 10:32:53.887,0.0091381
,,,2022-09-29 10:32:54.539,0.0105439
,,,2022-09-29 10:32:55.192,0.0082343
,,,2022-09-29 10:32:55.848,0.0109456
,,,2022-09-29 10:32:56.486,0.009841
,,,2022-09-29 10:32:57.143,0.0095397
,,,2022-09-29 10:32:57.797,0.0095397
,,,2022-09-29 10:32:58.454,0.0084351
,,,2022-09-29 10:32:59.116,0.0082343
,,,2022-09-29 10:32:59.769,0.0095397
,,,2022-09-29 10:33:00.435,0.0099414
,,,2022-09-29 10:33:01.086,0.008636
,,,2022-09-29 10:33:01.741,0.0094393
,,,2022-09-29 10:33:02.399,0.0103431
,,,2022-09-29 10:33:03.053,0.0090377
,,,2022-09-29 10:33:03.694,0.0104435
,,,2022-09-29 10:33:04.340,0.0089372
,,,2022-09-29 10:33:04.988,0.0087364
,,,2022-09-29 10:33:05.638,0.0088368
,,,2022-09-29 10:33:06.288,0.0092385
,,,2022-09-29 10:33:06.937,0.0096402
,,,2022-09-29 10:33:07.589,0.0080335
,,,2022-09-29 10:33:08.246,0.0092385
,,,2022-09-29 10:33:08.898,0.0090377
,,,2022-09-29 10:33:09.551,0.0102427
,,,2022-09-29 10:33:10.196,0.0094393
,,,2022-09-29 10:33:10.848,0.0106444
,,,2022-09-29 10:33:11.484,0.0116485
,,,2022-09-29 10:33:12.139,0.0082343
,,,2022-09-29 10:33:12.795,0.009841
,,,2022-09-29 10:33:13.444,0.0092385
,,,2022-09-29 10:33:14.102,0.0105439
,,,2022-09-29 10:33:14.760,0.0102427
,,,2022-09-29 10:33:15.411,0.0097406
,,,2022-09-29 10:33:16.064,0.0096402
,,,2022-09-29 10:33:16.714,0.008636
,,,2022-09-29 10:33:17.363,0.0080335
,,,2022-09-29 10:33:18.017,0.0095397
,,,2022-09-29 10:33:18.663,0.0087364
,,,2022-09-29 10:33:19.319,0.0100418
,,,2022-09-29 10:33:19.966,0.0091381
,,,2022-09-29 10:33:20.620,0.0087364
,,,2022-09-29 10:33:21.280,0.008636
,,,2022-09-29 10:33:21.931,0.0082343
,,,2022-09-29 10:33:22.586,0.0097406
,,,2022-09-29 10:33:23.242,0.0089372
,,,2022-09-29 10:33:23.896,0.0085356
,,,2022-09-29 10:33:24.548,0.0083347
,,,2022-09-29 10:33:25.209,0.0102427
,,,2022-09-29 10:33:25.865,0.0087364
,,,2022-09-29 10:33:26.527,0.0094393
,,,2022-09-29 10:33:27.190,0.0080335
,,,2022-09-29 10:33:27.843,0.008636
,,,2022-09-29 10:33:28.484,0.0081339
,,,2022-09-29 10:33:29.143,0.0081339
,,,2022-09-29 10:33:29.794,0.0087364
,,,2022-09-29 10:33:30.430,0.0106444
,,,2022-09-29 10:33:31.082,0.0082343
,,,2022-09-29 10:33:31.738,0.0102427
,,,2022-09-29 10:33:32.383,0.0083347
,,,2022-09-29 10:33:33.040,0.0094393
,,,2022-09-29 10:33:33.667,0.0107448
,,,2022-09-29 10:33:34.324,0.0085356
,,,2022-09-29 10:33:34.966,0.0083347
,,,2022-09-29 10:33:35.617,0.0088368
,,,2022-09-29 10:33:36.273,0.008636
,,,2022-09-29 10:33:36.928,0.0090377
,,,2022-09-29 10:33:37.580,0.0099414
,,,2022-09-29 10:33:38.232,0.0087364
,,,2022-09-29 10:33:38.884,0.0095397
,,,2022-09-29 10:33:39.537,0.0090377
,,,2022-09-29 10:33:40.189,0.0099414
,,,2022-09-29 10:33:40.844,0.0093389
,,,2022-09-29 10:33:41.480,0.0094393
,,,2022-09-29 10:33:42.130,0.0092385
,,,2022-09-29 10:33:42.787,0.0101423
