Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V)
Model:,MSO-X 4154A,,2022-09-29 13:02:34.959,0.0042845
Serial Number:,MY60101365,,2022-09-29 13:02:35.596,0.0050879
Firmware Version:,07.31.2020012900,,2022-09-29 13:02:36.235,0.0041506
Start Time:,2022-09-29 13:02:34.959,,2022-09-29 13:02:36.952,0.0046862
Stop Time:,2022-09-29 13:22:34.429,,2022-09-29 13:02:37.611,0.003749
Sample Period:,0.5,,2022-09-29 13:02:38.267,0.0034812
,,,2022-09-29 13:02:38.909,0.0068285
,,,2022-09-29 13:02:39.568,0.0044854
,,,2022-09-29 13:02:40.223,0.0030795
,,,2022-09-29 13:02:40.871,0.0040167
,,,2022-09-29 13:02:41.522,0.0032134
,,,2022-09-29 13:02:42.177,0.0041506
,,,2022-09-29 13:02:42.800,0.003749
,,,2022-09-29 13:02:43.440,0.0035481
,,,2022-09-29 13:02:44.088,0.0032134
,,,2022-09-29 13:02:44.726,0.003749
,,,2022-09-29 13:02:45.445,0.003749
,,,2022-09-29 13:02:46.148,0.0044854
,,,2022-09-29 13:02:46.791,0.0033473
,,,2022-09-29 13:02:47.414,0.0034812
,,,2022-09-29 13:02:48.060,0.0042845
,,,2022-09-29 13:02:48.711,0.0041506
,,,2022-09-29 13:02:49.357,0.0034812
,,,2022-09-29 13:02:49.996,0.0036151
,,,2022-09-29 13:02:50.635,0.0042845
,,,2022-09-29 13:02:51.285,0.0022762
,,,2022-09-29 13:02:51.920,0.004954
,,,2022-09-29 13:02:52.560,0.0040167
,,,2022-09-29 13:02:53.228,0.0036151
,,,2022-09-29 13:02:53.879,0.0033473
,,,2022-09-29 13:02:54.529,0.0046192
,,,2022-09-29 13:02:55.172,0.0036151
,,,2022-09-29 13:02:55.819,0.0034142
,,,2022-09-29 13:02:56.457,0.0038828
,,,2022-09-29 13:02:57.099,0.0046862
,,,2022-09-29 13:02:57.745,0.0029456
,,,2022-09-29 13:02:58.385,0.0053556
,,,2022-09-29 13:02:59.026,0.0036151
,,,2022-09-29 13:02:59.673,0.0054895
,,,2022-09-29 13:03:00.315,0.0032134
,,,2022-09-29 13:03:00.952,0.0039498
,,,2022-09-29 13:03:01.606,0.0044184
,,,2022-09-29 13:03:02.244,0.0025439
,,,2022-09-29 13:03:02.885,0.0040167
,,,2022-09-29 13:03:03.534,0.0040167
,,,2022-09-29 13:03:04.188,0.0038159
,,,2022-09-29 13:03:04.834,0.0056234
,,,2022-09-29 13:03:05.492,0.0041506
,,,2022-09-29 13:03:06.127,0.0030795
,,,2022-09-29 13:03:06.765,0.004887
,,,2022-09-29 13:03:07.411,0.0036151
,,,2022-09-29 13:03:08.051,0.0034812
,,,2022-09-29 13:03:08.695,0.0033473
,,,2022-09-29 13:03:09.341,0.0036151
,,,2022-09-29 13:03:10.007,0.0052218
,,,2022-09-29 13:03:10.654,0.0036151
,,,2022-09-29 13:03:11.295,0.0027448
,,,2022-09-29 13:03:11.938,0.0036151
,,,2022-09-29 13:03:12.577,0.0026778
,,,2022-09-29 13:03:13.223,0.0029456
,,,2022-09-29 13:03:13.872,0.0032134
,,,2022-09-29 13:03:14.524,0.0032134
,,,2022-09-29 13:03:15.167,0.0036151
,,,2022-09-29 13:03:15.832,0.0034812
,,,2022-09-29 13:03:16.472,0.0034142
,,,2022-09-29 13:03:17.119,0.003749
,,,2022-09-29 13:03:17.767,0.0033473
,,,2022-09-29 13:03:18.404,0.0033473
,,,2022-09-29 13:03:19.046,0.0040167
,,,2022-09-29 13:03:19.690,0.0044854
,,,2022-09-29 13:03:20.338,0.0028117
,,,2022-09-29 13:03:20.979,0.0044184
,,,2022-09-29 13:03:21.627,0.0032134
,,,2022-09-29 13:03:22.274,0.004954
,,,2022-09-29 13:03:22.916,0.0040167
,,,2022-09-29 13:03:23.554,0.0042845
,,,2022-09-29 13:03:24.194,0.003682
,,,2022-09-29 13:03:24.855,0.0050879
,,,2022-09-29 13:03:25.504,0.0041506
,,,2022-09-29 13:03:26.156,0.0026778
,,,2022-09-29 13:03:26.807,0.0040837
,,,2022-09-29 13:03:27.449,0.0038828
,,,2022-09-29 13:03:28.098,0.0044184
,,,2022-09-29 13:03:28.752,0.0030795
,,,2022-09-29 13:03:29.404,0.0046862
,,,2022-09-29 13:03:30.051,0.0038828
,,,2022-09-29 13:03:30.700,0.0036151
,,,2022-09-29 13:03:31.350,0.0026778
,,,2022-09-29 13:03:31.989,0.0036151
,,,2022-09-29 13:03:32.633,0.0036151
,,,2022-09-29 13:03:33.283,0.0033473
,,,2022-09-29 13:03:33.925,0.0029456
,,,2022-09-29 13:03:34.573,0.0032134
,,,2022-09-29 13:03:35.224,0.0060251
,,,2022-09-29 13:03:35.893,0.0025439
,,,2022-09-29 13:03:36.532,0.0046862
,,,2022-09-29 13:03:37.205,0.0048201
,,,2022-09-29 13:03:37.853,0.0030795
,,,2022-09-29 13:03:38.508,0.0042176
,,,2022-09-29 13:03:39.149,0.0036151
,,,2022-09-29 13:03:39.797,0.0034812
,,,2022-09-29 13:03:40.436,0.0040167
,,,2022-09-29 13:03:41.086,0.0045523
,,,2022-09-29 13:03:41.744,0.0026778
,,,2022-09-29 13:03:42.385,0.0040837
,,,2022-09-29 13:03:43.036,0.0054895
,,,2022-09-29 13:03:43.692,0.0038828
,,,2022-09-29 13:03:44.343,0.0033473
,,,2022-09-29 13:03:44.995,0.0034812
,,,2022-09-29 13:03:45.652,0.003749
,,,2022-09-29 13:03:46.310,0.0053556
,,,2022-09-29 13:03:46.951,0.0045523
,,,2022-09-29 13:03:47.597,0.0032134
,,,2022-09-29 13:03:48.245,0.0030795
,,,2022-09-29 13:03:48.892,0.0038159
,,,2022-09-29 13:03:49.562,0.0048201
,,,2022-09-29 13:03:50.209,0.0048201
,,,2022-09-29 13:03:50.851,0.0028117
,,,2022-09-29 13:03:51.495,0.0042845
,,,2022-09-29 13:03:52.142,0.0041506
,,,2022-09-29 13:03:52.791,0.0041506
,,,2022-09-29 13:03:53.440,0.0052218
,,,2022-09-29 13:03:54.114,0.003749
,,,2022-09-29 13:03:54.766,0.003749
,,,2022-09-29 13:03:55.410,0.0025439
,,,2022-09-29 13:03:56.059,0.0041506
,,,2022-09-29 13:03:56.709,0.0040167
,,,2022-09-29 13:03:57.372,0.0042176
,,,2022-09-29 13:03:58.025,0.0032134
,,,2022-09-29 13:03:58.675,0.0029456
,,,2022-09-29 13:03:59.325,0.0050879
,,,2022-09-29 13:03:59.962,0.0029456
,,,2022-09-29 13:04:00.612,0.0038828
,,,2022-09-29 13:04:01.254,0.0034812
,,,2022-09-29 13:04:01.902,0.0039498
,,,2022-09-29 13:04:02.561,0.0032134
,,,2022-09-29 13:04:03.213,0.0062929
,,,2022-09-29 13:04:03.870,0.0050879
,,,2022-09-29 13:04:04.539,0.0036151
,,,2022-09-29 13:04:05.197,0.0029456
,,,2022-09-29 13:04:05.871,0.0042845
,,,2022-09-29 13:04:06.524,0.0045523
,,,2022-09-29 13:04:07.180,0.0029456
,,,2022-09-29 13:04:07.862,0.0048201
,,,2022-09-29 13:04:08.524,0.0025439
,,,2022-09-29 13:04:09.185,0.0029456
,,,2022-09-29 13:04:09.887,0.0030795
,,,2022-09-29 13:04:10.558,0.004954
,,,2022-09-29 13:04:11.200,0.004954
,,,2022-09-29 13:04:11.850,0.0028117
,,,2022-09-29 13:04:12.492,0.0029456
,,,2022-09-29 13:04:13.161,0.0041506
,,,2022-09-29 13:04:13.831,0.0038828
,,,2022-09-29 13:04:14.471,0.0032134
,,,2022-09-29 13:04:15.118,0.003749
,,,2022-09-29 13:04:15.769,0.003749
,,,2022-09-29 13:04:16.422,0.003749
,,,2022-09-29 13:04:17.068,0.0045523
,,,2022-09-29 13:04:17.735,0.0038828
,,,2022-09-29 13:04:18.392,0.0046862
,,,2022-09-29 13:04:19.061,0.0048201
,,,2022-09-29 13:04:19.706,0.0042845
,,,2022-09-29 13:04:20.363,0.0029456
,,,2022-09-29 13:04:21.017,0.0036151
,,,2022-09-29 13:04:21.674,0.0045523
,,,2022-09-29 13:04:22.331,0.0038828
,,,2022-09-29 13:04:22.970,0.0045523
,,,2022-09-29 13:04:23.628,0.0050879
,,,2022-09-29 13:04:24.280,0.0034812
,,,2022-09-29 13:04:24.930,0.0032134
,,,2022-09-29 13:04:25.583,0.0030795
,,,2022-09-29 13:04:26.235,0.0038828
,,,2022-09-29 13:04:26.887,0.0028117
