Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V)
Model:,MSO-X 4154A,,2022-10-11 11:04:23.968,0.015014
Serial Number:,MY60101365,,2022-10-11 11:04:24.635,0.013508
Firmware Version:,07.31.2020012900,,2022-10-11 11:04:25.274,0.012001
Start Time:,2022-10-11 11:04:23.968,,2022-10-11 11:04:25.935,0.01411
Stop Time:,2022-10-11 11:14:23.294,,2022-10-11 11:04:26.610,0.014713
Sample Period:,0.5,,2022-10-11 11:04:27.271,0.012001
,,,2022-10-11 11:04:27.914,0.012303
,,,2022-10-11 11:04:28.568,0.012303
,,,2022-10-11 11:04:29.233,0.012303
,,,2022-10-11 11:04:29.875,0.012303
,,,2022-10-11 11:04:30.531,0.012604
,,,2022-10-11 11:04:31.174,0.013206
,,,2022-10-11 11:04:31.824,0.012905
,,,2022-10-11 11:04:32.480,0.011399
,,,2022-10-11 11:04:33.130,0.012604
,,,2022-10-11 11:04:33.780,0.0117
,,,2022-10-11 11:04:34.449,0.0117
,,,2022-10-11 11:04:35.102,0.012604
,,,2022-10-11 11:04:35.754,0.012001
,,,2022-10-11 11:04:36.405,0.0117
,,,2022-10-11 11:04:37.065,0.012905
,,,2022-10-11 11:04:37.731,0.01411
,,,2022-10-11 11:04:38.372,0.0117
,,,2022-10-11 11:04:39.023,0.013809
,,,2022-10-11 11:04:39.666,0.013206
,,,2022-10-11 11:04:40.315,0.012001
,,,2022-10-11 11:04:40.977,0.012905
,,,2022-10-11 11:04:41.637,0.012905
,,,2022-10-11 11:04:42.279,0.0117
,,,2022-10-11 11:04:42.926,0.011399
,,,2022-10-11 11:04:43.586,0.015315
,,,2022-10-11 11:04:44.229,0.012604
,,,2022-10-11 11:04:44.896,0.013508
,,,2022-10-11 11:04:45.562,0.013206
,,,2022-10-11 11:04:46.211,0.014713
,,,2022-10-11 11:04:46.866,0.013206
,,,2022-10-11 11:04:47.514,0.013809
,,,2022-10-11 11:04:48.155,0.012303
,,,2022-10-11 11:04:48.808,0.01411
,,,2022-10-11 11:04:49.465,0.017424
,,,2022-10-11 11:04:50.115,0.013206
,,,2022-10-11 11:04:50.768,0.011399
,,,2022-10-11 11:04:51.418,0.014412
,,,2022-10-11 11:04:52.081,0.012303
,,,2022-10-11 11:04:52.731,0.012303
,,,2022-10-11 11:04:53.383,0.012905
,,,2022-10-11 11:04:54.042,0.012001
,,,2022-10-11 11:04:54.703,0.012604
,,,2022-10-11 11:04:55.371,0.013508
,,,2022-10-11 11:04:56.021,0.012303
,,,2022-10-11 11:04:56.680,0.012604
,,,2022-10-11 11:04:57.334,0.013508
