Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V)
Model:,MSO-X 4154A,,2022-10-11 10:23:55.966,0.009591
Serial Number:,MY60101365,,2022-10-11 10:23:56.589,0.00929
Firmware Version:,07.31.2020012900,,2022-10-11 10:23:57.225,0.010796
Start Time:,2022-10-11 10:23:55.966,,2022-10-11 10:23:57.905,0.009893
Stop Time:,2022-10-11 10:33:55.845,,2022-10-11 10:23:58.570,0.012604
Sample Period:,0.5,,2022-10-11 10:23:59.240,0.009893
,,,2022-10-11 10:23:59.899,0.011399
,,,2022-10-11 10:24:00.566,0.011098
,,,2022-10-11 10:24:01.208,0.00929
,,,2022-10-11 10:24:01.846,0.009591
,,,2022-10-11 10:24:02.498,0.011399
,,,2022-10-11 10:24:03.147,0.009591
,,,2022-10-11 10:24:03.806,0.009591
,,,2022-10-11 10:24:04.453,0.0117
,,,2022-10-11 10:24:05.098,0.014713
,,,2022-10-11 10:24:05.757,0.009893
,,,2022-10-11 10:24:06.408,0.012001
,,,2022-10-11 10:24:07.072,0.0117
,,,2022-10-11 10:24:07.737,0.012905
,,,2022-10-11 10:24:08.390,0.010194
,,,2022-10-11 10:24:09.052,0.011399
,,,2022-10-11 10:24:09.698,0.010194
,,,2022-10-11 10:24:10.347,0.009591
,,,2022-10-11 10:24:11.002,0.010796
,,,2022-10-11 10:24:11.653,0.012303
,,,2022-10-11 10:24:12.311,0.010796
,,,2022-10-11 10:24:12.959,0.010495
,,,2022-10-11 10:24:13.615,0.010495
,,,2022-10-11 10:24:14.259,0.010495
,,,2022-10-11 10:24:14.905,0.0117
,,,2022-10-11 10:24:15.554,0.009591
,,,2022-10-11 10:24:16.207,0.011098
,,,2022-10-11 10:24:16.857,0.010495
,,,2022-10-11 10:24:17.507,0.010796
,,,2022-10-11 10:24:18.163,0.009591
,,,2022-10-11 10:24:18.817,0.010495
,,,2022-10-11 10:24:19.475,0.012604
,,,2022-10-11 10:24:20.152,0.010796
,,,2022-10-11 10:24:20.808,0.010495
,,,2022-10-11 10:24:21.449,0.010194
,,,2022-10-11 10:24:22.098,0.011098
,,,2022-10-11 10:24:22.749,0.010194
,,,2022-10-11 10:24:23.403,0.010194
,,,2022-10-11 10:24:24.048,0.012001
,,,2022-10-11 10:24:24.699,0.012905
,,,2022-10-11 10:24:25.355,0.010194
,,,2022-10-11 10:24:25.998,0.0117
,,,2022-10-11 10:24:26.636,0.009591
,,,2022-10-11 10:24:27.302,0.010796
,,,2022-10-11 10:24:27.968,0.011098
,,,2022-10-11 10:24:28.613,0.010495
,,,2022-10-11 10:24:29.269,0.009591
,,,2022-10-11 10:24:29.947,0.012001
,,,2022-10-11 10:24:30.603,0.010194
,,,2022-10-11 10:24:31.265,0.0117
,,,2022-10-11 10:24:31.910,0.010495
,,,2022-10-11 10:24:32.557,0.011399
,,,2022-10-11 10:24:33.208,0.010495
,,,2022-10-11 10:24:33.859,0.009893
,,,2022-10-11 10:24:34.497,0.009591
,,,2022-10-11 10:24:35.162,0.010194
,,,2022-10-11 10:24:35.811,0.011098
,,,2022-10-11 10:24:36.477,0.0117
,,,2022-10-11 10:24:37.132,0.010194
,,,2022-10-11 10:24:37.795,0.010495
,,,2022-10-11 10:24:38.441,0.010796
,,,2022-10-11 10:24:39.095,0.010796
,,,2022-10-11 10:24:39.753,0.009591
,,,2022-10-11 10:24:40.407,0.010495
,,,2022-10-11 10:24:41.065,0.010194
,,,2022-10-11 10:24:41.721,0.013508
,,,2022-10-11 10:24:42.376,0.010194
,,,2022-10-11 10:24:43.025,0.009893
,,,2022-10-11 10:24:43.688,0.012303
,,,2022-10-11 10:24:44.322,0.00929
,,,2022-10-11 10:24:44.992,0.010194
,,,2022-10-11 10:24:45.641,0.009893
,,,2022-10-11 10:24:46.305,0.010194
,,,2022-10-11 10:24:46.974,0.010194
,,,2022-10-11 10:24:47.629,0.009591
,,,2022-10-11 10:24:48.285,0.011098
,,,2022-10-11 10:24:48.962,0.010495
,,,2022-10-11 10:24:49.614,0.010495
,,,2022-10-11 10:24:50.265,0.012303
,,,2022-10-11 10:24:50.932,0.010796
,,,2022-10-11 10:24:51.582,0.011098
,,,2022-10-11 10:24:52.235,0.009893
,,,2022-10-11 10:24:52.895,0.010796
,,,2022-10-11 10:24:53.550,0.009893
,,,2022-10-11 10:24:54.197,0.010796
,,,2022-10-11 10:24:54.849,0.010194
,,,2022-10-11 10:24:55.494,0.010796
,,,2022-10-11 10:24:56.145,0.013809
,,,2022-10-11 10:24:56.801,0.010194
,,,2022-10-11 10:24:57.425,0.011098
,,,2022-10-11 10:24:58.088,0.011399
,,,2022-10-11 10:24:58.736,0.010194
,,,2022-10-11 10:24:59.388,0.011098
,,,2022-10-11 10:25:00.043,0.010194
,,,2022-10-11 10:25:00.702,0.010495
,,,2022-10-11 10:25:01.363,0.010495
,,,2022-10-11 10:25:02.016,0.013206
,,,2022-10-11 10:25:02.659,0.010495
,,,2022-10-11 10:25:03.319,0.009893
,,,2022-10-11 10:25:03.969,0.010194
,,,2022-10-11 10:25:04.621,0.0117
,,,2022-10-11 10:25:05.273,0.010194
,,,2022-10-11 10:25:05.940,0.010796
,,,2022-10-11 10:25:06.593,0.00929
,,,2022-10-11 10:25:07.251,0.009591
,,,2022-10-11 10:25:07.878,0.012303
,,,2022-10-11 10:25:08.500,0.009893
,,,2022-10-11 10:25:09.151,0.009893
,,,2022-10-11 10:25:09.802,0.0117
,,,2022-10-11 10:25:10.450,0.010495
,,,2022-10-11 10:25:11.103,0.011399
,,,2022-10-11 10:25:11.758,0.009893
,,,2022-10-11 10:25:12.416,0.009893
,,,2022-10-11 10:25:13.068,0.010495
,,,2022-10-11 10:25:13.706,0.010194
,,,2022-10-11 10:25:14.359,0.012001
,,,2022-10-11 10:25:15.021,0.011098
