Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V)
Model:,MSO-X 4154A,,2022-10-07 14:46:27.077,0.011
Serial Number:,MY60101365,,2022-10-07 14:46:27.578,0.0106
Firmware Version:,07.31.2020012900,,2022-10-07 14:46:28.078,0.011
Start Time:,2022-10-07 14:46:27.077,,2022-10-07 14:46:28.578,0.012
Stop Time:,2022-10-07 14:56:27.077,,2022-10-07 14:46:29.078,0.0096
Sample Period:,0.5,,2022-10-07 14:46:29.578,0.011
,,,2022-10-07 14:46:30.078,0.0103
,,,2022-10-07 14:46:30.577,0.0113
,,,2022-10-07 14:46:31.077,0.0093
,,,2022-10-07 14:46:31.577,0.0127
,,,2022-10-07 14:46:32.077,0.0106
,,,2022-10-07 14:46:32.576,0.0106
,,,2022-10-07 14:46:33.076,0.0106
,,,2022-10-07 14:46:33.577,0.0123
,,,2022-10-07 14:46:34.077,0.0096
,,,2022-10-07 14:46:34.577,0.013
,,,2022-10-07 14:46:35.077,0.01
,,,2022-10-07 14:46:35.578,0.0113
,,,2022-10-07 14:46:36.079,0.013
,,,2022-10-07 14:46:36.579,0.0093
,,,2022-10-07 14:46:37.078,0.0096
,,,2022-10-07 14:46:37.579,0.0103
,,,2022-10-07 14:46:38.078,0.011
,,,2022-10-07 14:46:38.578,0.0117
,,,2022-10-07 14:46:39.078,0.0113
,,,2022-10-07 14:46:39.577,0.0086
,,,2022-10-07 14:46:40.078,0.01
,,,2022-10-07 14:46:40.578,0.0093
,,,2022-10-07 14:46:41.079,0.012
,,,2022-10-07 14:46:41.578,0.0096
,,,2022-10-07 14:46:42.078,0.0096
,,,2022-10-07 14:46:42.578,0.0103
,,,2022-10-07 14:46:43.078,0.015
,,,2022-10-07 14:46:43.579,0.0113
,,,2022-10-07 14:46:44.078,0.0113
,,,2022-10-07 14:46:44.578,0.0117
,,,2022-10-07 14:46:45.077,0.0113
,,,2022-10-07 14:46:45.576,0.0083
,,,2022-10-07 14:46:46.077,0.01
,,,2022-10-07 14:46:46.578,0.0103
,,,2022-10-07 14:46:47.079,0.0103
,,,2022-10-07 14:46:47.578,0.0086
,,,2022-10-07 14:46:48.078,0.0113
,,,2022-10-07 14:46:48.578,0.0093
,,,2022-10-07 14:46:49.078,0.0127
,,,2022-10-07 14:46:49.578,0.0123
,,,2022-10-07 14:46:50.077,0.009
,,,2022-10-07 14:46:50.578,0.0096
,,,2022-10-07 14:46:51.078,0.0106
,,,2022-10-07 14:46:51.578,0.01
,,,2022-10-07 14:46:52.077,0.0103
,,,2022-10-07 14:46:52.578,0.0113
,,,2022-10-07 14:46:53.078,0.0106
,,,2022-10-07 14:46:53.578,0.0076
,,,2022-10-07 14:46:54.079,0.011
,,,2022-10-07 14:46:54.578,0.01
,,,2022-10-07 14:46:55.078,0.009
,,,2022-10-07 14:46:55.579,0.0113
,,,2022-10-07 14:46:56.078,0.0117
,,,2022-10-07 14:46:56.577,0.0106
,,,2022-10-07 14:46:57.077,0.012
,,,2022-10-07 14:46:57.577,0.0117
,,,2022-10-07 14:46:58.078,0.01
,,,2022-10-07 14:46:58.577,0.0106
,,,2022-10-07 14:46:59.077,0.0117
,,,2022-10-07 14:46:59.577,0.0113
,,,2022-10-07 14:47:00.078,0.01
,,,2022-10-07 14:47:00.577,0.0123
,,,2022-10-07 14:47:01.078,0.0113
,,,2022-10-07 14:47:01.578,0.0083
,,,2022-10-07 14:47:02.078,0.01
,,,2022-10-07 14:47:02.578,0.0117
,,,2022-10-07 14:47:03.077,0.0106
,,,2022-10-07 14:47:03.577,0.0096
,,,2022-10-07 14:47:04.077,0.0117
,,,2022-10-07 14:47:04.577,0.0096
,,,2022-10-07 14:47:05.078,0.01
,,,2022-10-07 14:47:05.578,0.013
,,,2022-10-07 14:47:06.078,0.01
,,,2022-10-07 14:47:06.578,0.0113
,,,2022-10-07 14:47:07.077,0.012
,,,2022-10-07 14:47:07.578,0.0086
,,,2022-10-07 14:47:08.077,0.01
,,,2022-10-07 14:47:08.577,0.0117
,,,2022-10-07 14:47:09.078,0.0106
,,,2022-10-07 14:47:09.577,0.0096
,,,2022-10-07 14:47:10.078,0.01
,,,2022-10-07 14:47:10.577,0.011
,,,2022-10-07 14:47:11.078,0.0127
,,,2022-10-07 14:47:11.577,0.0093
,,,2022-10-07 14:47:12.077,0.0117
,,,2022-10-07 14:47:12.577,0.0093
,,,2022-10-07 14:47:13.077,0.0103
,,,2022-10-07 14:47:13.577,0.0106
,,,2022-10-07 14:47:14.077,0.0127
,,,2022-10-07 14:47:14.577,0.011
,,,2022-10-07 14:47:15.077,0.011
,,,2022-10-07 14:47:15.578,0.0123
,,,2022-10-07 14:47:16.078,0.011
,,,2022-10-07 14:47:16.578,0.0113
,,,2022-10-07 14:47:17.077,0.0113
,,,2022-10-07 14:47:17.576,0.0086
,,,2022-10-07 14:47:18.077,0.012
,,,2022-10-07 14:47:18.576,0.0096
,,,2022-10-07 14:47:19.076,0.01
,,,2022-10-07 14:47:19.577,0.0137
,,,2022-10-07 14:47:20.077,0.0117
,,,2022-10-07 14:47:20.578,0.0117
,,,2022-10-07 14:47:21.078,0.012
,,,2022-10-07 14:47:21.577,0.01
,,,2022-10-07 14:47:22.077,0.009
,,,2022-10-07 14:47:22.577,0.0123
,,,2022-10-07 14:47:23.077,0.0113
,,,2022-10-07 14:47:23.577,0.011
,,,2022-10-07 14:47:24.077,0.0103
,,,2022-10-07 14:47:24.580,0.013
,,,2022-10-07 14:47:25.079,0.0106
,,,2022-10-07 14:47:25.579,0.01
,,,2022-10-07 14:47:26.078,0.0106
,,,2022-10-07 14:47:26.579,0.0106
,,,2022-10-07 14:47:27.079,0.0106
,,,2022-10-07 14:47:27.579,0.0103
,,,2022-10-07 14:47:28.078,0.0113
,,,2022-10-07 14:47:28.578,0.011
,,,2022-10-07 14:47:29.079,0.0113
,,,2022-10-07 14:47:29.579,0.0103
,,,2022-10-07 14:47:30.079,0.0113
,,,2022-10-07 14:47:30.578,0.0103
,,,2022-10-07 14:47:31.079,0.0127
,,,2022-10-07 14:47:31.578,0.0103
,,,2022-10-07 14:47:32.077,0.0113
,,,2022-10-07 14:47:32.578,0.0106
,,,2022-10-07 14:47:33.078,0.0113
,,,2022-10-07 14:47:33.578,0.0086
,,,2022-10-07 14:47:34.078,0.0086
,,,2022-10-07 14:47:34.577,0.0106
,,,2022-10-07 14:47:35.078,0.01
,,,2022-10-07 14:47:35.577,0.0123
,,,2022-10-07 14:47:36.078,0.012
,,,2022-10-07 14:47:36.579,0.0103
,,,2022-10-07 14:47:37.079,0.0117
,,,2022-10-07 14:47:37.578,0.01
,,,2022-10-07 14:47:38.078,0.0113
,,,2022-10-07 14:47:38.577,0.0103
,,,2022-10-07 14:47:39.078,0.0106
,,,2022-10-07 14:47:39.578,0.0113
,,,2022-10-07 14:47:40.078,0.0103
,,,2022-10-07 14:47:40.578,0.009
,,,2022-10-07 14:47:41.078,0.0113
,,,2022-10-07 14:47:41.578,0.011
,,,2022-10-07 14:47:42.078,0.009
,,,2022-10-07 14:47:42.578,0.011
,,,2022-10-07 14:47:43.078,0.0106
,,,2022-10-07 14:47:43.578,0.011
,,,2022-10-07 14:47:44.078,0.0127
,,,2022-10-07 14:47:44.578,0.0103
,,,2022-10-07 14:47:45.078,0.01
,,,2022-10-07 14:47:45.578,0.0117
,,,2022-10-07 14:47:46.079,0.0106
,,,2022-10-07 14:47:46.578,0.0103
,,,2022-10-07 14:47:47.079,0.0123
,,,2022-10-07 14:47:47.578,0.0106
,,,2022-10-07 14:47:48.078,0.0093
,,,2022-10-07 14:47:48.577,0.0096
,,,2022-10-07 14:47:49.078,0.011
