Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V)
Model:,MSO-X 4154A,,2022-10-07 14:28:12.170,0.0053
Serial Number:,MY60101365,,2022-10-07 14:28:12.670,0.005
Firmware Version:,07.31.2020012900,,2022-10-07 14:28:13.171,0.0063
Start Time:,2022-10-07 14:28:12.170,,2022-10-07 14:28:13.671,0.007
Stop Time:,2022-10-07 14:38:12.171,,2022-10-07 14:28:14.170,0.005
Sample Period:,0.5,,2022-10-07 14:28:14.670,0.005
,,,2022-10-07 14:28:15.171,0.006
,,,2022-10-07 14:28:15.672,0.0053
,,,2022-10-07 14:28:16.171,0.005
,,,2022-10-07 14:28:16.670,0.005
,,,2022-10-07 14:28:17.171,0.0056
,,,2022-10-07 14:28:17.671,0.0063
,,,2022-10-07 14:28:18.170,0.006
,,,2022-10-07 14:28:18.670,0.0053
,,,2022-10-07 14:28:19.171,0.005
,,,2022-10-07 14:28:19.671,0.0066
,,,2022-10-07 14:28:20.170,0.0056
,,,2022-10-07 14:28:20.671,0.005
,,,2022-10-07 14:28:21.172,0.0053
,,,2022-10-07 14:28:21.671,0.0053
,,,2022-10-07 14:28:22.171,0.0053
,,,2022-10-07 14:28:22.670,0.0056
,,,2022-10-07 14:28:23.171,0.0063
,,,2022-10-07 14:28:23.671,0.007
,,,2022-10-07 14:28:24.171,0.006
,,,2022-10-07 14:28:24.671,0.0053
,,,2022-10-07 14:28:25.171,0.0053
,,,2022-10-07 14:28:25.671,0.0053
,,,2022-10-07 14:28:26.171,0.0066
,,,2022-10-07 14:28:26.671,0.005
,,,2022-10-07 14:28:27.170,0.005
,,,2022-10-07 14:28:27.670,0.0063
,,,2022-10-07 14:28:28.171,0.006
,,,2022-10-07 14:28:28.672,0.0066
,,,2022-10-07 14:28:29.170,0.0053
,,,2022-10-07 14:28:29.671,0.0046
,,,2022-10-07 14:28:30.171,0.005
,,,2022-10-07 14:28:30.672,0.006
,,,2022-10-07 14:28:31.171,0.005
,,,2022-10-07 14:28:31.671,0.006
,,,2022-10-07 14:28:32.171,0.0056
,,,2022-10-07 14:28:32.671,0.006
,,,2022-10-07 14:28:33.170,0.006
,,,2022-10-07 14:28:33.671,0.0053
,,,2022-10-07 14:28:34.171,0.006
,,,2022-10-07 14:28:34.671,0.007
,,,2022-10-07 14:28:35.171,0.006
,,,2022-10-07 14:28:35.672,0.007
,,,2022-10-07 14:28:36.170,0.006
,,,2022-10-07 14:28:36.670,0.005
,,,2022-10-07 14:28:37.170,0.005
,,,2022-10-07 14:28:37.671,0.0053
,,,2022-10-07 14:28:38.171,0.0046
,,,2022-10-07 14:28:38.670,0.0056
,,,2022-10-07 14:28:39.171,0.005
,,,2022-10-07 14:28:39.671,0.0056
,,,2022-10-07 14:28:40.171,0.006
,,,2022-10-07 14:28:40.671,0.006
,,,2022-10-07 14:28:41.170,0.0063
,,,2022-10-07 14:28:41.671,0.0056
,,,2022-10-07 14:28:42.171,0.005
,,,2022-10-07 14:28:42.670,0.0046
,,,2022-10-07 14:28:43.171,0.006
,,,2022-10-07 14:28:43.671,0.0053
,,,2022-10-07 14:28:44.171,0.0053
,,,2022-10-07 14:28:44.670,0.005
,,,2022-10-07 14:28:45.172,0.0056
,,,2022-10-07 14:28:45.671,0.0066
,,,2022-10-07 14:28:46.171,0.005
