Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V)
Model:,MSO-X 4154A,,2022-10-07 14:15:42.954,0.005
Serial Number:,MY60101365,,2022-10-07 14:15:43.458,0.0063
Firmware Version:,07.31.2020012900,,2022-10-07 14:15:43.954,0.006
Start Time:,2022-10-07 14:15:42.954,,2022-10-07 14:15:44.454,0.0046
Stop Time:,2022-10-07 14:25:42.953,,2022-10-07 14:15:44.954,0.0053
Sample Period:,0.5,,2022-10-07 14:15:45.457,0.007
,,,2022-10-07 14:15:45.954,0.006
,,,2022-10-07 14:15:46.456,0.0066
,,,2022-10-07 14:15:46.954,0.0053
,,,2022-10-07 14:15:47.454,0.0063
,,,2022-10-07 14:15:47.953,0.0053
,,,2022-10-07 14:15:48.456,0.0053
,,,2022-10-07 14:15:48.956,0.005
,,,2022-10-07 14:15:49.454,0.0063
,,,2022-10-07 14:15:49.954,0.0053
,,,2022-10-07 14:15:50.455,0.0053
,,,2022-10-07 14:15:50.954,0.0053
,,,2022-10-07 14:15:51.455,0.0063
,,,2022-10-07 14:15:51.954,0.0063
,,,2022-10-07 14:15:52.453,0.0066
,,,2022-10-07 14:15:52.956,0.006
,,,2022-10-07 14:15:53.454,0.0053
,,,2022-10-07 14:15:53.954,0.0056
,,,2022-10-07 14:15:54.454,0.006
,,,2022-10-07 14:15:54.954,0.0063
,,,2022-10-07 14:15:55.454,0.007
,,,2022-10-07 14:15:55.955,0.0056
,,,2022-10-07 14:15:56.454,0.0053
,,,2022-10-07 14:15:56.953,0.006
,,,2022-10-07 14:15:57.453,0.0073
,,,2022-10-07 14:15:57.953,0.0063
,,,2022-10-07 14:15:58.454,0.0063
,,,2022-10-07 14:15:58.954,0.0056
,,,2022-10-07 14:15:59.454,0.0063
,,,2022-10-07 14:15:59.954,0.0056
,,,2022-10-07 14:16:00.454,0.0056
,,,2022-10-07 14:16:00.953,0.0053
,,,2022-10-07 14:16:01.454,0.005
,,,2022-10-07 14:16:01.954,0.0056
,,,2022-10-07 14:16:02.453,0.0066
,,,2022-10-07 14:16:02.954,0.006
,,,2022-10-07 14:16:03.453,0.006
,,,2022-10-07 14:16:03.954,0.007
,,,2022-10-07 14:16:04.454,0.006
,,,2022-10-07 14:16:04.953,0.0063
,,,2022-10-07 14:16:05.454,0.0066
,,,2022-10-07 14:16:05.954,0.0053
,,,2022-10-07 14:16:06.453,0.006
,,,2022-10-07 14:16:06.953,0.0053
,,,2022-10-07 14:16:07.454,0.0066
,,,2022-10-07 14:16:07.953,0.006
,,,2022-10-07 14:16:08.454,0.0076
,,,2022-10-07 14:16:08.954,0.0063
,,,2022-10-07 14:16:09.454,0.006
,,,2022-10-07 14:16:09.954,0.0053
,,,2022-10-07 14:16:10.453,0.0053
,,,2022-10-07 14:16:10.954,0.0063
,,,2022-10-07 14:16:11.454,0.005
,,,2022-10-07 14:16:11.953,0.006
,,,2022-10-07 14:16:12.453,0.005
,,,2022-10-07 14:16:12.954,0.0053
,,,2022-10-07 14:16:13.455,0.0056
,,,2022-10-07 14:16:13.953,0.0053
,,,2022-10-07 14:16:14.454,0.0053
,,,2022-10-07 14:16:14.953,0.0053
,,,2022-10-07 14:16:15.453,0.006
,,,2022-10-07 14:16:15.954,0.0056
,,,2022-10-07 14:16:16.453,0.006
,,,2022-10-07 14:16:16.953,0.0056
,,,2022-10-07 14:16:17.453,0.0073
,,,2022-10-07 14:16:17.953,0.0046
,,,2022-10-07 14:16:18.453,0.0053
,,,2022-10-07 14:16:18.954,0.005
,,,2022-10-07 14:16:19.454,0.0056
,,,2022-10-07 14:16:19.954,0.005
,,,2022-10-07 14:16:20.453,0.006
,,,2022-10-07 14:16:20.954,0.0063
,,,2022-10-07 14:16:21.453,0.0053
,,,2022-10-07 14:16:21.954,0.0056
,,,2022-10-07 14:16:22.453,0.006
,,,2022-10-07 14:16:22.952,0.006
,,,2022-10-07 14:16:23.453,0.0053
,,,2022-10-07 14:16:23.953,0.0056
,,,2022-10-07 14:16:24.453,0.005
,,,2022-10-07 14:16:24.953,0.0053
,,,2022-10-07 14:16:25.453,0.0056
,,,2022-10-07 14:16:25.953,0.006
,,,2022-10-07 14:16:26.454,0.005
,,,2022-10-07 14:16:26.954,0.0056
,,,2022-10-07 14:16:27.454,0.0063
,,,2022-10-07 14:16:27.953,0.0046
,,,2022-10-07 14:16:28.453,0.0053
,,,2022-10-07 14:16:28.953,0.0056
,,,2022-10-07 14:16:29.453,0.005
,,,2022-10-07 14:16:29.953,0.005
,,,2022-10-07 14:16:30.452,0.0063
,,,2022-10-07 14:16:30.952,0.007
,,,2022-10-07 14:16:31.452,0.006
,,,2022-10-07 14:16:31.953,0.0056
,,,2022-10-07 14:16:32.452,0.006
,,,2022-10-07 14:16:32.953,0.006
,,,2022-10-07 14:16:33.453,0.0053
,,,2022-10-07 14:16:33.955,0.0053
,,,2022-10-07 14:16:34.456,0.0063
,,,2022-10-07 14:16:34.955,0.0063
,,,2022-10-07 14:16:35.454,0.0053
,,,2022-10-07 14:16:35.954,0.006
,,,2022-10-07 14:16:36.454,0.006
,,,2022-10-07 14:16:36.955,0.005
,,,2022-10-07 14:16:37.453,0.0019
,,,2022-10-07 14:16:37.955,0.006
,,,2022-10-07 14:16:38.454,0.0073
,,,2022-10-07 14:16:38.954,0.0063
,,,2022-10-07 14:16:39.454,0.0056
,,,2022-10-07 14:16:39.956,0.0053
,,,2022-10-07 14:16:40.453,0.0063
,,,2022-10-07 14:16:40.954,0.0046
,,,2022-10-07 14:16:41.455,0.0053
,,,2022-10-07 14:16:41.953,0.0056
,,,2022-10-07 14:16:42.454,0.0056
,,,2022-10-07 14:16:42.955,0.0056
,,,2022-10-07 14:16:43.454,0.0056
,,,2022-10-07 14:16:43.953,0.0046
,,,2022-10-07 14:16:44.454,0.0053
,,,2022-10-07 14:16:44.954,0.006
,,,2022-10-07 14:16:45.455,0.0056
,,,2022-10-07 14:16:45.954,0.0053
,,,2022-10-07 14:16:46.455,0.0056
,,,2022-10-07 14:16:46.953,0.006
,,,2022-10-07 14:16:47.454,0.007
,,,2022-10-07 14:16:47.954,0.0046
,,,2022-10-07 14:16:48.455,0.0053
,,,2022-10-07 14:16:48.954,0.007
,,,2022-10-07 14:16:49.455,0.0053
,,,2022-10-07 14:16:49.953,0.005
,,,2022-10-07 14:16:50.453,0.005
,,,2022-10-07 14:16:50.954,0.005
,,,2022-10-07 14:16:51.455,0.006
,,,2022-10-07 14:16:51.954,0.006
,,,2022-10-07 14:16:52.453,0.005
,,,2022-10-07 14:16:52.954,0.007
,,,2022-10-07 14:16:53.454,0.0063
,,,2022-10-07 14:16:53.953,0.0063
,,,2022-10-07 14:16:54.452,0.0053
,,,2022-10-07 14:16:54.953,0.005
,,,2022-10-07 14:16:55.453,0.005
,,,2022-10-07 14:16:55.953,0.0056
,,,2022-10-07 14:16:56.454,0.005
,,,2022-10-07 14:16:56.954,0.005
,,,2022-10-07 14:16:57.453,0.005
,,,2022-10-07 14:16:57.954,0.0053
,,,2022-10-07 14:16:58.453,0.006
,,,2022-10-07 14:16:58.953,0.005
,,,2022-10-07 14:16:59.454,0.0053
,,,2022-10-07 14:16:59.954,0.0053
,,,2022-10-07 14:17:00.453,0.006
,,,2022-10-07 14:17:00.954,0.0053
,,,2022-10-07 14:17:01.455,0.006
,,,2022-10-07 14:17:01.953,0.0063
,,,2022-10-07 14:17:02.453,0.0056
,,,2022-10-07 14:17:02.953,0.0056
,,,2022-10-07 14:17:03.454,0.0063
,,,2022-10-07 14:17:03.954,0.0056
,,,2022-10-07 14:17:04.453,0.005
,,,2022-10-07 14:17:04.953,0.0063
,,,2022-10-07 14:17:05.454,0.007
,,,2022-10-07 14:17:05.954,0.0063
,,,2022-10-07 14:17:06.453,0.0063
,,,2022-10-07 14:17:06.953,0.0046
,,,2022-10-07 14:17:07.454,0.005
,,,2022-10-07 14:17:07.953,0.0063
,,,2022-10-07 14:17:08.454,0.006
,,,2022-10-07 14:17:08.955,0.0056
,,,2022-10-07 14:17:09.453,0.0066
,,,2022-10-07 14:17:09.954,0.0053
,,,2022-10-07 14:17:10.454,0.005
,,,2022-10-07 14:17:10.954,0.0053
,,,2022-10-07 14:17:11.453,0.005
,,,2022-10-07 14:17:11.953,0.005
,,,2022-10-07 14:17:12.452,0.0053
,,,2022-10-07 14:17:12.953,0.005
,,,2022-10-07 14:17:13.452,0.0056
,,,2022-10-07 14:17:13.952,0.0053
,,,2022-10-07 14:17:14.452,0.0066
,,,2022-10-07 14:17:14.951,0.0056
,,,2022-10-07 14:17:15.451,0.0056
,,,2022-10-07 14:17:15.952,0.0066
,,,2022-10-07 14:17:16.451,0.006
,,,2022-10-07 14:17:16.952,0.0053
,,,2022-10-07 14:17:17.452,0.0046
,,,2022-10-07 14:17:17.952,0.0056
,,,2022-10-07 14:17:18.452,0.0053
,,,2022-10-07 14:17:18.953,0.0053
,,,2022-10-07 14:17:19.454,0.0053
,,,2022-10-07 14:17:19.954,0.0053
,,,2022-10-07 14:17:20.454,0.0056
,,,2022-10-07 14:17:20.954,0.0046
,,,2022-10-07 14:17:21.454,0.006
,,,2022-10-07 14:17:21.953,0.0046
,,,2022-10-07 14:17:22.453,0.0066
,,,2022-10-07 14:17:22.953,0.0063
,,,2022-10-07 14:17:23.454,0.0056
,,,2022-10-07 14:17:23.955,0.0063
,,,2022-10-07 14:17:24.455,0.0053
,,,2022-10-07 14:17:24.955,0.0066
,,,2022-10-07 14:17:25.454,0.0046
,,,2022-10-07 14:17:25.954,0.0053
,,,2022-10-07 14:17:26.454,0.006
,,,2022-10-07 14:17:26.956,0.0063
,,,2022-10-07 14:17:27.454,0.006
,,,2022-10-07 14:17:27.955,0.0053
,,,2022-10-07 14:17:28.455,0.0063
,,,2022-10-07 14:17:28.953,0.0066
,,,2022-10-07 14:17:29.452,0.0056
,,,2022-10-07 14:17:29.953,0.0053
,,,2022-10-07 14:17:30.453,0.0053
,,,2022-10-07 14:17:30.953,0.007
,,,2022-10-07 14:17:31.453,0.0056
,,,2022-10-07 14:17:31.954,0.0063
,,,2022-10-07 14:17:32.454,0.005
,,,2022-10-07 14:17:32.955,0.007
,,,2022-10-07 14:17:33.453,0.005
,,,2022-10-07 14:17:33.954,0.0063
,,,2022-10-07 14:17:34.454,0.0053
,,,2022-10-07 14:17:34.954,0.006
,,,2022-10-07 14:17:35.454,0.005
,,,2022-10-07 14:17:35.953,0.005
,,,2022-10-07 14:17:36.454,0.005
,,,2022-10-07 14:17:36.955,0.0053
,,,2022-10-07 14:17:37.453,0.005
,,,2022-10-07 14:17:37.954,0.0063
,,,2022-10-07 14:17:38.454,0.0056
,,,2022-10-07 14:17:38.955,0.0063
,,,2022-10-07 14:17:39.454,0.006
,,,2022-10-07 14:17:39.954,0.0056
,,,2022-10-07 14:17:40.454,0.006
,,,2022-10-07 14:17:40.954,0.006
,,,2022-10-07 14:17:41.454,0.007
,,,2022-10-07 14:17:41.955,0.005
,,,2022-10-07 14:17:42.454,0.006
,,,2022-10-07 14:17:42.954,0.006
,,,2022-10-07 14:17:43.454,0.005
,,,2022-10-07 14:17:43.953,0.0063
,,,2022-10-07 14:17:44.454,0.0063
,,,2022-10-07 14:17:44.954,0.0063
,,,2022-10-07 14:17:45.454,0.0056
,,,2022-10-07 14:17:45.954,0.0053
,,,2022-10-07 14:17:46.454,0.006
,,,2022-10-07 14:17:46.953,0.0053
,,,2022-10-07 14:17:47.455,0.007
,,,2022-10-07 14:17:47.954,0.006
,,,2022-10-07 14:17:48.453,0.0063
,,,2022-10-07 14:17:48.954,0.0063
,,,2022-10-07 14:17:49.453,0.0063
,,,2022-10-07 14:17:49.953,0.0053
,,,2022-10-07 14:17:50.453,0.0063
,,,2022-10-07 14:17:50.954,0.0056
,,,2022-10-07 14:17:51.455,0.0053
,,,2022-10-07 14:17:51.953,0.006
,,,2022-10-07 14:17:52.454,0.0053
,,,2022-10-07 14:17:52.955,0.0056
,,,2022-10-07 14:17:53.453,0.0056
,,,2022-10-07 14:17:53.952,0.007
,,,2022-10-07 14:17:54.452,0.0066
,,,2022-10-07 14:17:54.951,0.006
,,,2022-10-07 14:17:55.451,0.006
,,,2022-10-07 14:17:55.952,0.0053
,,,2022-10-07 14:17:56.452,0.0063
,,,2022-10-07 14:17:56.953,0.0053
,,,2022-10-07 14:17:57.453,0.0053
,,,2022-10-07 14:17:57.953,0.0063
,,,2022-10-07 14:17:58.454,0.0063
,,,2022-10-07 14:17:58.954,0.006
,,,2022-10-07 14:17:59.455,0.006
,,,2022-10-07 14:17:59.953,0.0053
,,,2022-10-07 14:18:00.452,0.0063
,,,2022-10-07 14:18:00.952,0.0053
,,,2022-10-07 14:18:01.453,0.0063
,,,2022-10-07 14:18:01.953,0.006
,,,2022-10-07 14:18:02.453,0.0053
,,,2022-10-07 14:18:02.953,0.0063
,,,2022-10-07 14:18:03.454,0.005
,,,2022-10-07 14:18:03.953,0.0076
,,,2022-10-07 14:18:04.454,0.0056
,,,2022-10-07 14:18:04.955,0.0063
,,,2022-10-07 14:18:05.453,0.005
,,,2022-10-07 14:18:05.954,0.0063
,,,2022-10-07 14:18:06.454,0.006
,,,2022-10-07 14:18:06.953,0.0053
,,,2022-10-07 14:18:07.453,0.0056
,,,2022-10-07 14:18:07.953,0.005
,,,2022-10-07 14:18:08.454,0.0056
,,,2022-10-07 14:18:08.954,0.0063
,,,2022-10-07 14:18:09.453,0.006
,,,2022-10-07 14:18:09.952,0.0056
,,,2022-10-07 14:18:10.452,0.006
,,,2022-10-07 14:18:10.952,0.006
,,,2022-10-07 14:18:11.452,0.0053
,,,2022-10-07 14:18:11.954,0.005
,,,2022-10-07 14:18:12.453,0.005
,,,2022-10-07 14:18:12.954,0.0046
,,,2022-10-07 14:18:13.455,0.0046
,,,2022-10-07 14:18:13.955,0.0053
,,,2022-10-07 14:18:14.455,0.0053
,,,2022-10-07 14:18:14.955,0.005
,,,2022-10-07 14:18:15.454,0.0056
,,,2022-10-07 14:18:15.955,0.0066
,,,2022-10-07 14:18:16.453,0.006
,,,2022-10-07 14:18:16.955,0.005
,,,2022-10-07 14:18:17.456,0.006
,,,2022-10-07 14:18:17.954,0.0053
,,,2022-10-07 14:18:18.454,0.005
,,,2022-10-07 14:18:18.954,0.005
,,,2022-10-07 14:18:19.454,0.0056
,,,2022-10-07 14:18:19.954,0.0053
,,,2022-10-07 14:18:20.454,0.0063
,,,2022-10-07 14:18:20.954,0.0056
,,,2022-10-07 14:18:21.455,0.0056
,,,2022-10-07 14:18:21.953,0.007
,,,2022-10-07 14:18:22.453,0.0066
,,,2022-10-07 14:18:22.954,0.0053
,,,2022-10-07 14:18:23.454,0.0053
,,,2022-10-07 14:18:23.955,0.0066
,,,2022-10-07 14:18:24.455,0.007
,,,2022-10-07 14:18:24.954,0.005
,,,2022-10-07 14:18:25.454,0.006
,,,2022-10-07 14:18:25.953,0.0066
,,,2022-10-07 14:18:26.454,0.0063
,,,2022-10-07 14:18:26.955,0.0056
,,,2022-10-07 14:18:27.454,0.0056
,,,2022-10-07 14:18:27.953,0.0066
,,,2022-10-07 14:18:28.454,0.006
,,,2022-10-07 14:18:28.954,0.0056
,,,2022-10-07 14:18:29.453,0.0053
,,,2022-10-07 14:18:29.953,0.006
,,,2022-10-07 14:18:30.454,0.006
,,,2022-10-07 14:18:30.954,0.0053
,,,2022-10-07 14:18:31.455,0.0083
,,,2022-10-07 14:18:31.952,0.005
,,,2022-10-07 14:18:32.453,0.005
,,,2022-10-07 14:18:32.953,0.0053
,,,2022-10-07 14:18:33.454,0.005
,,,2022-10-07 14:18:33.953,0.0053
,,,2022-10-07 14:18:34.454,0.006
,,,2022-10-07 14:18:34.952,0.005
,,,2022-10-07 14:18:35.453,0.0063
,,,2022-10-07 14:18:35.953,0.006
,,,2022-10-07 14:18:36.453,0.0053
,,,2022-10-07 14:18:36.953,0.0056
,,,2022-10-07 14:18:37.454,0.006
,,,2022-10-07 14:18:37.954,0.006
,,,2022-10-07 14:18:38.454,0.0053
,,,2022-10-07 14:18:38.953,0.005
,,,2022-10-07 14:18:39.453,0.0056
,,,2022-10-07 14:18:39.953,0.0053
,,,2022-10-07 14:18:40.453,0.006
,,,2022-10-07 14:18:40.953,0.0066
,,,2022-10-07 14:18:41.454,0.0053
,,,2022-10-07 14:18:41.953,0.0046
,,,2022-10-07 14:18:42.454,0.0063
,,,2022-10-07 14:18:42.954,0.0053
,,,2022-10-07 14:18:43.454,0.007
,,,2022-10-07 14:18:43.954,0.0056
,,,2022-10-07 14:18:44.454,0.006
,,,2022-10-07 14:18:44.954,0.0053
,,,2022-10-07 14:18:45.453,0.0053
,,,2022-10-07 14:18:45.953,0.0056
,,,2022-10-07 14:18:46.454,0.0073
,,,2022-10-07 14:18:46.953,0.006
,,,2022-10-07 14:18:47.454,0.007
,,,2022-10-07 14:18:47.954,0.0053
,,,2022-10-07 14:18:48.453,0.005
,,,2022-10-07 14:18:48.953,0.0019
,,,2022-10-07 14:18:49.453,0.0046
,,,2022-10-07 14:18:49.953,0.0053
,,,2022-10-07 14:18:50.454,0.006
,,,2022-10-07 14:18:50.953,0.0056
,,,2022-10-07 14:18:51.453,0.0076
,,,2022-10-07 14:18:51.953,0.0053
,,,2022-10-07 14:18:52.453,0.0056
,,,2022-10-07 14:18:52.953,0.0066
,,,2022-10-07 14:18:53.453,0.005
,,,2022-10-07 14:18:53.952,0.006
,,,2022-10-07 14:18:54.452,0.0056
,,,2022-10-07 14:18:54.952,0.0056
,,,2022-10-07 14:18:55.453,0.005
,,,2022-10-07 14:18:55.954,0.0063
,,,2022-10-07 14:18:56.454,0.0066
,,,2022-10-07 14:18:56.953,0.0023
,,,2022-10-07 14:18:57.453,0.0046
,,,2022-10-07 14:18:57.953,0.005
,,,2022-10-07 14:18:58.454,0.006
,,,2022-10-07 14:18:58.953,0.006
,,,2022-10-07 14:18:59.453,0.0056
,,,2022-10-07 14:18:59.953,0.0063
,,,2022-10-07 14:19:00.454,0.0066
,,,2022-10-07 14:19:00.953,0.0056
,,,2022-10-07 14:19:01.453,0.0056
,,,2022-10-07 14:19:01.953,0.0066
,,,2022-10-07 14:19:02.453,0.005
,,,2022-10-07 14:19:02.954,0.0066
,,,2022-10-07 14:19:03.455,0.005
,,,2022-10-07 14:19:03.955,0.006
,,,2022-10-07 14:19:04.454,0.0056
,,,2022-10-07 14:19:04.954,0.006
,,,2022-10-07 14:19:05.455,0.0053
,,,2022-10-07 14:19:05.955,0.0063
,,,2022-10-07 14:19:06.452,0.0053
,,,2022-10-07 14:19:06.954,0.0053
,,,2022-10-07 14:19:07.455,0.005
,,,2022-10-07 14:19:07.955,0.006
,,,2022-10-07 14:19:08.455,0.0053
,,,2022-10-07 14:19:08.955,0.005
,,,2022-10-07 14:19:09.453,0.0063
,,,2022-10-07 14:19:09.954,0.006
,,,2022-10-07 14:19:10.454,0.0066
,,,2022-10-07 14:19:10.954,0.0063
,,,2022-10-07 14:19:11.453,0.006
,,,2022-10-07 14:19:11.955,0.0066
,,,2022-10-07 14:19:12.455,0.007
,,,2022-10-07 14:19:12.955,0.0063
,,,2022-10-07 14:19:13.454,0.005
,,,2022-10-07 14:19:13.954,0.0056
,,,2022-10-07 14:19:14.453,0.0066
,,,2022-10-07 14:19:14.954,0.0056
,,,2022-10-07 14:19:15.455,0.0053
,,,2022-10-07 14:19:15.955,0.0063
,,,2022-10-07 14:19:16.453,0.0066
,,,2022-10-07 14:19:16.953,0.006
,,,2022-10-07 14:19:17.453,0.006
,,,2022-10-07 14:19:17.953,0.0053
,,,2022-10-07 14:19:18.454,0.0056
,,,2022-10-07 14:19:18.954,0.007
,,,2022-10-07 14:19:19.454,0.006
,,,2022-10-07 14:19:19.953,0.0053
,,,2022-10-07 14:19:20.454,0.0053
,,,2022-10-07 14:19:20.954,0.0056
,,,2022-10-07 14:19:21.455,0.0056
