Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V)
Model:,MSO-X 4154A,,2022-10-07 15:07:31.921,0.0127
Serial Number:,MY60101365,,2022-10-07 15:07:32.421,0.0133
Firmware Version:,07.31.2020012900,,2022-10-07 15:07:32.922,0.0157
Start Time:,2022-10-07 15:07:31.921,,2022-10-07 15:07:33.421,0.0167
Stop Time:,2022-10-07 15:17:31.922,,2022-10-07 15:07:33.922,0.0137
Sample Period:,0.5,,2022-10-07 15:07:34.421,0.0127
,,,2022-10-07 15:07:34.921,0.0147
,,,2022-10-07 15:07:35.421,0.013
,,,2022-10-07 15:07:35.921,0.014
,,,2022-10-07 15:07:36.421,0.013
,,,2022-10-07 15:07:36.922,0.0153
,,,2022-10-07 15:07:37.422,0.0133
,,,2022-10-07 15:07:37.921,0.013
,,,2022-10-07 15:07:38.422,0.013
,,,2022-10-07 15:07:38.922,0.0147
,,,2022-10-07 15:07:39.422,0.015
,,,2022-10-07 15:07:39.922,0.013
,,,2022-10-07 15:07:40.421,0.015
,,,2022-10-07 15:07:40.922,0.014
,,,2022-10-07 15:07:41.422,0.0137
,,,2022-10-07 15:07:41.920,0.0157
,,,2022-10-07 15:07:42.420,0.0147
,,,2022-10-07 15:07:42.920,0.016
,,,2022-10-07 15:07:43.420,0.0147
,,,2022-10-07 15:07:43.919,0.0147
,,,2022-10-07 15:07:44.419,0.0147
,,,2022-10-07 15:07:44.920,0.0133
,,,2022-10-07 15:07:45.420,0.0137
,,,2022-10-07 15:07:45.920,0.015
,,,2022-10-07 15:07:46.420,0.0133
,,,2022-10-07 15:07:46.921,0.0163
,,,2022-10-07 15:07:47.420,0.0137
,,,2022-10-07 15:07:47.921,0.0143
,,,2022-10-07 15:07:48.420,0.0153
,,,2022-10-07 15:07:48.920,0.0147
,,,2022-10-07 15:07:49.420,0.0137
,,,2022-10-07 15:07:49.921,0.0019
,,,2022-10-07 15:07:50.421,0.0023
,,,2022-10-07 15:07:50.922,0.0157
,,,2022-10-07 15:07:51.422,0.013
,,,2022-10-07 15:07:51.921,0.0143
,,,2022-10-07 15:07:52.421,0.013
,,,2022-10-07 15:07:52.921,0.0167
,,,2022-10-07 15:07:53.421,0.014
,,,2022-10-07 15:07:53.921,0.0133
,,,2022-10-07 15:07:54.422,0.0019
,,,2022-10-07 15:07:54.922,0.0133
,,,2022-10-07 15:07:55.421,0.014
,,,2022-10-07 15:07:55.922,0.0137
,,,2022-10-07 15:07:56.421,0.0133
,,,2022-10-07 15:07:56.922,0.0137
,,,2022-10-07 15:07:57.421,0.0147
,,,2022-10-07 15:07:57.924,0.0133
,,,2022-10-07 15:07:58.424,0.0137
,,,2022-10-07 15:07:58.920,0.0147
,,,2022-10-07 15:07:59.420,0.0133
,,,2022-10-07 15:07:59.921,0.015
,,,2022-10-07 15:08:00.421,0.0133
,,,2022-10-07 15:08:00.923,0.014
,,,2022-10-07 15:08:01.423,0.0153
,,,2022-10-07 15:08:01.922,0.0163
,,,2022-10-07 15:08:02.422,0.0019
,,,2022-10-07 15:08:02.921,0.0133
,,,2022-10-07 15:08:03.423,0.0133
,,,2022-10-07 15:08:03.922,0.0019
,,,2022-10-07 15:08:04.422,0.0133
,,,2022-10-07 15:08:04.921,0.016
,,,2022-10-07 15:08:05.422,0.0137
,,,2022-10-07 15:08:05.922,0.014
,,,2022-10-07 15:08:06.421,0.0153
,,,2022-10-07 15:08:06.922,0.014
,,,2022-10-07 15:08:07.423,0.0147
,,,2022-10-07 15:08:07.921,0.0163
,,,2022-10-07 15:08:08.422,0.0157
,,,2022-10-07 15:08:08.922,0.0147
,,,2022-10-07 15:08:09.422,0.013
,,,2022-10-07 15:08:09.922,0.0137
,,,2022-10-07 15:08:10.422,0.015
,,,2022-10-07 15:08:10.922,0.0143
,,,2022-10-07 15:08:11.422,0.0147
