Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V)
Model:,MSO-X 4154A,,2022-10-07 15:38:26.592,0.0066
Serial Number:,MY60101365,,2022-10-07 15:38:27.092,0.0053
Firmware Version:,07.31.2020012900,,2022-10-07 15:38:27.591,0.0063
Start Time:,2022-10-07 15:38:26.592,,2022-10-07 15:38:28.092,0.0053
Stop Time:,2022-10-07 15:48:26.592,,2022-10-07 15:38:28.591,0.005
Sample Period:,0.5,,2022-10-07 15:38:29.091,0.0046
,,,2022-10-07 15:38:29.592,0.0056
,,,2022-10-07 15:38:30.090,0.0056
,,,2022-10-07 15:38:30.591,0.0053
,,,2022-10-07 15:38:31.091,0.005
,,,2022-10-07 15:38:31.591,0.0073
,,,2022-10-07 15:38:32.092,0.0046
,,,2022-10-07 15:38:32.591,0.0053
,,,2022-10-07 15:38:33.090,0.0053
,,,2022-10-07 15:38:33.590,0.0063
,,,2022-10-07 15:38:34.090,0.0056
,,,2022-10-07 15:38:34.591,0.0046
,,,2022-10-07 15:38:35.092,0.0056
,,,2022-10-07 15:38:35.590,0.005
,,,2022-10-07 15:38:36.091,0.0063
,,,2022-10-07 15:38:36.591,0.0073
,,,2022-10-07 15:38:37.091,0.006
,,,2022-10-07 15:38:37.590,0.0046
,,,2022-10-07 15:38:38.090,0.005
,,,2022-10-07 15:38:38.591,0.0053
,,,2022-10-07 15:38:39.091,0.005
,,,2022-10-07 15:38:39.592,0.0053
,,,2022-10-07 15:38:40.092,0.0063
,,,2022-10-07 15:38:40.591,0.005
,,,2022-10-07 15:38:41.090,0.0056
,,,2022-10-07 15:38:41.590,0.006
,,,2022-10-07 15:38:42.091,0.006
,,,2022-10-07 15:38:42.591,0.0063
,,,2022-10-07 15:38:43.092,0.0053
,,,2022-10-07 15:38:43.591,0.0046
,,,2022-10-07 15:38:44.091,0.0053
,,,2022-10-07 15:38:44.591,0.0056
,,,2022-10-07 15:38:45.092,0.006
,,,2022-10-07 15:38:45.590,0.0046
,,,2022-10-07 15:38:46.090,0.006
,,,2022-10-07 15:38:46.591,0.0056
,,,2022-10-07 15:38:47.091,0.006
,,,2022-10-07 15:38:47.591,0.0056
,,,2022-10-07 15:38:48.091,0.006
,,,2022-10-07 15:38:48.591,0.0043
,,,2022-10-07 15:38:49.091,0.0063
,,,2022-10-07 15:38:49.591,0.006
,,,2022-10-07 15:38:50.090,0.0066
,,,2022-10-07 15:38:50.590,0.0053
,,,2022-10-07 15:38:51.090,0.006
,,,2022-10-07 15:38:51.591,0.006
,,,2022-10-07 15:38:52.091,0.0053
,,,2022-10-07 15:38:52.591,0.0056
,,,2022-10-07 15:38:53.091,0.005
,,,2022-10-07 15:38:53.591,0.0063
,,,2022-10-07 15:38:54.090,0.006
,,,2022-10-07 15:38:54.590,0.0056
,,,2022-10-07 15:38:55.091,0.006
,,,2022-10-07 15:38:55.592,0.006
,,,2022-10-07 15:38:56.090,0.0056
,,,2022-10-07 15:38:56.592,0.005
,,,2022-10-07 15:38:57.091,0.0046
,,,2022-10-07 15:38:57.592,0.0063
,,,2022-10-07 15:38:58.092,0.0046
,,,2022-10-07 15:38:58.591,0.005
,,,2022-10-07 15:38:59.091,0.0056
,,,2022-10-07 15:38:59.591,0.0063
,,,2022-10-07 15:39:00.091,0.0063
,,,2022-10-07 15:39:00.591,0.006
,,,2022-10-07 15:39:01.091,0.0056
,,,2022-10-07 15:39:01.591,0.0053
,,,2022-10-07 15:39:02.091,0.0053
,,,2022-10-07 15:39:02.591,0.0063
,,,2022-10-07 15:39:03.091,0.0046
,,,2022-10-07 15:39:03.591,0.0063
,,,2022-10-07 15:39:04.091,0.005
,,,2022-10-07 15:39:04.591,0.006
,,,2022-10-07 15:39:05.091,0.0046
,,,2022-10-07 15:39:05.592,0.0056
,,,2022-10-07 15:39:06.093,0.0056
,,,2022-10-07 15:39:06.591,0.0053
,,,2022-10-07 15:39:07.090,0.0056
,,,2022-10-07 15:39:07.593,0.0046
,,,2022-10-07 15:39:08.093,0.0053
,,,2022-10-07 15:39:08.590,0.0056
,,,2022-10-07 15:39:09.091,0.005
,,,2022-10-07 15:39:09.591,0.0056
,,,2022-10-07 15:39:10.093,0.0053
,,,2022-10-07 15:39:10.591,0.0056
,,,2022-10-07 15:39:11.091,0.005
,,,2022-10-07 15:39:11.591,0.0053
,,,2022-10-07 15:39:12.091,0.0063
