Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V)
Model:,MSO-X 4154A,,2022-10-07 15:22:24.564,0.0143
Serial Number:,MY60101365,,2022-10-07 15:22:25.064,0.012
Firmware Version:,07.31.2020012900,,2022-10-07 15:22:25.563,0.013
Start Time:,2022-10-07 15:22:24.564,,2022-10-07 15:22:26.063,0.013
Stop Time:,2022-10-07 15:32:24.563,,2022-10-07 15:22:26.563,0.0133
Sample Period:,0.5,,2022-10-07 15:22:27.064,0.0147
,,,2022-10-07 15:22:27.564,0.012
,,,2022-10-07 15:22:28.064,0.0123
,,,2022-10-07 15:22:28.565,0.0113
,,,2022-10-07 15:22:29.066,0.011
,,,2022-10-07 15:22:29.564,0.0147
,,,2022-10-07 15:22:30.064,0.0113
,,,2022-10-07 15:22:30.563,0.0133
,,,2022-10-07 15:22:31.063,0.016
,,,2022-10-07 15:22:31.564,0.012
,,,2022-10-07 15:22:32.063,0.0147
,,,2022-10-07 15:22:32.563,0.011
,,,2022-10-07 15:22:33.063,0.013
,,,2022-10-07 15:22:33.563,0.0137
,,,2022-10-07 15:22:34.063,0.0163
,,,2022-10-07 15:22:34.563,0.0133
,,,2022-10-07 15:22:35.063,0.0123
,,,2022-10-07 15:22:35.562,0.012
,,,2022-10-07 15:22:36.062,0.0117
,,,2022-10-07 15:22:36.562,0.015
,,,2022-10-07 15:22:37.063,0.0177
,,,2022-10-07 15:22:37.564,0.0167
,,,2022-10-07 15:22:38.065,0.0147
,,,2022-10-07 15:22:38.564,0.0167
,,,2022-10-07 15:22:39.064,0.014
,,,2022-10-07 15:22:39.564,0.0123
,,,2022-10-07 15:22:40.064,0.0143
,,,2022-10-07 15:22:40.564,0.0147
,,,2022-10-07 15:22:41.064,0.016
,,,2022-10-07 15:22:41.564,0.013
,,,2022-10-07 15:22:42.064,0.011
,,,2022-10-07 15:22:42.566,0.0127
,,,2022-10-07 15:22:43.066,0.0157
,,,2022-10-07 15:22:43.566,0.0133
,,,2022-10-07 15:22:44.066,0.0117
,,,2022-10-07 15:22:44.564,0.013
,,,2022-10-07 15:22:45.066,0.013
,,,2022-10-07 15:22:45.564,0.0147
,,,2022-10-07 15:22:46.065,0.0117
,,,2022-10-07 15:22:46.565,0.0147
,,,2022-10-07 15:22:47.066,0.012
,,,2022-10-07 15:22:47.564,0.011
,,,2022-10-07 15:22:48.064,0.0133
,,,2022-10-07 15:22:48.565,0.0117
,,,2022-10-07 15:22:49.065,0.018
,,,2022-10-07 15:22:49.565,0.0123
,,,2022-10-07 15:22:50.065,0.013
,,,2022-10-07 15:22:50.564,0.015
,,,2022-10-07 15:22:51.064,0.0143
,,,2022-10-07 15:22:51.565,0.0143
,,,2022-10-07 15:22:52.065,0.0137
,,,2022-10-07 15:22:52.565,0.0127
