Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V)
Model:,MSO-X 4154A,,2022-10-13 10:46:13.800,0.0040184
Serial Number:,MY60101365,,2022-10-13 10:46:14.469,0.0040184
Firmware Version:,07.31.2020012900,,2022-10-13 10:46:15.106,0.0041523
Start Time:,2022-10-13 10:46:13.800,,2022-10-13 10:46:15.735,0.0040184
Stop Time:,2022-10-13 10:56:13.378,,2022-10-13 10:46:16.389,0.0042862
Sample Period:,0.5,,2022-10-13 10:46:17.059,0.0049556
,,,2022-10-13 10:46:17.694,0.0041523
,,,2022-10-13 10:46:18.373,0.0052234
,,,2022-10-13 10:46:19.027,0.004554
,,,2022-10-13 10:46:19.665,0.0040184
,,,2022-10-13 10:46:20.331,0.004554
,,,2022-10-13 10:46:20.983,0.0046879
,,,2022-10-13 10:46:21.639,0.0052234
,,,2022-10-13 10:46:22.301,0.0044201
,,,2022-10-13 10:46:22.956,0.0049556
,,,2022-10-13 10:46:23.602,0.0042862
,,,2022-10-13 10:46:24.255,0.0042862
,,,2022-10-13 10:46:24.889,0.004554
,,,2022-10-13 10:46:25.535,0.0042862
,,,2022-10-13 10:46:26.192,0.0049556
,,,2022-10-13 10:46:26.838,0.0052234
,,,2022-10-13 10:46:27.488,0.0041523
,,,2022-10-13 10:46:28.129,0.0054912
,,,2022-10-13 10:46:28.767,0.0044201
,,,2022-10-13 10:46:29.409,0.0048218
,,,2022-10-13 10:46:30.050,0.0044201
,,,2022-10-13 10:46:30.688,0.0042862
,,,2022-10-13 10:46:31.337,0.005759
,,,2022-10-13 10:46:31.987,0.0050895
,,,2022-10-13 10:46:32.637,0.0052234
,,,2022-10-13 10:46:33.285,0.0042862
,,,2022-10-13 10:46:33.931,0.0042862
,,,2022-10-13 10:46:34.576,0.0048218
,,,2022-10-13 10:46:35.220,0.0044201
,,,2022-10-13 10:46:35.858,0.0046879
,,,2022-10-13 10:46:36.501,0.0052234
,,,2022-10-13 10:46:37.147,0.0056251
,,,2022-10-13 10:46:37.791,0.0041523
,,,2022-10-13 10:46:38.434,0.0046879
,,,2022-10-13 10:46:39.072,0.0041523
,,,2022-10-13 10:46:39.722,0.0046879
,,,2022-10-13 10:46:40.367,0.0042862
,,,2022-10-13 10:46:41.007,0.0042862
,,,2022-10-13 10:46:41.653,0.004554
,,,2022-10-13 10:46:42.296,0.0040184
,,,2022-10-13 10:46:42.935,0.0042862
,,,2022-10-13 10:46:43.582,0.0056251
,,,2022-10-13 10:46:44.233,0.0052234
,,,2022-10-13 10:46:44.885,0.004554
,,,2022-10-13 10:46:45.532,0.0042862
,,,2022-10-13 10:46:46.181,0.0042862
,,,2022-10-13 10:46:46.818,0.0052234
,,,2022-10-13 10:46:47.464,0.0049556
,,,2022-10-13 10:46:48.109,0.004554
,,,2022-10-13 10:46:48.760,0.0050895
,,,2022-10-13 10:46:49.423,0.0053573
,,,2022-10-13 10:46:50.065,0.0060268
,,,2022-10-13 10:46:50.701,0.0046879
,,,2022-10-13 10:46:51.346,0.0046879
,,,2022-10-13 10:46:51.999,0.004554
,,,2022-10-13 10:46:52.647,0.0042862
,,,2022-10-13 10:46:53.295,0.0042862
,,,2022-10-13 10:46:53.944,0.0046879
,,,2022-10-13 10:46:54.597,0.0041523
,,,2022-10-13 10:46:55.242,0.0044201
,,,2022-10-13 10:46:55.886,0.0042862
,,,2022-10-13 10:46:56.534,0.0044201
,,,2022-10-13 10:46:57.179,0.0044201
,,,2022-10-13 10:46:57.829,0.0041523
,,,2022-10-13 10:46:58.479,0.0040184
,,,2022-10-13 10:46:59.126,0.0050895
,,,2022-10-13 10:46:59.769,0.0041523
,,,2022-10-13 10:47:00.415,0.0053573
