Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V)
Model:,MSO-X 4154A,,2022-10-13 12:34:41.840,0.0132577
Serial Number:,MY60101365,,2022-10-13 12:34:42.501,0.0148644
Firmware Version:,07.31.2020012900,,2022-10-13 12:34:43.126,0.0140611
Start Time:,2022-10-13 12:34:41.840,,2022-10-13 12:34:43.784,0.0148644
Stop Time:,2022-10-13 12:44:41.585,,2022-10-13 12:34:44.441,0.0142619
Sample Period:,0.5,,2022-10-13 12:34:45.092,0.0124544
,,,2022-10-13 12:34:45.748,0.0120527
,,,2022-10-13 12:34:46.405,0.0162703
,,,2022-10-13 12:34:47.054,0.0158686
,,,2022-10-13 12:34:47.740,0.0150653
,,,2022-10-13 12:34:48.404,0.0106469
,,,2022-10-13 12:34:49.079,0.0142619
,,,2022-10-13 12:34:49.727,0.0134586
,,,2022-10-13 12:34:50.392,0.0140611
,,,2022-10-13 12:34:51.032,0.0102452
,,,2022-10-13 12:34:51.684,0.0136594
,,,2022-10-13 12:34:52.347,0.0110485
,,,2022-10-13 12:34:52.998,0.0136594
,,,2022-10-13 12:34:53.647,0.0150653
,,,2022-10-13 12:34:54.305,0.0152661
,,,2022-10-13 12:34:54.957,0.0126552
,,,2022-10-13 12:34:55.606,0.0126552
,,,2022-10-13 12:34:56.246,0.0140611
,,,2022-10-13 12:34:56.898,0.0130569
,,,2022-10-13 12:34:57.553,0.0126552
,,,2022-10-13 12:34:58.221,0.0136594
,,,2022-10-13 12:34:58.870,0.0136594
,,,2022-10-13 12:34:59.522,0.0158686
,,,2022-10-13 12:35:00.177,0.0126552
,,,2022-10-13 12:35:00.829,0.0110485
,,,2022-10-13 12:35:01.481,0.0114502
,,,2022-10-13 12:35:02.136,0.0134586
,,,2022-10-13 12:35:02.782,0.0138603
,,,2022-10-13 12:35:03.434,0.010446
,,,2022-10-13 12:35:04.087,0.0130569
,,,2022-10-13 12:35:04.735,0.0162703
,,,2022-10-13 12:35:05.378,0.0138603
,,,2022-10-13 12:35:06.035,0.0098435
,,,2022-10-13 12:35:06.678,0.0132577
,,,2022-10-13 12:35:07.331,0.0176762
,,,2022-10-13 12:35:08.001,0.0154669
,,,2022-10-13 12:35:08.657,0.0146636
,,,2022-10-13 12:35:09.310,0.0148644
,,,2022-10-13 12:35:09.959,0.0100444
,,,2022-10-13 12:35:10.605,0.0106469
,,,2022-10-13 12:35:11.258,0.0134586
,,,2022-10-13 12:35:11.908,0.0086385
,,,2022-10-13 12:35:12.562,0.0118519
,,,2022-10-13 12:35:13.212,0.0108477
,,,2022-10-13 12:35:13.872,0.0124544
,,,2022-10-13 12:35:14.529,0.0142619
,,,2022-10-13 12:35:15.187,0.0132577
,,,2022-10-13 12:35:15.834,0.0140611
,,,2022-10-13 12:35:16.487,0.0114502
,,,2022-10-13 12:35:17.113,0.0132577
,,,2022-10-13 12:35:17.737,0.0114502
,,,2022-10-13 12:35:18.389,0.0098435
,,,2022-10-13 12:35:19.036,0.0124544
,,,2022-10-13 12:35:19.690,0.0144628
,,,2022-10-13 12:35:20.342,0.0108477
,,,2022-10-13 12:35:21.015,0.010446
,,,2022-10-13 12:35:21.674,0.0154669
,,,2022-10-13 12:35:22.322,0.0132577
,,,2022-10-13 12:35:22.976,0.0118519
,,,2022-10-13 12:35:23.623,0.0132577
,,,2022-10-13 12:35:24.275,0.0126552
,,,2022-10-13 12:35:24.924,0.0130569
,,,2022-10-13 12:35:25.578,0.0148644
,,,2022-10-13 12:35:26.240,0.0122536
,,,2022-10-13 12:35:26.892,0.011651
,,,2022-10-13 12:35:27.541,0.0154669
,,,2022-10-13 12:35:28.198,0.0150653
,,,2022-10-13 12:35:28.852,0.0120527
,,,2022-10-13 12:35:29.527,0.0124544
,,,2022-10-13 12:35:30.181,0.0110485
,,,2022-10-13 12:35:30.842,0.0138603
,,,2022-10-13 12:35:31.503,0.0158686
,,,2022-10-13 12:35:32.164,0.0120527
,,,2022-10-13 12:35:32.819,0.0120527
,,,2022-10-13 12:35:33.473,0.0128561
,,,2022-10-13 12:35:34.127,0.0120527
,,,2022-10-13 12:35:34.784,0.0148644
,,,2022-10-13 12:35:35.437,0.0150653
,,,2022-10-13 12:35:36.087,0.0140611
,,,2022-10-13 12:35:36.733,0.0122536
,,,2022-10-13 12:35:37.388,0.0126552
,,,2022-10-13 12:35:38.039,0.0136594
,,,2022-10-13 12:35:38.696,0.0136594
,,,2022-10-13 12:35:39.361,0.0120527
,,,2022-10-13 12:35:40.016,0.0134586
,,,2022-10-13 12:35:40.681,0.0156678
,,,2022-10-13 12:35:41.342,0.0108477
,,,2022-10-13 12:35:41.987,0.0096427
,,,2022-10-13 12:35:42.649,0.0168728
,,,2022-10-13 12:35:43.285,0.0134586
,,,2022-10-13 12:35:43.937,0.0122536
,,,2022-10-13 12:35:44.605,0.0126552
,,,2022-10-13 12:35:45.255,0.0130569
,,,2022-10-13 12:35:45.912,0.0102452
,,,2022-10-13 12:35:46.580,0.0132577
,,,2022-10-13 12:35:47.245,0.0134586
,,,2022-10-13 12:35:47.897,0.0118519
,,,2022-10-13 12:35:48.553,0.0152661
,,,2022-10-13 12:35:49.204,0.0134586
,,,2022-10-13 12:35:49.955,0.0120527
,,,2022-10-13 12:35:50.628,0.0126552
,,,2022-10-13 12:35:51.284,0.0132577
,,,2022-10-13 12:35:51.930,0.0118519
,,,2022-10-13 12:35:52.589,0.0124544
,,,2022-10-13 12:35:53.248,0.0154669
,,,2022-10-13 12:35:53.900,0.0098435
,,,2022-10-13 12:35:54.559,0.0122536
,,,2022-10-13 12:35:55.211,0.010446
,,,2022-10-13 12:35:55.862,0.0122536
,,,2022-10-13 12:35:56.516,0.0110485
,,,2022-10-13 12:35:57.190,0.0118519
,,,2022-10-13 12:35:57.840,0.0176762
,,,2022-10-13 12:35:58.495,0.0128561
,,,2022-10-13 12:35:59.149,0.0140611
,,,2022-10-13 12:35:59.810,0.0140611
,,,2022-10-13 12:36:00.475,0.0168728
,,,2022-10-13 12:36:01.126,0.0138603
,,,2022-10-13 12:36:01.778,0.0100444
,,,2022-10-13 12:36:02.442,0.0138603
,,,2022-10-13 12:36:03.092,0.0122536
,,,2022-10-13 12:36:03.750,0.0112494
,,,2022-10-13 12:36:04.413,0.0120527
,,,2022-10-13 12:36:05.075,0.0130569
,,,2022-10-13 12:36:05.733,0.0118519
,,,2022-10-13 12:36:06.391,0.0138603
,,,2022-10-13 12:36:07.043,0.0094418
,,,2022-10-13 12:36:07.695,0.0142619
,,,2022-10-13 12:36:08.364,0.0142619
,,,2022-10-13 12:36:09.021,0.0132577
,,,2022-10-13 12:36:09.683,0.0120527
,,,2022-10-13 12:36:10.331,0.0144628
,,,2022-10-13 12:36:10.988,0.0152661
,,,2022-10-13 12:36:11.651,0.0140611
,,,2022-10-13 12:36:12.306,0.0098435
,,,2022-10-13 12:36:12.956,0.0136594
,,,2022-10-13 12:36:13.622,0.0118519
,,,2022-10-13 12:36:14.279,0.0148644
,,,2022-10-13 12:36:14.931,0.0150653
,,,2022-10-13 12:36:15.587,0.0146636
,,,2022-10-13 12:36:16.250,0.0152661
,,,2022-10-13 12:36:16.906,0.0118519
,,,2022-10-13 12:36:17.549,0.0108477
,,,2022-10-13 12:36:18.213,0.0134586
,,,2022-10-13 12:36:18.869,0.0150653
,,,2022-10-13 12:36:19.538,0.0130569
,,,2022-10-13 12:36:20.200,0.0164711
,,,2022-10-13 12:36:20.843,0.011651
,,,2022-10-13 12:36:21.502,0.0154669
,,,2022-10-13 12:36:22.165,0.0122536
,,,2022-10-13 12:36:22.816,0.0130569
,,,2022-10-13 12:36:23.481,0.011651
,,,2022-10-13 12:36:24.134,0.0126552
,,,2022-10-13 12:36:24.788,0.0148644
,,,2022-10-13 12:36:25.450,0.0146636
,,,2022-10-13 12:36:26.102,0.0124544
,,,2022-10-13 12:36:26.751,0.0122536
,,,2022-10-13 12:36:27.415,0.0158686
,,,2022-10-13 12:36:28.072,0.0112494
,,,2022-10-13 12:36:28.736,0.0158686
,,,2022-10-13 12:36:29.395,0.0120527
,,,2022-10-13 12:36:30.065,0.011651
,,,2022-10-13 12:36:30.730,0.0142619
,,,2022-10-13 12:36:31.392,0.0120527
