Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V),Maximum(4) (V)
Model:,MSO-X 4154A,,2022-09-27 15:50:12.795,0.0061925,0.0028452
Serial Number:,MY60101365,,2022-09-27 15:50:13.295,0.0060251,0.0031799
Firmware Version:,07.31.2020012900,,2022-09-27 15:50:13.794,0.0041841,0.0038494
Start Time:,2022-09-27 15:50:12.795,,2022-09-27 15:50:14.294,0.0078661,0.0033473
Stop Time:,2022-09-27 16:10:12.794,,2022-09-27 15:50:14.794,0.0051883,0.0026778
Sample Period:,0.5,,2022-09-27 15:50:15.294,0.0050209,0.0035146
,,,2022-09-27 15:50:15.793,0.0060251,0.0030126
,,,2022-09-27 15:50:16.292,0.0051883,0.0040167
,,,2022-09-27 15:50:16.793,0.0065272,0.0045188
,,,2022-09-27 15:50:17.294,0.0050209,0.0035146
,,,2022-09-27 15:50:17.794,0.0048536,0.0033473
,,,2022-09-27 15:50:18.293,0.0048536,0.0033473
,,,2022-09-27 15:50:18.793,0.0053556,0.0040167
,,,2022-09-27 15:50:19.293,0.0075314,0.0031799
,,,2022-09-27 15:50:19.793,0.005523,0.0040167
,,,2022-09-27 15:50:20.294,0.0058577,0.0026778
,,,2022-09-27 15:50:20.794,0.0061925,0.0041841
,,,2022-09-27 15:50:21.294,0.0053556,0.0028452
,,,2022-09-27 15:50:21.794,0.0060251,0.003682
,,,2022-09-27 15:50:22.293,0.0070293,0.0040167
,,,2022-09-27 15:50:22.794,0.0056904,0.003682
,,,2022-09-27 15:50:23.294,0.0051883,0.0033473
,,,2022-09-27 15:50:23.794,0.0043515,0.0031799
,,,2022-09-27 15:50:24.293,0.0053556,0.0041841
,,,2022-09-27 15:50:24.794,0.0041841,0.0033473
,,,2022-09-27 15:50:25.294,0.0056904,0.0033473
,,,2022-09-27 15:50:25.795,0.0053556,0.0033473
,,,2022-09-27 15:50:26.294,0.0056904,0.003682
,,,2022-09-27 15:50:26.795,0.0076987,0.003682
,,,2022-09-27 15:50:27.294,0.0048536,0.0043515
,,,2022-09-27 15:50:27.795,0.0066946,0.0035146
,,,2022-09-27 15:50:28.294,0.0063598,0.0035146
,,,2022-09-27 15:50:28.795,0.0063598,0.0053556
,,,2022-09-27 15:50:29.294,0.0046862,0.003682
,,,2022-09-27 15:50:29.795,0.0050209,0.0030126
,,,2022-09-27 15:50:30.294,0.0048536,0.005523
,,,2022-09-27 15:50:30.795,0.0045188,0.0033473
,,,2022-09-27 15:50:31.293,0.005523,0.0045188
,,,2022-09-27 15:50:31.795,0.0048536,0.003682
,,,2022-09-27 15:50:32.295,0.005523,0.0026778
,,,2022-09-27 15:50:32.795,0.0056904,0.0035146
,,,2022-09-27 15:50:33.293,0.0058577,0.0031799
,,,2022-09-27 15:50:33.794,0.0041841,0.003682
,,,2022-09-27 15:50:34.294,0.0051883,0.0031799
,,,2022-09-27 15:50:34.795,0.0060251,0.0028452
,,,2022-09-27 15:50:35.293,0.0048536,0.0035146
,,,2022-09-27 15:50:35.793,0.0060251,0.003682
,,,2022-09-27 15:50:36.294,0.0065272,0.0038494
,,,2022-09-27 15:50:36.794,0.0053556,0.0040167
,,,2022-09-27 15:50:37.294,0.0058577,0.0030126
,,,2022-09-27 15:50:37.794,0.0046862,0.0033473
,,,2022-09-27 15:50:38.294,0.0058577,0.003682
,,,2022-09-27 15:50:38.794,0.0050209,0.0046862
,,,2022-09-27 15:50:39.294,0.0053556,0.0045188
,,,2022-09-27 15:50:39.793,0.0058577,0.0033473
,,,2022-09-27 15:50:40.295,0.0075314,0.0033473
,,,2022-09-27 15:50:40.794,0.0066946,0.0046862
,,,2022-09-27 15:50:41.294,0.0061925,0.0030126
,,,2022-09-27 15:50:41.793,0.0056904,0.0021757
,,,2022-09-27 15:50:42.294,0.0056904,0.0028452
,,,2022-09-27 15:50:42.794,0.0056904,0.0035146
,,,2022-09-27 15:50:43.293,0.0061925,0.0043515
,,,2022-09-27 15:50:43.794,0.005523,0.0030126
,,,2022-09-27 15:50:44.294,0.0056904,0.0025105
,,,2022-09-27 15:50:44.793,0.0056904,0.0035146
,,,2022-09-27 15:50:45.294,0.0050209,0.0038494
,,,2022-09-27 15:50:45.794,0.0051883,0.0023431
,,,2022-09-27 15:50:46.294,0.0053556,0.0041841
