Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V),Maximum(4) (V)
Model:,MSO-X 4154A,,2022-09-27 10:29:10.522,0.0070793,0.0038716
Serial Number:,MY60101365,,2022-09-27 10:29:11.023,0.0099245,0.0057126
Firmware Version:,07.31.2020012900,,2022-09-27 10:29:11.522,0.0080835,0.0052105
Start Time:,2022-09-27 10:29:10.522,,2022-09-27 10:29:12.022,0.0064098,0.0038716
Stop Time:,2022-09-27 10:44:10.521,,2022-09-27 10:29:12.523,0.0102592,0.004039
Sample Period:,0.5,,2022-09-27 10:29:13.020,0.0062425,0.0043737
,,,2022-09-27 10:29:13.521,0.0070793,0.0048758
,,,2022-09-27 10:29:14.021,0.0079161,0.0037042
,,,2022-09-27 10:29:14.521,0.0067446,0.0048758
,,,2022-09-27 10:29:15.021,0.0079161,0.004039
,,,2022-09-27 10:29:15.522,0.007414,0.004039
,,,2022-09-27 10:29:16.022,0.0067446,0.0047084
,,,2022-09-27 10:29:16.523,0.0077487,0.0033695
,,,2022-09-27 10:29:17.020,0.0089203,0.0055452
,,,2022-09-27 10:29:17.520,0.0085856,0.0035369
,,,2022-09-27 10:29:18.020,0.0060751,0.0052105
,,,2022-09-27 10:29:18.520,0.0084182,0.0045411
,,,2022-09-27 10:29:19.020,0.007414,0.004039
,,,2022-09-27 10:29:19.520,0.0085856,0.0045411
,,,2022-09-27 10:29:20.020,0.0070793,0.0053779
,,,2022-09-27 10:29:20.520,0.0079161,0.0042063
,,,2022-09-27 10:29:21.020,0.0069119,0.0042063
,,,2022-09-27 10:29:21.520,0.0084182,0.0045411
,,,2022-09-27 10:29:22.020,0.0090877,0.0050431
,,,2022-09-27 10:29:22.521,0.007414,0.0043737
,,,2022-09-27 10:29:23.021,0.0075814,0.0045411
,,,2022-09-27 10:29:23.521,0.0082508,0.0047084
,,,2022-09-27 10:29:24.021,0.0064098,0.0047084
,,,2022-09-27 10:29:24.521,0.0079161,0.0053779
,,,2022-09-27 10:29:25.022,0.0085856,0.0055452
,,,2022-09-27 10:29:25.521,0.0085856,0.0037042
,,,2022-09-27 10:29:26.021,0.007414,0.0037042
,,,2022-09-27 10:29:26.521,0.0069119,0.0033695
,,,2022-09-27 10:29:27.021,0.0050709,0.0047084
,,,2022-09-27 10:29:27.522,0.007414,0.0033695
,,,2022-09-27 10:29:28.022,0.0095897,0.0047084
,,,2022-09-27 10:29:28.521,0.0087529,0.0038716
,,,2022-09-27 10:29:29.021,0.0080835,0.0053779
,,,2022-09-27 10:29:29.521,0.0075814,0.0043737
,,,2022-09-27 10:29:30.022,0.0077487,0.0042063
,,,2022-09-27 10:29:30.521,0.0070793,0.0038716
,,,2022-09-27 10:29:31.021,0.0065772,0.0045411
,,,2022-09-27 10:29:31.521,0.0077487,0.0050431
,,,2022-09-27 10:29:32.021,0.0080835,0.0033695
,,,2022-09-27 10:29:32.522,0.0077487,0.0038716
,,,2022-09-27 10:29:33.021,0.009255,0.0048758
,,,2022-09-27 10:29:33.522,0.0084182,0.0047084
,,,2022-09-27 10:29:34.020,0.0077487,0.0042063
,,,2022-09-27 10:29:34.520,0.0094224,0.0052105
,,,2022-09-27 10:29:35.020,0.0085856,0.0045411
,,,2022-09-27 10:29:35.521,0.0075814,0.0042063
,,,2022-09-27 10:29:36.021,0.0069119,0.0038716
,,,2022-09-27 10:29:36.522,0.0077487,0.0053779
,,,2022-09-27 10:29:37.022,0.0097571,0.0045411
,,,2022-09-27 10:29:37.521,0.0082508,0.0045411
,,,2022-09-27 10:29:38.021,0.0065772,0.0038716
,,,2022-09-27 10:29:38.520,0.0080835,0.0042063
,,,2022-09-27 10:29:39.021,0.0070793,0.0045411
,,,2022-09-27 10:29:39.521,0.0072467,0.0043737
,,,2022-09-27 10:29:40.021,0.005573,0.0047084
,,,2022-09-27 10:29:40.522,0.0072467,0.004039
,,,2022-09-27 10:29:41.021,0.0085856,0.0043737
,,,2022-09-27 10:29:41.522,0.0067446,0.0043737
,,,2022-09-27 10:29:42.021,0.0085856,0.0043737
,,,2022-09-27 10:29:42.520,0.0064098,0.0050431
,,,2022-09-27 10:29:43.019,0.007414,0.004039
,,,2022-09-27 10:29:43.520,0.0079161,0.0043737
,,,2022-09-27 10:29:44.020,0.0089203,0.0043737
,,,2022-09-27 10:29:44.520,0.0069119,0.0057126
,,,2022-09-27 10:29:45.020,0.0085856,0.0035369
,,,2022-09-27 10:29:45.520,0.0064098,0.0048758
,,,2022-09-27 10:29:46.020,0.0067446,0.0038716
,,,2022-09-27 10:29:46.520,0.0087529,0.0035369
,,,2022-09-27 10:29:47.019,0.0090877,0.0035369
,,,2022-09-27 10:29:47.520,0.0077487,0.0045411
,,,2022-09-27 10:29:48.019,0.0087529,0.0035369
,,,2022-09-27 10:29:48.520,0.009255,0.0048758
,,,2022-09-27 10:29:49.021,0.0070793,0.00588
,,,2022-09-27 10:29:49.522,0.005573,0.004039
,,,2022-09-27 10:29:50.022,0.0080835,0.0047084
,,,2022-09-27 10:29:50.521,0.0060751,0.004039
,,,2022-09-27 10:29:51.022,0.0067446,0.0047084
,,,2022-09-27 10:29:51.520,0.0075814,0.004039
,,,2022-09-27 10:29:52.021,0.0089203,0.0037042
,,,2022-09-27 10:29:52.522,0.0075814,0.0038716
,,,2022-09-27 10:29:53.022,0.0072467,0.0042063
,,,2022-09-27 10:29:53.522,0.0100918,0.0037042
,,,2022-09-27 10:29:54.021,0.0079161,0.0037042
,,,2022-09-27 10:29:54.521,0.0080835,0.0047084
,,,2022-09-27 10:29:55.021,0.0094224,0.0033695
,,,2022-09-27 10:29:55.522,0.0065772,0.0042063
,,,2022-09-27 10:29:56.021,0.0072467,0.0043737
,,,2022-09-27 10:29:56.522,0.0070793,0.0038716
,,,2022-09-27 10:29:57.023,0.0099245,0.0038716
,,,2022-09-27 10:29:57.522,0.0080835,0.0045411
,,,2022-09-27 10:29:58.021,0.0089203,0.0043737
,,,2022-09-27 10:29:58.522,0.0065772,0.0045411
,,,2022-09-27 10:29:59.021,0.0077487,0.0053779
,,,2022-09-27 10:29:59.522,0.0077487,0.0062147
,,,2022-09-27 10:30:00.022,0.007414,0.0045411
,,,2022-09-27 10:30:00.521,0.0080835,0.0047084
,,,2022-09-27 10:30:01.021,0.0095897,0.0043737
,,,2022-09-27 10:30:01.521,0.0069119,0.0043737
,,,2022-09-27 10:30:02.021,0.0075814,0.0052105
,,,2022-09-27 10:30:02.521,0.0069119,0.0038716
,,,2022-09-27 10:30:03.021,0.0064098,0.0042063
,,,2022-09-27 10:30:03.520,0.0084182,0.0038716
,,,2022-09-27 10:30:04.020,0.0069119,0.0048758
,,,2022-09-27 10:30:04.520,0.0085856,0.0055452
,,,2022-09-27 10:30:05.020,0.0079161,0.0035369
,,,2022-09-27 10:30:05.520,0.0089203,0.0032021
,,,2022-09-27 10:30:06.021,0.0084182,0.0033695
,,,2022-09-27 10:30:06.522,0.0100918,0.0033695
,,,2022-09-27 10:30:07.022,0.0079161,0.004039
,,,2022-09-27 10:30:07.522,0.0079161,0.004039
,,,2022-09-27 10:30:08.022,0.0082508,0.0050431
,,,2022-09-27 10:30:08.523,0.0065772,0.0042063
,,,2022-09-27 10:30:09.022,0.007414,0.0047084
,,,2022-09-27 10:30:09.521,0.007414,0.0037042
,,,2022-09-27 10:30:10.022,0.0084182,0.0042063
,,,2022-09-27 10:30:10.522,0.0089203,0.0038716
,,,2022-09-27 10:30:11.022,0.0090877,0.0052105
,,,2022-09-27 10:30:11.521,0.0094224,0.0043737
,,,2022-09-27 10:30:12.022,0.0079161,0.0042063
,,,2022-09-27 10:30:12.521,0.0065772,0.0042063
,,,2022-09-27 10:30:13.021,0.0095897,0.0042063
,,,2022-09-27 10:30:13.521,0.0084182,0.0045411
,,,2022-09-27 10:30:14.021,0.005573,0.0048758
,,,2022-09-27 10:30:14.523,0.007414,0.0037042
,,,2022-09-27 10:30:15.021,0.0062425,0.0047084
,,,2022-09-27 10:30:15.522,0.0057404,0.0037042
,,,2022-09-27 10:30:16.022,0.0070793,0.0037042
,,,2022-09-27 10:30:16.522,0.0082508,0.0042063
,,,2022-09-27 10:30:17.022,0.0072467,0.0042063
,,,2022-09-27 10:30:17.521,0.0087529,0.0047084
,,,2022-09-27 10:30:18.021,0.0075814,0.00588
,,,2022-09-27 10:30:18.522,0.0087529,0.0052105
,,,2022-09-27 10:30:19.021,0.0072467,0.0063821
,,,2022-09-27 10:30:19.521,0.0070793,0.0045411
,,,2022-09-27 10:30:20.020,0.0075814,0.0047084
,,,2022-09-27 10:30:20.520,0.0084182,0.0052105
