Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Analog Channels,,,
Model:,MSO-X 4154A,,Time (s),1 (VOLT),4 (VOLT),
Serial Number:,MY60101365,,-1.15625E-08,-0.0114163007820025,-0.00280336270225234,
Firmware Version:,07.31.2020012900,,-1.1484375E-08,-0.0124623258598149,-0.000292902201181278,
Start Time:,2022-09-12 16:51:32.470,,-1.140625E-08,-0.00932425062637776,0.00305437846691348,
Capture#:,186,,-1.1328125E-08,-0.000956050003878772,0.00640165913500823,
,,,-1.125E-08,0.0105502258520573,0.00933052971959114,
Analog Sample Count:,640,,-1.1171875E-08,0.0147343261633068,0.0110041700536385,
Function Sample Count:,0,,-1.109375E-08,0.00845817569643259,0.00974893980310299,
Waveform Memory Sample Count:,0,,-1.1015625E-08,-0.00304810015950352,0.00640165913500823,
Digital Sample Count:,0,,-1.09375E-08,-0.0166464261710644,0.0013807381328661,
,,,-1.0859375E-08,-0.0187384763266891,-0.00405859295278788,
Setup Text Information:,,,-1.078125E-08,-0.0103702757041901,-0.00489541311981156,
ANALOG,,,-1.0703125E-08,0.0042740753851831,-0.00154813245171681,
Channel 1,,,-1.0625E-08,0.0189184264745563,0.00556483896798454,
Scale,500 mV/,,-1.0546875E-08,0.0241485518636182,0.0130962204711977,
Pos,418.5 mV,,-1.046875E-08,0.0168263763189316,0.0139330406382214,
Coup,,,-1.0390625E-08,0.00532010046299547,0.00933052971959114,
BW,Off,,-1.03125E-08,-0.00827822554856539,0.00305437846691348,
Inv,Off,,-1.0234375E-08,-0.015600401093252,-0.0023849526187405,
Imp,1M Ohm,,-1.015625E-08,-0.0135083509376273,-0.00196654253522865,
Trace Label,1,,-1.0078125E-08,-0.00723220047075301,0.00430960871744901,
Probe,1,,-1E-08,-0.000956050003878772,0.0110041700536385,
Skew,0 s,,-9.921875E-09,0.00218202522955835,0.0160250910557806,
,,,-9.84375E-09,0.00218202522955835,0.0168619112228043,
Channel 4,,,-9.765625E-09,-0.000956050003878772,0.0130962204711977,
