Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),X at Max Y(1),X at Max Y(4)
Model:,MSO-X 4154A,,2022-08-01 16:16:17.024,4.64E-09,5.74E-09
Serial Number:,MY60101365,,2022-08-01 16:16:17.523,4.19E-09,5.46E-09
Firmware Version:,07.31.2020012900,,2022-08-01 16:16:18.023,3.94E-09,5.46E-09
Start Time:,2022-08-01 16:16:17.024,,2022-08-01 16:16:18.523,4.29E-09,5.24E-09
Stop Time:,2022-08-01 16:26:17.024,,2022-08-01 16:16:19.023,4.24E-09,5.76E-09
Sample Period:,0.5,,2022-08-01 16:16:19.524,4.61E-09,4.81E-09
,,,2022-08-01 16:16:20.024,3.94E-09,4.79E-09
,,,2022-08-01 16:16:20.524,3.44E-09,5.79E-09
,,,2022-08-01 16:16:21.023,4.71E-09,5.46E-09
,,,2022-08-01 16:16:21.524,4.44E-09,4.49E-09
,,,2022-08-01 16:16:22.024,4.36E-09,4.71E-09
,,,2022-08-01 16:16:22.524,4.06E-09,5.29E-09
,,,2022-08-01 16:16:23.024,4.49E-09,4.56E-09
,,,2022-08-01 16:16:23.522,4.09E-09,5.56E-09
,,,2022-08-01 16:16:24.023,4.89E-09,3.79E-09
,,,2022-08-01 16:16:24.523,4.61E-09,3.06E-09
,,,2022-08-01 16:16:25.024,4.11E-09,4.79E-09
,,,2022-08-01 16:16:25.524,4.11E-09,5.19E-09
,,,2022-08-01 16:16:26.024,3.96E-09,5.14E-09
,,,2022-08-01 16:16:26.523,3.94E-09,5.39E-09
,,,2022-08-01 16:16:27.022,4.31E-09,4.96E-09
,,,2022-08-01 16:16:27.524,4.31E-09,4.49E-09
,,,2022-08-01 16:16:28.025,4.36E-09,4.21E-09
,,,2022-08-01 16:16:28.524,4.44E-09,4.54E-09
,,,2022-08-01 16:16:29.024,5.11E-09,5.66E-09
,,,2022-08-01 16:16:29.524,4.21E-09,4.29E-09
,,,2022-08-01 16:16:30.023,4.34E-09,5.14E-09
,,,2022-08-01 16:16:30.524,4.41E-09,4.54E-09
,,,2022-08-01 16:16:31.024,4.24E-09,3.71E-09
,,,2022-08-01 16:16:31.523,4.51E-09,3.84E-09
,,,2022-08-01 16:16:32.022,4.34E-09,4.31E-09
,,,2022-08-01 16:16:32.523,4.09E-09,4.84E-09
,,,2022-08-01 16:16:33.023,4.16E-09,4.34E-09
,,,2022-08-01 16:16:33.523,4.04E-09,4.14E-09
,,,2022-08-01 16:16:34.023,4.21E-09,4.51E-09
,,,2022-08-01 16:16:34.524,4.79E-09,4.34E-09
,,,2022-08-01 16:16:35.025,4.64E-09,3.94E-09
,,,2022-08-01 16:16:35.523,5.51E-09,4.64E-09
,,,2022-08-01 16:16:36.025,4.14E-09,4.79E-09
,,,2022-08-01 16:16:36.525,4.31E-09,4.44E-09
,,,2022-08-01 16:16:37.024,4.46E-09,4.86E-09
,,,2022-08-01 16:16:37.524,4.31E-09,4.59E-09
,,,2022-08-01 16:16:38.025,4.76E-09,4.46E-09
,,,2022-08-01 16:16:38.524,5.54E-09,4.89E-09
,,,2022-08-01 16:16:39.024,3.61E-09,3.74E-09
,,,2022-08-01 16:16:39.523,4.74E-09,4.69E-09
,,,2022-08-01 16:16:40.023,4.46E-09,4.59E-09
,,,2022-08-01 16:16:40.523,5.34E-09,4.24E-09
,,,2022-08-01 16:16:41.024,4.49E-09,5.09E-09
,,,2022-08-01 16:16:41.524,3.99E-09,4.76E-09
,,,2022-08-01 16:16:42.022,5.44E-09,4.84E-09
,,,2022-08-01 16:16:42.523,3.91E-09,4.31E-09
,,,2022-08-01 16:16:43.024,4.61E-09,5.79E-09
,,,2022-08-01 16:16:43.524,4.29E-09,5.11E-09
,,,2022-08-01 16:16:44.024,4.81E-09,4.69E-09
,,,2022-08-01 16:16:44.524,3.81E-09,4.39E-09
,,,2022-08-01 16:16:45.024,3.94E-09,4.89E-09
,,,2022-08-01 16:16:45.523,4.89E-09,5.09E-09
,,,2022-08-01 16:16:46.024,4.39E-09,5.79E-09
,,,2022-08-01 16:16:46.524,4.69E-09,4.41E-09
,,,2022-08-01 16:16:47.024,4.06E-09,4.26E-09
,,,2022-08-01 16:16:47.522,3.84E-09,4.89E-09
,,,2022-08-01 16:16:48.022,3.59E-09,5.59E-09
,,,2022-08-01 16:16:48.523,4.49E-09,5.26E-09
,,,2022-08-01 16:16:49.023,3.46E-09,4.19E-09
,,,2022-08-01 16:16:49.523,3.99E-09,4.11E-09
,,,2022-08-01 16:16:50.024,4.54E-09,3.81E-09
,,,2022-08-01 16:16:50.524,4.49E-09,5.29E-09
,,,2022-08-01 16:16:51.024,5.54E-09,5.01E-09
,,,2022-08-01 16:16:51.523,4.24E-09,3.96E-09
,,,2022-08-01 16:16:52.025,3.84E-09,4.34E-09
,,,2022-08-01 16:16:52.524,5.34E-09,4.09E-09
,,,2022-08-01 16:16:53.024,4.74E-09,4.04E-09
,,,2022-08-01 16:16:53.524,5.01E-09,4.94E-09
,,,2022-08-01 16:16:54.023,4.94E-09,5.64E-09
,,,2022-08-01 16:16:54.524,4.01E-09,5.24E-09
,,,2022-08-01 16:16:55.024,4.86E-09,4.89E-09
,,,2022-08-01 16:16:55.525,4.66E-09,4.99E-09
,,,2022-08-01 16:16:56.023,4.84E-09,3.99E-09
,,,2022-08-01 16:16:56.523,4.74E-09,5.46E-09
,,,2022-08-01 16:16:57.023,4.81E-09,5.09E-09
,,,2022-08-01 16:16:57.524,4.56E-09,4.61E-09
,,,2022-08-01 16:16:58.024,4.41E-09,5.96E-09
,,,2022-08-01 16:16:58.523,4.89E-09,5.31E-09
,,,2022-08-01 16:16:59.024,4.54E-09,4.84E-09
,,,2022-08-01 16:16:59.524,4.49E-09,4.01E-09
