Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),X at Max Y(4),X at Max Y(1)
Model:,MSO-X 4154A,,2022-10-11 13:27:18.012,2E-09,-2E-10
Serial Number:,MY60101365,,2022-10-11 13:27:18.738,5.4E-09,1.4E-09
Firmware Version:,07.31.2020012900,,2022-10-11 13:27:19.395,4.8E-09,-2E-10
Start Time:,2022-10-11 13:27:18.012,,2022-10-11 13:27:20.025,6.6E-09,4E-10
Stop Time:,2022-10-11 13:37:17.594,,2022-10-11 13:27:20.683,5.6E-09,-2E-10
Sample Period:,0.5,,2022-10-11 13:27:21.339,1.6E-09,-2E-10
,,,2022-10-11 13:27:22.014,5.6E-09,4E-10
,,,2022-10-11 13:27:22.670,4.8E-09,4E-10
,,,2022-10-11 13:27:23.336,3E-09,-4E-10
,,,2022-10-11 13:27:24.010,5.8E-09,0
,,,2022-10-11 13:27:24.668,3E-09,2E-10
,,,2022-10-11 13:27:25.328,4.4E-09,6E-10
,,,2022-10-11 13:27:25.972,6.4E-09,4E-10
,,,2022-10-11 13:27:26.627,5.6E-09,6E-10
,,,2022-10-11 13:27:27.275,2.2E-09,-2E-10
,,,2022-10-11 13:27:27.936,2.2E-09,-4E-10
,,,2022-10-11 13:27:28.588,3.2E-09,2E-10
,,,2022-10-11 13:27:29.245,3E-09,0
,,,2022-10-11 13:27:29.903,6.6E-09,4E-10
,,,2022-10-11 13:27:30.566,6.4E-09,0
,,,2022-10-11 13:27:31.238,4E-09,-4E-10
,,,2022-10-11 13:27:31.885,5.6E-09,0
,,,2022-10-11 13:27:32.538,2E-09,0
,,,2022-10-11 13:27:33.192,4.4E-09,2.4E-09
,,,2022-10-11 13:27:33.855,5.4E-09,-4E-10
,,,2022-10-11 13:27:34.516,2.6E-09,1.8E-09
,,,2022-10-11 13:27:35.169,4E-09,-6E-10
,,,2022-10-11 13:27:35.835,4.8E-09,8E-10
,,,2022-10-11 13:27:36.486,4.6E-09,2E-10
