Address:,TCPIP0::192.168.1.2::inst0::INSTR,,Analog Channels,,
Model:,MSO-X 4154A,,Time (s),1 (VOLT),
Serial Number:,MY60101365,,-2.5078125E-07,0,
Firmware Version:,07.31.2020012900,,-2.5018125E-07,0.000133891197037883,
Start Time:,2022-12-08 13:35:55.045,,-2.4958125E-07,0,
Capture#:,27,,-2.4898125E-07,0,
,,,-2.4838125E-07,0.000133891197037883,
Analog Sample Count:,833,,-2.4778125E-07,0.000133891197037883,
Function Sample Count:,0,,-2.4718125E-07,0.000133891197037883,
Waveform Memory Sample Count:,0,,-2.4658125E-07,-0.000133891197037883,
Digital Sample Count:,0,,-2.4598125E-07,0,
,,,-2.4538125E-07,0.000133891197037883,
Setup Text Information:,,,-2.4478125E-07,0,
ANALOG,,,-2.4418125E-07,0.000133891197037883,
Channel 1,,,-2.4358125E-07,0.000267782394075766,
Scale,2 mV/,,-2.4298125E-07,0,
Pos,0 V,,-2.4238125E-07,0.000133891197037883,
Coup,,,-2.4178125E-07,0.000133891197037883,
BW,Off,,-2.4118125E-07,0.000133891197037883,
Inv,Off,,-2.4058125E-07,0.000133891197037883,
Imp,50 Ohm,,-2.3998125E-07,0.000133891197037883,
Trace Label,1,,-2.3938125E-07,0,
Probe,1,,-2.3878125E-07,0,
Skew,0 s,,-2.3818125E-07,0.000133891197037883,
,,,-2.3758125E-07,-0.000267782394075766,
MATH,,,-2.3698125E-07,0,
REFERENCE WAVEFORM,,,-2.3638125E-07,0,
DIGITAL,,,-2.3578125E-07,0,
TRIGGER,,,-2.3518125E-07,0,
Sweep Mode,AUTO,,-2.3458125E-07,0.000133891197037883,
Coup,DC,,-2.3398125E-07,0,
Noise Rej,Off,,-2.3338125E-07,0,
HF Rej,Off,,-2.3278125E-07,0.000133891197037883,
Holdoff,40.0 ns,,-2.3218125E-07,0,
Mode,EDGE,,-2.3158125E-07,-0.000133891197037883,
Source,CHAN1,,-2.3098125E-07,0.000267782394075766,
Slope,POS,,-2.3038125E-07,0,
Level,1.23 mV V,,-2.2978125E-07,0,
,,,-2.2918125E-07,0.000133891197037883,
HORIZONTAL,,,-2.2858125E-07,0.000133891197037883,
Mode,MAIN,,-2.2798125E-07,0,
Ref,CENT,,-2.2738125E-07,-0.000133891197037883,
Main Scale,50 ns/,,-2.2678125E-07,0.000133891197037883,
Main Delay,-1 ns,,-2.2618125E-07,0.000133891197037883,
,,,-2.2558125E-07,0,
ACQUISITION,,,-2.2498125E-07,0.000133891197037883,
Mode,HRES,,-2.2438125E-07,0.000133891197037883,
RealTime,On,,-2.2378125E-07,0.000133891197037883,
Vectors,On,,-2.2318125E-07,0.000133891197037883,
Persistence,Off,,-2.2258125E-07,0,
,,,-2.2198125E-07,0.000133891197037883,
MEASUREMENTS,,,-2.2138125E-07,0.000133891197037883,
X at Max Y(4),,,-2.2078125E-07,0.000133891197037883,
Cur,No signal,,-2.2018125E-07,0.000133891197037883,
Mean,-56 n,,-2.1958125E-07,0,
Min,-251 n,,-2.1898125E-07,0.000133891197037883,
Max,246 n,,-2.1838125E-07,-0.000133891197037883,
Std Dev,106 n,,-2.1778125E-07,-0.000133891197037883,
Count,1010,,-2.1718125E-07,0,
,,,-2.1658125E-07,0,
X at Max Y(1),,,-2.1598125E-07,-0.000133891197037883,
Cur,1.12E-08 ,,-2.1538125E-07,0,
Mean,12 n,,-2.1478125E-07,0,
Min,-17 n,,-2.1418125E-07,-0.000133891197037883,
Max,243 n,,-2.1358125E-07,-0.000133891197037883,
Std Dev,19 n,,-2.1298125E-07,0,
Count,1010,,-2.1238125E-07,-0.000133891197037883,
,,,-2.1178125E-07,0,
Minimum(4),,,-2.1118125E-07,0,
Cur,No signal,,-2.1058125E-07,-0.000133891197037883,
Mean,-734 µV,,-2.0998125E-07,0,
Min,-1 mV,,-2.0938125E-07,-0.000133891197037883,
Max,-670 µV,,-2.0878125E-07,0,
Std Dev,82 µV,,-2.0818125E-07,-0.000133891197037883,
Count,1010,,-2.0758125E-07,0,
,,,-2.0698125E-07,-0.000133891197037883,
Minimum(1),,,-2.0638125E-07,-0.000133891197037883,
Cur,-0.0006695 V,,-2.0578125E-07,0,
Mean,-506 µV,,-2.0518125E-07,-0.000267782394075766,
Min,-937 µV,,-2.0458125E-07,0,
Max,0 V,,-2.0398125E-07,0,
Std Dev,149 µV,,-2.0338125E-07,-0.000133891197037883,
Count,1010,,-2.0278125E-07,0,
,,,-2.0218125E-07,0,
Maximum(1),,,-2.0158125E-07,-0.000267782394075766,
Cur,0.0025439 V,,-2.0098125E-07,-0.000267782394075766,
Mean,3 mV,,-2.0038125E-07,-0.000133891197037883,
Min,2 mV,,-1.9978125E-07,0,
Max,9 mV,,-1.9918125E-07,-0.000133891197037883,
Std Dev,692 µV,,-1.9858125E-07,-0.000133891197037883,
Count,1010,,-1.9798125E-07,-0.000133891197037883,
,,,-1.9738125E-07,0,
Maximum(3),,,-1.9678125E-07,-0.000133891197037883,
Cur,No signal,,-1.9618125E-07,0,
Mean,,,-1.9558125E-07,-0.000133891197037883,
Min,,,-1.9498125E-07,-0.000267782394075766,
Max,,,-1.9438125E-07,-0.000133891197037883,
Std Dev,,,-1.9378125E-07,0,
Count,0,,-1.9318125E-07,-0.000133891197037883,
,,,-1.9258125E-07,-0.000133891197037883,
Minimum(3),,,-1.9198125E-07,-0.000133891197037883,
Cur,No signal,,-1.9138125E-07,0,
Mean,,,-1.9078125E-07,0,
Min,,,-1.9018125E-07,0,
Max,,,-1.8958125E-07,0.000133891197037883,
Std Dev,,,-1.8898125E-07,-0.000133891197037883,
Count,0,,-1.8838125E-07,0.000133891197037883,
,,,-1.8778125E-07,0,
Maximum(4),,,-1.8718125E-07,-0.000133891197037883,
Cur,No signal,,-1.8658125E-07,-0.000133891197037883,
Mean,175 µV,,-1.8598125E-07,0,
Min,0 V,,-1.8538125E-07,0,
Max,335 µV,,-1.8478125E-07,0.000133891197037883,
Std Dev,41 µV,,-1.8418125E-07,0.000133891197037883,
Count,1010,,-1.8358125E-07,0,
,,,-1.8298125E-07,0.000133891197037883,
,,,-1.8238125E-07,-0.000133891197037883,
,,,-1.8178125E-07,0,
,,,-1.8118125E-07,0,
,,,-1.8058125E-07,0.000133891197037883,
,,,-1.7998125E-07,-0.000267782394075766,
,,,-1.7938125E-07,-0.000267782394075766,
,,,-1.7878125E-07,-0.000133891197037883,
,,,-1.7818125E-07,0,
,,,-1.7758125E-07,-0.000133891197037883,
,,,-1.7698125E-07,0,
,,,-1.7638125E-07,-0.000133891197037883,
,,,-1.7578125E-07,-0.000133891197037883,
