Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V)
Model:,MSO-X 4154A,,2022-12-07 09:50:19.672,0.0038494
Serial Number:,MY60101365,,2022-12-07 09:50:20.174,0.0038494
Firmware Version:,07.31.2020012900,,2022-12-07 09:50:20.672,0.003682
Start Time:,2022-12-07 09:50:19.672,,2022-12-07 09:50:21.171,0.0041841
Stop Time:,2022-12-07 10:00:19.671,,2022-12-07 09:50:21.671,0.0046862
Sample Period:,0.5,,2022-12-07 09:50:22.171,0.003682
,,,2022-12-07 09:50:22.670,0.0038494
,,,2022-12-07 09:50:23.170,0.0040167
,,,2022-12-07 09:50:23.671,0.003682
,,,2022-12-07 09:50:24.170,0.0060251
,,,2022-12-07 09:50:24.671,0.0043515
,,,2022-12-07 09:50:25.172,0.0053556
,,,2022-12-07 09:50:25.671,0.0053556
,,,2022-12-07 09:50:26.171,0.0061925
,,,2022-12-07 09:50:26.672,0.0051883
,,,2022-12-07 09:50:27.171,0.0046862
,,,2022-12-07 09:50:27.672,0.0038494
,,,2022-12-07 09:50:28.171,0.003682
,,,2022-12-07 09:50:28.671,0.0035146
,,,2022-12-07 09:50:29.171,0.0035146
,,,2022-12-07 09:50:29.671,0.0046862
,,,2022-12-07 09:50:30.171,0.003682
,,,2022-12-07 09:50:30.672,0.003682
,,,2022-12-07 09:50:31.172,0.0038494
,,,2022-12-07 09:50:31.672,0.0045188
,,,2022-12-07 09:50:32.171,0.0041841
,,,2022-12-07 09:50:32.670,0.0051883
,,,2022-12-07 09:50:33.170,0.003682
,,,2022-12-07 09:50:33.670,0.003682
,,,2022-12-07 09:50:34.171,0.0035146
,,,2022-12-07 09:50:34.671,0.0041841
,,,2022-12-07 09:50:35.171,0.0041841
,,,2022-12-07 09:50:35.672,0.0045188
,,,2022-12-07 09:50:36.171,0.0041841
,,,2022-12-07 09:50:36.672,0.0043515
,,,2022-12-07 09:50:37.172,0.0038494
,,,2022-12-07 09:50:37.672,0.003682
,,,2022-12-07 09:50:38.171,0.0035146
,,,2022-12-07 09:50:38.670,0.0035146
,,,2022-12-07 09:50:39.170,0.0040167
,,,2022-12-07 09:50:39.671,0.003682
,,,2022-12-07 09:50:40.172,0.003682
,,,2022-12-07 09:50:40.672,0.003682
,,,2022-12-07 09:50:41.171,0.0041841
,,,2022-12-07 09:50:41.672,0.0048536
,,,2022-12-07 09:50:42.171,0.0045188
,,,2022-12-07 09:50:42.672,0.0038494
,,,2022-12-07 09:50:43.171,0.003682
,,,2022-12-07 09:50:43.671,0.0043515
,,,2022-12-07 09:50:44.172,0.0043515
,,,2022-12-07 09:50:44.670,0.0038494
,,,2022-12-07 09:50:45.171,0.0038494
,,,2022-12-07 09:50:45.672,0.003682
,,,2022-12-07 09:50:46.171,0.0038494
,,,2022-12-07 09:50:46.671,0.003682
,,,2022-12-07 09:50:47.170,0.0035146
,,,2022-12-07 09:50:47.669,0.003682
,,,2022-12-07 09:50:48.170,0.0043515
,,,2022-12-07 09:50:48.670,0.0038494
