Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V)
Model:,MSO-X 4154A,,2022-12-07 10:02:05.555,0.0053556
Serial Number:,MY60101365,,2022-12-07 10:02:06.056,0.0053556
Firmware Version:,07.31.2020012900,,2022-12-07 10:02:06.555,0.0065272
Start Time:,2022-12-07 10:02:05.555,,2022-12-07 10:02:07.056,0.0061925
Stop Time:,2022-12-07 10:12:05.556,,2022-12-07 10:02:07.556,0.0071967
Sample Period:,0.5,,2022-12-07 10:02:08.062,0.0056904
,,,2022-12-07 10:02:08.554,0.0066946
,,,2022-12-07 10:02:09.055,0.0068619
,,,2022-12-07 10:02:09.556,0.0060251
,,,2022-12-07 10:02:10.055,0.0066946
,,,2022-12-07 10:02:10.555,0.0083682
,,,2022-12-07 10:02:11.056,0.0058577
,,,2022-12-07 10:02:11.556,0.0066946
,,,2022-12-07 10:02:12.055,0.0056904
,,,2022-12-07 10:02:12.555,0.0071967
,,,2022-12-07 10:02:13.056,0.0060251
,,,2022-12-07 10:02:13.555,0.0061925
,,,2022-12-07 10:02:14.056,0.0071967
,,,2022-12-07 10:02:14.556,0.0058577
,,,2022-12-07 10:02:15.056,0.0066946
,,,2022-12-07 10:02:15.555,0.0058577
,,,2022-12-07 10:02:16.054,0.0068619
,,,2022-12-07 10:02:16.555,0.0056904
,,,2022-12-07 10:02:17.056,0.0061925
,,,2022-12-07 10:02:17.556,0.0068619
,,,2022-12-07 10:02:18.056,0.0053556
,,,2022-12-07 10:02:18.555,0.0065272
,,,2022-12-07 10:02:19.055,0.007364
,,,2022-12-07 10:02:19.554,0.0075314
,,,2022-12-07 10:02:20.055,0.0071967
,,,2022-12-07 10:02:20.554,0.0056904
,,,2022-12-07 10:02:21.055,0.0056904
,,,2022-12-07 10:02:21.555,0.0060251
,,,2022-12-07 10:02:22.056,0.0058577
,,,2022-12-07 10:02:22.556,0.0053556
,,,2022-12-07 10:02:23.056,0.0053556
,,,2022-12-07 10:02:23.555,0.0058577
,,,2022-12-07 10:02:24.056,0.0056904
,,,2022-12-07 10:02:24.555,0.005523
,,,2022-12-07 10:02:25.056,0.0063598
,,,2022-12-07 10:02:25.556,0.0056904
,,,2022-12-07 10:02:26.055,0.0058577
,,,2022-12-07 10:02:26.555,0.0056904
,,,2022-12-07 10:02:27.056,0.005523
,,,2022-12-07 10:02:27.555,0.005523
,,,2022-12-07 10:02:28.056,0.0058577
,,,2022-12-07 10:02:28.554,0.0071967
,,,2022-12-07 10:02:29.055,0.0056904
,,,2022-12-07 10:02:29.555,0.0061925
,,,2022-12-07 10:02:30.055,0.0056904
,,,2022-12-07 10:02:30.555,0.0070293
,,,2022-12-07 10:02:31.056,0.0058577
,,,2022-12-07 10:02:31.560,0.005523
,,,2022-12-07 10:02:32.056,0.005523
,,,2022-12-07 10:02:32.556,0.0058577
,,,2022-12-07 10:02:33.056,0.007364
,,,2022-12-07 10:02:33.557,0.0066946
,,,2022-12-07 10:02:34.057,0.0056904
,,,2022-12-07 10:02:34.556,0.0058577
,,,2022-12-07 10:02:35.056,0.005523
,,,2022-12-07 10:02:35.557,0.0053556
,,,2022-12-07 10:02:36.057,0.0058577
,,,2022-12-07 10:02:36.556,0.0065272
,,,2022-12-07 10:02:37.056,0.0080335
,,,2022-12-07 10:02:37.556,0.0056904
,,,2022-12-07 10:02:38.056,0.0060251
,,,2022-12-07 10:02:38.555,0.0071967
,,,2022-12-07 10:02:39.057,0.0060251
,,,2022-12-07 10:02:39.556,0.0060251
,,,2022-12-07 10:02:40.055,0.0085356
