Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V)
Model:,MSO-X 4154A,,2022-12-07 10:13:59.170,0.0075314
Serial Number:,MY60101365,,2022-12-07 10:13:59.840,0.0087029
Firmware Version:,07.31.2020012900,,2022-12-07 10:14:00.488,0.0083682
Start Time:,2022-12-07 10:13:59.170,,2022-12-07 10:14:01.173,0.0076987
Stop Time:,2022-12-07 10:23:58.908,,2022-12-07 10:14:01.853,0.0076987
Sample Period:,0.5,,2022-12-07 10:14:02.522,0.0078661
,,,2022-12-07 10:14:03.152,0.0075314
,,,2022-12-07 10:14:03.797,0.0088703
,,,2022-12-07 10:14:04.437,0.009205
,,,2022-12-07 10:14:05.077,0.0085356
,,,2022-12-07 10:14:05.722,0.0090377
,,,2022-12-07 10:14:06.378,0.0076987
,,,2022-12-07 10:14:07.062,0.0082008
,,,2022-12-07 10:14:07.733,0.0082008
,,,2022-12-07 10:14:08.415,0.0080335
,,,2022-12-07 10:14:09.105,0.0082008
,,,2022-12-07 10:14:09.761,0.0076987
,,,2022-12-07 10:14:10.409,0.0080335
,,,2022-12-07 10:14:11.074,0.0076987
,,,2022-12-07 10:14:11.724,0.007364
,,,2022-12-07 10:14:12.379,0.0087029
,,,2022-12-07 10:14:13.030,0.0087029
,,,2022-12-07 10:14:13.696,0.0076987
,,,2022-12-07 10:14:14.356,0.0082008
,,,2022-12-07 10:14:15.008,0.0083682
,,,2022-12-07 10:14:15.658,0.0082008
,,,2022-12-07 10:14:16.312,0.007364
,,,2022-12-07 10:14:16.965,0.0088703
,,,2022-12-07 10:14:17.619,0.0085356
,,,2022-12-07 10:14:18.274,0.0090377
,,,2022-12-07 10:14:18.919,0.0083682
,,,2022-12-07 10:14:19.583,0.007364
,,,2022-12-07 10:14:20.234,0.0087029
,,,2022-12-07 10:14:20.907,0.0085356
,,,2022-12-07 10:14:21.556,0.0098745
,,,2022-12-07 10:14:22.216,0.0087029
,,,2022-12-07 10:14:22.880,0.0088703
,,,2022-12-07 10:14:23.529,0.0076987
,,,2022-12-07 10:14:24.185,0.0075314
,,,2022-12-07 10:14:24.829,0.0075314
,,,2022-12-07 10:14:25.478,0.0087029
,,,2022-12-07 10:14:26.120,0.0088703
,,,2022-12-07 10:14:26.763,0.0080335
,,,2022-12-07 10:14:27.409,0.0078661
,,,2022-12-07 10:14:28.074,0.0082008
,,,2022-12-07 10:14:28.725,0.0095397
,,,2022-12-07 10:14:29.376,0.0078661
,,,2022-12-07 10:14:30.032,0.0080335
,,,2022-12-07 10:14:30.689,0.0078661
,,,2022-12-07 10:14:31.349,0.0082008
,,,2022-12-07 10:14:31.996,0.0088703
,,,2022-12-07 10:14:32.657,0.0078661
,,,2022-12-07 10:14:33.315,0.0115481
,,,2022-12-07 10:14:33.966,0.0078661
,,,2022-12-07 10:14:34.621,0.0076987
,,,2022-12-07 10:14:35.280,0.0078661
,,,2022-12-07 10:14:35.941,0.0078661
,,,2022-12-07 10:14:36.583,0.0080335
,,,2022-12-07 10:14:37.243,0.0093724
,,,2022-12-07 10:14:37.902,0.0080335
,,,2022-12-07 10:14:38.541,0.0085356
,,,2022-12-07 10:14:39.204,0.0090377
,,,2022-12-07 10:14:39.851,0.0076987
,,,2022-12-07 10:14:40.505,0.0098745
,,,2022-12-07 10:14:41.159,0.0076987
,,,2022-12-07 10:14:41.825,0.0082008
,,,2022-12-07 10:14:42.469,0.0087029
,,,2022-12-07 10:14:43.122,0.0075314
,,,2022-12-07 10:14:43.768,0.0078661
,,,2022-12-07 10:14:44.414,0.011046
,,,2022-12-07 10:14:45.067,0.007364
,,,2022-12-07 10:14:45.723,0.0075314
,,,2022-12-07 10:14:46.373,0.0076987
,,,2022-12-07 10:14:47.026,0.0076987
,,,2022-12-07 10:14:47.670,0.0093724
,,,2022-12-07 10:14:48.322,0.0090377
,,,2022-12-07 10:14:48.986,0.0083682
,,,2022-12-07 10:14:49.643,0.0078661
,,,2022-12-07 10:14:50.313,0.0090377
,,,2022-12-07 10:14:50.962,0.0080335
,,,2022-12-07 10:14:51.603,0.0085356
,,,2022-12-07 10:14:52.293,0.0087029
,,,2022-12-07 10:14:52.936,0.0083682
,,,2022-12-07 10:14:53.591,0.0076987
,,,2022-12-07 10:14:54.239,0.0090377
,,,2022-12-07 10:14:54.894,0.009205
,,,2022-12-07 10:14:55.556,0.0076987
,,,2022-12-07 10:14:56.203,0.0083682
