Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Maximum(1) (V)
Model:,MSO-X 4154A,,2022-12-02 16:27:55.078,0.01205
Serial Number:,MY60101365,,2022-12-02 16:27:55.704,0.012385
Firmware Version:,07.31.2020012900,,2022-12-02 16:27:56.331,0.011381
Start Time:,2022-12-02 16:27:55.078,,2022-12-02 16:27:56.989,0.010377
Stop Time:,2022-12-02 16:37:54.542,,2022-12-02 16:27:57.653,0.012385
Sample Period:,0.5,,2022-12-02 16:27:58.314,0.013389
,,,2022-12-02 16:27:58.982,0.010042
,,,2022-12-02 16:27:59.643,0.013724
,,,2022-12-02 16:28:00.295,0.010377
,,,2022-12-02 16:28:00.957,0.01205
,,,2022-12-02 16:28:01.607,0.012385
,,,2022-12-02 16:28:02.260,0.01272
,,,2022-12-02 16:28:02.916,0.010711
,,,2022-12-02 16:28:03.571,0.013054
,,,2022-12-02 16:28:04.214,0.012385
,,,2022-12-02 16:28:04.862,0.014728
,,,2022-12-02 16:28:05.509,0.014393
,,,2022-12-02 16:28:06.154,0.013054
,,,2022-12-02 16:28:06.818,0.009372
,,,2022-12-02 16:28:07.468,0.013054
,,,2022-12-02 16:28:08.120,0.011046
,,,2022-12-02 16:28:08.784,0.015397
,,,2022-12-02 16:28:09.433,0.015732
,,,2022-12-02 16:28:10.084,0.013389
,,,2022-12-02 16:28:10.734,0.009707
,,,2022-12-02 16:28:11.387,0.013389
,,,2022-12-02 16:28:12.034,0.01272
,,,2022-12-02 16:28:12.672,0.010042
,,,2022-12-02 16:28:13.321,0.013724
,,,2022-12-02 16:28:13.961,0.013724
,,,2022-12-02 16:28:14.612,0.010377
,,,2022-12-02 16:28:15.262,0.010711
,,,2022-12-02 16:28:15.914,0.01205
,,,2022-12-02 16:28:16.567,0.010711
,,,2022-12-02 16:28:17.218,0.010377
,,,2022-12-02 16:28:17.865,0.01272
,,,2022-12-02 16:28:18.532,0.014393
,,,2022-12-02 16:28:19.222,0.013389
,,,2022-12-02 16:28:19.887,0.011715
,,,2022-12-02 16:28:20.546,0.013389
,,,2022-12-02 16:28:21.208,0.015397
,,,2022-12-02 16:28:21.860,0.010377
,,,2022-12-02 16:28:22.508,0.016402
,,,2022-12-02 16:28:23.157,0.013389
,,,2022-12-02 16:28:23.813,0.011381
,,,2022-12-02 16:28:24.467,0.013389
,,,2022-12-02 16:28:25.121,0.011381
,,,2022-12-02 16:28:25.778,0.010377
,,,2022-12-02 16:28:26.431,0.019079
,,,2022-12-02 16:28:27.082,0.010042
,,,2022-12-02 16:28:27.741,0.013054
,,,2022-12-02 16:28:28.405,0.01272
,,,2022-12-02 16:28:29.069,0.011715
,,,2022-12-02 16:28:29.731,0.011381
,,,2022-12-02 16:28:30.389,0.013389
,,,2022-12-02 16:28:31.036,0.011381
,,,2022-12-02 16:28:31.697,0.015063
,,,2022-12-02 16:28:32.364,0.011381
,,,2022-12-02 16:28:33.023,0.009372
,,,2022-12-02 16:28:33.671,0.013724
,,,2022-12-02 16:28:34.320,0.013389
,,,2022-12-02 16:28:34.970,0.014393
,,,2022-12-02 16:28:35.625,0.011715
,,,2022-12-02 16:28:36.272,0.014393
,,,2022-12-02 16:28:36.917,0.010711
,,,2022-12-02 16:28:37.575,0.011715
,,,2022-12-02 16:28:38.229,0.011715
,,,2022-12-02 16:28:38.875,0.013724
,,,2022-12-02 16:28:39.525,0.01205
,,,2022-12-02 16:28:40.169,0.009038
,,,2022-12-02 16:28:40.823,0.009038
,,,2022-12-02 16:28:41.480,0.010042
,,,2022-12-02 16:28:42.141,0.011715
,,,2022-12-02 16:28:42.798,0.011381
,,,2022-12-02 16:28:43.457,0.014728
,,,2022-12-02 16:28:44.106,0.014728
,,,2022-12-02 16:28:44.751,0.01272
,,,2022-12-02 16:28:45.400,0.009707
,,,2022-12-02 16:28:46.052,0.010711
,,,2022-12-02 16:28:46.704,0.01272
,,,2022-12-02 16:28:47.364,0.010711
,,,2022-12-02 16:28:48.024,0.011715
,,,2022-12-02 16:28:48.666,0.015397
,,,2022-12-02 16:28:49.316,0.014393
,,,2022-12-02 16:28:49.972,0.014059
,,,2022-12-02 16:28:50.629,0.015063
,,,2022-12-02 16:28:51.291,0.013389
,,,2022-12-02 16:28:51.940,0.010377
,,,2022-12-02 16:28:52.590,0.01272
,,,2022-12-02 16:28:53.241,0.014728
,,,2022-12-02 16:28:53.887,0.012385
,,,2022-12-02 16:28:54.540,0.013054
,,,2022-12-02 16:28:55.189,0.010377
,,,2022-12-02 16:28:55.838,0.015063
,,,2022-12-02 16:28:56.468,0.013389
,,,2022-12-02 16:28:57.113,0.014728
,,,2022-12-02 16:28:57.769,0.010711
,,,2022-12-02 16:28:58.425,0.011715
,,,2022-12-02 16:28:59.088,0.012385
,,,2022-12-02 16:28:59.746,0.010711
,,,2022-12-02 16:29:00.403,0.011715
,,,2022-12-02 16:29:01.054,0.014728
,,,2022-12-02 16:29:01.691,0.011381
,,,2022-12-02 16:29:02.345,0.012385
,,,2022-12-02 16:29:02.994,0.014728
,,,2022-12-02 16:29:03.643,0.01272
,,,2022-12-02 16:29:04.300,0.015732
,,,2022-12-02 16:29:04.954,0.015397
,,,2022-12-02 16:29:05.611,0.017406
,,,2022-12-02 16:29:06.268,0.014728
,,,2022-12-02 16:29:06.925,0.013724
,,,2022-12-02 16:29:07.715,0.012385
,,,2022-12-02 16:29:08.374,0.011046
,,,2022-12-02 16:29:09.032,0.015397
,,,2022-12-02 16:29:09.675,0.012385
,,,2022-12-02 16:29:10.332,0.013389
,,,2022-12-02 16:29:10.989,0.012385
,,,2022-12-02 16:29:11.655,0.01272
,,,2022-12-02 16:29:12.317,0.011715
,,,2022-12-02 16:29:12.973,0.011381
,,,2022-12-02 16:29:13.624,0.015397
,,,2022-12-02 16:29:14.278,0.010711
,,,2022-12-02 16:29:14.932,0.011715
,,,2022-12-02 16:29:15.591,0.012385
,,,2022-12-02 16:29:16.248,0.01272
,,,2022-12-02 16:29:16.905,0.015063
,,,2022-12-02 16:29:17.564,0.013389
,,,2022-12-02 16:29:18.224,0.010377
,,,2022-12-02 16:29:18.884,0.014728
,,,2022-12-02 16:29:19.541,0.014728
,,,2022-12-02 16:29:20.187,0.01205
,,,2022-12-02 16:29:20.844,0.010711
,,,2022-12-02 16:29:21.501,0.015397
,,,2022-12-02 16:29:22.160,0.009372
,,,2022-12-02 16:29:22.820,0.015063
,,,2022-12-02 16:29:23.485,0.015732
,,,2022-12-02 16:29:24.141,0.012385
,,,2022-12-02 16:29:24.794,0.013724
,,,2022-12-02 16:29:25.455,0.010042
,,,2022-12-02 16:29:26.133,0.013724
,,,2022-12-02 16:29:26.791,0.009707
,,,2022-12-02 16:29:27.443,0.013389
,,,2022-12-02 16:29:28.101,0.011046
,,,2022-12-02 16:29:28.744,0.011381
,,,2022-12-02 16:29:29.411,0.010711
,,,2022-12-02 16:29:30.061,0.013724
,,,2022-12-02 16:29:30.744,0.013724
,,,2022-12-02 16:29:31.398,0.009038
,,,2022-12-02 16:29:32.066,0.014393
,,,2022-12-02 16:29:32.727,0.01272
,,,2022-12-02 16:29:33.390,0.010711
,,,2022-12-02 16:29:34.049,0.012385
,,,2022-12-02 16:29:34.714,0.010711
,,,2022-12-02 16:29:35.384,0.011381
,,,2022-12-02 16:29:36.048,0.011381
,,,2022-12-02 16:29:36.704,0.013724
,,,2022-12-02 16:29:37.355,0.01272
,,,2022-12-02 16:29:38.022,0.013389
,,,2022-12-02 16:29:38.683,0.010711
,,,2022-12-02 16:29:39.342,0.013724
,,,2022-12-02 16:29:40.009,0.01272
,,,2022-12-02 16:29:40.658,0.011046
,,,2022-12-02 16:29:41.315,0.010042
,,,2022-12-02 16:29:41.977,0.013389
,,,2022-12-02 16:29:42.640,0.011715
,,,2022-12-02 16:29:43.302,0.011715
,,,2022-12-02 16:29:43.972,0.012385
,,,2022-12-02 16:29:44.649,0.01272
,,,2022-12-02 16:29:45.304,0.013054
,,,2022-12-02 16:29:45.969,0.013724
,,,2022-12-02 16:29:46.638,0.010377
,,,2022-12-02 16:29:47.297,0.01272
,,,2022-12-02 16:29:47.961,0.013724
,,,2022-12-02 16:29:48.623,0.01205
,,,2022-12-02 16:29:49.277,0.011381
,,,2022-12-02 16:29:49.936,0.011046
,,,2022-12-02 16:29:50.600,0.011381
,,,2022-12-02 16:29:51.254,0.015397
,,,2022-12-02 16:29:51.918,0.016067
,,,2022-12-02 16:29:52.587,0.013054
,,,2022-12-02 16:29:53.242,0.012385
,,,2022-12-02 16:29:53.900,0.013054
,,,2022-12-02 16:29:54.560,0.011715
,,,2022-12-02 16:29:55.218,0.013724
,,,2022-12-02 16:29:55.884,0.011715
,,,2022-12-02 16:29:56.523,0.01205
,,,2022-12-02 16:29:57.194,0.011715
,,,2022-12-02 16:29:57.857,0.011715
,,,2022-12-02 16:29:58.518,0.010377
,,,2022-12-02 16:29:59.194,0.010042
,,,2022-12-02 16:29:59.850,0.013389
,,,2022-12-02 16:30:00.516,0.014393
,,,2022-12-02 16:30:01.165,0.01272
,,,2022-12-02 16:30:01.831,0.016402
,,,2022-12-02 16:30:02.487,0.01205
,,,2022-12-02 16:30:03.150,0.012385
,,,2022-12-02 16:30:03.811,0.015732
,,,2022-12-02 16:30:04.479,0.011715
,,,2022-12-02 16:30:05.135,0.010042
,,,2022-12-02 16:30:05.796,0.012385
,,,2022-12-02 16:30:06.463,0.010711
,,,2022-12-02 16:30:07.116,0.015732
,,,2022-12-02 16:30:07.773,0.01272
,,,2022-12-02 16:30:08.425,0.013724
,,,2022-12-02 16:30:09.090,0.01205
,,,2022-12-02 16:30:09.750,0.011046
,,,2022-12-02 16:30:10.539,0.015397
,,,2022-12-02 16:30:11.200,0.010377
,,,2022-12-02 16:30:11.859,0.010711
,,,2022-12-02 16:30:12.522,0.013054
,,,2022-12-02 16:30:13.172,0.011381
,,,2022-12-02 16:30:13.836,0.01272
,,,2022-12-02 16:30:14.495,0.014059
,,,2022-12-02 16:30:15.156,0.014393
,,,2022-12-02 16:30:15.821,0.013724
,,,2022-12-02 16:30:16.471,0.01272
,,,2022-12-02 16:30:17.131,0.012385
,,,2022-12-02 16:30:17.788,0.013054
,,,2022-12-02 16:30:18.451,0.011381
,,,2022-12-02 16:30:19.108,0.014728
,,,2022-12-02 16:30:19.763,0.011381
,,,2022-12-02 16:30:20.425,0.01272
,,,2022-12-02 16:30:21.083,0.009707
,,,2022-12-02 16:30:21.741,0.011715
,,,2022-12-02 16:30:22.398,0.009707
,,,2022-12-02 16:30:23.050,0.015397
,,,2022-12-02 16:30:23.723,0.01272
,,,2022-12-02 16:30:24.375,0.010711
,,,2022-12-02 16:30:25.029,0.011046
,,,2022-12-02 16:30:25.689,0.015732
,,,2022-12-02 16:30:26.347,0.012385
,,,2022-12-02 16:30:27.009,0.01272
,,,2022-12-02 16:30:27.660,0.013054
,,,2022-12-02 16:30:28.316,0.009372
,,,2022-12-02 16:30:28.983,0.013389
,,,2022-12-02 16:30:29.634,0.012385
,,,2022-12-02 16:30:30.296,0.013724
,,,2022-12-02 16:30:31.030,0.011715
,,,2022-12-02 16:30:31.699,0.01205
,,,2022-12-02 16:30:32.486,0.011715
,,,2022-12-02 16:30:33.155,0.013054
,,,2022-12-02 16:30:33.812,0.01205
,,,2022-12-02 16:30:34.473,0.011381
,,,2022-12-02 16:30:35.128,0.010711
,,,2022-12-02 16:30:35.791,0.010711
,,,2022-12-02 16:30:36.444,0.010042
,,,2022-12-02 16:30:37.103,0.009038
,,,2022-12-02 16:30:37.767,0.011715
,,,2022-12-02 16:30:38.423,0.01205
,,,2022-12-02 16:30:39.077,0.014728
,,,2022-12-02 16:30:39.738,0.010711
,,,2022-12-02 16:30:40.403,0.014393
,,,2022-12-02 16:30:41.069,0.015397
,,,2022-12-02 16:30:41.731,0.010711
,,,2022-12-02 16:30:42.393,0.01205
,,,2022-12-02 16:30:43.056,0.015063
,,,2022-12-02 16:30:43.728,0.011046
,,,2022-12-02 16:30:44.383,0.01272
,,,2022-12-02 16:30:45.052,0.011381
,,,2022-12-02 16:30:45.709,0.01205
,,,2022-12-02 16:30:46.366,0.013724
,,,2022-12-02 16:30:47.031,0.013389
,,,2022-12-02 16:30:47.675,0.015063
,,,2022-12-02 16:30:48.337,0.011381
,,,2022-12-02 16:30:49.000,0.009038
,,,2022-12-02 16:30:49.657,0.014393
,,,2022-12-02 16:30:50.316,0.013389
,,,2022-12-02 16:30:50.982,0.014728
,,,2022-12-02 16:30:51.641,0.011715
,,,2022-12-02 16:30:52.291,0.01205
,,,2022-12-02 16:30:52.956,0.013054
,,,2022-12-02 16:30:53.617,0.014059
,,,2022-12-02 16:30:54.273,0.011715
,,,2022-12-02 16:30:54.934,0.015397
,,,2022-12-02 16:30:55.587,0.011381
,,,2022-12-02 16:30:56.244,0.01272
,,,2022-12-02 16:30:56.872,0.011381
,,,2022-12-02 16:30:57.533,0.01205
,,,2022-12-02 16:30:58.203,0.01205
,,,2022-12-02 16:30:58.871,0.012385
,,,2022-12-02 16:30:59.535,0.01272
,,,2022-12-02 16:31:00.188,0.013724
,,,2022-12-02 16:31:00.845,0.013389
,,,2022-12-02 16:31:01.513,0.009707
,,,2022-12-02 16:31:02.160,0.011715
,,,2022-12-02 16:31:02.819,0.014728
,,,2022-12-02 16:31:03.482,0.011715
,,,2022-12-02 16:31:04.143,0.01272
,,,2022-12-02 16:31:04.802,0.009038
,,,2022-12-02 16:31:05.461,0.013054
,,,2022-12-02 16:31:06.119,0.013054
,,,2022-12-02 16:31:06.784,0.014393
,,,2022-12-02 16:31:07.446,0.013389
,,,2022-12-02 16:31:08.099,0.01205
,,,2022-12-02 16:31:08.754,0.014059
,,,2022-12-02 16:31:09.410,0.013054
,,,2022-12-02 16:31:10.066,0.014059
,,,2022-12-02 16:31:10.728,0.011715
,,,2022-12-02 16:31:11.388,0.012385
,,,2022-12-02 16:31:12.048,0.013389
,,,2022-12-02 16:31:12.709,0.01205
,,,2022-12-02 16:31:13.364,0.009707
,,,2022-12-02 16:31:14.022,0.011715
,,,2022-12-02 16:31:14.674,0.01272
,,,2022-12-02 16:31:15.332,0.011381
,,,2022-12-02 16:31:15.991,0.011046
,,,2022-12-02 16:31:16.649,0.009372
,,,2022-12-02 16:31:17.297,0.01205
,,,2022-12-02 16:31:17.955,0.009372
,,,2022-12-02 16:31:18.615,0.010711
,,,2022-12-02 16:31:19.266,0.01272
,,,2022-12-02 16:31:19.925,0.011715
,,,2022-12-02 16:31:20.584,0.013724
,,,2022-12-02 16:31:21.240,0.014059
,,,2022-12-02 16:31:21.899,0.01272
,,,2022-12-02 16:31:22.557,0.010377
,,,2022-12-02 16:31:23.217,0.011381
,,,2022-12-02 16:31:23.882,0.011381
,,,2022-12-02 16:31:24.545,0.011046
,,,2022-12-02 16:31:25.203,0.013389
,,,2022-12-02 16:31:25.860,0.009707
,,,2022-12-02 16:31:26.518,0.013054
,,,2022-12-02 16:31:27.144,0.01272
,,,2022-12-02 16:31:27.803,0.011715
,,,2022-12-02 16:31:28.466,0.011715
,,,2022-12-02 16:31:29.147,0.015397
,,,2022-12-02 16:31:29.826,0.013389
,,,2022-12-02 16:31:30.491,0.016736
,,,2022-12-02 16:31:31.144,0.009372
,,,2022-12-02 16:31:31.800,0.009038
,,,2022-12-02 16:31:32.468,0.011046
,,,2022-12-02 16:31:33.125,0.013389
,,,2022-12-02 16:31:33.786,0.013054
,,,2022-12-02 16:31:34.456,0.013724
,,,2022-12-02 16:31:35.107,0.01205
,,,2022-12-02 16:31:35.772,0.012385
,,,2022-12-02 16:31:36.432,0.011715
,,,2022-12-02 16:31:37.100,0.013389
,,,2022-12-02 16:31:37.755,0.012385
,,,2022-12-02 16:31:38.418,0.013724
,,,2022-12-02 16:31:39.083,0.014393
,,,2022-12-02 16:31:39.742,0.01205
,,,2022-12-02 16:31:40.403,0.010042
,,,2022-12-02 16:31:41.057,0.01272
,,,2022-12-02 16:31:41.730,0.012385
,,,2022-12-02 16:31:42.390,0.014059
,,,2022-12-02 16:31:43.054,0.01272
,,,2022-12-02 16:31:43.716,0.011381
,,,2022-12-02 16:31:44.373,0.01272
,,,2022-12-02 16:31:45.032,0.010711
,,,2022-12-02 16:31:45.681,0.014728
,,,2022-12-02 16:31:46.341,0.011046
,,,2022-12-02 16:31:47.001,0.011715
,,,2022-12-02 16:31:47.665,0.014393
,,,2022-12-02 16:31:48.327,0.013724
,,,2022-12-02 16:31:48.984,0.013389
,,,2022-12-02 16:31:49.648,0.013054
,,,2022-12-02 16:31:50.311,0.01272
,,,2022-12-02 16:31:50.973,0.01272
,,,2022-12-02 16:31:51.638,0.016736
,,,2022-12-02 16:31:52.294,0.011381
,,,2022-12-02 16:31:52.954,0.013054
,,,2022-12-02 16:31:53.611,0.011046
,,,2022-12-02 16:31:54.269,0.010711
,,,2022-12-02 16:31:54.930,0.013389
,,,2022-12-02 16:31:55.601,0.015063
,,,2022-12-02 16:31:56.248,0.01205
,,,2022-12-02 16:31:56.879,0.01272
,,,2022-12-02 16:31:57.945,0.012385
,,,2022-12-02 16:31:58.610,0.009038
,,,2022-12-02 16:31:59.271,0.011381
,,,2022-12-02 16:31:59.938,0.010042
,,,2022-12-02 16:32:00.606,0.013724
,,,2022-12-02 16:32:01.258,0.013389
,,,2022-12-02 16:32:01.915,0.010042
,,,2022-12-02 16:32:02.588,0.010377
,,,2022-12-02 16:32:03.244,0.013389
,,,2022-12-02 16:32:03.918,0.01205
,,,2022-12-02 16:32:04.584,0.013054
,,,2022-12-02 16:32:05.235,0.01272
,,,2022-12-02 16:32:05.896,0.009707
,,,2022-12-02 16:32:06.558,0.013389
,,,2022-12-02 16:32:07.210,0.011715
,,,2022-12-02 16:32:07.874,0.017741
,,,2022-12-02 16:32:08.540,0.010377
,,,2022-12-02 16:32:09.184,0.010042
,,,2022-12-02 16:32:09.853,0.014393
,,,2022-12-02 16:32:10.511,0.015397
,,,2022-12-02 16:32:11.156,0.015063
,,,2022-12-02 16:32:11.819,0.010042
,,,2022-12-02 16:32:12.479,0.010042
,,,2022-12-02 16:32:13.136,0.010042
,,,2022-12-02 16:32:13.802,0.011381
,,,2022-12-02 16:32:14.460,0.012385
,,,2022-12-02 16:32:15.119,0.015397
,,,2022-12-02 16:32:15.777,0.011715
,,,2022-12-02 16:32:16.437,0.011381
,,,2022-12-02 16:32:17.096,0.011046
,,,2022-12-02 16:32:17.755,0.01272
,,,2022-12-02 16:32:18.410,0.013724
,,,2022-12-02 16:32:19.067,0.01205
,,,2022-12-02 16:32:19.724,0.012385
,,,2022-12-02 16:32:20.379,0.014728
,,,2022-12-02 16:32:21.043,0.014393
,,,2022-12-02 16:32:21.691,0.013054
,,,2022-12-02 16:32:22.351,0.015397
,,,2022-12-02 16:32:23.027,0.013389
,,,2022-12-02 16:32:23.679,0.012385
,,,2022-12-02 16:32:24.335,0.010377
,,,2022-12-02 16:32:24.995,0.016402
,,,2022-12-02 16:32:25.642,0.01205
,,,2022-12-02 16:32:26.300,0.008703
,,,2022-12-02 16:32:26.962,0.01272
,,,2022-12-02 16:32:27.635,0.01205
,,,2022-12-02 16:32:28.299,0.014059
,,,2022-12-02 16:32:28.961,0.013054
,,,2022-12-02 16:32:29.630,0.014393
,,,2022-12-02 16:32:30.293,0.014059
,,,2022-12-02 16:32:30.964,0.015063
,,,2022-12-02 16:32:31.610,0.014728
,,,2022-12-02 16:32:32.265,0.011715
,,,2022-12-02 16:32:32.947,0.012385
,,,2022-12-02 16:32:33.608,0.010377
,,,2022-12-02 16:32:34.266,0.010042
,,,2022-12-02 16:32:34.929,0.013054
,,,2022-12-02 16:32:35.600,0.01205
,,,2022-12-02 16:32:36.256,0.014059
,,,2022-12-02 16:32:36.913,0.009707
,,,2022-12-02 16:32:37.585,0.016067
,,,2022-12-02 16:32:38.241,0.011046
,,,2022-12-02 16:32:38.905,0.011715
,,,2022-12-02 16:32:39.564,0.015397
,,,2022-12-02 16:32:40.229,0.013054
,,,2022-12-02 16:32:40.894,0.015063
,,,2022-12-02 16:32:41.562,0.014728
,,,2022-12-02 16:32:42.209,0.014059
,,,2022-12-02 16:32:42.864,0.011715
,,,2022-12-02 16:32:43.519,0.01272
,,,2022-12-02 16:32:44.171,0.01205
,,,2022-12-02 16:32:44.835,0.011381
,,,2022-12-02 16:32:45.495,0.014059
,,,2022-12-02 16:32:46.158,0.011715
,,,2022-12-02 16:32:46.814,0.009707
,,,2022-12-02 16:32:47.478,0.013724
,,,2022-12-02 16:32:48.141,0.01205
,,,2022-12-02 16:32:48.800,0.012385
,,,2022-12-02 16:32:49.453,0.011715
,,,2022-12-02 16:32:50.099,0.010711
,,,2022-12-02 16:32:50.757,0.014728
,,,2022-12-02 16:32:51.417,0.014059
,,,2022-12-02 16:32:52.083,0.011046
,,,2022-12-02 16:32:52.743,0.014728
,,,2022-12-02 16:32:53.407,0.011046
,,,2022-12-02 16:32:54.065,0.014393
,,,2022-12-02 16:32:54.724,0.010377
,,,2022-12-02 16:32:55.383,0.015063
,,,2022-12-02 16:32:56.044,0.013724
,,,2022-12-02 16:32:56.701,0.014059
,,,2022-12-02 16:32:57.346,0.011046
,,,2022-12-02 16:32:58.012,0.011715
,,,2022-12-02 16:32:58.673,0.011381
,,,2022-12-02 16:32:59.330,0.013724
,,,2022-12-02 16:32:59.992,0.014393
,,,2022-12-02 16:33:00.657,0.014728
,,,2022-12-02 16:33:01.318,0.01272
,,,2022-12-02 16:33:01.979,0.013054
,,,2022-12-02 16:33:02.654,0.010377
,,,2022-12-02 16:33:03.323,0.014728
,,,2022-12-02 16:33:03.983,0.01272
,,,2022-12-02 16:33:04.639,0.015397
,,,2022-12-02 16:33:05.298,0.009038
,,,2022-12-02 16:33:05.959,0.010377
,,,2022-12-02 16:33:06.620,0.013389
,,,2022-12-02 16:33:07.274,0.011381
,,,2022-12-02 16:33:07.931,0.01272
,,,2022-12-02 16:33:08.597,0.013724
,,,2022-12-02 16:33:09.280,0.013389
,,,2022-12-02 16:33:09.947,0.011381
,,,2022-12-02 16:33:10.609,0.01272
,,,2022-12-02 16:33:11.272,0.009372
,,,2022-12-02 16:33:11.936,0.010711
,,,2022-12-02 16:33:12.596,0.010042
,,,2022-12-02 16:33:13.258,0.010711
,,,2022-12-02 16:33:13.921,0.01205
,,,2022-12-02 16:33:14.592,0.010042
,,,2022-12-02 16:33:15.253,0.013724
,,,2022-12-02 16:33:15.916,0.011715
,,,2022-12-02 16:33:16.579,0.010042
,,,2022-12-02 16:33:17.237,0.014393
,,,2022-12-02 16:33:17.896,0.014393
,,,2022-12-02 16:33:18.561,0.014059
,,,2022-12-02 16:33:19.221,0.01205
,,,2022-12-02 16:33:19.880,0.01205
,,,2022-12-02 16:33:20.542,0.013389
,,,2022-12-02 16:33:21.183,0.014393
,,,2022-12-02 16:33:21.841,0.016067
,,,2022-12-02 16:33:22.499,0.013389
,,,2022-12-02 16:33:23.155,0.013054
,,,2022-12-02 16:33:23.813,0.013389
,,,2022-12-02 16:33:24.471,0.011715
,,,2022-12-02 16:33:25.127,0.015063
,,,2022-12-02 16:33:25.783,0.013724
,,,2022-12-02 16:33:26.440,0.011046
,,,2022-12-02 16:33:27.097,0.013724
,,,2022-12-02 16:33:27.757,0.013724
,,,2022-12-02 16:33:28.417,0.013389
,,,2022-12-02 16:33:29.082,0.01272
,,,2022-12-02 16:33:29.745,0.009372
,,,2022-12-02 16:33:30.420,0.012385
,,,2022-12-02 16:33:31.065,0.013054
,,,2022-12-02 16:33:31.720,0.01205
,,,2022-12-02 16:33:32.404,0.01205
,,,2022-12-02 16:33:33.072,0.013054
,,,2022-12-02 16:33:33.737,0.014059
,,,2022-12-02 16:33:34.395,0.011381
,,,2022-12-02 16:33:35.053,0.014393
,,,2022-12-02 16:33:35.718,0.013724
,,,2022-12-02 16:33:36.373,0.016067
,,,2022-12-02 16:33:37.034,0.015397
,,,2022-12-02 16:33:37.711,0.009372
,,,2022-12-02 16:33:38.372,0.014059
,,,2022-12-02 16:33:39.035,0.014059
