Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-11-09 13:33:59.542,-0.21423,-0.11381
Serial Number:,MY60101365,,2022-11-09 13:34:00.178,-0.17406,-0.11046
Firmware Version:,07.31.2020012900,,2022-11-09 13:34:00.807,-0.19414,-0.06025
Start Time:,2022-11-09 13:33:59.542,,2022-11-09 13:34:01.483,-0.17741,-0.07364
Stop Time:,2022-11-09 13:43:58.834,,2022-11-09 13:34:02.342,-0.16402,-0.11381
Sample Period:,0.5,,2022-11-09 13:34:03.002,-0.23096,-0.06025
,,,2022-11-09 13:34:03.655,-0.20084,-0.09707
,,,2022-11-09 13:34:04.302,-0.19414,-0.0636
,,,2022-11-09 13:34:04.965,-0.21757,-0.10042
,,,2022-11-09 13:34:05.621,-0.14393,-0.06695
,,,2022-11-09 13:34:06.305,-0.20418,-0.06695
,,,2022-11-09 13:34:06.954,-0.241,-0.07029
,,,2022-11-09 13:34:07.611,-0.16067,-0.0636
,,,2022-11-09 13:34:08.288,-0.15397,-0.08368
,,,2022-11-09 13:34:08.943,-0.21088,-0.08368
,,,2022-11-09 13:34:09.587,-0.22092,-0.07699
,,,2022-11-09 13:34:10.254,-0.17071,-0.08703
,,,2022-11-09 13:34:10.908,-0.25774,-0.08033
,,,2022-11-09 13:34:11.563,-0.14393,-0.07029
,,,2022-11-09 13:34:12.228,-0.22427,-0.10042
,,,2022-11-09 13:34:12.886,-0.20418,-0.07029
,,,2022-11-09 13:34:13.535,-0.19749,-0.09038
,,,2022-11-09 13:34:14.186,-0.15397,-0.0569
,,,2022-11-09 13:34:14.832,-0.22092,-0.07364
,,,2022-11-09 13:34:15.482,-0.16067,-0.07699
,,,2022-11-09 13:34:16.156,-0.20084,-0.13054
,,,2022-11-09 13:34:16.818,-0.21423,-0.10711
,,,2022-11-09 13:34:17.464,-0.18745,-0.08368
,,,2022-11-09 13:34:18.135,-0.20418,-0.09038
,,,2022-11-09 13:34:18.817,-0.2477,-0.09038
,,,2022-11-09 13:34:19.468,-0.14059,-0.10042
,,,2022-11-09 13:34:20.128,-0.2477,-0.09372
,,,2022-11-09 13:34:20.800,-0.22427,-0.06695
,,,2022-11-09 13:34:21.450,-0.16067,-0.0569
,,,2022-11-09 13:34:22.099,-0.14728,-0.06695
,,,2022-11-09 13:34:22.798,-0.18745,-0.07364
,,,2022-11-09 13:34:23.451,-0.12385,-0.09038
