Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-11-09 16:19:11.474,-0.20418,-0.16736
Serial Number:,MY60101365,,2022-11-09 16:19:12.098,-0.24435,-0.10042
Firmware Version:,07.31.2020012900,,2022-11-09 16:19:12.729,-0.15732,-0.20753
Start Time:,2022-11-09 16:19:11.474,,2022-11-09 16:19:13.397,-0.15732,-0.21423
Stop Time:,2022-11-09 16:29:11.213,,2022-11-09 16:19:14.069,-0.27448,-0.19414
Sample Period:,0.5,,2022-11-09 16:19:14.731,-0.14728,-0.1205
,,,2022-11-09 16:19:15.386,-0.24435,-0.11715
,,,2022-11-09 16:19:16.050,-0.19079,-0.16736
,,,2022-11-09 16:19:16.699,-0.19749,-0.14393
,,,2022-11-09 16:19:17.352,-0.15397,-0.15397
,,,2022-11-09 16:19:18.009,-0.18745,-0.19079
,,,2022-11-09 16:19:18.660,-0.19749,-0.1841
,,,2022-11-09 16:19:19.304,-0.2477,-0.16402
,,,2022-11-09 16:19:19.958,-0.19079,-0.14393
,,,2022-11-09 16:19:20.610,-0.21757,-0.17071
,,,2022-11-09 16:19:21.288,-0.241,-0.21423
,,,2022-11-09 16:19:21.940,-0.22427,-0.12385
,,,2022-11-09 16:19:22.592,-0.23766,-0.20084
,,,2022-11-09 16:19:23.231,-0.21088,-0.16736
,,,2022-11-09 16:19:23.882,-0.31464,-0.16402
,,,2022-11-09 16:19:24.530,-0.19414,-0.14393
,,,2022-11-09 16:19:25.172,-0.14393,-0.15732
,,,2022-11-09 16:19:25.831,-0.20084,-0.11381
,,,2022-11-09 16:19:26.477,-0.20753,-0.20418
,,,2022-11-09 16:19:27.136,-0.19414,-0.14728
,,,2022-11-09 16:19:27.782,-0.21423,-0.10377
,,,2022-11-09 16:19:28.423,-0.17071,-0.19414
,,,2022-11-09 16:19:29.075,-0.16402,-0.1841
,,,2022-11-09 16:19:29.726,-0.24435,-0.16736
,,,2022-11-09 16:19:30.377,-0.14393,-0.1205
,,,2022-11-09 16:19:31.025,-0.15732,-0.1272
,,,2022-11-09 16:19:31.655,-0.22092,-0.14393
,,,2022-11-09 16:19:32.308,-0.20753,-0.17406
,,,2022-11-09 16:19:32.959,-0.24435,-0.21088
,,,2022-11-09 16:19:33.608,-0.13389,-0.1272
,,,2022-11-09 16:19:34.258,-0.14728,-0.13724
,,,2022-11-09 16:19:34.907,-0.13724,-0.11715
,,,2022-11-09 16:19:35.563,-0.25774,-0.14728
,,,2022-11-09 16:19:36.209,-0.15732,-0.15397
,,,2022-11-09 16:19:36.855,-0.22762,-0.13054
,,,2022-11-09 16:19:37.507,-0.19749,-0.16402
,,,2022-11-09 16:19:38.160,-0.21757,-0.14728
,,,2022-11-09 16:19:38.808,-0.23766,-0.15063
,,,2022-11-09 16:19:39.454,-0.23766,-0.13724
,,,2022-11-09 16:19:40.087,-0.19079,-0.19749
,,,2022-11-09 16:19:40.719,-0.18745,-0.12385
,,,2022-11-09 16:19:41.388,-0.27113,-0.15397
,,,2022-11-09 16:19:42.042,-0.21088,-0.18075
,,,2022-11-09 16:19:42.693,-0.1841,-0.19749
,,,2022-11-09 16:19:43.338,-0.17071,-0.10042
,,,2022-11-09 16:19:43.988,-0.14059,-0.13054
,,,2022-11-09 16:19:44.651,-0.13054,-0.14059
,,,2022-11-09 16:19:45.304,-0.19414,-0.1841
,,,2022-11-09 16:19:45.967,-0.25439,-0.21088
,,,2022-11-09 16:19:46.623,-0.13724,-0.10711
,,,2022-11-09 16:19:47.270,-0.20753,-0.17406
,,,2022-11-09 16:19:47.924,-0.14059,-0.17071
,,,2022-11-09 16:19:48.583,-0.21423,-0.17071
,,,2022-11-09 16:19:49.245,-0.15732,-0.20084
,,,2022-11-09 16:19:49.903,-0.27113,-0.15397
,,,2022-11-09 16:19:50.553,-0.19749,-0.14059
,,,2022-11-09 16:19:51.194,-0.25439,-0.15732
,,,2022-11-09 16:19:51.845,-0.23431,-0.13389
,,,2022-11-09 16:19:52.489,-0.23431,-0.14393
,,,2022-11-09 16:19:53.141,-0.21423,-0.15732
,,,2022-11-09 16:19:53.794,-0.16067,-0.16402
,,,2022-11-09 16:19:54.450,-0.17741,-0.13724
,,,2022-11-09 16:19:55.111,-0.23431,-0.09372
,,,2022-11-09 16:19:55.777,-0.19079,-0.14728
,,,2022-11-09 16:19:56.430,-0.25105,-0.17406
,,,2022-11-09 16:19:57.083,-0.26109,-0.15397
,,,2022-11-09 16:19:57.742,-0.14393,-0.07699
,,,2022-11-09 16:19:58.398,-0.15732,-0.17071
,,,2022-11-09 16:19:59.063,-0.241,-0.16736
,,,2022-11-09 16:19:59.716,-0.18745,-0.14393
,,,2022-11-09 16:20:00.370,-0.18745,-0.13724
,,,2022-11-09 16:20:01.028,-0.15397,-0.10711
,,,2022-11-09 16:20:01.699,-0.18075,-0.14728
,,,2022-11-09 16:20:02.348,-0.21423,-0.11046
,,,2022-11-09 16:20:03.008,-0.19079,-0.10711
,,,2022-11-09 16:20:03.669,-0.19079,-0.15397
,,,2022-11-09 16:20:04.299,-0.14393,-0.20753
,,,2022-11-09 16:20:04.955,-0.14393,-0.15397
,,,2022-11-09 16:20:05.615,-0.17406,-0.14728
,,,2022-11-09 16:20:06.270,-0.20084,-0.08368
,,,2022-11-09 16:20:06.924,-0.19414,-0.19749
,,,2022-11-09 16:20:07.580,-0.20084,-0.17741
,,,2022-11-09 16:20:08.242,-0.14393,-0.17071
,,,2022-11-09 16:20:08.896,-0.25105,-0.09372
,,,2022-11-09 16:20:09.547,-0.20084,-0.16067
,,,2022-11-09 16:20:10.204,-0.22092,-0.20418
,,,2022-11-09 16:20:10.861,-0.241,-0.1841
,,,2022-11-09 16:20:11.515,-0.20753,-0.10711
,,,2022-11-09 16:20:12.173,-0.26444,-0.09372
,,,2022-11-09 16:20:12.811,-0.22762,-0.16402
,,,2022-11-09 16:20:13.463,-0.18745,-0.14059
,,,2022-11-09 16:20:14.118,-0.25105,-0.17406
,,,2022-11-09 16:20:14.759,-0.16402,-0.13389
,,,2022-11-09 16:20:15.423,-0.241,-0.16067
,,,2022-11-09 16:20:16.083,-0.22092,-0.13724
,,,2022-11-09 16:20:16.745,-0.19749,-0.12385
,,,2022-11-09 16:20:17.390,-0.19079,-0.16067
,,,2022-11-09 16:20:18.036,-0.24435,-0.1205
,,,2022-11-09 16:20:18.702,-0.22427,-0.15732
,,,2022-11-09 16:20:19.360,-0.19079,-0.10711
,,,2022-11-09 16:20:20.014,-0.16067,-0.10377
,,,2022-11-09 16:20:20.676,-0.18745,-0.17741
,,,2022-11-09 16:20:21.345,-0.20084,-0.19079
,,,2022-11-09 16:20:22.003,-0.18075,-0.17741
,,,2022-11-09 16:20:22.656,-0.23766,-0.17741
,,,2022-11-09 16:20:23.347,-0.1841,-0.15732
,,,2022-11-09 16:20:24.008,-0.22092,-0.13389
,,,2022-11-09 16:20:24.668,-0.18075,-0.19414
,,,2022-11-09 16:20:25.320,-0.1841,-0.13724
,,,2022-11-09 16:20:25.978,-0.17741,-0.16736
,,,2022-11-09 16:20:26.638,-0.17406,-0.23766
,,,2022-11-09 16:20:27.305,-0.16736,-0.10377
,,,2022-11-09 16:20:27.967,-0.22092,-0.14728
,,,2022-11-09 16:20:28.640,-0.27113,-0.18075
,,,2022-11-09 16:20:29.309,-0.20753,-0.13054
,,,2022-11-09 16:20:29.969,-0.21423,-0.19414
,,,2022-11-09 16:20:30.631,-0.22427,-0.16067
,,,2022-11-09 16:20:31.273,-0.14393,-0.10377
,,,2022-11-09 16:20:31.932,-0.20084,-0.16736
,,,2022-11-09 16:20:32.602,-0.09038,-0.10377
,,,2022-11-09 16:20:33.259,-0.29121,-0.11381
,,,2022-11-09 16:20:33.907,-0.1205,-0.18075
,,,2022-11-09 16:20:34.583,-0.1841,-0.20084
,,,2022-11-09 16:20:35.240,-0.11381,-0.1205
,,,2022-11-09 16:20:35.900,-0.20418,-0.1205
,,,2022-11-09 16:20:36.561,-0.22092,-0.16736
,,,2022-11-09 16:20:37.220,-0.27448,-0.14059
,,,2022-11-09 16:20:37.880,-0.23431,-0.22762
,,,2022-11-09 16:20:38.547,-0.22427,-0.09707
,,,2022-11-09 16:20:39.201,-0.21088,-0.10377
,,,2022-11-09 16:20:39.863,-0.20084,-0.09372
,,,2022-11-09 16:20:40.519,-0.12385,-0.20084
,,,2022-11-09 16:20:41.181,-0.17071,-0.09707
,,,2022-11-09 16:20:41.837,-0.27782,-0.15397
,,,2022-11-09 16:20:42.497,-0.19079,-0.16402
,,,2022-11-09 16:20:43.163,-0.19749,-0.10711
,,,2022-11-09 16:20:43.835,-0.1841,-0.11715
,,,2022-11-09 16:20:44.494,-0.17406,-0.18745
,,,2022-11-09 16:20:45.163,-0.17741,-0.15397
,,,2022-11-09 16:20:45.830,-0.23431,-0.12385
,,,2022-11-09 16:20:46.488,-0.22092,-0.17741
,,,2022-11-09 16:20:47.147,-0.18745,-0.10711
,,,2022-11-09 16:20:47.817,-0.19414,-0.17071
,,,2022-11-09 16:20:48.471,-0.241,-0.13389
,,,2022-11-09 16:20:49.133,-0.19079,-0.14728
,,,2022-11-09 16:20:49.787,-0.20753,-0.14393
,,,2022-11-09 16:20:50.451,-0.22427,-0.15397
,,,2022-11-09 16:20:51.116,-0.18745,-0.1205
,,,2022-11-09 16:20:51.767,-0.21757,-0.12385
,,,2022-11-09 16:20:52.429,-0.23766,-0.16402
,,,2022-11-09 16:20:53.089,-0.25439,-0.12385
,,,2022-11-09 16:20:53.747,-0.19749,-0.09707
,,,2022-11-09 16:20:54.410,-0.1272,-0.13054
,,,2022-11-09 16:20:55.072,-0.2477,-0.14393
,,,2022-11-09 16:20:55.731,-0.15732,-0.10042
,,,2022-11-09 16:20:56.394,-0.19414,-0.19749
,,,2022-11-09 16:20:57.058,-0.19414,-0.1205
,,,2022-11-09 16:20:57.719,-0.25105,-0.10377
,,,2022-11-09 16:20:58.380,-0.18745,-0.16067
,,,2022-11-09 16:20:59.055,-0.22092,-0.14728
,,,2022-11-09 16:20:59.713,-0.17741,-0.20753
,,,2022-11-09 16:21:00.368,-0.22427,-0.15063
,,,2022-11-09 16:21:01.029,-0.19414,-0.14728
,,,2022-11-09 16:21:01.704,-0.19414,-0.14728
,,,2022-11-09 16:21:02.368,-0.22762,-0.16736
,,,2022-11-09 16:21:03.023,-0.14059,-0.14393
,,,2022-11-09 16:21:03.689,-0.26109,-0.13724
,,,2022-11-09 16:21:04.351,-0.17741,-0.14393
,,,2022-11-09 16:21:05.013,-0.17071,-0.16067
,,,2022-11-09 16:21:05.667,-0.23096,-0.16402
,,,2022-11-09 16:21:06.337,-0.21757,-0.09707
,,,2022-11-09 16:21:06.991,-0.1841,-0.16067
,,,2022-11-09 16:21:07.656,-0.01339,-0.06025
,,,2022-11-09 16:21:08.312,-0.21423,-0.14393
,,,2022-11-09 16:21:08.979,-0.20418,-0.16402
,,,2022-11-09 16:21:09.641,-0.19414,-0.18075
,,,2022-11-09 16:21:10.297,-0.23096,-0.16736
,,,2022-11-09 16:21:10.961,-0.22762,-0.17406
,,,2022-11-09 16:21:11.625,-0.23431,-0.08703
,,,2022-11-09 16:21:12.275,-0.18745,-0.10711
,,,2022-11-09 16:21:12.921,-0.24435,-0.14393
,,,2022-11-09 16:21:13.605,-0.21757,-0.16067
,,,2022-11-09 16:21:14.235,-0.21423,-0.21757
,,,2022-11-09 16:21:14.905,-0.22762,-0.17741
,,,2022-11-09 16:21:15.562,-0.13724,-0.14393
,,,2022-11-09 16:21:16.237,-0.19749,-0.20418
,,,2022-11-09 16:21:16.906,-0.17741,-0.14728
,,,2022-11-09 16:21:17.566,-0.18075,-0.17071
