Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-11-09 17:05:23.485,-0.26444,-0.13724
Serial Number:,MY60101365,,2022-11-09 17:05:24.109,-0.21423,-0.18075
Firmware Version:,07.31.2020012900,,2022-11-09 17:05:24.746,-0.30126,-0.13054
Start Time:,2022-11-09 17:05:23.485,,2022-11-09 17:05:25.429,-0.26778,-0.11715
Stop Time:,2022-11-09 17:15:23.069,,2022-11-09 17:05:26.109,-0.24435,-0.09038
Sample Period:,0.5,,2022-11-09 17:05:26.770,-0.38159,-0.17071
,,,2022-11-09 17:05:27.418,-0.35146,-0.16736
,,,2022-11-09 17:05:28.073,-0.25105,-0.10042
,,,2022-11-09 17:05:28.730,-0.31799,-0.13724
,,,2022-11-09 17:05:29.378,-0.33138,-0.11381
,,,2022-11-09 17:05:30.030,-0.2477,-0.1205
,,,2022-11-09 17:05:30.685,-0.32134,-0.11381
,,,2022-11-09 17:05:31.350,-0.27448,-0.11046
,,,2022-11-09 17:05:32.015,-0.25439,-0.20753
,,,2022-11-09 17:05:32.667,-0.2477,-0.07364
,,,2022-11-09 17:05:33.324,-0.23096,-0.13389
,,,2022-11-09 17:05:33.988,-0.38494,-0.11046
,,,2022-11-09 17:05:34.642,-0.31799,-0.21423
,,,2022-11-09 17:05:35.283,-0.36151,-0.17406
,,,2022-11-09 17:05:35.950,-0.29791,-0.17406
,,,2022-11-09 17:05:36.607,-0.33473,-0.1272
,,,2022-11-09 17:05:37.283,-0.32803,-0.16402
,,,2022-11-09 17:05:37.938,-0.39163,-0.13724
,,,2022-11-09 17:05:38.599,-0.28787,-0.13389
,,,2022-11-09 17:05:39.260,-0.28787,-0.15063
,,,2022-11-09 17:05:39.926,-0.25105,-0.09372
,,,2022-11-09 17:05:40.581,-0.37155,-0.09372
,,,2022-11-09 17:05:41.246,-0.28452,-0.16402
,,,2022-11-09 17:05:41.897,-0.20418,-0.10042
,,,2022-11-09 17:05:42.545,-0.35816,-0.10042
,,,2022-11-09 17:05:43.196,-0.35816,-0.13054
,,,2022-11-09 17:05:43.848,-0.26778,-0.17406
,,,2022-11-09 17:05:44.496,-0.31464,-0.19079
,,,2022-11-09 17:05:45.145,-0.29121,-0.22092
,,,2022-11-09 17:05:45.815,-0.24435,-0.1205
,,,2022-11-09 17:05:46.465,-0.21423,-0.13724
,,,2022-11-09 17:05:47.125,-0.29121,-0.10377
,,,2022-11-09 17:05:47.823,-0.19414,-0.11046
,,,2022-11-09 17:05:48.489,-0.29456,-0.11046
,,,2022-11-09 17:05:49.148,-0.31799,-0.14059
,,,2022-11-09 17:05:49.813,-0.25774,-0.1272
,,,2022-11-09 17:05:50.469,-0.25439,-0.1841
,,,2022-11-09 17:05:51.109,-0.29456,-0.09372
,,,2022-11-09 17:05:51.761,-0.25439,-0.17406
,,,2022-11-09 17:05:52.413,-0.26109,-0.14393
,,,2022-11-09 17:05:53.077,-0.25439,-0.08368
,,,2022-11-09 17:05:53.741,-0.27113,-0.10377
,,,2022-11-09 17:05:54.395,-0.30795,-0.1205
,,,2022-11-09 17:05:55.051,-0.25439,-0.13054
,,,2022-11-09 17:05:55.707,-0.31464,-0.11381
,,,2022-11-09 17:05:56.362,-0.27113,-0.13724
,,,2022-11-09 17:05:57.031,-0.28117,-0.15397
,,,2022-11-09 17:05:57.680,-0.27782,-0.15063
,,,2022-11-09 17:05:58.333,-0.26109,-0.13389
,,,2022-11-09 17:05:58.994,-0.2477,-0.14059
,,,2022-11-09 17:05:59.712,-0.28452,-0.14059
,,,2022-11-09 17:06:00.379,-0.26444,-0.15397
,,,2022-11-09 17:06:01.064,-0.26109,-0.15063
,,,2022-11-09 17:06:01.724,-0.33473,-0.14059
,,,2022-11-09 17:06:02.374,-0.28787,-0.16067
,,,2022-11-09 17:06:03.047,-0.27782,-0.1272
,,,2022-11-09 17:06:03.718,-0.3749,-0.11046
,,,2022-11-09 17:06:04.373,-0.25105,-0.08368
,,,2022-11-09 17:06:05.038,-0.31464,-0.11715
,,,2022-11-09 17:06:05.690,-0.3749,-0.13054
,,,2022-11-09 17:06:06.339,-0.23096,-0.06025
,,,2022-11-09 17:06:06.990,-0.33808,-0.10711
,,,2022-11-09 17:06:07.651,-0.25105,-0.10711
,,,2022-11-09 17:06:08.297,-0.36151,-0.1272
,,,2022-11-09 17:06:08.953,-0.01004,-0.0569
,,,2022-11-09 17:06:09.605,-0.3046,-0.09372
,,,2022-11-09 17:06:10.251,-0.32469,-0.18075
,,,2022-11-09 17:06:10.920,-0.33473,-0.13389
,,,2022-11-09 17:06:11.570,-0.25105,-0.14393
,,,2022-11-09 17:06:12.231,-0.241,-0.11715
,,,2022-11-09 17:06:12.882,-0.29456,-0.14059
,,,2022-11-09 17:06:13.532,-0.34812,-0.11381
,,,2022-11-09 17:06:14.201,-0.32134,-0.11715
,,,2022-11-09 17:06:14.854,-0.29121,-0.13389
,,,2022-11-09 17:06:15.507,-0.30126,-0.17406
,,,2022-11-09 17:06:16.170,-0.27113,-0.11715
,,,2022-11-09 17:06:16.832,-0.23096,-0.10711
,,,2022-11-09 17:06:17.495,-0.30126,-0.07364
,,,2022-11-09 17:06:18.149,-0.26778,-0.09707
,,,2022-11-09 17:06:18.802,-0.3113,-0.13724
,,,2022-11-09 17:06:19.454,-0.241,-0.09372
,,,2022-11-09 17:06:20.115,-0.31464,-0.08703
,,,2022-11-09 17:06:20.772,-0.32134,-0.07029
,,,2022-11-09 17:06:21.429,-0.24435,-0.15397
,,,2022-11-09 17:06:22.089,-0.32469,-0.16402
,,,2022-11-09 17:06:22.750,-0.27782,-0.13724
,,,2022-11-09 17:06:23.406,-0.37155,-0.14059
,,,2022-11-09 17:06:24.065,-0.3749,-0.10377
,,,2022-11-09 17:06:24.722,-0.30795,-0.16402
,,,2022-11-09 17:06:25.366,-0.23096,-0.11381
,,,2022-11-09 17:06:26.023,-0.22427,-0.09707
,,,2022-11-09 17:06:26.684,-0.28452,-0.09372
,,,2022-11-09 17:06:27.330,-0.20418,-0.09372
,,,2022-11-09 17:06:27.988,-0.3113,-0.1841
,,,2022-11-09 17:06:28.647,-0.24435,-0.13054
,,,2022-11-09 17:06:29.310,-0.28787,-0.12385
,,,2022-11-09 17:06:29.965,-0.35816,-0.09372
,,,2022-11-09 17:06:30.625,-0.26109,-0.20084
,,,2022-11-09 17:06:31.281,-0.32134,-0.08368
,,,2022-11-09 17:06:31.936,-0.33473,-0.13389
,,,2022-11-09 17:06:32.597,-0.27448,-0.15063
,,,2022-11-09 17:06:33.246,-0.29456,-0.13054
,,,2022-11-09 17:06:33.910,-0.31799,-0.09707
,,,2022-11-09 17:06:34.579,-0.31799,-0.10377
,,,2022-11-09 17:06:35.234,-0.2477,-0.10042
,,,2022-11-09 17:06:35.893,-0.33138,-0.13389
,,,2022-11-09 17:06:36.555,-0.32803,-0.10711
,,,2022-11-09 17:06:37.213,-0.31464,-0.09038
,,,2022-11-09 17:06:37.871,-0.34477,-0.18075
,,,2022-11-09 17:06:38.535,-0.28117,-0.14393
,,,2022-11-09 17:06:39.191,-0.35816,-0.15732
,,,2022-11-09 17:06:39.851,-0.26109,-0.08703
,,,2022-11-09 17:06:40.508,-0.29456,-0.1272
,,,2022-11-09 17:06:41.191,-0.33473,-0.09372
