Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-11-14 15:25:09.239,-0.19414,-0.28117
Serial Number:,MY60101365,,2022-11-14 15:25:09.738,-0.16067,-0.30126
Firmware Version:,07.31.2020012900,,2022-11-14 15:25:10.239,-0.19414,-0.26778
Start Time:,2022-11-14 15:25:09.239,,2022-11-14 15:25:10.739,-0.26109,-0.26778
Stop Time:,2022-11-14 15:35:09.237,,2022-11-14 15:25:11.237,-0.09372,-0.241
Sample Period:,0.5,,2022-11-14 15:25:11.737,-0.18745,-0.29456
,,,2022-11-14 15:25:12.238,-0.1272,-0.33473
,,,2022-11-14 15:25:12.738,-0.1272,-0.2477
,,,2022-11-14 15:25:13.238,-0.14059,-0.2477
,,,2022-11-14 15:25:13.739,-0.16067,-0.30126
,,,2022-11-14 15:25:14.239,-0.14728,-0.32134
,,,2022-11-14 15:25:14.738,-0.15397,-0.3682
,,,2022-11-14 15:25:15.239,-0.21423,-0.30795
,,,2022-11-14 15:25:15.738,-0.16736,-0.2477
,,,2022-11-14 15:25:16.239,-0.14059,-0.28117
,,,2022-11-14 15:25:16.738,-0.20753,-0.2477
,,,2022-11-14 15:25:17.244,-0.18075,-0.2477
,,,2022-11-14 15:25:17.739,-0.16067,-0.26109
,,,2022-11-14 15:25:18.239,-0.16736,-0.25439
,,,2022-11-14 15:25:18.739,-0.14059,-0.30795
,,,2022-11-14 15:25:19.238,-0.16736,-0.26109
,,,2022-11-14 15:25:19.739,-0.18075,-0.26778
,,,2022-11-14 15:25:20.239,-0.13389,-0.32803
,,,2022-11-14 15:25:20.739,-0.18745,-0.27448
,,,2022-11-14 15:25:21.241,-0.20753,-0.2477
,,,2022-11-14 15:25:21.738,-0.1205,-0.25439
,,,2022-11-14 15:25:22.241,-0.20084,-0.2477
,,,2022-11-14 15:25:22.738,-0.17406,-0.22762
,,,2022-11-14 15:25:23.242,-0.21423,-0.25439
,,,2022-11-14 15:25:23.739,-0.19414,-0.32134
,,,2022-11-14 15:25:24.241,-0.08703,-0.25439
,,,2022-11-14 15:25:24.738,-0.18075,-0.23431
,,,2022-11-14 15:25:25.238,-0.16736,-0.241
,,,2022-11-14 15:25:25.739,-0.16736,-0.22762
,,,2022-11-14 15:25:26.240,-0.16736,-0.30126
,,,2022-11-14 15:25:26.739,-0.14059,-0.30126
,,,2022-11-14 15:25:27.241,-0.18745,-0.27448
,,,2022-11-14 15:25:27.739,-0.15397,-0.26109
,,,2022-11-14 15:25:28.239,-0.15397,-0.25439
,,,2022-11-14 15:25:28.739,-0.16736,-0.28117
,,,2022-11-14 15:25:29.239,-0.19414,-0.27448
,,,2022-11-14 15:25:29.739,-0.14059,-0.30795
,,,2022-11-14 15:25:30.238,-0.14059,-0.33473
,,,2022-11-14 15:25:30.739,-0.14059,-0.22762
,,,2022-11-14 15:25:31.238,-0.20084,-0.22762
,,,2022-11-14 15:25:31.738,-0.10042,-0.32803
,,,2022-11-14 15:25:32.239,-0.16067,-0.25439
,,,2022-11-14 15:25:32.739,-0.18745,-0.22762
,,,2022-11-14 15:25:33.240,-0.20753,-0.27448
,,,2022-11-14 15:25:33.738,-0.17406,-0.26778
