Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-11-15 10:31:11.191,-0.22762,-0.11381
Serial Number:,MY60101365,,2022-11-15 10:31:11.687,-0.19414,-0.1272
Firmware Version:,07.31.2020012900,,2022-11-15 10:31:12.186,-0.23431,-0.14728
Start Time:,2022-11-15 10:31:11.191,,2022-11-15 10:31:12.686,-0.241,-0.13389
Stop Time:,2022-11-15 10:41:11.185,,2022-11-15 10:31:13.186,-0.20753,-0.1205
Sample Period:,0.5,,2022-11-15 10:31:13.686,-0.26109,-0.1205
,,,2022-11-15 10:31:14.186,-0.22092,-0.16736
,,,2022-11-15 10:31:14.685,-0.30795,-0.16736
,,,2022-11-15 10:31:15.186,-0.28787,-0.13389
,,,2022-11-15 10:31:15.686,-0.22092,-0.16736
,,,2022-11-15 10:31:16.186,-0.26109,-0.19414
,,,2022-11-15 10:31:16.686,-0.25439,-0.1272
,,,2022-11-15 10:31:17.185,-0.28117,-0.18075
,,,2022-11-15 10:31:17.684,-0.16067,-0.14059
,,,2022-11-15 10:31:18.184,-0.32803,-0.15397
,,,2022-11-15 10:31:18.685,-0.21423,-0.13389
,,,2022-11-15 10:31:19.185,-0.29456,-0.14728
,,,2022-11-15 10:31:19.686,-0.31464,-0.16736
,,,2022-11-15 10:31:20.186,-0.23431,-0.16067
,,,2022-11-15 10:31:20.686,-0.28787,-0.11381
,,,2022-11-15 10:31:21.184,-0.19414,-0.1272
,,,2022-11-15 10:31:21.685,-0.31464,-0.11381
,,,2022-11-15 10:31:22.185,-0.2477,-0.17406
,,,2022-11-15 10:31:22.684,-0.26778,-0.13389
,,,2022-11-15 10:31:23.185,-0.20084,-0.14728
,,,2022-11-15 10:31:23.686,-0.27448,-0.15397
,,,2022-11-15 10:31:24.186,-0.2477,-0.17406
,,,2022-11-15 10:31:24.686,-0.20753,-0.1272
,,,2022-11-15 10:31:25.186,-0.241,-0.13389
,,,2022-11-15 10:31:25.686,-0.32134,-0.15397
,,,2022-11-15 10:31:26.186,-0.32803,-0.11381
,,,2022-11-15 10:31:26.686,-0.23431,-0.14728
,,,2022-11-15 10:31:27.186,-0.32134,-0.1205
,,,2022-11-15 10:31:27.686,-0.26109,-0.14728
,,,2022-11-15 10:31:28.186,-0.20753,-0.1205
,,,2022-11-15 10:31:28.685,-0.28787,-0.15397
,,,2022-11-15 10:31:29.185,-0.3749,-0.14059
,,,2022-11-15 10:31:29.685,-0.32134,-0.14059
,,,2022-11-15 10:31:30.185,-0.27448,-0.17406
,,,2022-11-15 10:31:30.685,-0.20753,-0.1205
,,,2022-11-15 10:31:31.185,-0.26109,-0.13389
,,,2022-11-15 10:31:31.685,-0.32803,-0.1272
,,,2022-11-15 10:31:32.187,-0.32134,-0.1272
,,,2022-11-15 10:31:32.686,-0.32803,-0.16736
,,,2022-11-15 10:31:33.185,-0.21423,-0.14059
