Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-11-15 11:07:09.375,-0.32134,-0.11381
Serial Number:,MY60101365,,2022-11-15 11:07:09.876,-0.34142,-0.15397
Firmware Version:,07.31.2020012900,,2022-11-15 11:07:10.377,-0.34142,-0.15397
Start Time:,2022-11-15 11:07:09.375,,2022-11-15 11:07:10.874,-0.30126,-0.09372
Stop Time:,2022-11-15 11:17:09.375,,2022-11-15 11:07:11.374,-0.26109,-0.10042
Sample Period:,0.5,,2022-11-15 11:07:11.874,-0.241,-0.10711
,,,2022-11-15 11:07:12.375,-0.30126,-0.1272
,,,2022-11-15 11:07:12.875,-0.36151,-0.1205
,,,2022-11-15 11:07:13.375,-0.3749,-0.10042
,,,2022-11-15 11:07:13.876,-0.26778,-0.1205
,,,2022-11-15 11:07:14.376,-0.20753,-0.17406
,,,2022-11-15 11:07:14.876,-0.35481,-0.1272
,,,2022-11-15 11:07:15.376,-0.22092,-0.1272
,,,2022-11-15 11:07:15.876,-0.29456,-0.11381
,,,2022-11-15 11:07:16.375,-0.34142,-0.15397
,,,2022-11-15 11:07:16.876,-0.28117,-0.10042
,,,2022-11-15 11:07:17.375,-0.241,-0.13389
,,,2022-11-15 11:07:17.875,-0.34812,-0.10042
,,,2022-11-15 11:07:18.376,-0.39498,-0.10042
,,,2022-11-15 11:07:18.876,-0.3682,-0.13389
,,,2022-11-15 11:07:19.376,-0.29456,-0.1272
,,,2022-11-15 11:07:19.876,-0.29456,-0.14059
,,,2022-11-15 11:07:20.376,-0.28787,-0.11381
,,,2022-11-15 11:07:20.875,-0.44184,-0.13389
,,,2022-11-15 11:07:21.375,-0.34142,-0.08703
,,,2022-11-15 11:07:21.875,-0.28787,-0.10711
,,,2022-11-15 11:07:22.375,-0.32803,-0.15397
,,,2022-11-15 11:07:22.876,-0.38159,-0.08703
,,,2022-11-15 11:07:23.375,-0.31464,-0.10711
,,,2022-11-15 11:07:23.875,-0.33473,-0.08703
,,,2022-11-15 11:07:24.376,-0.30126,-0.15397
,,,2022-11-15 11:07:24.877,-0.29456,-0.1272
,,,2022-11-15 11:07:25.377,-0.32134,-0.14059
,,,2022-11-15 11:07:25.876,-0.38159,-0.1205
,,,2022-11-15 11:07:26.375,-0.25439,-0.09372
,,,2022-11-15 11:07:26.876,-0.21423,-0.10711
,,,2022-11-15 11:07:27.375,-0.32803,-0.1272
,,,2022-11-15 11:07:27.875,-0.38159,-0.13389
,,,2022-11-15 11:07:28.375,-0.28787,-0.16067
,,,2022-11-15 11:07:28.875,-0.34142,-0.10042
,,,2022-11-15 11:07:29.376,-0.241,-0.1205
,,,2022-11-15 11:07:29.875,-0.34812,-0.16736
,,,2022-11-15 11:07:30.376,-0.35481,-0.10711
,,,2022-11-15 11:07:30.876,-0.25439,-0.14059
,,,2022-11-15 11:07:31.375,-0.241,-0.09372
,,,2022-11-15 11:07:31.876,-0.26778,-0.09372
,,,2022-11-15 11:07:32.376,-0.34812,-0.11381
,,,2022-11-15 11:07:32.874,-0.32803,-0.17406
,,,2022-11-15 11:07:33.374,-0.26109,-0.10711
,,,2022-11-15 11:07:33.874,-0.28117,-0.13389
,,,2022-11-15 11:07:34.374,-0.26778,-0.1205
,,,2022-11-15 11:07:34.875,-0.30795,-0.10711
,,,2022-11-15 11:07:35.376,-0.27448,-0.11381
,,,2022-11-15 11:07:35.876,-0.31464,-0.1205
,,,2022-11-15 11:07:36.376,-0.32134,-0.09372
,,,2022-11-15 11:07:36.876,-0.38828,-0.19414
,,,2022-11-15 11:07:37.377,-0.40167,-0.10711
,,,2022-11-15 11:07:37.877,-0.30126,-0.14059
,,,2022-11-15 11:07:38.375,-0.3682,-0.14728
,,,2022-11-15 11:07:38.876,-0.31464,-0.1205
,,,2022-11-15 11:07:39.377,-0.31464,-0.1205
,,,2022-11-15 11:07:39.876,-0.35481,-0.16067
,,,2022-11-15 11:07:40.375,-0.23431,-0.10042
,,,2022-11-15 11:07:40.875,-0.22762,-0.10711
,,,2022-11-15 11:07:41.376,-0.39498,-0.1205
,,,2022-11-15 11:07:41.876,-0.34142,-0.14728
,,,2022-11-15 11:07:42.376,-0.29456,-0.1272
,,,2022-11-15 11:07:42.875,-0.32803,-0.14728
,,,2022-11-15 11:07:43.375,-0.29456,-0.09372
,,,2022-11-15 11:07:43.876,-0.32134,-0.1272
,,,2022-11-15 11:07:44.377,-0.34142,-0.11381
,,,2022-11-15 11:07:44.875,-0.34812,-0.10042
,,,2022-11-15 11:07:45.377,-0.32803,-0.13389
,,,2022-11-15 11:07:45.877,-0.42176,-0.10042
,,,2022-11-15 11:07:46.376,-0.28117,-0.15397
,,,2022-11-15 11:07:46.876,-0.25439,-0.10711
,,,2022-11-15 11:07:47.375,-0.30126,-0.14728
,,,2022-11-15 11:07:47.876,-0.26109,-0.14728
,,,2022-11-15 11:07:48.376,-0.241,-0.15397
,,,2022-11-15 11:07:48.876,-0.29456,-0.10711
,,,2022-11-15 11:07:49.375,-0.31464,-0.13389
,,,2022-11-15 11:07:49.876,-0.28787,-0.1205
,,,2022-11-15 11:07:50.376,-0.30126,-0.14059
,,,2022-11-15 11:07:50.876,-0.30126,-0.16736
,,,2022-11-15 11:07:51.376,-0.28787,-0.08703
,,,2022-11-15 11:07:51.877,-0.30126,-0.10042
,,,2022-11-15 11:07:52.376,-0.31464,-0.10042
,,,2022-11-15 11:07:52.874,-0.29456,-0.1272
,,,2022-11-15 11:07:53.375,-0.27448,-0.1205
,,,2022-11-15 11:07:53.876,-0.34142,-0.1205
,,,2022-11-15 11:07:54.377,-0.34142,-0.11381
,,,2022-11-15 11:07:54.877,-0.3682,-0.15397
,,,2022-11-15 11:07:55.375,-0.31464,-0.10042
,,,2022-11-15 11:07:55.875,-0.26109,-0.16067
,,,2022-11-15 11:07:56.376,-0.32134,-0.10042
,,,2022-11-15 11:07:56.876,-0.42845,-0.14728
,,,2022-11-15 11:07:57.376,-0.241,-0.14059
,,,2022-11-15 11:07:57.876,-0.26778,-0.1205
,,,2022-11-15 11:07:58.375,-0.30126,-0.13389
,,,2022-11-15 11:07:58.875,-0.38159,-0.13389
,,,2022-11-15 11:07:59.375,-0.30126,-0.14728
,,,2022-11-15 11:07:59.875,-0.25439,-0.10711
,,,2022-11-15 11:08:00.376,-0.28117,-0.1272
,,,2022-11-15 11:08:00.875,-0.30126,-0.10042
,,,2022-11-15 11:08:01.376,-0.35481,-0.14059
,,,2022-11-15 11:08:01.875,-0.40837,-0.10042
,,,2022-11-15 11:08:02.375,-0.41506,-0.14059
,,,2022-11-15 11:08:02.875,-0.33473,-0.13389
,,,2022-11-15 11:08:03.375,-0.42176,-0.20753
,,,2022-11-15 11:08:03.876,-0.32134,-0.13389
,,,2022-11-15 11:08:04.375,-0.32803,-0.14059
,,,2022-11-15 11:08:04.875,-0.3682,-0.13389
,,,2022-11-15 11:08:05.375,-0.241,-0.10042
,,,2022-11-15 11:08:05.875,-0.20084,-0.14059
,,,2022-11-15 11:08:06.374,-0.32134,-0.09372
,,,2022-11-15 11:08:06.875,-0.25439,-0.16736
,,,2022-11-15 11:08:07.376,-0.2477,-0.11381
,,,2022-11-15 11:08:07.876,-0.30795,-0.15397
,,,2022-11-15 11:08:08.375,-0.28117,-0.13389
,,,2022-11-15 11:08:08.875,-0.23431,-0.15397
,,,2022-11-15 11:08:09.377,-0.241,-0.13389
,,,2022-11-15 11:08:09.875,-0.29456,-0.13389
,,,2022-11-15 11:08:10.376,-0.26109,-0.10042
,,,2022-11-15 11:08:10.877,-0.34142,-0.17406
,,,2022-11-15 11:08:11.375,-0.35481,-0.09372
,,,2022-11-15 11:08:11.876,-0.31464,-0.09372
,,,2022-11-15 11:08:12.376,-0.32803,-0.10711
,,,2022-11-15 11:08:12.876,-0.20753,-0.15397
,,,2022-11-15 11:08:13.375,-0.28117,-0.1205
,,,2022-11-15 11:08:13.876,-0.26778,-0.1272
,,,2022-11-15 11:08:14.376,-0.32803,-0.1205
,,,2022-11-15 11:08:14.875,-0.32803,-0.08703
,,,2022-11-15 11:08:15.375,-0.32134,-0.10042
,,,2022-11-15 11:08:15.875,-0.30795,-0.1272
,,,2022-11-15 11:08:16.374,-0.26778,-0.13389
,,,2022-11-15 11:08:16.876,-0.32134,-0.11381
,,,2022-11-15 11:08:17.377,-0.3749,-0.10711
,,,2022-11-15 11:08:17.876,-0.33473,-0.18075
,,,2022-11-15 11:08:18.375,-0.32134,-0.10042
,,,2022-11-15 11:08:18.875,-0.26778,-0.1205
,,,2022-11-15 11:08:19.374,-0.32803,-0.11381
,,,2022-11-15 11:08:19.874,-0.34142,-0.11381
,,,2022-11-15 11:08:20.374,-0.30126,-0.13389
,,,2022-11-15 11:08:20.875,-0.22092,-0.09372
,,,2022-11-15 11:08:21.375,-0.3682,-0.09372
,,,2022-11-15 11:08:21.875,-0.34142,-0.08703
,,,2022-11-15 11:08:22.374,-0.30126,-0.13389
,,,2022-11-15 11:08:22.875,-0.30126,-0.1272
,,,2022-11-15 11:08:23.375,-0.32803,-0.13389
,,,2022-11-15 11:08:23.875,-0.28117,-0.1272
,,,2022-11-15 11:08:24.375,-0.30126,-0.10042
,,,2022-11-15 11:08:24.875,-0.35481,-0.08703
,,,2022-11-15 11:08:25.375,-0.32803,-0.1205
,,,2022-11-15 11:08:25.875,-0.41506,-0.13389
,,,2022-11-15 11:08:26.374,-0.40837,-0.16067
,,,2022-11-15 11:08:26.876,-0.26109,-0.09372
,,,2022-11-15 11:08:27.376,-0.36151,-0.16736
,,,2022-11-15 11:08:27.875,-0.4954,-0.15397
,,,2022-11-15 11:08:28.376,-0.3749,-0.11381
,,,2022-11-15 11:08:28.876,-0.34142,-0.1272
,,,2022-11-15 11:08:29.375,-0.3749,-0.11381
,,,2022-11-15 11:08:29.875,-0.28787,-0.16736
,,,2022-11-15 11:08:30.376,-0.241,-0.08033
,,,2022-11-15 11:08:30.875,-0.33473,-0.10711
,,,2022-11-15 11:08:31.376,-0.39498,-0.1272
,,,2022-11-15 11:08:31.875,-0.27448,-0.1205
,,,2022-11-15 11:08:32.375,-0.28117,-0.11381
,,,2022-11-15 11:08:32.876,-0.26109,-0.1205
,,,2022-11-15 11:08:33.378,-0.28787,-0.13389
,,,2022-11-15 11:08:33.876,-0.30126,-0.16736
,,,2022-11-15 11:08:34.376,-0.42176,-0.10711
,,,2022-11-15 11:08:34.875,-0.28787,-0.14059
,,,2022-11-15 11:08:35.376,-0.21423,-0.08703
,,,2022-11-15 11:08:35.875,-0.28117,-0.13389
,,,2022-11-15 11:08:36.375,-0.34142,-0.14059
,,,2022-11-15 11:08:36.875,-0.32803,-0.14059
,,,2022-11-15 11:08:37.376,-0.25439,-0.10711
,,,2022-11-15 11:08:37.877,-0.34812,-0.14728
,,,2022-11-15 11:08:38.377,-0.29456,-0.1272
,,,2022-11-15 11:08:38.876,-0.3749,-0.08033
,,,2022-11-15 11:08:39.375,-0.42176,-0.15397
,,,2022-11-15 11:08:39.874,-0.33473,-0.14728
,,,2022-11-15 11:08:40.375,-0.3682,-0.10711
,,,2022-11-15 11:08:40.875,-0.241,-0.1205
,,,2022-11-15 11:08:41.375,-0.33473,-0.14728
,,,2022-11-15 11:08:41.876,-0.41506,-0.18075
,,,2022-11-15 11:08:42.377,-0.30795,-0.11381
,,,2022-11-15 11:08:42.875,-0.28787,-0.1205
,,,2022-11-15 11:08:43.375,-0.3682,-0.1205
,,,2022-11-15 11:08:43.876,-0.28787,-0.14728
,,,2022-11-15 11:08:44.377,-0.35481,-0.18075
,,,2022-11-15 11:08:44.876,-0.2477,-0.11381
,,,2022-11-15 11:08:45.377,-0.32134,-0.10042
,,,2022-11-15 11:08:45.876,-0.30795,-0.18745
,,,2022-11-15 11:08:46.375,-0.34812,-0.14728
,,,2022-11-15 11:08:46.875,-0.32803,-0.22092
,,,2022-11-15 11:08:47.375,-0.34812,-0.10711
,,,2022-11-15 11:08:47.876,-0.2477,-0.09372
,,,2022-11-15 11:08:48.376,-0.29456,-0.1272
,,,2022-11-15 11:08:48.877,-0.32134,-0.1205
,,,2022-11-15 11:08:49.376,-0.42176,-0.16736
,,,2022-11-15 11:08:49.875,-0.32803,-0.1272
,,,2022-11-15 11:08:50.376,-0.44854,-0.14059
,,,2022-11-15 11:08:50.875,-0.31464,-0.1272
,,,2022-11-15 11:08:51.376,-0.36151,-0.09372
,,,2022-11-15 11:08:51.875,-0.3682,-0.11381
,,,2022-11-15 11:08:52.375,-0.32803,-0.10711
,,,2022-11-15 11:08:52.875,-0.32134,-0.1272
,,,2022-11-15 11:08:53.375,-0.35481,-0.14728
,,,2022-11-15 11:08:53.875,-0.35481,-0.14728
,,,2022-11-15 11:08:54.376,-0.26778,-0.14728
,,,2022-11-15 11:08:54.877,-0.26109,-0.1205
,,,2022-11-15 11:08:55.376,-0.32803,-0.13389
,,,2022-11-15 11:08:55.876,-0.32803,-0.09372
,,,2022-11-15 11:08:56.376,-0.34142,-0.15397
,,,2022-11-15 11:08:56.875,-0.29456,-0.10711
,,,2022-11-15 11:08:57.375,-0.3682,-0.10711
,,,2022-11-15 11:08:57.876,-0.32134,-0.1272
,,,2022-11-15 11:08:58.375,-0.32803,-0.09372
,,,2022-11-15 11:08:58.875,-0.31464,-0.1205
,,,2022-11-15 11:08:59.375,-0.30795,-0.15397
,,,2022-11-15 11:08:59.876,-0.26109,-0.17406
,,,2022-11-15 11:09:00.376,-0.30126,-0.08703
,,,2022-11-15 11:09:00.875,-0.3682,-0.1205
,,,2022-11-15 11:09:01.376,-0.28787,-0.14728
,,,2022-11-15 11:09:01.876,-0.31464,-0.14059
,,,2022-11-15 11:09:02.375,-0.32134,-0.14059
,,,2022-11-15 11:09:02.875,-0.22762,-0.09372
,,,2022-11-15 11:09:03.375,-0.32134,-0.14059
,,,2022-11-15 11:09:03.875,-0.36151,-0.1272
,,,2022-11-15 11:09:04.374,-0.34142,-0.10711
,,,2022-11-15 11:09:04.875,-0.34142,-0.09372
,,,2022-11-15 11:09:05.376,-0.38159,-0.13389
,,,2022-11-15 11:09:05.876,-0.25439,-0.11381
,,,2022-11-15 11:09:06.375,-0.28117,-0.16067
,,,2022-11-15 11:09:06.874,-0.30126,-0.1272
,,,2022-11-15 11:09:07.374,-0.33473,-0.1205
,,,2022-11-15 11:09:07.874,-0.32134,-0.1205
,,,2022-11-15 11:09:08.374,-0.39498,-0.14728
,,,2022-11-15 11:09:08.875,-0.38159,-0.10711
,,,2022-11-15 11:09:09.375,-0.33473,-0.13389
,,,2022-11-15 11:09:09.877,-0.28787,-0.17406
,,,2022-11-15 11:09:10.376,-0.32134,-0.11381
,,,2022-11-15 11:09:10.876,-0.38159,-0.14728
,,,2022-11-15 11:09:11.375,-0.33473,-0.08033
,,,2022-11-15 11:09:11.875,-0.23431,-0.1205
,,,2022-11-15 11:09:12.375,-0.30795,-0.18745
,,,2022-11-15 11:09:12.875,-0.35481,-0.10042
,,,2022-11-15 11:09:13.375,-0.28117,-0.08703
,,,2022-11-15 11:09:13.875,-0.40837,-0.1272
,,,2022-11-15 11:09:14.376,-0.44854,-0.08703
,,,2022-11-15 11:09:14.875,-0.36151,-0.09372
,,,2022-11-15 11:09:15.376,-0.30795,-0.13389
,,,2022-11-15 11:09:15.875,-0.30126,-0.10042
,,,2022-11-15 11:09:16.376,-0.34142,-0.10711
