Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-11-10 15:56:36.452,-0.02008,-0.18075
Serial Number:,MY60101365,,2022-11-10 15:56:36.952,-0.11381,-0.21757
Firmware Version:,07.31.2020012900,,2022-11-10 15:56:37.453,-0.05356,-0.19414
Start Time:,2022-11-10 15:56:36.452,,2022-11-10 15:56:37.953,-0.05021,-0.11381
Stop Time:,2022-11-10 16:06:36.453,,2022-11-10 15:56:38.452,-0.10042,-0.16067
Sample Period:,0.5,,2022-11-10 15:56:38.953,-0.08703,-0.16402
,,,2022-11-10 15:56:39.452,-0.07364,-0.15397
,,,2022-11-10 15:56:39.951,-0.07699,-0.1272
,,,2022-11-10 15:56:40.451,-0.14728,-0.17406
,,,2022-11-10 15:56:40.952,-0.09707,-0.15397
,,,2022-11-10 15:56:41.453,-0.10711,-0.18075
,,,2022-11-10 15:56:41.952,-0.07029,-0.30795
,,,2022-11-10 15:56:42.453,-0.04017,-0.14728
,,,2022-11-10 15:56:42.952,-0.04351,-0.08703
,,,2022-11-10 15:56:43.453,-0.04351,-0.19079
,,,2022-11-10 15:56:43.952,-0.1205,-0.16736
,,,2022-11-10 15:56:44.452,-0.06695,-0.10377
,,,2022-11-10 15:56:44.952,-0.08033,-0.21423
,,,2022-11-10 15:56:45.453,-0.06695,-0.15063
,,,2022-11-10 15:56:45.952,-0.0636,-0.20753
,,,2022-11-10 15:56:46.453,-0.13389,-0.15063
,,,2022-11-10 15:56:46.952,-0.04017,-0.15063
,,,2022-11-10 15:56:47.452,-0.11381,-0.19079
,,,2022-11-10 15:56:47.954,-0.09038,-0.16736
,,,2022-11-10 15:56:48.453,-0.06025,-0.20084
,,,2022-11-10 15:56:48.954,-0.0636,-0.15732
,,,2022-11-10 15:56:49.452,-0.08033,-0.16736
,,,2022-11-10 15:56:49.953,-0.11715,-0.20753
,,,2022-11-10 15:56:50.451,-0.10377,-0.21088
,,,2022-11-10 15:56:50.953,-0.06025,-0.13724
,,,2022-11-10 15:56:51.455,-0.05021,-0.21088
,,,2022-11-10 15:56:51.953,-0.06025,-0.14728
,,,2022-11-10 15:56:52.454,-0.09372,-0.15063
,,,2022-11-10 15:56:52.953,-0.08703,-0.17071
,,,2022-11-10 15:56:53.452,-0.05021,-0.14059
,,,2022-11-10 15:56:53.953,-0.06025,-0.20418
,,,2022-11-10 15:56:54.453,-0.11046,-0.17071
,,,2022-11-10 15:56:54.954,-0.07699,-0.18075
,,,2022-11-10 15:56:55.452,-0.10042,-0.13724
,,,2022-11-10 15:56:55.952,-0.06695,-0.17071
,,,2022-11-10 15:56:56.453,-0.1205,-0.17406
,,,2022-11-10 15:56:56.952,-0.08368,-0.17406
,,,2022-11-10 15:56:57.453,-0.11715,-0.18075
,,,2022-11-10 15:56:57.953,-0.11715,-0.17406
,,,2022-11-10 15:56:58.452,-0.11046,-0.19079
,,,2022-11-10 15:56:58.951,-0.03682,-0.17406
,,,2022-11-10 15:56:59.452,-0.07364,-0.16067
,,,2022-11-10 15:56:59.953,-0.06695,-0.21757
,,,2022-11-10 15:57:00.452,-0.07364,-0.13054
,,,2022-11-10 15:57:00.953,-0.0636,-0.20753
,,,2022-11-10 15:57:01.452,-0.07029,-0.20084
,,,2022-11-10 15:57:01.952,-0.11381,-0.15732
,,,2022-11-10 15:57:02.452,-0.06025,-0.09707
,,,2022-11-10 15:57:02.952,-0.04686,-0.09707
,,,2022-11-10 15:57:03.452,-0.11715,-0.1841
,,,2022-11-10 15:57:03.953,-0.07029,-0.21757
,,,2022-11-10 15:57:04.451,-0.08033,-0.11715
,,,2022-11-10 15:57:04.953,-0.07029,-0.20084
,,,2022-11-10 15:57:05.453,-0.08033,-0.14059
,,,2022-11-10 15:57:05.953,-0.01339,-0.06025
,,,2022-11-10 15:57:06.452,-0.09038,-0.17406
,,,2022-11-10 15:57:06.952,-0.06025,-0.15397
,,,2022-11-10 15:57:07.452,-0.0636,-0.14728
,,,2022-11-10 15:57:07.952,-0.11381,-0.17071
,,,2022-11-10 15:57:08.452,-0.08703,-0.14059
,,,2022-11-10 15:57:08.952,-0.10377,-0.19414
,,,2022-11-10 15:57:09.452,-0.06025,-0.1841
,,,2022-11-10 15:57:09.953,-0.07699,-0.21088
,,,2022-11-10 15:57:10.452,-0.06025,-0.15732
,,,2022-11-10 15:57:10.952,-0.10711,-0.15732
,,,2022-11-10 15:57:11.453,-0.09372,-0.20418
,,,2022-11-10 15:57:11.952,-0.09372,-0.1272
,,,2022-11-10 15:57:12.453,-0.09038,-0.20753
,,,2022-11-10 15:57:12.952,-0.06695,-0.18745
,,,2022-11-10 15:57:13.452,-0.09038,-0.20084
,,,2022-11-10 15:57:13.952,-0.07699,-0.17406
,,,2022-11-10 15:57:14.453,-0.07029,-0.22092
,,,2022-11-10 15:57:14.952,-0.07699,-0.1272
,,,2022-11-10 15:57:15.452,-0.08033,-0.20418
,,,2022-11-10 15:57:15.952,-0.05021,-0.19079
