Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-11-11 09:20:43.161,-0.07364,-0.08368
Serial Number:,MY60101365,,2022-11-11 09:20:43.662,-0.07029,-0.09372
Firmware Version:,07.31.2020012900,,2022-11-11 09:20:44.162,-0.08368,-0.13389
Start Time:,2022-11-11 09:20:43.161,,2022-11-11 09:20:44.660,-0.08368,-0.10377
Stop Time:,2022-11-11 09:30:43.163,,2022-11-11 09:20:45.161,-0.07029,-0.09038
Sample Period:,0.5,,2022-11-11 09:20:45.661,-0.13054,-0.09372
,,,2022-11-11 09:20:46.161,-0.09707,-0.09372
,,,2022-11-11 09:20:46.661,-0.07364,-0.1205
,,,2022-11-11 09:20:47.162,-0.08033,-0.13389
,,,2022-11-11 09:20:47.661,-0.0569,-0.07699
,,,2022-11-11 09:20:48.161,-0.08033,-0.09372
,,,2022-11-11 09:20:48.662,-0.11715,-0.12385
,,,2022-11-11 09:20:49.162,-0.12385,-0.07029
,,,2022-11-11 09:20:49.661,-0.11046,-0.09038
,,,2022-11-11 09:20:50.162,-0.06695,-0.06025
,,,2022-11-11 09:20:50.661,-0.06025,-0.10042
,,,2022-11-11 09:20:51.160,-0.1205,-0.1841
,,,2022-11-11 09:20:51.660,-0.05021,-0.13054
,,,2022-11-11 09:20:52.160,-0.07364,-0.13389
,,,2022-11-11 09:20:52.660,-0.07699,-0.07699
,,,2022-11-11 09:20:53.160,-0.09372,-0.10042
,,,2022-11-11 09:20:53.660,-0.10377,-0.07029
,,,2022-11-11 09:20:54.160,-0.09038,-0.06695
,,,2022-11-11 09:20:54.661,-0.08368,-0.14728
,,,2022-11-11 09:20:55.161,-0.07699,-0.10377
,,,2022-11-11 09:20:55.661,-0.11381,-0.14059
,,,2022-11-11 09:20:56.161,-0.05021,-0.16402
,,,2022-11-11 09:20:56.661,-0.12385,-0.09707
,,,2022-11-11 09:20:57.162,-0.09038,-0.10377
,,,2022-11-11 09:20:57.661,-0.10711,-0.13724
,,,2022-11-11 09:20:58.162,-0.08703,-0.10711
,,,2022-11-11 09:20:58.661,-0.08368,-0.10711
,,,2022-11-11 09:20:59.161,-0.05356,-0.13724
,,,2022-11-11 09:20:59.661,-0.10042,-0.14393
,,,2022-11-11 09:21:00.161,-0.12385,-0.08033
,,,2022-11-11 09:21:00.662,-0.09038,-0.10711
,,,2022-11-11 09:21:01.161,-0.04686,-0.11046
,,,2022-11-11 09:21:01.661,-0.06025,-0.09038
,,,2022-11-11 09:21:02.161,-0.05021,-0.11715
,,,2022-11-11 09:21:02.663,-0.08368,-0.1205
,,,2022-11-11 09:21:03.161,-0.13389,-0.10377
,,,2022-11-11 09:21:03.662,-0.09707,-0.10377
,,,2022-11-11 09:21:04.162,-0.09038,-0.11381
,,,2022-11-11 09:21:04.660,-0.04686,-0.11381
,,,2022-11-11 09:21:05.161,-0.0569,-0.12385
,,,2022-11-11 09:21:05.661,-0.08368,-0.11046
,,,2022-11-11 09:21:06.161,-0.08703,-0.11046
,,,2022-11-11 09:21:06.661,-0.10711,-0.11381
,,,2022-11-11 09:21:07.162,-0.08368,-0.11046
,,,2022-11-11 09:21:07.662,-0.07029,-0.13724
,,,2022-11-11 09:21:08.161,-0.06695,-0.11046
,,,2022-11-11 09:21:08.664,-0.0636,-0.09372
,,,2022-11-11 09:21:09.162,-0.08368,-0.07364
,,,2022-11-11 09:21:09.662,-0.0636,-0.13054
,,,2022-11-11 09:21:10.162,-0.07699,-0.11381
,,,2022-11-11 09:21:10.663,-0.06025,-0.08033
,,,2022-11-11 09:21:11.163,-0.09372,-0.10042
,,,2022-11-11 09:21:11.662,-0.06695,-0.12385
,,,2022-11-11 09:21:12.162,-0.11046,-0.0636
,,,2022-11-11 09:21:12.662,-0.07699,-0.0569
,,,2022-11-11 09:21:13.162,-0.0636,-0.08703
,,,2022-11-11 09:21:13.661,-0.04686,-0.10377
,,,2022-11-11 09:21:14.163,-0.07364,-0.13389
,,,2022-11-11 09:21:14.662,-0.11715,-0.13724
,,,2022-11-11 09:21:15.162,-0.10042,-0.14059
,,,2022-11-11 09:21:15.662,-0.05021,-0.15732
,,,2022-11-11 09:21:16.161,-0.07699,-0.09707
,,,2022-11-11 09:21:16.661,-0.09372,-0.10711
,,,2022-11-11 09:21:17.161,-0.07699,-0.07364
,,,2022-11-11 09:21:17.661,-0.06695,-0.1272
,,,2022-11-11 09:21:18.162,-0.0569,-0.07364
,,,2022-11-11 09:21:18.662,-0.10042,-0.17406
,,,2022-11-11 09:21:19.161,-0.10377,-0.13054
,,,2022-11-11 09:21:19.662,-0.06695,-0.08368
,,,2022-11-11 09:21:20.163,-0.07029,-0.12385
,,,2022-11-11 09:21:20.662,-0.07029,-0.08033
,,,2022-11-11 09:21:21.163,-0.06695,-0.11715
,,,2022-11-11 09:21:21.661,-0.09038,-0.1272
,,,2022-11-11 09:21:22.161,-0.07699,-0.1205
,,,2022-11-11 09:21:22.661,-0.11715,-0.10711
,,,2022-11-11 09:21:23.161,-0.09038,-0.10377
,,,2022-11-11 09:21:23.662,-0.08703,-0.09038
,,,2022-11-11 09:21:24.162,-0.09038,-0.10042
