Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-11-11 09:45:57.381,-0.07699,-0.09038
Serial Number:,MY60101365,,2022-11-11 09:45:57.881,-0.04686,-0.07699
Firmware Version:,07.31.2020012900,,2022-11-11 09:45:58.380,-0.09038,-0.09372
Start Time:,2022-11-11 09:45:57.381,,2022-11-11 09:45:58.880,-0.09038,-0.07029
Stop Time:,2022-11-11 09:55:57.381,,2022-11-11 09:45:59.380,-0.07699,-0.11046
Sample Period:,0.5,,2022-11-11 09:45:59.880,-0.13054,-0.09372
,,,2022-11-11 09:46:00.381,-0.08368,-0.06695
,,,2022-11-11 09:46:00.880,-0.03682,-0.07029
,,,2022-11-11 09:46:01.381,-0.05356,-0.09038
,,,2022-11-11 09:46:01.881,-0.14393,-0.08703
,,,2022-11-11 09:46:02.380,-0.07029,-0.0636
,,,2022-11-11 09:46:02.881,-0.08033,-0.07364
,,,2022-11-11 09:46:03.380,-0.16067,-0.10711
,,,2022-11-11 09:46:03.880,-0.0636,-0.06695
,,,2022-11-11 09:46:04.380,-0.07699,-0.08033
,,,2022-11-11 09:46:04.881,-0.09372,-0.09707
,,,2022-11-11 09:46:05.380,-0.15732,-0.09372
,,,2022-11-11 09:46:05.881,-0.10711,-0.10377
,,,2022-11-11 09:46:06.380,-0.1272,-0.09707
,,,2022-11-11 09:46:06.880,-0.08368,-0.10377
,,,2022-11-11 09:46:07.379,-0.07364,-0.07029
,,,2022-11-11 09:46:07.880,-0.0569,-0.07364
,,,2022-11-11 09:46:08.380,-0.06695,-0.07364
,,,2022-11-11 09:46:08.881,-0.10377,-0.09707
,,,2022-11-11 09:46:09.380,-0.01004,-0.0636
,,,2022-11-11 09:46:09.880,-0.09707,-0.10711
,,,2022-11-11 09:46:10.381,-0.10042,-0.07699
,,,2022-11-11 09:46:10.881,-0.06025,-0.06025
,,,2022-11-11 09:46:11.380,-0.07029,-0.09038
,,,2022-11-11 09:46:11.881,-0.07029,-0.06695
,,,2022-11-11 09:46:12.380,-0.08703,-0.10377
,,,2022-11-11 09:46:12.880,-0.09038,-0.08703
,,,2022-11-11 09:46:13.380,-0.07029,-0.07699
,,,2022-11-11 09:46:13.881,-0.12385,-0.08368
,,,2022-11-11 09:46:14.381,-0.13054,-0.11046
,,,2022-11-11 09:46:14.881,-0.08368,-0.11715
,,,2022-11-11 09:46:15.381,-0.11715,-0.16736
,,,2022-11-11 09:46:15.881,-0.06025,-0.12385
,,,2022-11-11 09:46:16.380,-0.13724,-0.11046
,,,2022-11-11 09:46:16.881,-0.07364,-0.12385
,,,2022-11-11 09:46:17.380,-0.09372,-0.06695
,,,2022-11-11 09:46:17.880,-0.05021,-0.07364
,,,2022-11-11 09:46:18.381,-0.08368,-0.07364
,,,2022-11-11 09:46:18.880,-0.11046,-0.08703
,,,2022-11-11 09:46:19.381,-0.14393,-0.10711
,,,2022-11-11 09:46:19.880,-0.01339,-0.01004
,,,2022-11-11 09:46:20.381,-0.13054,-0.08033
,,,2022-11-11 09:46:20.880,-0.11715,-0.08368
,,,2022-11-11 09:46:21.381,-0.10042,-0.08703
,,,2022-11-11 09:46:21.880,-0.08033,-0.10042
,,,2022-11-11 09:46:22.381,-0.07029,-0.09038
,,,2022-11-11 09:46:22.882,-0.10377,-0.09038
,,,2022-11-11 09:46:23.384,-0.03682,-0.11381
,,,2022-11-11 09:46:23.880,-0.0636,-0.07029
,,,2022-11-11 09:46:24.383,-0.10042,-0.09038
,,,2022-11-11 09:46:24.881,-0.08033,-0.08033
,,,2022-11-11 09:46:25.382,-0.09707,-0.08703
,,,2022-11-11 09:46:25.882,-0.11381,-0.07699
,,,2022-11-11 09:46:26.381,-0.06695,-0.06025
,,,2022-11-11 09:46:26.881,-0.08368,-0.09038
,,,2022-11-11 09:46:27.381,-0.11715,-0.08703
,,,2022-11-11 09:46:27.880,-0.11046,-0.06695
,,,2022-11-11 09:46:28.382,-0.08368,-0.06695
,,,2022-11-11 09:46:28.881,-0.11381,-0.08033
,,,2022-11-11 09:46:29.380,-0.11381,-0.06025
,,,2022-11-11 09:46:29.881,-0.09372,-0.08368
,,,2022-11-11 09:46:30.381,-0.14393,-0.1272
,,,2022-11-11 09:46:30.881,-0.12385,-0.1205
,,,2022-11-11 09:46:31.381,-0.07029,-0.0636
,,,2022-11-11 09:46:31.881,-0.10042,-0.10377
,,,2022-11-11 09:46:32.380,-0.14728,-0.09038
,,,2022-11-11 09:46:32.881,-0.07699,-0.08368
,,,2022-11-11 09:46:33.380,-0.08703,-0.14728
,,,2022-11-11 09:46:33.880,-0.04017,-0.07699
,,,2022-11-11 09:46:34.381,-0.07699,-0.10377
,,,2022-11-11 09:46:34.881,-0.09372,-0.09707
,,,2022-11-11 09:46:35.380,-0.09038,-0.06025
,,,2022-11-11 09:46:35.880,-0.05356,-0.11715
,,,2022-11-11 09:46:36.381,-0.10377,-0.09038
,,,2022-11-11 09:46:36.881,-0.10377,-0.08703
,,,2022-11-11 09:46:37.380,-0.07699,-0.0636
,,,2022-11-11 09:46:37.880,-0.10711,-0.08368
