Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-11-15 17:00:41.034,-0.123849
Serial Number:,MY60101365,,2022-11-15 17:00:41.655,-0.060251
Firmware Version:,07.31.2020012900,,2022-11-15 17:00:42.291,-0.05523
Start Time:,2022-11-15 17:00:41.034,,2022-11-15 17:00:42.956,-0.045188
Stop Time:,2022-11-15 17:10:40.757,,2022-11-15 17:00:43.623,-0.061925
Sample Period:,0.5,,2022-11-15 17:00:44.278,-0.031799
,,,2022-11-15 17:00:44.931,-0.061925
,,,2022-11-15 17:00:45.580,-0.090377
,,,2022-11-15 17:00:46.267,-0.060251
,,,2022-11-15 17:00:46.927,-0.066946
,,,2022-11-15 17:00:47.582,-0.031799
,,,2022-11-15 17:00:48.249,-0.025105
,,,2022-11-15 17:00:48.911,-0.040167
,,,2022-11-15 17:00:49.556,-0.038494
,,,2022-11-15 17:00:50.210,-0.040167
,,,2022-11-15 17:00:50.861,-0.056904
,,,2022-11-15 17:00:51.507,-0.046862
,,,2022-11-15 17:00:52.165,-0.065272
,,,2022-11-15 17:00:52.816,-0.040167
,,,2022-11-15 17:00:53.487,-0.076987
,,,2022-11-15 17:00:54.133,-0.060251
,,,2022-11-15 17:00:54.779,-0.053556
,,,2022-11-15 17:00:55.432,-0.061925
,,,2022-11-15 17:00:56.085,-0.068619
,,,2022-11-15 17:00:56.742,-0.03682
,,,2022-11-15 17:00:57.393,-0.035146
,,,2022-11-15 17:00:58.043,-0.031799
,,,2022-11-15 17:00:58.668,-0.070293
,,,2022-11-15 17:00:59.300,-0.056904
,,,2022-11-15 17:00:59.953,-0.031799
,,,2022-11-15 17:01:00.603,-0.046862
,,,2022-11-15 17:01:01.274,-0.065272
,,,2022-11-15 17:01:01.927,-0.070293
,,,2022-11-15 17:01:02.578,-0.048536
,,,2022-11-15 17:01:03.230,-0.025105
,,,2022-11-15 17:01:03.875,-0.010042
,,,2022-11-15 17:01:04.527,-0.05523
,,,2022-11-15 17:01:05.180,-0.061925
,,,2022-11-15 17:01:05.834,-0.060251
,,,2022-11-15 17:01:06.495,-0.061925
,,,2022-11-15 17:01:07.152,-0.03682
,,,2022-11-15 17:01:07.807,-0.068619
,,,2022-11-15 17:01:08.460,-0.127197
,,,2022-11-15 17:01:09.123,-0.031799
,,,2022-11-15 17:01:09.754,-0.088703
,,,2022-11-15 17:01:10.422,-0.040167
,,,2022-11-15 17:01:11.090,-0.122176
,,,2022-11-15 17:01:11.757,-0.05523
,,,2022-11-15 17:01:12.410,-0.090377
,,,2022-11-15 17:01:13.070,-0.040167
,,,2022-11-15 17:01:13.722,-0.053556
,,,2022-11-15 17:01:14.377,-0.061925
,,,2022-11-15 17:01:15.031,-0.075314
,,,2022-11-15 17:01:15.678,-0.05523
,,,2022-11-15 17:01:16.328,-0.021757
,,,2022-11-15 17:01:16.981,-0.060251
,,,2022-11-15 17:01:17.630,-0.095397
,,,2022-11-15 17:01:18.286,-0.006695
,,,2022-11-15 17:01:18.947,-0.045188
,,,2022-11-15 17:01:19.608,-0.046862
,,,2022-11-15 17:01:20.253,-0.031799
,,,2022-11-15 17:01:20.907,-0.063598
,,,2022-11-15 17:01:21.565,-0.023431
,,,2022-11-15 17:01:22.221,-0.061925
,,,2022-11-15 17:01:22.874,-0.031799
,,,2022-11-15 17:01:23.538,-0.053556
,,,2022-11-15 17:01:24.193,-0.038494
,,,2022-11-15 17:01:24.857,-0.041841
,,,2022-11-15 17:01:25.508,-0.025105
,,,2022-11-15 17:01:26.178,-0.063598
,,,2022-11-15 17:01:26.836,-0.120502
,,,2022-11-15 17:01:27.502,-0.038494
,,,2022-11-15 17:01:28.163,-0.038494
,,,2022-11-15 17:01:28.819,-0.026778
,,,2022-11-15 17:01:29.471,-0.041841
,,,2022-11-15 17:01:30.125,-0.048536
,,,2022-11-15 17:01:30.781,-0.056904
,,,2022-11-15 17:01:31.448,-0.038494
,,,2022-11-15 17:01:32.101,-0.040167
,,,2022-11-15 17:01:32.750,-0.050209
,,,2022-11-15 17:01:33.412,-0.095397
,,,2022-11-15 17:01:34.060,-0.038494
,,,2022-11-15 17:01:34.713,-0.03682
,,,2022-11-15 17:01:35.401,-0.041841
,,,2022-11-15 17:01:36.053,-0.026778
,,,2022-11-15 17:01:36.768,-0.046862
,,,2022-11-15 17:01:37.401,-0.046862
,,,2022-11-15 17:01:38.044,-0.048536
,,,2022-11-15 17:01:38.743,-0.07364
,,,2022-11-15 17:01:39.447,-0.048536
,,,2022-11-15 17:01:40.126,-0.058577
,,,2022-11-15 17:01:40.781,-0.048536
,,,2022-11-15 17:01:41.437,-0.03682
,,,2022-11-15 17:01:42.094,-0.041841
,,,2022-11-15 17:01:42.729,-0.011715
,,,2022-11-15 17:01:43.383,-0.046862
,,,2022-11-15 17:01:44.035,-0.040167
,,,2022-11-15 17:01:44.698,-0.011715
,,,2022-11-15 17:01:45.357,-0.043515
,,,2022-11-15 17:01:46.018,-0.016736
,,,2022-11-15 17:01:46.665,-0.006695
,,,2022-11-15 17:01:47.316,-0.048536
,,,2022-11-15 17:01:47.975,-0.060251
,,,2022-11-15 17:01:48.648,-0.065272
,,,2022-11-15 17:01:49.276,-0.050209
,,,2022-11-15 17:01:49.942,-0.038494
,,,2022-11-15 17:01:50.597,-0.028452
,,,2022-11-15 17:01:51.239,-0.025105
,,,2022-11-15 17:01:51.892,-0.056904
,,,2022-11-15 17:01:52.558,-0.040167
,,,2022-11-15 17:01:53.209,-0.038494
,,,2022-11-15 17:01:53.872,-0.025105
,,,2022-11-15 17:01:54.528,-0.063598
,,,2022-11-15 17:01:55.183,-0.046862
,,,2022-11-15 17:01:55.838,-0.041841
,,,2022-11-15 17:01:56.499,-0.033473
,,,2022-11-15 17:01:57.156,-0.03682
,,,2022-11-15 17:01:57.835,-0.031799
,,,2022-11-15 17:01:58.495,-0.087029
,,,2022-11-15 17:01:59.151,-0.041841
,,,2022-11-15 17:01:59.816,-0.061925
,,,2022-11-15 17:02:00.472,-0.045188
,,,2022-11-15 17:02:01.128,-0.046862
,,,2022-11-15 17:02:01.788,-0.060251
,,,2022-11-15 17:02:02.439,-0.025105
,,,2022-11-15 17:02:03.097,-0.026778
,,,2022-11-15 17:02:03.757,-0.07364
,,,2022-11-15 17:02:04.405,-0.068619
,,,2022-11-15 17:02:05.070,-0.023431
,,,2022-11-15 17:02:05.726,-0.046862
,,,2022-11-15 17:02:06.387,-0.05523
,,,2022-11-15 17:02:07.044,-0.01841
,,,2022-11-15 17:02:07.702,-0.03682
,,,2022-11-15 17:02:08.370,-0.063598
,,,2022-11-15 17:02:09.024,-0.035146
,,,2022-11-15 17:02:09.688,-0.041841
,,,2022-11-15 17:02:10.343,-0.025105
,,,2022-11-15 17:02:10.993,-0.056904
,,,2022-11-15 17:02:11.670,-0.040167
,,,2022-11-15 17:02:12.329,-0.038494
,,,2022-11-15 17:02:12.995,-0.068619
,,,2022-11-15 17:02:13.666,-0.053556
,,,2022-11-15 17:02:14.322,-0.085356
,,,2022-11-15 17:02:14.988,-0.088703
,,,2022-11-15 17:02:15.644,-0.041841
,,,2022-11-15 17:02:16.285,-0.068619
,,,2022-11-15 17:02:16.945,-0.038494
,,,2022-11-15 17:02:17.601,-0.048536
,,,2022-11-15 17:02:18.261,-0.051883
,,,2022-11-15 17:02:18.935,-0.068619
,,,2022-11-15 17:02:19.594,-0.09205
,,,2022-11-15 17:02:20.245,-0.01841
,,,2022-11-15 17:02:20.900,-0.053556
,,,2022-11-15 17:02:21.548,-0.053556
,,,2022-11-15 17:02:22.198,-0.038494
,,,2022-11-15 17:02:22.853,-0.038494
,,,2022-11-15 17:02:23.517,-0.010042
,,,2022-11-15 17:02:24.190,-0.090377
,,,2022-11-15 17:02:24.840,-0.07364
,,,2022-11-15 17:02:25.497,-0.053556
,,,2022-11-15 17:02:26.158,-0.046862
,,,2022-11-15 17:02:26.828,-0.075314
,,,2022-11-15 17:02:27.483,-0.025105
,,,2022-11-15 17:02:28.137,-0.046862
,,,2022-11-15 17:02:28.788,-0.041841
,,,2022-11-15 17:02:29.451,-0.031799
,,,2022-11-15 17:02:30.110,-0.040167
,,,2022-11-15 17:02:30.794,-0.053556
,,,2022-11-15 17:02:31.455,-0.066946
