Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-11-16 10:22:42.159,-0.030795
Serial Number:,MY60101365,,2022-11-16 10:22:42.785,-0.025439
Firmware Version:,07.31.2020012900,,2022-11-16 10:22:43.422,-0.003347
Start Time:,2022-11-16 10:22:42.159,,2022-11-16 10:22:44.086,-0.016736
Stop Time:,2022-11-16 10:32:41.752,,2022-11-16 10:22:44.738,-0.019414
Sample Period:,0.5,,2022-11-16 10:22:45.389,-0.0241
,,,2022-11-16 10:22:46.023,-0.034812
,,,2022-11-16 10:22:46.669,-0.009372
,,,2022-11-16 10:22:47.324,-0.010711
,,,2022-11-16 10:22:47.991,-0.022092
,,,2022-11-16 10:22:48.650,-0.013389
,,,2022-11-16 10:22:49.281,-0.02477
,,,2022-11-16 10:22:49.934,-0.018745
,,,2022-11-16 10:22:50.579,-0.030126
,,,2022-11-16 10:22:51.246,-0.02477
,,,2022-11-16 10:22:51.889,-0.010042
,,,2022-11-16 10:22:52.544,-0.010711
,,,2022-11-16 10:22:53.189,-0.018075
,,,2022-11-16 10:22:53.831,-0.011381
,,,2022-11-16 10:22:54.472,-0.023431
,,,2022-11-16 10:22:55.116,-0.010711
,,,2022-11-16 10:22:55.768,-0.010711
,,,2022-11-16 10:22:56.426,-0.008703
,,,2022-11-16 10:22:57.083,-0.010711
,,,2022-11-16 10:22:57.746,-0.010042
,,,2022-11-16 10:22:58.387,-0.013389
,,,2022-11-16 10:22:59.038,-0.03749
,,,2022-11-16 10:22:59.750,-0.010711
,,,2022-11-16 10:23:00.401,-0.009372
,,,2022-11-16 10:23:01.087,-0.016736
,,,2022-11-16 10:23:01.806,-0.010042
,,,2022-11-16 10:23:02.465,-0.011381
,,,2022-11-16 10:23:03.115,-0.016067
,,,2022-11-16 10:23:03.766,-0.016067
,,,2022-11-16 10:23:04.395,-0.023431
,,,2022-11-16 10:23:05.048,-0.010042
,,,2022-11-16 10:23:05.698,-0.046192
,,,2022-11-16 10:23:06.350,-0.009372
,,,2022-11-16 10:23:07.012,-0.004686
,,,2022-11-16 10:23:07.679,-0.017406
,,,2022-11-16 10:23:08.346,-0.016736
,,,2022-11-16 10:23:09.001,-0.010042
,,,2022-11-16 10:23:09.664,-0.032134
,,,2022-11-16 10:23:10.312,-0.018075
,,,2022-11-16 10:23:10.934,-0.011381
,,,2022-11-16 10:23:11.581,-0.014728
,,,2022-11-16 10:23:12.248,-0.0241
,,,2022-11-16 10:23:12.906,-0.017406
,,,2022-11-16 10:23:13.561,-0.004017
,,,2022-11-16 10:23:14.228,-0.030795
,,,2022-11-16 10:23:14.882,-0.016736
,,,2022-11-16 10:23:15.528,-0.0241
,,,2022-11-16 10:23:16.185,-0.017406
,,,2022-11-16 10:23:16.844,-0.017406
,,,2022-11-16 10:23:17.500,-0.010042
,,,2022-11-16 10:23:18.159,-0.0241
,,,2022-11-16 10:23:18.804,-0.010711
,,,2022-11-16 10:23:19.460,-0.016736
,,,2022-11-16 10:23:20.118,-0.017406
,,,2022-11-16 10:23:20.765,-0.003347
,,,2022-11-16 10:23:21.412,-0.013389
,,,2022-11-16 10:23:22.065,-0.009372
,,,2022-11-16 10:23:22.718,-0.032803
,,,2022-11-16 10:23:23.375,-0.067615
,,,2022-11-16 10:23:24.025,-0.009372
,,,2022-11-16 10:23:24.673,-0.009372
,,,2022-11-16 10:23:25.334,-0.010042
,,,2022-11-16 10:23:25.990,-0.010042
,,,2022-11-16 10:23:26.648,-0.010042
,,,2022-11-16 10:23:27.304,-0.010042
,,,2022-11-16 10:23:27.970,-0.016736
,,,2022-11-16 10:23:28.626,-0.016736
,,,2022-11-16 10:23:29.280,-0.016736
,,,2022-11-16 10:23:29.938,-0.034812
,,,2022-11-16 10:23:30.587,-0.010711
,,,2022-11-16 10:23:31.255,-0.038828
,,,2022-11-16 10:23:32.047,-0.016736
,,,2022-11-16 10:23:32.695,-0.010042
,,,2022-11-16 10:23:33.345,-0.046192
,,,2022-11-16 10:23:34.003,-0.004017
,,,2022-11-16 10:23:34.656,-0.009372
,,,2022-11-16 10:23:35.288,-0.010042
,,,2022-11-16 10:23:35.957,-0.010711
,,,2022-11-16 10:23:36.602,-0.010042
,,,2022-11-16 10:23:37.250,-0.009372
,,,2022-11-16 10:23:37.912,-0.0241
,,,2022-11-16 10:23:38.579,-0.010042
,,,2022-11-16 10:23:39.205,-0.018745
,,,2022-11-16 10:23:39.842,-0.016067
,,,2022-11-16 10:23:40.501,-0.009372
,,,2022-11-16 10:23:41.153,-0.004686
,,,2022-11-16 10:23:41.808,-0.017406
,,,2022-11-16 10:23:42.460,-0.009372
,,,2022-11-16 10:23:43.118,-0.013389
,,,2022-11-16 10:23:43.749,-0.0241
,,,2022-11-16 10:23:44.396,-0.010711
,,,2022-11-16 10:23:45.050,-0.010711
,,,2022-11-16 10:23:45.710,-0.003347
,,,2022-11-16 10:23:46.362,-0.010711
,,,2022-11-16 10:23:47.015,-0.009372
,,,2022-11-16 10:23:47.673,-0.017406
,,,2022-11-16 10:23:48.321,-0.009372
,,,2022-11-16 10:23:48.982,-0.044854
,,,2022-11-16 10:23:49.634,-0.022762
,,,2022-11-16 10:23:50.303,-0.010042
,,,2022-11-16 10:23:50.961,-0.014728
,,,2022-11-16 10:23:51.604,-0.010042
,,,2022-11-16 10:23:52.251,-0.017406
,,,2022-11-16 10:23:52.911,-0.022762
,,,2022-11-16 10:23:53.569,-0.010042
,,,2022-11-16 10:23:54.228,-0.010711
,,,2022-11-16 10:23:54.885,-0.023431
,,,2022-11-16 10:23:55.539,-0.016067
,,,2022-11-16 10:23:56.197,-0.016736
,,,2022-11-16 10:23:56.862,-0.008703
,,,2022-11-16 10:23:57.524,-0.02477
,,,2022-11-16 10:23:58.191,-0.010711
,,,2022-11-16 10:23:58.850,-0.017406
,,,2022-11-16 10:23:59.501,-0.016067
,,,2022-11-16 10:24:00.159,-0.008703
,,,2022-11-16 10:24:00.813,-0.022762
,,,2022-11-16 10:24:01.479,-0.020753
,,,2022-11-16 10:24:02.136,-0.018075
,,,2022-11-16 10:24:02.785,-0.019414
,,,2022-11-16 10:24:03.433,-0.010042
,,,2022-11-16 10:24:04.088,-0.010042
,,,2022-11-16 10:24:04.735,-0.010042
,,,2022-11-16 10:24:05.387,-0.01205
,,,2022-11-16 10:24:06.036,-0.0241
,,,2022-11-16 10:24:06.691,-0.016067
,,,2022-11-16 10:24:07.357,-0.018745
,,,2022-11-16 10:24:08.006,-0.013389
,,,2022-11-16 10:24:08.662,-0.026109
,,,2022-11-16 10:24:09.326,-0.018745
,,,2022-11-16 10:24:09.977,-0.03682
,,,2022-11-16 10:24:10.629,-0.017406
,,,2022-11-16 10:24:11.309,-0.010042
,,,2022-11-16 10:24:11.969,-0.017406
,,,2022-11-16 10:24:12.621,-0.02477
,,,2022-11-16 10:24:13.272,-0.010042
,,,2022-11-16 10:24:13.925,-0.017406
,,,2022-11-16 10:24:14.583,-0.0241
,,,2022-11-16 10:24:15.235,-0.017406
,,,2022-11-16 10:24:15.899,-0.010711
,,,2022-11-16 10:24:16.564,-0.018075
,,,2022-11-16 10:24:17.222,-0.008703
,,,2022-11-16 10:24:17.878,-0.018075
,,,2022-11-16 10:24:18.538,-0.016067
,,,2022-11-16 10:24:19.163,-0.010042
,,,2022-11-16 10:24:19.787,-0.010711
,,,2022-11-16 10:24:20.437,-0.017406
,,,2022-11-16 10:24:21.094,-0.014728
,,,2022-11-16 10:24:21.720,-0.025439
,,,2022-11-16 10:24:22.373,-0.009372
,,,2022-11-16 10:24:23.033,-0.031464
,,,2022-11-16 10:24:23.698,-0.01272
,,,2022-11-16 10:24:24.359,-0.01205
,,,2022-11-16 10:24:25.018,-0.009372
,,,2022-11-16 10:24:25.672,-0.02477
,,,2022-11-16 10:24:26.325,-0.039498
,,,2022-11-16 10:24:26.982,-0.015397
,,,2022-11-16 10:24:27.645,-0.016067
,,,2022-11-16 10:24:28.311,-0.008703
,,,2022-11-16 10:24:28.966,-0.031464
,,,2022-11-16 10:24:29.628,-0.030795
,,,2022-11-16 10:24:30.253,-0.010042
,,,2022-11-16 10:24:30.914,-0.010042
,,,2022-11-16 10:24:31.573,-0.033473
,,,2022-11-16 10:24:32.234,-0.0241
,,,2022-11-16 10:24:32.888,-0.010042
,,,2022-11-16 10:24:33.556,-0.030126
,,,2022-11-16 10:24:34.221,-0.023431
,,,2022-11-16 10:24:34.908,-0.008033
,,,2022-11-16 10:24:35.560,-0.010042
,,,2022-11-16 10:24:36.212,-0.016736
,,,2022-11-16 10:24:36.859,-0.038828
,,,2022-11-16 10:24:37.533,-0.0241
,,,2022-11-16 10:24:38.202,-0.010042
,,,2022-11-16 10:24:38.872,-0.016067
,,,2022-11-16 10:24:39.565,-0.010711
,,,2022-11-16 10:24:40.232,-0.016736
,,,2022-11-16 10:24:40.900,-0.010711
,,,2022-11-16 10:24:41.564,-0.014728
,,,2022-11-16 10:24:42.230,-0.046192
,,,2022-11-16 10:24:42.895,-0.017406
,,,2022-11-16 10:24:43.552,-0.009372
,,,2022-11-16 10:24:44.186,-0.017406
,,,2022-11-16 10:24:44.840,-0.010042
,,,2022-11-16 10:24:45.512,-0.033473
,,,2022-11-16 10:24:46.167,-0.004017
,,,2022-11-16 10:24:46.837,-0.013389
,,,2022-11-16 10:24:47.487,-0.016067
,,,2022-11-16 10:24:48.145,-0.016736
,,,2022-11-16 10:24:48.803,-0.018075
,,,2022-11-16 10:24:49.458,-0.010042
,,,2022-11-16 10:24:50.124,-0.030795
,,,2022-11-16 10:24:50.774,-0.019414
,,,2022-11-16 10:24:51.442,-0.004017
,,,2022-11-16 10:24:52.113,-0.016067
,,,2022-11-16 10:24:52.759,-0.022762
,,,2022-11-16 10:24:53.419,-0.004017
,,,2022-11-16 10:24:54.078,-0.021423
,,,2022-11-16 10:24:54.735,-0.009372
,,,2022-11-16 10:24:55.395,-0.017406
,,,2022-11-16 10:24:56.015,-0.017406
,,,2022-11-16 10:24:56.688,-0.018745
,,,2022-11-16 10:24:57.341,-0.030795
,,,2022-11-16 10:24:57.999,-0.004017
,,,2022-11-16 10:24:58.659,-0.016067
