Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),X at Max Y(4),X at Max Y(1)
Model:,MSO-X 4154A,,2022-09-20 12:30:37.441,1.313E-08,1.445E-08
Serial Number:,MY60101365,,2022-09-20 12:30:37.941,3.98E-09,-5.86E-09
Firmware Version:,07.31.2020012900,,2022-09-20 12:30:38.441,2.58E-09,-7.11E-09
Start Time:,2022-09-20 12:30:37.441,,2022-09-20 12:30:38.941,1.02E-09,-7.03E-09
Stop Time:,2022-09-20 12:40:37.442,,2022-09-20 12:30:39.441,2.97E-09,-3.75E-09
Sample Period:,0.5,,2022-09-20 12:30:39.942,4.53E-09,-4.61E-09
,,,2022-09-20 12:30:40.442,1.72E-09,-5.7E-09
,,,2022-09-20 12:30:40.940,2.73E-09,-4.14E-09
,,,2022-09-20 12:30:41.441,3.52E-09,-4.61E-09
,,,2022-09-20 12:30:41.939,2.27E-09,-5.55E-09
,,,2022-09-20 12:30:42.439,3.91E-09,-4.61E-09
,,,2022-09-20 12:30:42.939,1.72E-09,-6.64E-09
,,,2022-09-20 12:30:43.440,2.34E-09,-6.48E-09
,,,2022-09-20 12:30:43.940,4.22E-09,-4.77E-09
,,,2022-09-20 12:30:44.441,3.67E-09,-6.09E-09
,,,2022-09-20 12:30:44.942,2.19E-09,-4.77E-09
,,,2022-09-20 12:30:45.441,2.97E-09,-4.3E-09
,,,2022-09-20 12:30:45.942,3.05E-09,-4.22E-09
,,,2022-09-20 12:30:46.440,1.88E-09,-5.23E-09
,,,2022-09-20 12:30:46.939,2.11E-09,-4.45E-09
,,,2022-09-20 12:30:47.440,3.75E-09,-4.53E-09
,,,2022-09-20 12:30:47.941,1.56E-09,-6.09E-09
,,,2022-09-20 12:30:48.440,3.67E-09,-6.56E-09
,,,2022-09-20 12:30:48.940,4.53E-09,-6.02E-09
,,,2022-09-20 12:30:49.441,2.19E-09,-5.55E-09
,,,2022-09-20 12:30:49.940,4.84E-09,-5.39E-09
,,,2022-09-20 12:30:50.440,1.8E-09,-6.33E-09
,,,2022-09-20 12:30:50.940,1.95E-09,-6.95E-09
,,,2022-09-20 12:30:51.440,5E-09,-5E-09
,,,2022-09-20 12:30:51.939,2.11E-09,-6.09E-09
,,,2022-09-20 12:30:52.441,2.34E-09,-4.61E-09
,,,2022-09-20 12:30:52.941,2.66E-09,-4.14E-09
,,,2022-09-20 12:30:53.442,1.72E-09,-3.05E-09
,,,2022-09-20 12:30:53.940,4.14E-09,-6.25E-09
,,,2022-09-20 12:30:54.440,4.22E-09,-3.75E-09
,,,2022-09-20 12:30:54.940,1.17E-09,-6.41E-09
,,,2022-09-20 12:30:55.440,1.8E-09,-5.31E-09
,,,2022-09-20 12:30:55.941,2.42E-09,-6.17E-09
,,,2022-09-20 12:30:56.440,1.48E-09,-6.8E-09
,,,2022-09-20 12:30:56.939,3.13E-09,-4.38E-09
,,,2022-09-20 12:30:57.440,2.42E-09,-5.86E-09
,,,2022-09-20 12:30:57.940,4.61E-09,-4.38E-09
,,,2022-09-20 12:30:58.440,3.75E-09,-4.14E-09
,,,2022-09-20 12:30:58.941,3.67E-09,-4.92E-09
,,,2022-09-20 12:30:59.441,3.83E-09,-5.23E-09
,,,2022-09-20 12:30:59.941,2.03E-09,-5.08E-09
,,,2022-09-20 12:31:00.441,2.89E-09,-5.08E-09
,,,2022-09-20 12:31:00.940,1.8E-09,-6.02E-09
,,,2022-09-20 12:31:01.441,1.56E-09,-6.88E-09
,,,2022-09-20 12:31:01.941,3.2E-09,-5.78E-09
,,,2022-09-20 12:31:02.442,4.06E-09,-4.06E-09
,,,2022-09-20 12:31:02.941,2.34E-09,-4.77E-09
,,,2022-09-20 12:31:03.441,1.56E-09,-4.92E-09
,,,2022-09-20 12:31:03.942,4.14E-09,-5.94E-09
,,,2022-09-20 12:31:04.442,3.28E-09,-3.59E-09
,,,2022-09-20 12:31:04.941,3.05E-09,-3.05E-09
,,,2022-09-20 12:31:05.443,4.45E-09,-5.39E-09
,,,2022-09-20 12:31:05.941,1.8E-09,-4.69E-09
,,,2022-09-20 12:31:06.441,3.1E-10,-6.95E-09
,,,2022-09-20 12:31:06.942,2.97E-09,-6.48E-09
,,,2022-09-20 12:31:07.442,3.75E-09,-5.55E-09
